Gene	ModuleColor	kWithin	ModuleName
C14orf119	black	23.236237969072	AdhdM1
SMIM30	black	11.670042396659	AdhdM1
AAAS	black	6.29204682408378	AdhdM1
ABCB1	black	21.7640141434269	AdhdM1
ABCE1	black	6.73228200571453	AdhdM1
ABHD17C	black	3.94633225215898	AdhdM1
ACE2	black	12.4692382883823	AdhdM1
ADCY4	black	7.86479186538052	AdhdM1
ADGRA2	black	12.131409445704	AdhdM1
ADGRL4	black	10.2049033517514	AdhdM1
ADORA2B	black	13.5044911937432	AdhdM1
AEN	black	18.28020689978	AdhdM1
AFG3L2	black	6.1342019085168	AdhdM1
AGPAT3	black	12.4931463461364	AdhdM1
AKAIN1	black	9.23471763355996	AdhdM1
ANKRD13C	black	5.66381508265853	AdhdM1
APCDD1	black	39.1427079191785	AdhdM1
APOO	black	13.8322393229097	AdhdM1
ARHGAP29	black	12.830313094989	AdhdM1
ARHGEF10L	black	10.4205453732446	AdhdM1
ARRB2	black	12.4453770449194	AdhdM1
ASPN	black	8.00367776818679	AdhdM1
ASPRV1	black	3.71490418009792	AdhdM1
ATF4	black	2.87372766758793	AdhdM1
ATF6B	black	7.46934473238938	AdhdM1
ATG12	black	10.9300411837737	AdhdM1
ATG3	black	10.2935218221389	AdhdM1
ATP2C2	black	5.00865214553698	AdhdM1
ATP5MPL	black	7.71621241015238	AdhdM1
ATP5PB	black	6.54375837763071	AdhdM1
BAX	black	22.4516795667489	AdhdM1
C18orf32	black	28.3907478592388	AdhdM1
BCAT2	black	9.80724966506351	AdhdM1
BLOC1S2	black	14.0204083182704	AdhdM1
BOLA2	black	16.2414413280966	AdhdM1
BOLA2B	black	16.2414413280966	AdhdM1
BSG	black	33.2078818581997	AdhdM1
BTBD1	black	4.86106070654445	AdhdM1
BTBD17	black	7.48748904946028	AdhdM1
CASTOR2	black	10.0034684024886	AdhdM1
CD248	black	26.6926314466385	AdhdM1
CD93	black	8.66789785256134	AdhdM1
