Gene	Direction
KIAA1109	CTX_All
ABCC8	CTX_All
ABHD17B	CTX_All
ACACB	CTX_All
ACER2	CTX_All
ACSF2	CTX_All
ADCY9	CTX_All
ADGRG1	CTX_All
ADGRL4	CTX_All
ALDH3B1	CTX_All
ANKRD33B	CTX_All
ANKRD6	CTX_All
APC	CTX_All
APCDD1	CTX_All
AQP4	CTX_All
ARHGAP42	CTX_All
ARHGEF19	CTX_All
ARL4D	CTX_All
ARPC1B	CTX_All
ARRDC2	CTX_All
ARSG	CTX_All
ATPSCKMT	CTX_All
B3GALT2	CTX_All
DYNLL1	CTX_All
BHLHE40	CTX_All
BHLHE41	CTX_All
BOK	CTX_All
BRINP3	CTX_All
BTBD17	CTX_All
BTG1	CTX_All
C4B	CTX_All
C4A	CTX_All
CABLES1	CTX_All
CACNA1D	CTX_All
CACNA1G	CTX_All
CAPN1	CTX_All
CA10	CTX_All
CASKIN2	CTX_All
CBFB	CTX_All
CBR3	CTX_All
CBS	CTX_All
CBSL	CTX_All
CC2D2A	CTX_All
CCAR1	CTX_All
CCDC3	CTX_All
CCDC82	CTX_All
CCN4	CTX_All
CD24	CTX_All
CD93	CTX_All
CDC42EP4	CTX_All
CDH6	CTX_All
CDK18	CTX_All
CHI3L1	CTX_All
CHRDL1	CTX_All
CHRM3	CTX_All
CHRM4	CTX_All
CHRFAM7A	CTX_All
CHRNA7	CTX_All
CIART	CTX_All
CLDN5	CTX_All
CLSTN2	CTX_All
CMYA5	CTX_All
CNIH2	CTX_All
CNTN3	CTX_All
COG7	CTX_All
COL12A1	CTX_All
CPNE9	CTX_All
CRYM	CTX_All
CSMD2	CTX_All
CSMD3	CTX_All
CSRNP1	CTX_All
CYP4X1	CTX_All
DBX2	CTX_All
DCC	CTX_All
DDC	CTX_All
DDIT4L	CTX_All
DIO2	CTX_All
DKKL1	CTX_All
DNAH1	CTX_All
DOC2B	CTX_All
DPP9	CTX_All
DST	CTX_All
DUSP5	CTX_All
DUSP6	CTX_All
DYNC1H1	CTX_All
DYRK3	CTX_All
EGR3	CTX_All
ELOVL2	CTX_All
ENG	CTX_All
ENPP6	CTX_All
EPHA6	CTX_All
EPHB6	CTX_All
ESRRG	CTX_All
KIAA1217	CTX_All
ETNPPL	CTX_All
ETV4	CTX_All
EVC2	CTX_All
EZR	CTX_All
F3	CTX_All
FABP7	CTX_All
FADS6	CTX_All
FAM163A	CTX_All
FAM43B	CTX_All
FAT3	CTX_All
FGFR3	CTX_All
FGFRL1	CTX_All
FIBCD1	CTX_All
FLRT3	CTX_All
FMN1	CTX_All
FNIP2	CTX_All
FOXO6	CTX_All
FOXRED2	CTX_All
FRAS1	CTX_All
FRMD6	CTX_All
FZD10	CTX_All
GABRG1	CTX_All
GAREM2	CTX_All
GCNT4	CTX_All
GLI1	CTX_All
GLRX	CTX_All
GLT8D2	CTX_All
CCL27	CTX_All
GNG12	CTX_All
GPLD1	CTX_All
GPR22	CTX_All
GPR52	CTX_All
GPX3	CTX_All
GRIN2C	CTX_All
GUCY1A2	CTX_All
H1-2	CTX_All
H1-4	CTX_All
H2BC8	CTX_All
HAPLN4	CTX_All
HECW2	CTX_All
HEPACAM	CTX_All
HEPH	CTX_All
HERC1	CTX_All
HERC2	CTX_All
HERC6	CTX_All
HES1	CTX_All
HEXIM1	CTX_All
HEYL	CTX_All
HMGN5	CTX_All
HOMER1	CTX_All
HRH2	CTX_All
HSF4	CTX_All
HTR1B	CTX_All
HTRA1	CTX_All
HTT	CTX_All
ID3	CTX_All
IDH2	CTX_All
IER5L	CTX_All
IFIT3	CTX_All
IFIT3	CTX_All
IGFBP2	CTX_All
IGFBP3	CTX_All
IGFN1	CTX_All
IL33	CTX_All
INF2	CTX_All
INHBA	CTX_All
INSIG1	CTX_All
INTS13	CTX_All
IRF2BP2	CTX_All
ITGA6	CTX_All
ITIH5	CTX_All
ITPR1	CTX_All
JADE2	CTX_All
JUNB	CTX_All
KCNA1	CTX_All
KCNAB3	CTX_All
KCNC3	CTX_All
KCNH5	CTX_All
KCNH7	CTX_All
KCNJ10	CTX_All
KCNJ2	CTX_All
KCTD16	CTX_All
KLF10	CTX_All
KLF15	CTX_All
KLHDC1	CTX_All
KMT2A	CTX_All
KMT2C	CTX_All
LAMC2	CTX_All
LGI4	CTX_All
LGR6	CTX_All
LHX2	CTX_All
LRGUK	CTX_All
LRP1B	CTX_All
LTBP3	CTX_All
MACF1	CTX_All
MAML3	CTX_All
MAN1A1	CTX_All
MARCKSL1	CTX_All
MATN2	CTX_All
MDGA1	CTX_All
MDN1	CTX_All
MFAP3L	CTX_All
MFSD2A	CTX_All
MPZL1	CTX_All
MRLN	CTX_All
MTSS2	CTX_All
MYCBP2	CTX_All
MYO1B	CTX_All
MYORG	CTX_All
N4BP3	CTX_All
NAB2	CTX_All
NAT8B	CTX_All
NAT8	CTX_All
NDNF	CTX_All
NDUFC1	CTX_All
NELL1	CTX_All
NID1	CTX_All
NKD1	CTX_All
NOS3	CTX_All
NOTCH1	CTX_All
NPNT	CTX_All
NR2E1	CTX_All
NR4A1	CTX_All
NRARP	CTX_All
NTN5	CTX_All
NTSR2	CTX_All
NXN	CTX_All
OLIG2	CTX_All
OPRD1	CTX_All
OVOL2	CTX_All
P2RX4	CTX_All
PALMD	CTX_All
PAMR1	CTX_All
PANX1	CTX_All
PARVB	CTX_All
PCDHB16	CTX_All
PCDHB12	CTX_All
PCDHB11	CTX_All
PCDHB2	CTX_All
PCDHGA2	CTX_All
PCGF5	CTX_All
PCLO	CTX_All
PCSK6	CTX_All
PCSK9	CTX_All
PDE8B	CTX_All
PDIA4	CTX_All
PER1	CTX_All
PHKB	CTX_All
PHOSPHO2	CTX_All
PIK3IP1	CTX_All
PLA2G3	CTX_All
PLCD3	CTX_All
PLCXD2	CTX_All
PLEKHA6	CTX_All
PLEKHO2	CTX_All
PLK3	CTX_All
PLVAP	CTX_All
PLXDC1	CTX_All
POP5	CTX_All
POU6F2	CTX_All
PPP1R14C	CTX_All
PRELP	CTX_All
PRKDC	CTX_All
PRKG1	CTX_All
PROM1	CTX_All
PRSS23	CTX_All
PYGM	CTX_All
RASGEF1B	CTX_All
RASSF3	CTX_All
RBMS3	CTX_All
RETNLB	CTX_All
RFTN2	CTX_All
RFX4	CTX_All
RIMS3	CTX_All
RND1	CTX_All
RND2	CTX_All
RND3	CTX_All
RPE65	CTX_All
RYR2	CTX_All
SAT1	CTX_All
SCN8A	CTX_All
SEC24D	CTX_All
SERPINH1	CTX_All
SGK1	CTX_All
SGSH	CTX_All
SIK1	CTX_All
SIK1B	CTX_All
SLC15A2	CTX_All
SLC16A1	CTX_All
SLC24A2	CTX_All
SLC25A34	CTX_All
SLC31A1	CTX_All
SLC40A1	CTX_All
SLC9A3R1	CTX_All
SLC9A7	CTX_All
SLC9A8	CTX_All
SLCO1A2	CTX_All
SLCO1C1	CTX_All
SLIT2	CTX_All
SMOX	CTX_All
SMYD3	CTX_All
SNAPC2	CTX_All
SNTB2	CTX_All
SOWAHA	CTX_All
SOX1	CTX_All
SOX13	CTX_All
SOX2	CTX_All
SOX21	CTX_All
SOX4	CTX_All
SOX9	CTX_All
STK40	CTX_All
SULF1	CTX_All
SUN2	CTX_All
SYT2	CTX_All
TBC1D16	CTX_All
TENM1	CTX_All
TENM3	CTX_All
TGFA	CTX_All
TIMP4	CTX_All
TINAGL1	CTX_All
TIPARP	CTX_All
TLCD1	CTX_All
TMEM100	CTX_All
TMEM106C	CTX_All
TMEM209	CTX_All
TMEM245	CTX_All
TMPPE	CTX_All
TNFRSF19	CTX_All
TNFRSF25	CTX_All
TNNC1	CTX_All
TRAF3	CTX_All
TRAF4	CTX_All
TF	CTX_All
TRHDE	CTX_All
TRIB1	CTX_All
TRIM66	CTX_All
TP53INP2	CTX_All
TSC22D3	CTX_All
TUBA4A	CTX_All
TUBB2A	CTX_All
TUBB3	CTX_All
TUBB4B	CTX_All
TUBB	CTX_All
UNC5D	CTX_All
USP35	CTX_All
UTP14A	CTX_All
UTP14C	CTX_All
VAMP1	CTX_All
VCAM1	CTX_All
VIM	CTX_All
VIPR1	CTX_All
VPS13B	CTX_All
VPS13C	CTX_All
WDR6	CTX_All
WWC1	CTX_All
WWTR1	CTX_All
XKR7	CTX_All
ZBTB40	CTX_All
ZDHHC14	CTX_All
ZNF189	CTX_All
ZNF207	CTX_All
ZFP36L1	CTX_All
ZFP36L2	CTX_All
ZNF536	CTX_All
ZNF483	CTX_All
ABHD17B	CTX_Downreg
ACSF2	CTX_Downreg
ADGRG1	CTX_Downreg
ADGRL4	CTX_Downreg
ANKRD6	CTX_Downreg
APC	CTX_Downreg
APCDD1	CTX_Downreg
AQP4	CTX_Downreg
ARHGEF19	CTX_Downreg
ARPC1B	CTX_Downreg
B3GALT2	CTX_Downreg
DYNLL1	CTX_Downreg
BTBD17	CTX_Downreg
BTG1	CTX_Downreg
CASKIN2	CTX_Downreg
CBFB	CTX_Downreg
CBR3	CTX_Downreg
CBS	CTX_Downreg
CBSL	CTX_Downreg
CCAR1	CTX_Downreg
CCDC3	CTX_Downreg
CD24	CTX_Downreg
CD93	CTX_Downreg
CDC42EP4	CTX_Downreg
CHRDL1	CTX_Downreg
CLDN5	CTX_Downreg
CNIH2	CTX_Downreg
CRYM	CTX_Downreg
DBX2	CTX_Downreg
DDC	CTX_Downreg
DDIT4L	CTX_Downreg
DIO2	CTX_Downreg
DOC2B	CTX_Downreg
EGR3	CTX_Downreg
ELOVL2	CTX_Downreg
ENG	CTX_Downreg
ENPP6	CTX_Downreg
ETV4	CTX_Downreg
EVC2	CTX_Downreg
EZR	CTX_Downreg
FABP7	CTX_Downreg
FAM163A	CTX_Downreg
FGFR3	CTX_Downreg
FGFRL1	CTX_Downreg
FLRT3	CTX_Downreg
FZD10	CTX_Downreg
GABRG1	CTX_Downreg
GAREM2	CTX_Downreg
GLI1	CTX_Downreg
GLRX	CTX_Downreg
GNG12	CTX_Downreg
GPR22	CTX_Downreg
GPR52	CTX_Downreg
GPX3	CTX_Downreg
GRIN2C	CTX_Downreg
HEPACAM	CTX_Downreg
HEPH	CTX_Downreg
HEXIM1	CTX_Downreg
HEYL	CTX_Downreg
HMGN5	CTX_Downreg
HOMER1	CTX_Downreg
HTR1B	CTX_Downreg
HTRA1	CTX_Downreg
ID3	CTX_Downreg
IDH2	CTX_Downreg
IGFBP2	CTX_Downreg
IGFBP3	CTX_Downreg
INHBA	CTX_Downreg
INTS13	CTX_Downreg
ITGA6	CTX_Downreg
ITIH5	CTX_Downreg
KCNJ2	CTX_Downreg
LGR6	CTX_Downreg
LHX2	CTX_Downreg
MAML3	CTX_Downreg
MAN1A1	CTX_Downreg
MARCKSL1	CTX_Downreg
MATN2	CTX_Downreg
MDGA1	CTX_Downreg
MFAP3L	CTX_Downreg
MFSD2A	CTX_Downreg
MPZL1	CTX_Downreg
MRLN	CTX_Downreg
MTSS2	CTX_Downreg
MYORG	CTX_Downreg
NDNF	CTX_Downreg
NDUFC1	CTX_Downreg
NID1	CTX_Downreg
NKD1	CTX_Downreg
NOS3	CTX_Downreg
NOTCH1	CTX_Downreg
NPNT	CTX_Downreg
NR2E1	CTX_Downreg
NRARP	CTX_Downreg
NTSR2	CTX_Downreg
NXN	CTX_Downreg
OLIG2	CTX_Downreg
PALMD	CTX_Downreg
PANX1	CTX_Downreg
PARVB	CTX_Downreg
PDIA4	CTX_Downreg
PHOSPHO2	CTX_Downreg
PLA2G3	CTX_Downreg
PLEKHO2	CTX_Downreg
POP5	CTX_Downreg
PPP1R14C	CTX_Downreg
PROM1	CTX_Downreg
PYGM	CTX_Downreg
RASGEF1B	CTX_Downreg
RETNLB	CTX_Downreg
RFTN2	CTX_Downreg
RFX4	CTX_Downreg
RND1	CTX_Downreg
RND2	CTX_Downreg
RND3	CTX_Downreg
SAT1	CTX_Downreg
SERPINH1	CTX_Downreg
SLC15A2	CTX_Downreg
SLC16A1	CTX_Downreg
SLC25A34	CTX_Downreg
SLC31A1	CTX_Downreg
SLC40A1	CTX_Downreg
SLC9A3R1	CTX_Downreg
SLCO1A2	CTX_Downreg
SLCO1C1	CTX_Downreg
SMOX	CTX_Downreg
SNAPC2	CTX_Downreg
SOWAHA	CTX_Downreg
SOX1	CTX_Downreg
SOX13	CTX_Downreg
SOX2	CTX_Downreg
SOX21	CTX_Downreg
SOX4	CTX_Downreg
SOX9	CTX_Downreg
TBC1D16	CTX_Downreg
TGFA	CTX_Downreg
TIMP4	CTX_Downreg
TINAGL1	CTX_Downreg
TLCD1	CTX_Downreg
TMEM100	CTX_Downreg
TNFRSF19	CTX_Downreg
TNNC1	CTX_Downreg
TRAF3	CTX_Downreg
TRAF4	CTX_Downreg
TP53INP2	CTX_Downreg
TUBA4A	CTX_Downreg
TUBB2A	CTX_Downreg
TUBB3	CTX_Downreg
TUBB4B	CTX_Downreg
TUBB	CTX_Downreg
VCAM1	CTX_Downreg
VIM	CTX_Downreg
WDR6	CTX_Downreg
WWC1	CTX_Downreg
WWTR1	CTX_Downreg
ZBTB40	CTX_Downreg
ZDHHC14	CTX_Downreg
ZNF207	CTX_Downreg
ZFP36L1	CTX_Downreg
ZFP36L2	CTX_Downreg
KIAA1109	CTX_Upreg
ABCC8	CTX_Upreg
ACACB	CTX_Upreg
ACER2	CTX_Upreg
ADCY9	CTX_Upreg
ALDH3B1	CTX_Upreg
ANKRD33B	CTX_Upreg
ARHGAP42	CTX_Upreg
ARL4D	CTX_Upreg
ARRDC2	CTX_Upreg
ARSG	CTX_Upreg
ATPSCKMT	CTX_Upreg
BHLHE40	CTX_Upreg
BHLHE41	CTX_Upreg
BOK	CTX_Upreg
BRINP3	CTX_Upreg
C4B	CTX_Upreg
C4A	CTX_Upreg
CABLES1	CTX_Upreg
CACNA1D	CTX_Upreg
CACNA1G	CTX_Upreg
CAPN1	CTX_Upreg
CA10	CTX_Upreg
CC2D2A	CTX_Upreg
CCDC82	CTX_Upreg
CCN4	CTX_Upreg
CDH6	CTX_Upreg
CDK18	CTX_Upreg
CHI3L1	CTX_Upreg
CHRM3	CTX_Upreg
CHRM4	CTX_Upreg
CHRFAM7A	CTX_Upreg
CHRNA7	CTX_Upreg
CIART	CTX_Upreg
CLSTN2	CTX_Upreg
CMYA5	CTX_Upreg
CNTN3	CTX_Upreg
COG7	CTX_Upreg
COL12A1	CTX_Upreg
CPNE9	CTX_Upreg
CSMD2	CTX_Upreg
CSMD3	CTX_Upreg
CSRNP1	CTX_Upreg
CYP4X1	CTX_Upreg
DCC	CTX_Upreg
DKKL1	CTX_Upreg
DNAH1	CTX_Upreg
DPP9	CTX_Upreg
DST	CTX_Upreg
DUSP5	CTX_Upreg
DUSP6	CTX_Upreg
DYNC1H1	CTX_Upreg
DYRK3	CTX_Upreg
EPHA6	CTX_Upreg
EPHB6	CTX_Upreg
ESRRG	CTX_Upreg
KIAA1217	CTX_Upreg
ETNPPL	CTX_Upreg
F3	CTX_Upreg
FADS6	CTX_Upreg
FAM43B	CTX_Upreg
FAT3	CTX_Upreg
FIBCD1	CTX_Upreg
FMN1	CTX_Upreg
FNIP2	CTX_Upreg
FOXO6	CTX_Upreg
FOXRED2	CTX_Upreg
FRAS1	CTX_Upreg
FRMD6	CTX_Upreg
GCNT4	CTX_Upreg
GLT8D2	CTX_Upreg
CCL27	CTX_Upreg
GPLD1	CTX_Upreg
GUCY1A2	CTX_Upreg
H1-2	CTX_Upreg
H1-4	CTX_Upreg
H2BC8	CTX_Upreg
HAPLN4	CTX_Upreg
HECW2	CTX_Upreg
HERC1	CTX_Upreg
HERC2	CTX_Upreg
HERC6	CTX_Upreg
HES1	CTX_Upreg
HRH2	CTX_Upreg
HSF4	CTX_Upreg
HTT	CTX_Upreg
IER5L	CTX_Upreg
IFIT3	CTX_Upreg
IFIT3	CTX_Upreg
IGFN1	CTX_Upreg
IL33	CTX_Upreg
INF2	CTX_Upreg
INSIG1	CTX_Upreg
IRF2BP2	CTX_Upreg
ITPR1	CTX_Upreg
JADE2	CTX_Upreg
JUNB	CTX_Upreg
KCNA1	CTX_Upreg
KCNAB3	CTX_Upreg
KCNC3	CTX_Upreg
KCNH5	CTX_Upreg
KCNH7	CTX_Upreg
KCNJ10	CTX_Upreg
KCTD16	CTX_Upreg
KLF10	CTX_Upreg
KLF15	CTX_Upreg
KLHDC1	CTX_Upreg
KMT2A	CTX_Upreg
KMT2C	CTX_Upreg
LAMC2	CTX_Upreg
LGI4	CTX_Upreg
LRGUK	CTX_Upreg
LRP1B	CTX_Upreg
LTBP3	CTX_Upreg
MACF1	CTX_Upreg
MDN1	CTX_Upreg
MYCBP2	CTX_Upreg
MYO1B	CTX_Upreg
N4BP3	CTX_Upreg
NAB2	CTX_Upreg
NAT8B	CTX_Upreg
NAT8	CTX_Upreg
NELL1	CTX_Upreg
NR4A1	CTX_Upreg
NTN5	CTX_Upreg
OPRD1	CTX_Upreg
OVOL2	CTX_Upreg
P2RX4	CTX_Upreg
PAMR1	CTX_Upreg
PCDHB16	CTX_Upreg
PCDHB12	CTX_Upreg
PCDHB11	CTX_Upreg
PCDHB2	CTX_Upreg
PCDHGA2	CTX_Upreg
PCGF5	CTX_Upreg
PCLO	CTX_Upreg
PCSK6	CTX_Upreg
PCSK9	CTX_Upreg
PDE8B	CTX_Upreg
PER1	CTX_Upreg
PHKB	CTX_Upreg
PIK3IP1	CTX_Upreg
PLCD3	CTX_Upreg
PLCXD2	CTX_Upreg
PLEKHA6	CTX_Upreg
PLK3	CTX_Upreg
PLVAP	CTX_Upreg
PLXDC1	CTX_Upreg
POU6F2	CTX_Upreg
PRELP	CTX_Upreg
PRKDC	CTX_Upreg
PRKG1	CTX_Upreg
PRSS23	CTX_Upreg
RASSF3	CTX_Upreg
RBMS3	CTX_Upreg
RIMS3	CTX_Upreg
RPE65	CTX_Upreg
RYR2	CTX_Upreg
SCN8A	CTX_Upreg
SEC24D	CTX_Upreg
SGK1	CTX_Upreg
SGSH	CTX_Upreg
SIK1	CTX_Upreg
SIK1B	CTX_Upreg
SLC24A2	CTX_Upreg
SLC9A7	CTX_Upreg
SLC9A8	CTX_Upreg
SLIT2	CTX_Upreg
SMYD3	CTX_Upreg
SNTB2	CTX_Upreg
STK40	CTX_Upreg
SULF1	CTX_Upreg
SUN2	CTX_Upreg
SYT2	CTX_Upreg
TENM1	CTX_Upreg
TENM3	CTX_Upreg
TIPARP	CTX_Upreg
TMEM106C	CTX_Upreg
TMEM209	CTX_Upreg
TMEM245	CTX_Upreg
TMPPE	CTX_Upreg
TNFRSF25	CTX_Upreg
TF	CTX_Upreg
TRHDE	CTX_Upreg
TRIB1	CTX_Upreg
TRIM66	CTX_Upreg
TSC22D3	CTX_Upreg
UNC5D	CTX_Upreg
USP35	CTX_Upreg
UTP14A	CTX_Upreg
UTP14C	CTX_Upreg
VAMP1	CTX_Upreg
VIPR1	CTX_Upreg
VPS13B	CTX_Upreg
VPS13C	CTX_Upreg
XKR7	CTX_Upreg
ZNF189	CTX_Upreg
ZNF536	CTX_Upreg
ZNF483	CTX_Upreg
