GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0048856	7.58225328578782e-15	2.34455786822219	119.648757555406	189	5747	anatomical structure development	KIAA1109;ACACB;ADCY9;ADGRG1;ANKRD6;APC;APCDD1;ARHGEF19;DYNLL1;BHLHE40;BHLHE41;BOK;BRINP3;BTG1;CAPN1;CA10;CBFB;CC2D2A;CCN4;CD24;CDC42EP4;CDH6;CHI3L1;CHRDL1;CHRM3;CHRNA7;CLDN5;CLSTN2;CNTN3;COL12A1;CPNE9;CSMD3;CSRNP1;DCC;DDC;DKKL1;DNAH1;DUSP5;DUSP6;DYRK3;EGR3;ENG;EPHA6;EPHB6;KIAA1217;ETV4;EZR;F3;FABP7;FAT3;FGFR3;FGFRL1;FLRT3;FMN1;FOXO6;FRAS1;FRMD6;FZD10;GCNT4;GLI1;GNG12;GPLD1;GRIN2C;HAPLN4;HECW2;HERC1;HERC6;HES1;HEXIM1;HEYL;HOMER1;HRH2;HSF4;HTRA1;ID3;IDH2;IGFBP3;IGFN1;IL33;INF2;INHBA;INSIG1;IRF2BP2;ITGA6;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KLF15;KMT2A;KMT2C;LAMC2;LGI4;LGR6;LHX2;LTBP3;MACF1;MARCKSL1;MATN2;MDGA1;MFSD2A;MYCBP2;MYORG;N4BP3;NAB2;NAT8B;NDNF;NELL1;NID1;NKD1;NOS3;NOTCH1;NPNT;NR2E1;NR4A1;NRARP;NTN5;NXN;OLIG2;OVOL2;P2RX4;PALMD;PANX1;PARVB;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCLO;PCSK6;PCSK9;PLA2G3;PLCD3;PLXDC1;POU6F2;PRELP;PRKDC;PRKG1;PROM1;RFX4;RND1;RND2;RND3;RPE65;RYR2;SAT1;SCN8A;SEC24D;SERPINH1;SGK1;SIK1;SLC25A34;SLC40A1;SLC9A3R1;SLIT2;SMYD3;SOX1;SOX13;SOX2;SOX21;SOX4;SOX9;STK40;SULF1;SUN2;SYT2;TENM1;TENM3;TIMP4;TIPARP;TMEM100;TNFRSF19;TNNC1;TRAF4;TF;TRIB1;TUBB2A;TUBB3;UNC5D;UTP14C;VCAM1;VIM;WWTR1;XKR7;ZBTB40;ZFP36L1;ZFP36L2;ZNF536	3.78278616427954e-11
2	GO:0048731	1.53335904307095e-14	2.34969392216878	98.6628609805238	165	4739	system development	ACACB;ADGRG1;ANKRD6;APC;APCDD1;ARHGEF19;DYNLL1;BHLHE40;BHLHE41;BOK;BRINP3;BTG1;CAPN1;CA10;CBFB;CC2D2A;CCN4;CD24;CHI3L1;CHRDL1;CHRM3;CHRNA7;CLDN5;CLSTN2;CNTN3;CPNE9;CSMD3;CSRNP1;DCC;DUSP6;DYRK3;EGR3;ENG;EPHA6;EPHB6;KIAA1217;ETV4;EZR;F3;FABP7;FGFR3;FGFRL1;FLRT3;FMN1;FOXO6;FRAS1;FZD10;GCNT4;GLI1;GNG12;GPLD1;GRIN2C;HAPLN4;HECW2;HERC1;HERC6;HES1;HEXIM1;HEYL;HOMER1;HRH2;HSF4;HTRA1;ID3;IDH2;IGFN1;IL33;INHBA;INSIG1;IRF2BP2;ITGA6;JUNB;KCNA1;KCNJ10;KLF10;KLF15;KMT2A;KMT2C;LAMC2;LGI4;LGR6;LHX2;LTBP3;MACF1;MARCKSL1;MATN2;MDGA1;MFSD2A;MYCBP2;MYORG;N4BP3;NAB2;NDNF;NELL1;NID1;NKD1;NOS3;NOTCH1;NPNT;NR2E1;NR4A1;NRARP;NTN5;NXN;OLIG2;OVOL2;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCLO;PCSK6;PCSK9;PLA2G3;PLCD3;PLXDC1;POU6F2;PRELP;PRKDC;PRKG1;PROM1;RFX4;RND1;RND2;RPE65;RYR2;SAT1;SCN8A;SERPINH1;SGK1;SIK1;SLC40A1;SLC9A3R1;SLIT2;SOX1;SOX13;SOX2;SOX21;SOX4;SOX9;STK40;SULF1;SUN2;SYT2;TENM1;TENM3;TIMP4;TIPARP;TMEM100;TNFRSF19;TNNC1;TRAF4;TF;TRIB1;TUBB2A;TUBB3;UNC5D;VCAM1;VIM;WWTR1;ZBTB40;ZFP36L1;ZFP36L2;ZNF536	3.82496413294049e-11
3	GO:0007275	2.65816329107783e-14	2.31138888225317	109.967763599731	177	5282	multicellular organism development	KIAA1109;ACACB;ADCY9;ADGRG1;ANKRD6;APC;APCDD1;ARHGEF19;DYNLL1;BHLHE40;BHLHE41;BOK;BRINP3;BTG1;CAPN1;CA10;CBFB;CC2D2A;CCN4;CD24;CDH6;CHI3L1;CHRDL1;CHRM3;CHRNA7;CLDN5;CLSTN2;CNTN3;COL12A1;CPNE9;CSMD3;CSRNP1;DCC;DDC;DUSP5;DUSP6;DYRK3;EGR3;ENG;EPHA6;EPHB6;KIAA1217;ETV4;EZR;F3;FABP7;FAT3;FGFR3;FGFRL1;FLRT3;FMN1;FOXO6;FRAS1;FZD10;GCNT4;GLI1;GNG12;GPLD1;GRIN2C;HAPLN4;HECW2;HERC1;HERC6;HES1;HEXIM1;HEYL;HOMER1;HRH2;HSF4;HTRA1;ID3;IDH2;IGFN1;IL33;INHBA;INSIG1;IRF2BP2;ITGA6;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KLF15;KMT2A;KMT2C;LAMC2;LGI4;LGR6;LHX2;LTBP3;MACF1;MARCKSL1;MATN2;MDGA1;MFSD2A;MYCBP2;MYORG;N4BP3;NAB2;NAT8B;NDNF;NELL1;NID1;NKD1;NOS3;NOTCH1;NPNT;NR2E1;NR4A1;NRARP;NTN5;NXN;OLIG2;OVOL2;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCLO;PCSK6;PCSK9;PLA2G3;PLCD3;PLXDC1;POU6F2;PRELP;PRKDC;PRKG1;PROM1;RFX4;RND1;RND2;RPE65;RYR2;SAT1;SCN8A;SEC24D;SERPINH1;SGK1;SIK1;SLC25A34;SLC40A1;SLC9A3R1;SLIT2;SOX1;SOX13;SOX2;SOX21;SOX4;SOX9;STK40;SULF1;SUN2;SYT2;TENM1;TENM3;TIMP4;TIPARP;TMEM100;TNFRSF19;TNNC1;TRAF4;TF;TRIB1;TUBB2A;TUBB3;UNC5D;UTP14C;VCAM1;VIM;WWTR1;ZBTB40;ZFP36L1;ZFP36L2;ZNF536	4.42052555306243e-11
4	GO:0032502	9.05704804567466e-14	2.26093468592642	129.975151108126	197	6243	developmental process	KIAA1109;ACACB;ADCY9;ADGRG1;ANKRD6;APC;APCDD1;ARHGEF19;DYNLL1;BHLHE40;BHLHE41;BOK;BRINP3;BTG1;CAPN1;CA10;CBFB;CC2D2A;CCDC3;CCN4;CD24;CDC42EP4;CDH6;CHI3L1;CHRDL1;CHRM3;CHRNA7;CLDN5;CLSTN2;CNTN3;COL12A1;CPNE9;CSMD3;CSRNP1;DCC;DDC;DIO2;DKKL1;DNAH1;DUSP5;DUSP6;DYRK3;EGR3;ENG;EPHA6;EPHB6;KIAA1217;ETV4;EZR;F3;FABP7;FAT3;FGFR3;FGFRL1;FLRT3;FMN1;FOXO6;FRAS1;FRMD6;FZD10;GCNT4;GLI1;GNG12;GPLD1;GRIN2C;HAPLN4;HECW2;HERC1;HERC2;HERC6;HES1;HEXIM1;HEYL;HOMER1;HRH2;HSF4;HTRA1;ID3;IDH2;IGFBP2;IGFBP3;IGFN1;IL33;INF2;INHBA;INSIG1;IRF2BP2;ITGA6;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KLF15;KMT2A;KMT2C;LAMC2;LGI4;LGR6;LHX2;LRGUK;LTBP3;MACF1;MARCKSL1;MATN2;MDGA1;MFSD2A;MYCBP2;MYORG;N4BP3;NAB2;NAT8B;NDNF;NELL1;NID1;NKD1;NOS3;NOTCH1;NPNT;NR2E1;NR4A1;NRARP;NTN5;NXN;OLIG2;OVOL2;P2RX4;PALMD;PANX1;PARVB;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCLO;PCSK6;PCSK9;PLA2G3;PLCD3;PLVAP;PLXDC1;POU6F2;PRELP;PRKDC;PRKG1;PROM1;RFX4;RND1;RND2;RND3;RPE65;RYR2;SAT1;SCN8A;SEC24D;SERPINH1;SGK1;SIK1;SLC25A34;SLC40A1;SLC9A3R1;SLIT2;SMYD3;SOX1;SOX13;SOX2;SOX21;SOX4;SOX9;STK40;SULF1;SUN2;SYT2;TENM1;TENM3;TIMP4;TIPARP;TMEM100;TNFRSF19;TNNC1;TRAF4;TF;TRIB1;TP53INP2;TUBB2A;TUBB3;UNC5D;UTP14C;VCAM1;VIM;WWC1;WWTR1;XKR7;ZBTB40;ZFP36L1;ZFP36L2;ZNF536	9.70277380803171e-11
5	GO:0007399	9.72416697537754e-14	2.60183656089162	49.1752854264607	102	2362	nervous system development	ADGRG1;APC;APCDD1;DYNLL1;BHLHE40;BHLHE41;BOK;BRINP3;CA10;CC2D2A;CHRDL1;CHRM3;CHRNA7;CLSTN2;CNTN3;CPNE9;CSMD3;DCC;EGR3;ENG;EPHA6;EPHB6;EZR;FABP7;FLRT3;FOXO6;FZD10;GLI1;GNG12;GRIN2C;HAPLN4;HECW2;HERC1;HES1;HEYL;ID3;IDH2;IGFN1;IL33;INHBA;ITGA6;KCNA1;KCNJ10;KLF15;LAMC2;LGI4;LGR6;LHX2;MACF1;MARCKSL1;MATN2;MDGA1;MFSD2A;MYCBP2;N4BP3;NAB2;NDNF;NELL1;NKD1;NOTCH1;NR2E1;NTN5;OLIG2;OVOL2;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCLO;PCSK9;PLA2G3;PLXDC1;POU6F2;PRKDC;PRKG1;PROM1;RFX4;RND1;RND2;RPE65;SCN8A;SGK1;SLC9A3R1;SLIT2;SOX1;SOX13;SOX2;SOX4;SOX9;SULF1;SUN2;SYT2;TENM1;TENM3;TIMP4;TUBB2A;TUBB3;UNC5D;VIM;ZFP36L1;ZNF536	9.70277380803171e-11
6	GO:0009653	1.7187908662367e-10	2.24688405797101	54.7756883814641	101	2631	anatomical structure morphogenesis	ADGRG1;ANKRD6;APCDD1;ARHGEF19;BTG1;CAPN1;CC2D2A;CDC42EP4;CDH6;CHI3L1;CHRNA7;CLDN5;COL12A1;CPNE9;CSRNP1;DCC;DKKL1;DUSP5;EGR3;ENG;EPHA6;EPHB6;EZR;F3;FGFR3;FGFRL1;FLRT3;FMN1;FRAS1;FRMD6;GCNT4;GLI1;GPLD1;HECW2;HERC1;HES1;HEYL;HRH2;HTRA1;ID3;IGFN1;INF2;INHBA;INSIG1;ITGA6;JUNB;LAMC2;LGR6;LHX2;LTBP3;MACF1;MATN2;MFSD2A;MYCBP2;NAB2;NAT8B;NDNF;NKD1;NOS3;NOTCH1;NPNT;NR2E1;NR4A1;NRARP;NTN5;OVOL2;PALMD;PARVB;PLA2G3;PLCD3;PLXDC1;PRKDC;PROM1;RND1;RND2;RND3;RPE65;RYR2;SAT1;SERPINH1;SGK1;SLC40A1;SLC9A3R1;SLIT2;SOX1;SOX13;SOX2;SOX21;SOX4;SOX9;STK40;SULF1;SYT2;TENM3;TIPARP;TMEM100;TNNC1;TUBB3;UNC5D;WWTR1;ZFP36L1	1.42917460527582e-07
7	GO:0032501	9.35480569694505e-10	1.95588496360731	154.770987239758	210	7434	multicellular organismal process	KIAA1109;ACACB;ADCY9;ADGRG1;ANKRD6;APC;APCDD1;AQP4;ARHGAP42;ARHGEF19;ATPSCKMT;DYNLL1;BHLHE40;BHLHE41;BOK;BRINP3;BTG1;CACNA1D;CACNA1G;CAPN1;CA10;CBFB;CBR3;CC2D2A;CCN4;CD24;CDH6;CHI3L1;CHRDL1;CHRM3;CHRFAM7A;CHRNA7;CIART;CLDN5;CLSTN2;CNIH2;CNTN3;COL12A1;CPNE9;CRYM;CSMD3;CSRNP1;DCC;DDC;DIO2;DKKL1;DNAH1;DUSP5;DUSP6;DYNC1H1;DYRK3;EGR3;ENG;EPHA6;EPHB6;ESRRG;KIAA1217;ETV4;EZR;F3;FABP7;FAT3;FGFR3;FGFRL1;FLRT3;FMN1;FOXO6;FRAS1;FZD10;GABRG1;GCNT4;GLI1;GNG12;GPLD1;GRIN2C;HAPLN4;HECW2;HERC1;HERC2;HERC6;HES1;HEXIM1;HEYL;HOMER1;HRH2;HSF4;HTR1B;HTRA1;HTT;ID3;IDH2;IGFBP2;IGFBP3;IGFN1;IL33;INHBA;INSIG1;IRF2BP2;ITGA6;ITPR1;JUNB;KCNA1;KCNJ10;KCNJ2;KLF10;KLF15;KMT2A;KMT2C;LAMC2;LGI4;LGR6;LHX2;LRGUK;LTBP3;MACF1;MARCKSL1;MATN2;MDGA1;MFSD2A;MYCBP2;MYORG;N4BP3;NAB2;NAT8B;NDNF;NELL1;NID1;NKD1;NOS3;NOTCH1;NPNT;NR2E1;NR4A1;NRARP;NTN5;NTSR2;NXN;OLIG2;OPRD1;OVOL2;P2RX4;PANX1;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCLO;PCSK6;PCSK9;PER1;PLA2G3;PLCD3;PLXDC1;POU6F2;PRELP;PRKDC;PRKG1;PROM1;RFX4;RND1;RND2;RPE65;RYR2;SAT1;SCN8A;SEC24D;SERPINH1;SGK1;SIK1;SLC15A2;SLC24A2;SLC25A34;SLC40A1;SLC9A3R1;SLIT2;SOX1;SOX13;SOX2;SOX21;SOX4;SOX9;STK40;SULF1;SUN2;SYT2;TENM1;TENM3;TIMP4;TIPARP;TMEM100;TNFRSF19;TNNC1;TRAF3;TRAF4;TF;TRHDE;TRIB1;TP53INP2;TUBB2A;TUBB3;UNC5D;UTP14C;VCAM1;VIM;WWC1;WWTR1;ZBTB40;ZFP36L1;ZFP36L2;ZNF536	6.66730366029412e-07
8	GO:0022008	2.05114047980318e-09	2.41956220467182	33.6648757555406	70	1617	neurogenesis	ADGRG1;APCDD1;BHLHE40;BHLHE41;BOK;BRINP3;CHRNA7;CPNE9;CSMD3;DCC;EPHA6;EPHB6;EZR;FABP7;FLRT3;FOXO6;FZD10;HECW2;HERC1;HES1;HEYL;ID3;IDH2;IL33;INHBA;ITGA6;KCNA1;KCNJ10;KLF15;LAMC2;LGI4;LGR6;LHX2;MACF1;MATN2;MDGA1;MFSD2A;MYCBP2;NAB2;NDNF;NKD1;NOTCH1;NR2E1;NTN5;OLIG2;P2RX4;PCSK9;PLA2G3;PRKG1;PROM1;RND1;RND2;RPE65;SGK1;SLC9A3R1;SLIT2;SOX1;SOX13;SOX2;SOX4;SOX9;SUN2;SYT2;TENM1;TENM3;TUBB2A;TUBB3;UNC5D;VIM;ZNF536	1.27914248171726e-06
9	GO:0050793	2.53290596865522e-09	2.15632384156354	52.693754197448	95	2531	regulation of developmental process	KIAA1109;ACACB;ADGRG1;ANKRD6;APC;APCDD1;ARHGEF19;BHLHE40;BHLHE41;BRINP3;BTG1;CBFB;CCDC3;CCN4;CD24;CDC42EP4;CHI3L1;CHRNA7;CLDN5;CLSTN2;CPNE9;CSMD3;DCC;DKKL1;DUSP6;EGR3;ENG;ETV4;EZR;F3;FGFR3;FLRT3;FOXO6;GLI1;HECW2;HES1;HEYL;HSF4;ID3;IDH2;IGFBP3;INF2;INHBA;INSIG1;ITGA6;KLF10;KMT2A;KMT2C;LGI4;LHX2;LTBP3;MACF1;MDGA1;MFSD2A;MYCBP2;NAB2;NDNF;NELL1;NKD1;NOS3;NOTCH1;NPNT;NR2E1;NRARP;OLIG2;OVOL2;P2RX4;PALMD;PARVB;PLA2G3;PRKDC;PROM1;RFX4;RND1;RND2;RND3;SIK1;SLC9A3R1;SLIT2;SOX13;SOX2;SOX4;SOX9;SULF1;SYT2;TENM3;TMEM100;TRIB1;UNC5D;VIM;WWC1;WWTR1;ZFP36L1;ZFP36L2;ZNF536	1.40407420862454e-06
10	GO:0030154	4.06399171617134e-09	1.96122156677105	85.6507723304231	134	4114	cell differentiation	KIAA1109;ADGRG1;APC;APCDD1;BHLHE40;BHLHE41;BOK;BRINP3;BTG1;CAPN1;CBFB;CCDC3;CCN4;CD24;CHRDL1;CHRNA7;CLDN5;COL12A1;CPNE9;CSMD3;DCC;DIO2;DKKL1;DNAH1;DUSP6;DYRK3;EGR3;ENG;EPHA6;EPHB6;ETV4;EZR;FABP7;FGFR3;FLRT3;FOXO6;FRMD6;FZD10;GLI1;GPLD1;HECW2;HERC1;HERC6;HES1;HEYL;HOMER1;HRH2;HSF4;HTRA1;ID3;IDH2;IGFBP3;IL33;INHBA;INSIG1;IRF2BP2;ITGA6;JUNB;KCNA1;KCNJ10;KLF10;KLF15;KMT2A;KMT2C;LAMC2;LGI4;LGR6;LHX2;LRGUK;LTBP3;MACF1;MATN2;MDGA1;MFSD2A;MYCBP2;MYORG;NAB2;NDNF;NELL1;NKD1;NOTCH1;NPNT;NR2E1;NR4A1;NRARP;NTN5;NXN;OLIG2;OVOL2;P2RX4;PANX1;PARVB;PCSK6;PCSK9;PLA2G3;POU6F2;PRKDC;PRKG1;PROM1;RND1;RND2;RPE65;SERPINH1;SGK1;SIK1;SLC9A3R1;SLIT2;SMYD3;SOX1;SOX13;SOX2;SOX21;SOX4;SOX9;SULF1;SUN2;SYT2;TENM1;TENM3;TIPARP;TMEM100;TF;TRIB1;TP53INP2;TUBB2A;TUBB3;UNC5D;UTP14C;VCAM1;VIM;WWTR1;ZFP36L1;ZFP36L2;ZNF536	2.02752546719788e-06
