GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0048856	1.20999952508977e-09	2.45468445311115	64.9126770884221	105	5746	anatomical structure development	KIAA1109;ACACB;ADCY9;BHLHE40;BHLHE41;BOK;BRINP3;CAPN1;CA10;CC2D2A;CCN4;CDH6;CHI3L1;CHRM3;CHRNA7;CLSTN2;CNTN3;COL12A1;CPNE9;CSMD3;CSRNP1;DCC;DKKL1;DNAH1;DUSP5;DUSP6;DYRK3;EPHA6;EPHB6;KIAA1217;F3;FAT3;FMN1;FOXO6;FRAS1;FRMD6;GCNT4;GPLD1;HAPLN4;HECW2;HERC1;HERC6;HES1;HRH2;HSF4;IGFN1;IL33;INF2;INSIG1;IRF2BP2;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KLF15;KMT2A;KMT2C;LAMC2;LGI4;LTBP3;MACF1;MYCBP2;N4BP3;NAB2;NAT8B;NELL1;NR4A1;NTN5;OVOL2;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCLO;PCSK6;PCSK9;PLCD3;PLXDC1;POU6F2;PRELP;PRKDC;PRKG1;RPE65;RYR2;SCN8A;SEC24D;SGK1;SIK1;SLIT2;SMYD3;STK40;SULF1;SUN2;SYT2;TENM1;TENM3;TIPARP;TF;TRIB1;UNC5D;UTP14C;XKR7;ZNF536	2.76372501813901e-06
2	GO:0007275	1.55483826618229e-09	2.44561002755513	59.6595627747924	99	5281	multicellular organism development	KIAA1109;ACACB;ADCY9;BHLHE40;BHLHE41;BOK;BRINP3;CAPN1;CA10;CC2D2A;CCN4;CDH6;CHI3L1;CHRM3;CHRNA7;CLSTN2;CNTN3;COL12A1;CPNE9;CSMD3;CSRNP1;DCC;DUSP5;DUSP6;DYRK3;EPHA6;EPHB6;KIAA1217;F3;FAT3;FMN1;FOXO6;FRAS1;GCNT4;GPLD1;HAPLN4;HECW2;HERC1;HERC6;HES1;HRH2;HSF4;IGFN1;IL33;INSIG1;IRF2BP2;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KLF15;KMT2A;KMT2C;LAMC2;LGI4;LTBP3;MACF1;MYCBP2;N4BP3;NAB2;NAT8B;NELL1;NR4A1;NTN5;OVOL2;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCLO;PCSK6;PCSK9;PLCD3;PLXDC1;POU6F2;PRELP;PRKDC;PRKG1;RPE65;RYR2;SCN8A;SEC24D;SGK1;SIK1;SLIT2;STK40;SULF1;SUN2;SYT2;TENM1;TENM3;TIPARP;TF;TRIB1;UNC5D;UTP14C;ZNF536	2.76372501813901e-06
3	GO:0032502	1.60483415017057e-08	2.29962864002642	70.5159990229604	108	6242	developmental process	KIAA1109;ACACB;ADCY9;BHLHE40;BHLHE41;BOK;BRINP3;CAPN1;CA10;CC2D2A;CCN4;CDH6;CHI3L1;CHRM3;CHRNA7;CLSTN2;CNTN3;COL12A1;CPNE9;CSMD3;CSRNP1;DCC;DKKL1;DNAH1;DUSP5;DUSP6;DYRK3;EPHA6;EPHB6;KIAA1217;F3;FAT3;FMN1;FOXO6;FRAS1;FRMD6;GCNT4;GPLD1;HAPLN4;HECW2;HERC1;HERC2;HERC6;HES1;HRH2;HSF4;IGFN1;IL33;INF2;INSIG1;IRF2BP2;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KLF15;KMT2A;KMT2C;LAMC2;LGI4;LRGUK;LTBP3;MACF1;MYCBP2;N4BP3;NAB2;NAT8B;NELL1;NR4A1;NTN5;OVOL2;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCLO;PCSK6;PCSK9;PLCD3;PLVAP;PLXDC1;POU6F2;PRELP;PRKDC;PRKG1;RPE65;RYR2;SCN8A;SEC24D;SGK1;SIK1;SLIT2;SMYD3;STK40;SULF1;SUN2;SYT2;TENM1;TENM3;TIPARP;TF;TRIB1;UNC5D;UTP14C;XKR7;ZNF536	1.72551876921892e-05
4	GO:0007399	2.29239426250042e-08	2.61387549836288	26.683561309233	56	2362	nervous system development	BHLHE40;BHLHE41;BOK;BRINP3;CA10;CC2D2A;CHRM3;CHRNA7;CLSTN2;CNTN3;CPNE9;CSMD3;DCC;EPHA6;EPHB6;FOXO6;HAPLN4;HECW2;HERC1;HES1;IGFN1;IL33;KCNA1;KCNJ10;KLF15;LAMC2;LGI4;MACF1;MYCBP2;N4BP3;NAB2;NELL1;NTN5;OVOL2;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCLO;PCSK9;PLXDC1;POU6F2;PRKDC;PRKG1;RPE65;SCN8A;SGK1;SLIT2;SULF1;SUN2;SYT2;TENM1;TENM3;UNC5D;ZNF536	1.72551876921892e-05
5	GO:0048731	2.42688997077204e-08	2.30165537391554	53.5252808988764	89	4738	system development	ACACB;BHLHE40;BHLHE41;BOK;BRINP3;CAPN1;CA10;CC2D2A;CCN4;CHI3L1;CHRM3;CHRNA7;CLSTN2;CNTN3;CPNE9;CSMD3;CSRNP1;DCC;DUSP6;DYRK3;EPHA6;EPHB6;KIAA1217;F3;FMN1;FOXO6;FRAS1;GCNT4;GPLD1;HAPLN4;HECW2;HERC1;HERC6;HES1;HRH2;HSF4;IGFN1;IL33;INSIG1;IRF2BP2;JUNB;KCNA1;KCNJ10;KLF10;KLF15;KMT2A;KMT2C;LAMC2;LGI4;LTBP3;MACF1;MYCBP2;N4BP3;NAB2;NELL1;NR4A1;NTN5;OVOL2;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCLO;PCSK6;PCSK9;PLCD3;PLXDC1;POU6F2;PRELP;PRKDC;PRKG1;RPE65;RYR2;SCN8A;SGK1;SIK1;SLIT2;STK40;SULF1;SUN2;SYT2;TENM1;TENM3;TIPARP;TF;TRIB1;UNC5D;ZNF536	1.72551876921892e-05
6	GO:0015672	1.35592932322545e-06	3.88398268398268	5.76148021494871	20	510	monovalent inorganic cation transport	ABCC8;ATPSCKMT;CACNA1D;CACNA1G;HECW2;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;P2RX4;PCSK9;PER1;SCN8A;SGK1;SIK1;SLC24A2;SLC9A7;SLC9A8	0.000731341796507357
7	GO:0032501	1.44005417033797e-06	2.03889691070824	83.97074987787	116	7433	multicellular organismal process	KIAA1109;ACACB;ADCY9;ARHGAP42;ATPSCKMT;BHLHE40;BHLHE41;BOK;BRINP3;CACNA1D;CACNA1G;CAPN1;CA10;CC2D2A;CCN4;CDH6;CHI3L1;CHRM3;CHRFAM7A;CHRNA7;CIART;CLSTN2;CNTN3;COL12A1;CPNE9;CSMD3;CSRNP1;DCC;DKKL1;DNAH1;DUSP5;DUSP6;DYNC1H1;DYRK3;EPHA6;EPHB6;ESRRG;KIAA1217;F3;FAT3;FMN1;FOXO6;FRAS1;GCNT4;GPLD1;HAPLN4;HECW2;HERC1;HERC2;HERC6;HES1;HRH2;HSF4;HTT;IGFN1;IL33;INSIG1;IRF2BP2;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KLF15;KMT2A;KMT2C;LAMC2;LGI4;LRGUK;LTBP3;MACF1;MYCBP2;N4BP3;NAB2;NAT8B;NELL1;NR4A1;NTN5;OPRD1;OVOL2;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCLO;PCSK6;PCSK9;PER1;PLCD3;PLXDC1;POU6F2;PRELP;PRKDC;PRKG1;RPE65;RYR2;SCN8A;SEC24D;SGK1;SIK1;SLC24A2;SLIT2;STK40;SULF1;SUN2;SYT2;TENM1;TENM3;TIPARP;TF;TRHDE;TRIB1;UNC5D;UTP14C;ZNF536	0.000731341796507357
8	GO:0051049	7.66173846678057e-06	2.36859190298279	19.532547630679	40	1729	regulation of transport	ABCC8;ATPSCKMT;BOK;C4B;C4A;CACNA1D;CACNA1G;CAPN1;CCN4;CHRM3;DYNC1H1;GPLD1;HECW2;HTT;IL33;INSIG1;ITPR1;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KLF15;KMT2A;OPRD1;P2RX4;PCLO;PCSK9;PER1;PLK3;RIMS3;RYR2;SCN8A;SGK1;SIK1;SYT2;TENM1;TF;VAMP1	0.00322052813708084
9	GO:0043269	8.15323579007808e-06	3.20645016040975	7.63678553981436	22	676	regulation of ion transport	ATPSCKMT;CACNA1D;CACNA1G;CAPN1;CHRM3;HECW2;HTT;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;OPRD1;P2RX4;PCSK9;PER1;RYR2;SCN8A;SIK1;SYT2;TF	0.00322052813708084
10	GO:0032879	1.36610109207894e-05	2.09692136584911	29.9935881778212	53	2655	regulation of localization	ABCC8;ACACB;ATPSCKMT;BOK;C4B;C4A;CACNA1D;CACNA1G;CAPN1;CCN4;CHRM3;DYNC1H1;F3;CCL27;GPLD1;HECW2;HTT;IL33;INSIG1;ITPR1;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KLF15;KMT2A;LAMC2;MACF1;MYCBP2;OPRD1;P2RX4;PCLO;PCSK9;PER1;PLK3;PLVAP;PRKG1;RIMS3;RYR2;SCN8A;SGK1;SIK1;SLIT2;SULF1;SUN2;SYT2;TENM1;TF;TRIB1;UNC5D;VAMP1	0.00485648938234063
