GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0031226	7.53205098829113e-08	2.21496292615308	34.4847176854876	67	1694	intrinsic component of plasma membrane	ABCC8;ABHD17B;ADCY9;ADGRG1;ADGRL4;APCDD1;AQP4;CACNA1D;CACNA1G;CD24;CHRM3;CHRM4;CHRFAM7A;CHRNA7;CLSTN2;CNIH2;DCC;EPHA6;EPHB6;F3;FGFR3;FLRT3;FZD10;GABRG1;GPR22;GPR52;GRIN2C;HRH2;HTR1B;ITGA6;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2;LGR6;MDGA1;MFSD2A;MPZL1;NPNT;NTSR2;OPRD1;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCDHGA2;PROM1;SCN8A;SLC15A2;SLC16A1;SLC24A2;SLC31A1;SLC40A1;SLCO1A2;SLCO1C1;TENM1;TENM3;TNFRSF25;TRAF3;TRHDE;VAMP1;VCAM1;VIPR1	2.84292982537697e-05
2	GO:0071944	1.00634684084141e-07	1.79024932792682	107.790188987401	154	5295	cell periphery	ABCC8;ABHD17B;ADCY9;ADGRG1;ADGRL4;ALDH3B1;APC;APCDD1;AQP4;ARL4D;ARRDC2;DYNLL1;BTBD17;C4B;C4A;CACNA1D;CACNA1G;CAPN1;CD24;CD93;CDC42EP4;CDH6;CHRM3;CHRM4;CHRFAM7A;CHRNA7;CLDN5;CLSTN2;CNIH2;CNTN3;CPNE9;CSMD2;CSMD3;DCC;DIO2;DOC2B;DST;DYNC1H1;ENG;ENPP6;EPHA6;EPHB6;EVC2;EZR;F3;FABP7;FAT3;FGFR3;FGFRL1;FLRT3;FMN1;FRAS1;FRMD6;FZD10;GABRG1;GNG12;GPR22;GPR52;GRIN2C;HEPH;HERC2;HOMER1;HRH2;HTR1B;HTRA1;IGFBP2;ITGA6;ITPR1;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2;KCTD16;LAMC2;LGR6;MACF1;MARCKSL1;MDGA1;MFAP3L;MFSD2A;MPZL1;MTSS2;MYO1B;NID1;NKD1;NOS3;NOTCH1;NPNT;NTSR2;OPRD1;P2RX4;PANX1;PARVB;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCDHGA2;PCLO;PCSK6;PCSK9;PHKB;PIK3IP1;PLA2G3;PLCD3;PLVAP;PLXDC1;PRKG1;PROM1;RASSF3;RFTN2;RIMS3;RND1;RND2;RND3;RPE65;RYR2;SCN8A;SGK1;SLC15A2;SLC16A1;SLC24A2;SLC31A1;SLC40A1;SLC9A3R1;SLC9A7;SLCO1A2;SLCO1C1;SLIT2;SNTB2;SULF1;SYT2;TENM1;TENM3;TGFA;TLCD1;TMEM100;TNFRSF19;TNFRSF25;TRAF3;TRAF4;TF;TRHDE;UNC5D;VAMP1;VCAM1;VIM;VIPR1;WDR6;WWC1;XKR7	2.84292982537697e-05
3	GO:0005886	2.82518537332481e-07	1.75605426019869	105.734134391041	150	5194	plasma membrane	ABCC8;ABHD17B;ADCY9;ADGRG1;ADGRL4;ALDH3B1;APC;APCDD1;AQP4;ARL4D;ARRDC2;DYNLL1;BTBD17;C4B;C4A;CACNA1D;CACNA1G;CAPN1;CD24;CD93;CDC42EP4;CDH6;CHRM3;CHRM4;CHRFAM7A;CHRNA7;CLDN5;CLSTN2;CNIH2;CNTN3;CPNE9;CSMD2;CSMD3;DCC;DIO2;DOC2B;DST;ENG;ENPP6;EPHA6;EPHB6;EVC2;EZR;F3;FAT3;FGFR3;FGFRL1;FLRT3;FMN1;FRAS1;FRMD6;FZD10;GABRG1;GNG12;GPR22;GPR52;GRIN2C;HEPH;HERC2;HOMER1;HRH2;HTR1B;HTRA1;IGFBP2;ITGA6;ITPR1;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2;KCTD16;LGR6;MACF1;MARCKSL1;MDGA1;MFAP3L;MFSD2A;MPZL1;MTSS2;MYO1B;NID1;NKD1;NOS3;NOTCH1;NPNT;NTSR2;OPRD1;P2RX4;PANX1;PARVB;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCDHGA2;PCSK6;PCSK9;PHKB;PIK3IP1;PLA2G3;PLCD3;PLVAP;PLXDC1;PRKG1;PROM1;RASSF3;RFTN2;RIMS3;RND1;RND2;RND3;RPE65;RYR2;SCN8A;SGK1;SLC15A2;SLC16A1;SLC24A2;SLC31A1;SLC40A1;SLC9A3R1;SLC9A7;SLCO1A2;SLCO1C1;SLIT2;SNTB2;SULF1;SYT2;TENM1;TENM3;TGFA;TLCD1;TMEM100;TNFRSF19;TNFRSF25;TRAF3;TRAF4;TF;TRHDE;UNC5D;VAMP1;VCAM1;VIM;VIPR1;WDR6;WWC1;XKR7	4.63038745229826e-05
4	GO:0005887	3.27815040870673e-07	2.16348181457718	32.8765165655623	63	1615	integral component of plasma membrane	ABCC8;ADCY9;ADGRG1;ADGRL4;APCDD1;AQP4;CACNA1D;CACNA1G;CHRM3;CHRM4;CHRFAM7A;CHRNA7;CLSTN2;CNIH2;DCC;EPHA6;EPHB6;FGFR3;FLRT3;FZD10;GABRG1;GPR22;GPR52;GRIN2C;HRH2;HTR1B;ITGA6;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2;LGR6;MFSD2A;MPZL1;NPNT;NTSR2;OPRD1;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCDHGA2;PROM1;SCN8A;SLC15A2;SLC16A1;SLC24A2;SLC31A1;SLC40A1;SLCO1A2;SLCO1C1;TENM1;TENM3;TNFRSF25;TRAF3;TRHDE;VAMP1;VCAM1;VIPR1	4.63038745229826e-05
5	GO:0030054	3.99915946630078e-06	1.91643748292505	41.6503733084461	71	2046	cell junction	KIAA1109;ABHD17B;APC;ARPC1B;C4B;C4A;CACNA1D;CACNA1G;CAPN1;CDC42EP4;CDH6;CHRM3;CHRM4;CHRFAM7A;CHRNA7;CLDN5;CLSTN2;CNIH2;DCC;DDC;DOC2B;DST;EGR3;ENG;EZR;FABP7;FGFR3;FGFRL1;FLRT3;FMN1;FRMD6;GABRG1;GRIN2C;HEPACAM;HOMER1;HRH2;HTR1B;HTT;IGFN1;ITGA6;ITPR1;KCNA1;KCNC3;KCNJ10;KCNJ2;KCTD16;MDGA1;MFAP3L;MPZL1;NOTCH1;OPRD1;P2RX4;PALMD;PANX1;PARVB;PCDHB16;PCDHB11;PCDHB2;PCLO;PLXDC1;RIMS3;RND1;RND3;SCN8A;SLC16A1;SLC40A1;SNTB2;SYT2;TRAF4;VAMP1;VIM	0.000451905019691988
6	GO:0031012	7.62415736838746e-05	2.470296162159	11.3184787680821	26	556	extracellular matrix	CCN4;CHI3L1;COL12A1;DST;F3;FIBCD1;FLRT3;FRAS1;GPLD1;HAPLN4;HTRA1;ITGA6;ITIH5;LAMC2;LTBP3;MATN2;NDNF;NID1;NPNT;NTN5;PCSK6;PRELP;SERPINH1;SULF1;TIMP4;TINAGL1	0.00717941485523153
7	GO:0042995	0.000139123051928576	1.69363522237274	45.5385557629491	70	2237	cell projection	ABHD17B;ADCY9;ADGRG1;APC;AQP4;DYNLL1;BRINP3;C4B;C4A;CACNA1G;CC2D2A;CHRM3;CHRM4;CHRFAM7A;CHRNA7;CLSTN2;CNIH2;CNTN3;DCC;DDC;DNAH1;DST;DYNC1H1;EPHA6;EPHB6;EVC2;EZR;FABP7;FLRT3;GABRG1;GLI1;HEPACAM;HOMER1;HRH2;HTR1B;HTT;ITGA6;KCNA1;KCNC3;KCNJ10;KCNJ2;KCTD16;LRGUK;MACF1;MTSS2;MYCBP2;MYO1B;N4BP3;OPRD1;P2RX4;PALMD;PANX1;PARVB;PCLO;PLK3;PLXDC1;PROM1;RND1;RND2;RND3;SCN8A;SLC9A3R1;SYT2;TENM1;TENM3;TUBB3;VAMP1;VCAM1;VIM;WWC1	0.0112292177628065
8	GO:0043005	0.00031796131414115	1.82166467420736	27.2376341577228	46	1338	neuron projection	ABHD17B;ADCY9;BRINP3;C4B;C4A;CACNA1G;CHRM3;CHRM4;CHRFAM7A;CHRNA7;CLSTN2;CNIH2;CNTN3;DCC;DDC;DST;DYNC1H1;EPHA6;EPHB6;FLRT3;GABRG1;HEPACAM;HOMER1;HRH2;HTR1B;HTT;KCNA1;KCNC3;KCNJ2;MYCBP2;N4BP3;OPRD1;P2RX4;PALMD;PCLO;PLK3;PLXDC1;PROM1;SCN8A;SLC9A3R1;SYT2;TENM1;TENM3;TUBB3;VAMP1;VIM	0.0224560178112187
9	GO:0098590	0.000477099002144898	1.83207589827755	24.6115842277182	42	1209	plasma membrane region	ABHD17B;APC;AQP4;CACNA1D;CHRM3;CHRM4;CHRNA7;CLDN5;CLSTN2;CNIH2;DCC;DST;EVC2;EZR;FLRT3;GABRG1;GRIN2C;HEPH;HTR1B;IGFBP2;ITGA6;KCNA1;KCNC3;KCNJ10;KCTD16;MACF1;MTSS2;NOS3;NOTCH1;OPRD1;PLCD3;PLVAP;PROM1;RIMS3;SLC15A2;SLC16A1;SLC40A1;SLC9A3R1;SLCO1C1;TGFA;TF;WWC1	0.0261526430414017
10	GO:0043235	0.000483795328407945	2.52105050505051	8.0206486234251	19	394	receptor complex	CHRFAM7A;CHRNA7;CNIH2;ENG;EPHA6;EPHB6;FGFR3;GABRG1;GRIN2C;ITGA6;KCTD16;LRP1B;NOTCH1;NPNT;PLXDC1;TRAF3;TRAF4;TF;VIPR1	0.0261526430414017
