GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0005886	1.01518603348425e-05	2.03692332305202	47.2815545311315	73	5194	plasma membrane	ABHD17B;ADGRG1;ADGRL4;APC;APCDD1;AQP4;DYNLL1;BTBD17;CD24;CD93;CDC42EP4;CLDN5;CNIH2;DIO2;DOC2B;ENG;ENPP6;EVC2;EZR;FGFR3;FGFRL1;FLRT3;FZD10;GABRG1;GNG12;GPR22;GPR52;GRIN2C;HEPH;HOMER1;HTR1B;HTRA1;IGFBP2;ITGA6;KCNJ2;LGR6;MARCKSL1;MDGA1;MFAP3L;MFSD2A;MPZL1;MTSS2;NID1;NKD1;NOS3;NOTCH1;NPNT;NTSR2;PANX1;PARVB;PLA2G3;PROM1;RFTN2;RND1;RND2;RND3;SLC15A2;SLC16A1;SLC31A1;SLC40A1;SLC9A3R1;SLCO1A2;SLCO1C1;TGFA;TLCD1;TMEM100;TNFRSF19;TRAF3;TRAF4;VCAM1;VIM;WDR6;WWC1	0.00208826939213252
2	GO:0071944	1.02870413405543e-05	2.03269161594125	48.2009686642936	74	5295	cell periphery	ABHD17B;ADGRG1;ADGRL4;APC;APCDD1;AQP4;DYNLL1;BTBD17;CD24;CD93;CDC42EP4;CLDN5;CNIH2;DIO2;DOC2B;ENG;ENPP6;EVC2;EZR;FABP7;FGFR3;FGFRL1;FLRT3;FZD10;GABRG1;GNG12;GPR22;GPR52;GRIN2C;HEPH;HOMER1;HTR1B;HTRA1;IGFBP2;ITGA6;KCNJ2;LGR6;MARCKSL1;MDGA1;MFAP3L;MFSD2A;MPZL1;MTSS2;NID1;NKD1;NOS3;NOTCH1;NPNT;NTSR2;PANX1;PARVB;PLA2G3;PROM1;RFTN2;RND1;RND2;RND3;SLC15A2;SLC16A1;SLC31A1;SLC40A1;SLC9A3R1;SLCO1A2;SLCO1C1;TGFA;TLCD1;TMEM100;TNFRSF19;TRAF3;TRAF4;VCAM1;VIM;WDR6;WWC1	0.00208826939213252
3	GO:0070161	1.57388018125604e-05	3.17545187053384	7.40993172667328	21	814	anchoring junction	APC;ARPC1B;CDC42EP4;CLDN5;ENG;EZR;FABP7;FGFR3;FGFRL1;FLRT3;HEPACAM;ITGA6;KCNJ2;MPZL1;NOTCH1;PANX1;PARVB;RND1;RND3;TRAF4;VIM	0.00212998451196651
4	GO:0031226	4.94634859924247e-05	2.37863436978378	15.4206687284822	32	1694	intrinsic component of plasma membrane	ABHD17B;ADGRG1;ADGRL4;APCDD1;AQP4;CD24;CNIH2;FGFR3;FLRT3;FZD10;GABRG1;GPR22;GPR52;GRIN2C;HTR1B;ITGA6;KCNJ2;LGR6;MDGA1;MFSD2A;MPZL1;NPNT;NTSR2;PROM1;SLC15A2;SLC16A1;SLC31A1;SLC40A1;SLCO1A2;SLCO1C1;TRAF3;VCAM1	0.0050205438282311
5	GO:0098590	9.3380070137294e-05	2.54619481122344	11.005660267258	25	1209	plasma membrane region	ABHD17B;APC;AQP4;CLDN5;CNIH2;EVC2;EZR;FLRT3;GABRG1;GRIN2C;HEPH;HTR1B;IGFBP2;ITGA6;MTSS2;NOS3;NOTCH1;PROM1;SLC15A2;SLC16A1;SLC40A1;SLC9A3R1;SLCO1C1;TGFA;WWC1	0.00758246169514827
6	GO:0031982	0.000132418255320575	1.92551482635654	33.8271576121842	54	3716	vesicle	ABHD17B;ADGRG1;ADGRL4;AQP4;ARPC1B;DYNLL1;CD93;CDC42EP4;CNIH2;CRYM;DDC;ENPP6;EZR;FGFR3;FGFRL1;GLRX;GNG12;GPX3;HTRA1;IDH2;IGFBP2;LGR6;MAN1A1;MARCKSL1;NID1;NOS3;NOTCH1;NPNT;PDIA4;PLA2G3;PLEKHO2;PROM1;PYGM;RASGEF1B;RND1;RND2;RND3;SLC15A2;SLC16A1;SLC31A1;SLC40A1;SLC9A3R1;TBC1D16;TGFA;TINAGL1;TRAF3;TP53INP2;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB;VCAM1;VIM	0.00890488825877586
7	GO:0030054	0.000153532556185791	2.15323982558737	18.6249635292058	35	2046	cell junction	ABHD17B;APC;ARPC1B;CDC42EP4;CLDN5;CNIH2;DDC;DOC2B;EGR3;ENG;EZR;FABP7;FGFR3;FGFRL1;FLRT3;GABRG1;GRIN2C;HEPACAM;HOMER1;HTR1B;ITGA6;KCNJ2;MDGA1;MFAP3L;MPZL1;NOTCH1;PALMD;PANX1;PARVB;RND1;RND3;SLC16A1;SLC40A1;TRAF4;VIM	0.00890488825877586
8	GO:0005887	0.000284512383035477	2.21651557426696	14.7015230203653	29	1615	integral component of plasma membrane	ADGRG1;ADGRL4;APCDD1;AQP4;CNIH2;FGFR3;FLRT3;FZD10;GABRG1;GPR22;GPR52;GRIN2C;HTR1B;ITGA6;KCNJ2;LGR6;MFSD2A;MPZL1;NPNT;NTSR2;PROM1;SLC15A2;SLC16A1;SLC31A1;SLC40A1;SLCO1A2;SLCO1C1;TRAF3;VCAM1	0.0144390034390505
9	GO:0097449	0.000644201536264791	20.7904411764706	0.172959094357239	3	19	astrocyte projection	ADGRG1;AQP4;EZR	0.0290606470803894
10	GO:0005911	0.00149611858132658	2.940349002849	4.36949291007761	12	480	cell-cell junction	APC;CDC42EP4;CLDN5;FABP7;FGFRL1;FLRT3;HEPACAM;KCNJ2;NOTCH1;PANX1;RND1;TRAF4	0.0607424144018592
11	GO:0031528	0.00164969083467363	14.4569479965899	0.236680865962537	3	26	microvillus membrane	EZR;PROM1;SLC9A3R1	0.060888588988863
12	GO:0016323	0.00183822799147766	3.81890751511005	2.23026200618545	8	245	basolateral plasma membrane	AQP4;EZR;HEPH;ITGA6;SLC16A1;SLC40A1;SLCO1C1;TGFA	0.0621933803783276
13	GO:0097450	0.00222401770691274	36.7424242424242	0.0728248818346268	2	8	astrocyte end-foot	ADGRG1;AQP4	0.0650373339732634
