GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0043005	3.83984497469169e-05	2.3805275222813	15.0652820722245	32	1338	neuron projection	ADCY9;BRINP3;C4B;C4A;CACNA1G;CHRM3;CHRM4;CHRFAM7A;CHRNA7;CLSTN2;CNTN3;DCC;DST;DYNC1H1;EPHA6;EPHB6;HRH2;HTT;KCNA1;KCNC3;MYCBP2;N4BP3;OPRD1;P2RX4;PCLO;PLK3;PLXDC1;SCN8A;SYT2;TENM1;TENM3;VAMP1	0.0164345364916804
2	GO:0005887	0.000259375043505588	2.07844728477717	18.184178285981	34	1615	integral component of plasma membrane	ABCC8;ADCY9;CACNA1D;CACNA1G;CHRM3;CHRM4;CHRFAM7A;CHRNA7;CLSTN2;DCC;EPHA6;EPHB6;HRH2;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;OPRD1;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCDHGA2;SCN8A;SLC24A2;TENM1;TENM3;TNFRSF25;TRHDE;VAMP1;VIPR1	0.0317273396317855
3	GO:0030424	0.000286331887395325	2.74089955721277	7.10477801761858	18	631	axon	ADCY9;C4B;C4A;CHRM3;DCC;DST;DYNC1H1;HTT;KCNA1;KCNC3;MYCBP2;N4BP3;OPRD1;P2RX4;PCLO;SCN8A;SYT2;TENM3	0.0317273396317855
4	GO:0031226	0.000296517192820425	2.04147305453186	19.0736829823231	35	1694	intrinsic component of plasma membrane	ABCC8;ADCY9;CACNA1D;CACNA1G;CHRM3;CHRM4;CHRFAM7A;CHRNA7;CLSTN2;DCC;EPHA6;EPHB6;F3;HRH2;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;OPRD1;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCDHGA2;SCN8A;SLC24A2;TENM1;TENM3;TNFRSF25;TRHDE;VAMP1;VIPR1	0.0317273396317855
5	GO:0045202	0.000422201890359124	2.13381255053877	14.9301674348054	29	1326	synapse	KIAA1109;C4B;C4A;CACNA1D;CACNA1G;CHRM3;CHRM4;CHRFAM7A;CHRNA7;CLSTN2;DCC;HRH2;HTT;IGFN1;ITPR1;KCNA1;KCNC3;KCNJ10;KCTD16;OPRD1;P2RX4;PCDHB16;PCDHB11;PCDHB2;PCLO;RIMS3;SNTB2;SYT2;VAMP1	0.0361404818147411
6	GO:0071944	0.00115300833688269	1.59325980766554	59.6080742080392	80	5294	cell periphery	ABCC8;ADCY9;ALDH3B1;ARL4D;ARRDC2;C4B;C4A;CACNA1D;CACNA1G;CAPN1;CDH6;CHRM3;CHRM4;CHRFAM7A;CHRNA7;CLSTN2;CNTN3;CPNE9;CSMD2;CSMD3;DCC;DST;DYNC1H1;EPHA6;EPHB6;F3;FAT3;FMN1;FRAS1;FRMD6;HERC2;HRH2;ITPR1;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCTD16;LAMC2;MACF1;MYO1B;OPRD1;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCDHGA2;PCLO;PCSK6;PCSK9;PHKB;PIK3IP1;PLCD3;PLVAP;PLXDC1;PRKG1;RASSF3;RIMS3;RPE65;RYR2;SCN8A;SGK1;SLC24A2;SLC9A7;SLIT2;SNTB2;SULF1;SYT2;TENM1;TENM3;TNFRSF25;TF;TRHDE;UNC5D;VAMP1;VIPR1;XKR7	0.062000004038761
7	GO:0000786	0.00119231340711168	16.7092105263158	0.213931509246835	3	19	nucleosome	H1-2;H1-4;H2BC8	0.062000004038761
8	GO:0048788	0.00123340136969348	59.1448516579407	0.0562977655912724	2	5	cytoskeleton of presynaptic active zone	PCLO;RIMS3	0.062000004038761
9	GO:0031012	0.00160574849421314	2.5556605536979	6.26031153374949	15	556	extracellular matrix	CCN4;CHI3L1;COL12A1;DST;F3;FIBCD1;FRAS1;GPLD1;HAPLN4;LAMC2;LTBP3;NTN5;PCSK6;PRELP;SULF1	0.062000004038761
10	GO:0034702	0.00178539778280442	3.22946944153781	3.28778951053031	10	292	ion channel complex	ABCC8;CACNA1D;CACNA1G;CHRFAM7A;CHRNA7;KCNA1;KCNAB3;KCNC3;RYR2;SCN8A	0.062000004038761
11	GO:0099569	0.0018363936637129	44.3560209424084	0.0675573187095269	2	6	presynaptic cytoskeleton	PCLO;RIMS3	0.062000004038761
12	GO:0042734	0.00188528444453346	4.2720139494333	1.74523073332944	7	155	presynaptic membrane	CACNA1D;CHRM3;KCNA1;KCNC3;KCTD16;OPRD1;RIMS3	0.062000004038761
13	GO:0098793	0.00205817971294975	2.57818430156402	5.77615074966455	14	513	presynapse	KIAA1109;CACNA1D;CHRM3;HTT;KCNA1;KCNC3;KCNJ10;KCTD16;OPRD1;P2RX4;PCLO;RIMS3;SYT2;VAMP1	0.062000004038761
14	GO:0099061	0.0023946364048916	7.77639751552795	0.562977655912724	4	50	integral component of postsynaptic density membrane	CHRM3;CLSTN2;DCC;OPRD1	0.062000004038761
15	GO:0005886	0.00270986253271288	1.53518373729476	58.4708593430955	77	5193	plasma membrane	ABCC8;ADCY9;ALDH3B1;ARL4D;ARRDC2;C4B;C4A;CACNA1D;CACNA1G;CAPN1;CDH6;CHRM3;CHRM4;CHRFAM7A;CHRNA7;CLSTN2;CNTN3;CPNE9;CSMD2;CSMD3;DCC;DST;EPHA6;EPHB6;F3;FAT3;FMN1;FRAS1;FRMD6;HERC2;HRH2;ITPR1;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCTD16;MACF1;MYO1B;OPRD1;P2RX4;PCDHB16;PCDHB12;PCDHB11;PCDHB2;PCDHGA2;PCSK6;PCSK9;PHKB;PIK3IP1;PLCD3;PLVAP;PLXDC1;PRKG1;RASSF3;RIMS3;RPE65;RYR2;SCN8A;SGK1;SLC24A2;SLC9A7;SLIT2;SNTB2;SULF1;SYT2;TENM1;TENM3;TNFRSF25;TF;TRHDE;UNC5D;VAMP1;VIPR1;XKR7	0.062000004038761
16	GO:0099146	0.00296615124274528	7.29899578879171	0.596756315267487	4	53	intrinsic component of postsynaptic density membrane	CHRM3;CLSTN2;DCC;OPRD1	0.062000004038761
17	GO:1902495	0.00309025933686381	2.9818149243035	3.54675923225016	10	315	transmembrane transporter complex	ABCC8;CACNA1D;CACNA1G;CHRFAM7A;CHRNA7;KCNA1;KCNAB3;KCNC3;RYR2;SCN8A	0.062000004038761
18	GO:0034703	0.00315270302726289	3.48024948024948	2.43206347354297	8	216	cation channel complex	ABCC8;CACNA1D;CACNA1G;KCNA1;KCNAB3;KCNC3;RYR2;SCN8A	0.062000004038761
