VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
1	CTX_All	SET	346	0.060123	0.008151	0.04962	0.11283	ADHD_2017
2	CTX_Downreg	SET	155	-0.036316	-0.0033127	0.075248	0.68531	ADHD_2017
3	CTX_Upreg	SET	191	0.13102	0.013254	0.06518	0.02222	ADHD_2017
4	STR_All	SET	469	0.028524	0.004487	0.043555	0.25627	ADHD_2017
5	STR_Downreg	SET	165	0.031651	0.002978	0.071054	0.328	ADHD_2017
6	STR_Upreg	SET	304	0.025727	0.0032731	0.054173	0.31743	ADHD_2017
7	CTX_All	SET	346	0.058481	0.0078913	0.044213	0.092976	ALZ_2019
8	CTX_Downreg	SET	155	0.062565	0.0056799	0.065345	0.16918	ALZ_2019
9	CTX_Upreg	SET	191	0.054513	0.0054883	0.059763	0.18085	ALZ_2019
10	STR_All	SET	469	0.033542	0.0052517	0.039217	0.19621	ALZ_2019
11	STR_Downreg	SET	165	0.044771	0.0041925	0.064062	0.24232	ALZ_2019
12	STR_Upreg	SET	304	0.026164	0.0033131	0.048996	0.29668	ALZ_2019
13	CTX_All	SET	346	-0.10528	-0.014226	0.050094	0.9822	ASD_2017
14	CTX_Downreg	SET	155	-0.097314	-0.0088472	0.074616	0.90391	ASD_2017
15	CTX_Upreg	SET	191	-0.10928	-0.011017	0.066826	0.94899	ASD_2017
16	STR_All	SET	469	-0.016972	-0.002661	0.042864	0.65392	ASD_2017
17	STR_Downreg	SET	165	0.036977	0.0034675	0.068299	0.29412	ASD_2017
18	STR_Upreg	SET	304	-0.050516	-0.0064057	0.054249	0.82411	ASD_2017
19	CTX_All	SET	346	0.037737	0.0050837	0.050673	0.22823	BIP_2018
20	CTX_Downreg	SET	155	0.034846	0.0031582	0.074362	0.31968	BIP_2018
21	CTX_Upreg	SET	191	0.039076	0.0039276	0.068226	0.28341	BIP_2018
22	STR_All	SET	469	0.10406	0.016266	0.044072	0.0091161	BIP_2018
