VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
1	black	SET	276	0.050411	0.0061158	0.055741	0.18291	ADHD_2017
2	blue	SET	1931	0.0039939	0.001222	0.023339	0.43206	ADHD_2017
3	brown	SET	690	-0.059635	-0.011308	0.034729	0.95701	ADHD_2017
4	cyan	SET	183	0.033247	0.0032927	0.072369	0.32298	ADHD_2017
5	darkgreen	SET	84	-0.18763	-0.012624	0.11205	0.95297	ADHD_2017
6	darkgrey	SET	83	-0.17916	-0.011982	0.10711	0.95279	ADHD_2017
7	darkorange	SET	67	-0.022291	-0.00134	0.11788	0.57499	ADHD_2017
8	darkred	SET	97	0.039944	0.0028869	0.089606	0.32788	ADHD_2017
9	darkturquoise	SET	86	0.010264	0.00069868	0.10514	0.46112	ADHD_2017
10	green	SET	454	-0.014862	-0.0023011	0.045278	0.62863	ADHD_2017
11	greenyellow	SET	196	0.022049	0.0022591	0.067303	0.37161	ADHD_2017
12	grey60	SET	111	-0.033485	-0.0025879	0.087627	0.64882	ADHD_2017
13	lightcyan	SET	160	-0.055248	-0.0051196	0.075604	0.76753	ADHD_2017
14	lightgreen	SET	107	0.070743	0.0053685	0.091849	0.2206	ADHD_2017
15	lightyellow	SET	102	-0.01068	-0.00079144	0.089659	0.54741	ADHD_2017
16	magenta	SET	213	0.01717	0.0018331	0.06518	0.39611	ADHD_2017
17	midnightblue	SET	166	0.088045	0.0083089	0.072702	0.11295	ADHD_2017
18	orange	SET	79	-0.097275	-0.0063479	0.10454	0.82395	ADHD_2017
19	paleturquoise	SET	43	0.12671	0.0061066	0.13778	0.17888	ADHD_2017
20	pink	SET	212	-0.059487	-0.0063361	0.066264	0.81532	ADHD_2017
21	purple	SET	204	0.067203	0.0070232	0.066678	0.15677	ADHD_2017
22	red	SET	328	-0.030795	-0.0040669	0.049418	0.7334	ADHD_2017
23	royalblue	SET	104	-0.09541	-0.0071388	0.094055	0.8448	ADHD_2017
24	saddlebrown	SET	48	0.11717	0.0059652	0.13813	0.19814	ADHD_2017
25	salmon	SET	179	0.049145	0.0048143	0.069484	0.2397	ADHD_2017
26	skyblue	SET	55	-0.10285	-0.0056037	0.1254	0.79393	ADHD_2017
27	steelblue	SET	50	0.10642	0.0055293	0.14149	0.22598	ADHD_2017
28	tan	SET	192	0.091385	0.0092683	0.070028	0.09596	ADHD_2017
29	turquoise	SET	3290	0.014325	0.0054809	0.0182	0.21562	ADHD_2017
30	violet	SET	47	-0.2723	-0.013718	0.14316	0.9714	ADHD_2017
31	white	SET	68	-0.057973	-0.0035109	0.11757	0.68902	ADHD_2017
32	yellow	SET	484	-0.0021141	-0.0003377	0.04332	0.51946	ADHD_2017
33	black	SET	276	0.014547	0.0017565	0.047781	0.38039	ALZ_2019
34	blue	SET	1943	0.001263	0.00038583	0.019993	0.47482	ALZ_2019
35	brown	SET	697	-0.018425	-0.0034947	0.031477	0.72083	ALZ_2019
36	cyan	SET	184	-0.0076277	-0.00075389	0.061942	0.549	ALZ_2019
37	darkgreen	SET	85	0.018747	0.0012627	0.08932	0.41688	ALZ_2019
38	darkgrey	SET	85	-0.032654	-0.0021995	0.088685	0.64364	ALZ_2019
39	darkorange	SET	67	0.042276	0.0025294	0.10497	0.34358	ALZ_2019
40	darkred	SET	97	0.042028	0.0030231	0.082523	0.30528	ALZ_2019
41	darkturquoise	SET	86	0.10652	0.0072167	0.088834	0.11526	ALZ_2019
42	green	SET	458	-0.022193	-0.0034348	0.039389	0.71342	ALZ_2019
43	greenyellow	SET	196	-0.072664	-0.0074099	0.059367	0.88951	ALZ_2019
44	grey60	SET	112	-0.073725	-0.005696	0.075256	0.83636	ALZ_2019
45	lightcyan	SET	162	0.044452	0.0041249	0.062083	0.237	ALZ_2019
46	lightgreen	SET	108	0.024506	0.0018594	0.085628	0.38737	ALZ_2019
47	lightyellow	SET	102	0.045349	0.0033446	0.078089	0.28071	ALZ_2019
48	magenta	SET	214	0.012595	0.0013415	0.057443	0.41322	ALZ_2019
49	midnightblue	SET	166	0.01464	0.001375	0.062584	0.40753	ALZ_2019
50	orange	SET	79	-0.099561	-0.0064661	0.094353	0.85433	ALZ_2019
51	paleturquoise	SET	44	-0.0058431	-0.00028348	0.12778	0.51824	ALZ_2019
52	pink	SET	212	0.028762	0.0030491	0.055141	0.30097	ALZ_2019
