GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0048731	5.38516451309325e-13	2.7556567629744	52.5621508808545	101	3910	system development	ADGRG1;APC;APCDD1;DYNLL1;BHLHE40;BHLHE41;BTG1;CABLES1;CACNA1G;CA10;CBS;CCN4;CDK18;CHRDL1;CHRM3;CLDN5;CLSTN2;CNTN2;CPNE9;CSMD2;CSMD3;DCC;DDC;DUSP6;EGR3;EPHB6;KIAA1217;F3;FABP7;FAT3;FGFR3;FLRT3;FMN1;FOXO6;GDF11;GPLD1;GRIN2C;HAPLN4;HECW2;HERC1;HERC2;HEXIM1;HEYL;ID3;IL33;INHBA;INSIG1;JUNB;KCNA1;KCNJ10;KMT2A;LGI4;LHX2;MACF1;MARCKSL1;MATN2;MDGA1;MFSD2A;MYCBP2;N4BP3;NAB2;NDNF;NELL1;NPNT;NR4A1;NRARP;NTN5;OVOL2;PCDHGA2;PCLO;PLA2G3;PLXDC1;PRKDC;PRKG1;PROM1;RND1;RPE65;RYR2;SAT1;SCN8A;SGK1;SIK1;SIRT2;SLC31A1;SLIT2;SOX2;SOX21;SOX4;SOX9;STK40;SUN2;TENM1;TENM3;TGFA;TMEM100;TNNC1;TUBB2A;TUBB3;UNC5D;VCAM1;VPS13B	2.12013926880481e-09
2	GO:0048856	2.68782663688113e-12	2.59418861869674	76.7461174881837	127	5709	anatomical structure development	ADCY9;ADGRG1;APC;APCDD1;DYNLL1;BHLHE40;BHLHE41;BTG1;CABLES1;CACNA1G;CA10;CBFB;CBS;CCN4;CDK18;CHRDL1;CHRM3;CLDN5;CLSTN2;CNTN2;CPNE9;CSMD2;CSMD3;DCC;DDC;DNAH1;DUSP5;DUSP6;DYRK3;EGR3;EPHB6;KIAA1217;EZR;F3;FABP7;FAT3;FGFR3;FLRT3;FMN1;FOXO6;FRMD6;GDF11;GPLD1;GRIN2C;HAPLN4;HECW2;HERC1;HERC2;HERC6;HEXIM1;HEYL;HOMER1;HTRA1;ID3;IL33;INF2;INHBA;INSIG1;IRF2BP2;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KMT2A;LAMC2;LGI4;LHX2;MACF1;MARCKSL1;MATN2;MDGA1;MFSD2A;MYCBP2;MYORG;N4BP3;NAB2;NDNF;NELL1;NPNT;NR4A1;NRARP;NTN5;OVOL2;PARVB;PCDHGA2;PCLO;PLA2G3;PLXDC1;PRKDC;PRKG1;PROM1;RND1;RPE65;RYR2;SAT1;SCN8A;SGK1;SIK1;SIRT2;SLC31A1;SLC9A8;SLIT2;SMYD3;SOCS5;SOX2;SOX21;SOX4;SOX9;STK40;SUN2;TENM1;TENM3;TGFA;TMEM100;TNFRSF19;TNNC1;TF;TRIB1;TUBB2A;TUBB3;TUBB;UNC5D;VCAM1;VPS13B;XKR7;ZFP36L2	4.26907925173495e-09
3	GO:0007275	3.76019094330125e-12	2.60897583429229	60.9371432079062	109	4533	multicellular organism development	ADCY9;ADGRG1;APC;APCDD1;DYNLL1;BHLHE40;BHLHE41;BTG1;CABLES1;CACNA1G;CA10;CBFB;CBS;CCN4;CDK18;CHRDL1;CHRM3;CLDN5;CLSTN2;CNTN2;CPNE9;CSMD2;CSMD3;DCC;DDC;DUSP5;DUSP6;EGR3;EPHB6;KIAA1217;F3;FABP7;FAT3;FGFR3;FLRT3;FMN1;FOXO6;GDF11;GPLD1;GRIN2C;HAPLN4;HECW2;HERC1;HERC2;HEXIM1;HEYL;ID3;IL33;INHBA;INSIG1;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KMT2A;LGI4;LHX2;MACF1;MARCKSL1;MATN2;MDGA1;MFSD2A;MYCBP2;N4BP3;NAB2;NDNF;NELL1;NPNT;NR4A1;NRARP;NTN5;OVOL2;PCDHGA2;PCLO;PLA2G3;PLXDC1;PRKDC;PRKG1;PROM1;RND1;RPE65;RYR2;SAT1;SCN8A;SGK1;SIK1;SIRT2;SLC31A1;SLIT2;SOCS5;SOX2;SOX21;SOX4;SOX9;STK40;SUN2;TENM1;TENM3;TGFA;TMEM100;TNNC1;TRIB1;TUBB2A;TUBB3;UNC5D;VCAM1;VPS13B;ZFP36L2	4.26907925173495e-09
4	GO:0007399	4.33739319454909e-12	2.89443934448524	33.9570314897796	75	2526	nervous system development	ADGRG1;APC;APCDD1;DYNLL1;BHLHE40;BHLHE41;CABLES1;CA10;CBS;CDK18;CHRDL1;CHRM3;CLDN5;CLSTN2;CNTN2;CPNE9;CSMD2;CSMD3;DCC;EGR3;EPHB6;FABP7;FAT3;FLRT3;FOXO6;GDF11;GRIN2C;HAPLN4;HECW2;HERC1;HERC2;HEYL;ID3;IL33;INHBA;KCNA1;KCNJ10;LGI4;LHX2;MACF1;MARCKSL1;MATN2;MDGA1;MFSD2A;MYCBP2;N4BP3;NAB2;NDNF;NELL1;NTN5;OVOL2;PCDHGA2;PCLO;PLA2G3;PLXDC1;PRKDC;PRKG1;PROM1;RND1;SCN8A;SGK1;SIRT2;SLIT2;SOX2;SOX21;SOX4;SOX9;SUN2;TENM1;TENM3;TUBB2A;TUBB3;UNC5D;VCAM1;VPS13B	4.26907925173495e-09
5	GO:0032502	2.79300592062356e-11	2.47835151734308	83.8171382972193	132	6235	developmental process	ADCY9;ADGRG1;APC;APCDD1;DYNLL1;BHLHE40;BHLHE41;BTG1;CABLES1;CACNA1G;CA10;CBFB;CBS;CCN4;CDK18;CHRDL1;CHRM3;CLDN5;CLSTN2;CNTN2;CPNE9;CSMD2;CSMD3;DCC;DDC;DNAH1;DUSP5;DUSP6;DYRK3;EGR3;EPHB6;KIAA1217;EZR;F3;FABP7;FAT3;FGFR3;FLRT3;FMN1;FOXO6;FRMD6;GDF11;GPLD1;GRIN2C;HAPLN4;HECW2;HERC1;HERC2;HERC6;HEXIM1;HEYL;HOMER1;HTRA1;ID3;IGFBP2;IL33;INF2;INHBA;INSIG1;IRF2BP2;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KMT2A;LAMC2;LGI4;LHX2;MACF1;MARCKSL1;MATN2;MDGA1;MFSD2A;MYCBP2;MYORG;N4BP3;NAB2;NDNF;NELL1;NPNT;NR4A1;NRARP;NTN5;OVOL2;PARVB;PCDHGA2;PCLO;PLA2G3;PLVAP;PLXDC1;PRKDC;PRKG1;PROM1;RND1;RPE65;RYR2;SAT1;SCN8A;SGK1;SIK1;SIRT2;SLC31A1;SLC9A8;SLIT2;SMYD3;SOCS5;SOX2;SOX21;SOX4;SOX9;STK40;SUN2;TENM1;TENM3;TGFA;TMEM100;TNFRSF19;TNNC1;TF;TRIB1;TP53INP2;TUBB2A;TUBB3;TUBB;UNC5D;UTP14C;VCAM1;VPS13B;WWC1;XKR7;ZFP36L2	2.19921286189899e-08
6	GO:0032501	1.19243812869324e-08	2.17532606893904	94.6522006015591	136	7041	multicellular organismal process	ADCY9;ADGRG1;APC;APCDD1;AQP4;DYNLL1;BHLHE40;BHLHE41;BTG1;CABLES1;CACNA1D;CACNA1G;CA10;CBFB;CBS;CCN4;CDK18;CHRDL1;CHRM3;CIART;CLDN5;CLSTN2;CNTN2;CPNE9;CRYM;CSMD2;CSMD3;DCC;DDC;DIO2;DUSP5;DUSP6;DYNC1H1;DYRK3;EGR3;EPHB6;KIAA1217;EZR;F3;FABP7;FAT3;FGFR3;FLRT3;FMN1;FOXO6;GDF11;GPLD1;GPR52;GRIN2C;HAPLN4;HECW2;HEPH;HERC1;HERC2;HEXIM1;HEYL;HOMER1;HTT;ID3;IGFBP2;IL33;INHBA;INSIG1;IRF2BP2;ITPR1;JUNB;KCNA1;KCNJ10;KCNJ2;KLF10;KMT2A;LGI4;LHX2;MACF1;MARCKSL1;MATN2;MDGA1;MFSD2A;MYCBP2;N4BP3;NAB2;NDNF;NELL1;NPNT;NR4A1;NRARP;NTN5;NTSR2;OPRD1;OVOL2;PCDHGA2;PCLO;PDE8B;PLA2G3;PLVAP;PLXDC1;PRKDC;PRKG1;PROM1;RND1;RPE65;RYR2;SAT1;SCN8A;SGK1;SIK1;SIRT2;SLC16A1;SLC31A1;SLCO1C1;SLIT2;SOCS5;SOX2;SOX21;SOX4;SOX9;STK40;SUN2;TENM1;TENM3;TGFA;TMEM100;TNFRSF19;TNNC1;TRAF3;TF;TRIB1;TP53INP2;TSC22D3;TUBB2A;TUBB3;UNC5D;VCAM1;VPS13B;WWC1;ZFP36L2	7.82438152110883e-06
7	GO:0022008	4.41021009223909e-08	2.60579052730216	23.2295132281628	51	1728	neurogenesis	ADGRG1;APCDD1;BHLHE40;BHLHE41;CNTN2;CPNE9;CSMD3;DCC;EPHB6;FAT3;FLRT3;FOXO6;GDF11;HAPLN4;HECW2;HERC1;HERC2;HEYL;ID3;IL33;INHBA;KCNA1;KCNJ10;LGI4;LHX2;MACF1;MATN2;MDGA1;MFSD2A;MYCBP2;NAB2;NDNF;NTN5;PLA2G3;PRKG1;PROM1;RND1;SGK1;SIRT2;SLIT2;SOX2;SOX21;SOX4;SOX9;SUN2;TENM1;TENM3;TUBB3;UNC5D;VCAM1;VPS13B	2.4804281618779e-05
8	GO:0030154	7.2233147471538e-08	2.12728318380492	56.9042416057946	93	4233	cell differentiation	ADGRG1;APC;APCDD1;DYNLL1;BHLHE40;BHLHE41;BTG1;CBFB;CCN4;CHRDL1;CLDN5;CNTN2;CPNE9;CSMD3;DCC;DNAH1;DUSP6;DYRK3;EGR3;EPHB6;EZR;FAT3;FGFR3;FLRT3;FOXO6;FRMD6;GDF11;GPLD1;HAPLN4;HECW2;HERC1;HERC2;HERC6;HEYL;HOMER1;HTRA1;ID3;IGFBP2;IL33;INHBA;INSIG1;IRF2BP2;JUNB;KCNA1;KCNJ10;KLF10;KMT2A;LGI4;LHX2;MACF1;MATN2;MDGA1;MFSD2A;MYCBP2;MYORG;NAB2;NDNF;NELL1;NPNT;NR4A1;NRARP;NTN5;OVOL2;PLA2G3;PRKDC;PRKG1;PROM1;RND1;SGK1;SIK1;SIRT2;SLC9A8;SLIT2;SMYD3;SOCS5;SOX2;SOX21;SOX4;SOX9;SUN2;TENM1;TENM3;TMEM100;TF;TRIB1;TP53INP2;TUBB3;TUBB;UNC5D;UTP14C;VCAM1;VPS13B;ZFP36L2	3.19785920339029e-05
9	GO:0048869	7.31032075959172e-08	2.12659123055163	56.917684611135	93	4234	cellular developmental process	ADGRG1;APC;APCDD1;DYNLL1;BHLHE40;BHLHE41;BTG1;CBFB;CCN4;CHRDL1;CLDN5;CNTN2;CPNE9;CSMD3;DCC;DNAH1;DUSP6;DYRK3;EGR3;EPHB6;EZR;FAT3;FGFR3;FLRT3;FOXO6;FRMD6;GDF11;GPLD1;HAPLN4;HECW2;HERC1;HERC2;HERC6;HEYL;HOMER1;HTRA1;ID3;IGFBP2;IL33;INHBA;INSIG1;IRF2BP2;JUNB;KCNA1;KCNJ10;KLF10;KMT2A;LGI4;LHX2;MACF1;MATN2;MDGA1;MFSD2A;MYCBP2;MYORG;NAB2;NDNF;NELL1;NPNT;NR4A1;NRARP;NTN5;OVOL2;PLA2G3;PRKDC;PRKG1;PROM1;RND1;SGK1;SIK1;SIRT2;SLC9A8;SLIT2;SMYD3;SOCS5;SOX2;SOX21;SOX4;SOX9;SUN2;TENM1;TENM3;TMEM100;TF;TRIB1;TP53INP2;TUBB3;TUBB;UNC5D;UTP14C;VCAM1;VPS13B;ZFP36L2	3.19785920339029e-05
10	GO:0009653	4.99838366540744e-07	2.20285579869544	34.9652568903075	64	2601	anatomical structure morphogenesis	ADGRG1;APC;APCDD1;BTG1;CBS;CLDN5;CNTN2;CPNE9;DCC;DUSP5;EGR3;EPHB6;EZR;F3;FAT3;FGFR3;FLRT3;FMN1;FRMD6;GDF11;GPLD1;HECW2;HERC1;HEYL;ID3;INF2;INHBA;INSIG1;ITPR1;JUNB;LHX2;MACF1;MATN2;MFSD2A;MYCBP2;NAB2;NDNF;NPNT;NR4A1;NRARP;OVOL2;PARVB;PLA2G3;PLXDC1;PRKDC;PRKG1;PROM1;RYR2;SAT1;SGK1;SLC31A1;SLC9A8;SLIT2;SOX2;SOX4;SOX9;STK40;TENM3;TGFA;TMEM100;TNNC1;TUBB3;UNC5D;VPS13B	0.000196786364907091
