GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0009888	1.37104380500412e-06	3.22503349640108	11.4636542239686	29	1945	tissue development	APC;APCDD1;BTG1;CBS;CLDN5;EZR;FGFR3;FLRT3;GDF11;HEYL;HOMER1;ID3;INHBA;LHX2;MFSD2A;MYORG;NPNT;NRARP;PROM1;SIRT2;SOX2;SOX21;SOX4;SOX9;TMEM100;TNFRSF19;TNNC1;TUBB3;TUBB	0.00191819351062011
2	GO:0048513	1.87509147061136e-06	2.86233327508882	17.3693516699411	37	2947	animal organ development	ADGRG1;APC;APCDD1;DYNLL1;CBS;CHRDL1;CLDN5;DDC;EGR3;FGFR3;FLRT3;GDF11;GRIN2C;HEXIM1;HEYL;HOMER1;HTRA1;ID3;INHBA;LHX2;MDGA1;MFSD2A;MYORG;NDNF;NPNT;PROM1;SIRT2;SOX2;SOX21;SOX4;SOX9;TGFA;TMEM100;TNFRSF19;TNNC1;TUBB2A;VCAM1	0.00191819351062011
3	GO:0060322	2.1424350453687e-06	4.43681871186899	4.5147347740668	17	766	head development	ADGRG1;DYNLL1;CBS;CLDN5;FLRT3;GRIN2C;INHBA;LHX2;MDGA1;MFSD2A;NDNF;SIRT2;SOX2;SOX21;SOX4;SOX9;TUBB2A	0.00191819351062011
4	GO:0070848	3.22174672374754e-06	4.51382823871907	4.1434184675835	16	703	response to growth factor	ADGRG1;CHRDL1;CLDN5;EGR3;FGFR3;FLRT3;HEYL;HTRA1;MTSS2;NDNF;NPNT;SOX2;SOX9;TMEM100;VCAM1;ZFP36L2	0.00216340292499648
5	GO:0072359	5.63062766861144e-06	3.65685372585097	6.524557956778	20	1107	circulatory system development	ADGRG1;APC;BTG1;CLDN5;EGR3;FLRT3;HEXIM1;HEYL;ID3;INHBA;NDNF;NRARP;SAT1;SLC31A1;SOX4;SOX9;TGFA;TMEM100;TNNC1;VCAM1	0.00275383244847943
6	GO:0048731	6.15152445676715e-06	2.58674071977277	23.0392927308448	43	3909	system development	ADGRG1;APC;APCDD1;DYNLL1;BTG1;CBS;CHRDL1;CLDN5;DDC;EGR3;FABP7;FGFR3;FLRT3;GDF11;GRIN2C;HEXIM1;HEYL;ID3;INHBA;LHX2;MARCKSL1;MATN2;MDGA1;MFSD2A;NDNF;NPNT;NRARP;PLA2G3;PROM1;RND1;SAT1;SIRT2;SLC31A1;SOX2;SOX21;SOX4;SOX9;TGFA;TMEM100;TNNC1;TUBB2A;TUBB3;VCAM1	0.00275383244847943
7	GO:0071363	8.41401430427556e-06	4.38572719060524	3.95481335952849	15	671	cellular response to growth factor stimulus	ADGRG1;CHRDL1;CLDN5;EGR3;FGFR3;FLRT3;HEYL;HTRA1;MTSS2;NDNF;NPNT;SOX9;TMEM100;VCAM1;ZFP36L2	0.00322857748875488
8	GO:0007399	1.10486758845593e-05	2.74619085805934	14.8880157170923	32	2526	nervous system development	ADGRG1;APC;APCDD1;DYNLL1;CBS;CHRDL1;CLDN5;EGR3;FABP7;FLRT3;GDF11;GRIN2C;HEYL;ID3;INHBA;LHX2;MARCKSL1;MATN2;MDGA1;MFSD2A;NDNF;PLA2G3;PROM1;RND1;SIRT2;SOX2;SOX21;SOX4;SOX9;TUBB2A;TUBB3;VCAM1	0.00370959292824078
9	GO:0060429	1.80641854798251e-05	3.3540344920025	7.06090373280943	20	1198	epithelium development	APCDD1;BTG1;CLDN5;EZR;FLRT3;GDF11;HEYL;ID3;INHBA;LHX2;MFSD2A;NPNT;NRARP;PROM1;SOX21;SOX4;SOX9;TMEM100;TNFRSF19;TUBB	0.00495045823561023
10	GO:0009653	2.03309577131975e-05	2.65142078629817	15.3300589390963	32	2601	anatomical structure morphogenesis	ADGRG1;APC;APCDD1;BTG1;CBS;CLDN5;EGR3;EZR;FGFR3;FLRT3;GDF11;HEYL;ID3;INHBA;LHX2;MATN2;MFSD2A;NDNF;NPNT;NRARP;PARVB;PLA2G3;PROM1;SAT1;SLC31A1;SOX2;SOX4;SOX9;TGFA;TMEM100;TNNC1;TUBB3	0.00495045823561023
