GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0048856	3.66430533285992e-09	2.92167805787325	43.1017250905519	75	5708	anatomical structure development	ADCY9;BHLHE40;BHLHE41;CABLES1;CACNA1G;CA10;CCN4;CDK18;CHRM3;CLSTN2;CNTN2;CPNE9;CSMD2;CSMD3;DCC;DNAH1;DUSP5;DUSP6;DYRK3;EPHB6;KIAA1217;F3;FAT3;FMN1;FOXO6;FRMD6;GPLD1;HAPLN4;HECW2;HERC1;HERC2;HERC6;IL33;INF2;INSIG1;IRF2BP2;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KMT2A;LAMC2;LGI4;MACF1;MYCBP2;N4BP3;NAB2;NELL1;NR4A1;NTN5;OVOL2;PCDHGA2;PCLO;PLXDC1;PRKDC;PRKG1;RPE65;RYR2;SCN8A;SGK1;SIK1;SLC9A8;SLIT2;SMYD3;SOCS5;STK40;SUN2;TENM1;TENM3;TF;TRIB1;UNC5D;VPS13B;XKR7	9.8826314827232e-06
2	GO:0007275	1.13349342997651e-08	2.83917457740897	34.2291730615753	64	4533	multicellular organism development	ADCY9;BHLHE40;BHLHE41;CABLES1;CACNA1G;CA10;CCN4;CDK18;CHRM3;CLSTN2;CNTN2;CPNE9;CSMD2;CSMD3;DCC;DUSP5;DUSP6;EPHB6;KIAA1217;F3;FAT3;FMN1;FOXO6;GPLD1;HAPLN4;HECW2;HERC1;HERC2;IL33;INSIG1;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KMT2A;LGI4;MACF1;MYCBP2;N4BP3;NAB2;NELL1;NR4A1;NTN5;OVOL2;PCDHGA2;PCLO;PLXDC1;PRKDC;PRKG1;RPE65;RYR2;SCN8A;SGK1;SIK1;SLIT2;SOCS5;STK40;SUN2;TENM1;TENM3;TRIB1;UNC5D;VPS13B	1.5181807522592e-05
3	GO:0048731	1.68874388460423e-08	2.85251218148414	29.5248327091902	58	3910	system development	BHLHE40;BHLHE41;CABLES1;CACNA1G;CA10;CCN4;CDK18;CHRM3;CLSTN2;CNTN2;CPNE9;CSMD2;CSMD3;DCC;DUSP6;EPHB6;KIAA1217;F3;FAT3;FMN1;FOXO6;GPLD1;HAPLN4;HECW2;HERC1;HERC2;IL33;INSIG1;JUNB;KCNA1;KCNJ10;KMT2A;LGI4;MACF1;MYCBP2;N4BP3;NAB2;NELL1;NR4A1;NTN5;OVOL2;PCDHGA2;PCLO;PLXDC1;PRKDC;PRKG1;RPE65;RYR2;SCN8A;SGK1;SIK1;SLIT2;STK40;SUN2;TENM1;TENM3;UNC5D;VPS13B	1.5181807522592e-05
4	GO:0032502	3.69700733110141e-08	2.72116219785186	47.0736079562895	77	6234	developmental process	ADCY9;BHLHE40;BHLHE41;CABLES1;CACNA1G;CA10;CCN4;CDK18;CHRM3;CLSTN2;CNTN2;CPNE9;CSMD2;CSMD3;DCC;DNAH1;DUSP5;DUSP6;DYRK3;EPHB6;KIAA1217;F3;FAT3;FMN1;FOXO6;FRMD6;GPLD1;HAPLN4;HECW2;HERC1;HERC2;HERC6;IL33;INF2;INSIG1;IRF2BP2;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KMT2A;LAMC2;LGI4;MACF1;MYCBP2;N4BP3;NAB2;NELL1;NR4A1;NTN5;OVOL2;PCDHGA2;PCLO;PLVAP;PLXDC1;PRKDC;PRKG1;RPE65;RYR2;SCN8A;SGK1;SIK1;SLC9A8;SLIT2;SMYD3;SOCS5;STK40;SUN2;TENM1;TENM3;TF;TRIB1;UNC5D;UTP14C;VPS13B;XKR7	2.49270719299513e-05
5	GO:0007399	7.9834479390489e-08	2.96198650825614	19.0740990852723	43	2526	nervous system development	BHLHE40;BHLHE41;CABLES1;CA10;CDK18;CHRM3;CLSTN2;CNTN2;CPNE9;CSMD2;CSMD3;DCC;EPHB6;FAT3;FOXO6;HAPLN4;HECW2;HERC1;HERC2;IL33;KCNA1;KCNJ10;LGI4;MACF1;MYCBP2;N4BP3;NAB2;NELL1;NTN5;OVOL2;PCDHGA2;PCLO;PLXDC1;PRKDC;PRKG1;SCN8A;SGK1;SLIT2;SUN2;TENM1;TENM3;UNC5D;VPS13B	4.30627181832297e-05
6	GO:0007623	3.54901527943772e-07	8.25827067669173	1.51777273006323	11	201	circadian rhythm	BHLHE40;BHLHE41;CIART;KCNH7;KLF10;KMT2A;MYCBP2;PRKDC;PRKG1;RPE65;SIK1	0.000159528236810726
7	GO:0048511	2.22758764035172e-06	6.11137828219679	2.21247467616183	12	293	rhythmic process	BHLHE40;BHLHE41;CIART;KCNH7;KLF10;KMT2A;MYCBP2;PRKDC;PRKG1;RPE65;SIK1;SLIT2	0.000858257695146941
8	GO:0048468	5.87830482076413e-06	2.49148778682457	20.7126895450918	41	2743	cell development	BHLHE40;BHLHE41;CCN4;CNTN2;CPNE9;CSMD3;DCC;DNAH1;DYRK3;EPHB6;FAT3;FOXO6;FRMD6;HAPLN4;HECW2;HERC1;HERC6;IL33;IRF2BP2;JUNB;KCNA1;KCNJ10;KLF10;KMT2A;LGI4;MACF1;MYCBP2;OVOL2;PRKDC;PRKG1;SGK1;SLC9A8;SLIT2;SMYD3;SOCS5;TENM1;TENM3;TF;TRIB1;UNC5D;VPS13B	0.00198172351270011
9	GO:0022008	2.67970155806835e-05	2.62697080886128	13.0483148136779	29	1728	neurogenesis	BHLHE40;BHLHE41;CNTN2;CPNE9;CSMD3;DCC;EPHB6;FAT3;FOXO6;HAPLN4;HECW2;HERC1;HERC2;IL33;KCNA1;KCNJ10;LGI4;MACF1;MYCBP2;NAB2;NTN5;PRKG1;SGK1;SLIT2;SUN2;TENM1;TENM3;UNC5D;VPS13B	0.00767357436560636
10	GO:0042391	3.10526117471376e-05	4.31459607677705	3.35269200073669	13	444	regulation of membrane potential	CACNA1D;CACNA1G;KCNA1;KCNC3;KCNH5;KCNH7;KCNJ10;KCTD16;KMT2A;OPRD1;RIMS3;RYR2;SCN8A	0.00767357436560636
