GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0071944	1.7138990025541e-05	2.39408894666731	32.7407580174927	53	5849	cell periphery	ABHD17B;ADGRG1;APC;APCDD1;AQP4;DYNLL1;BTBD17;CHRDL1;CLDN5;CNIH2;DIO2;ENPP6;EZR;FGFR3;FLRT3;GPR22;GPR52;GRIN2C;HEPACAM;HEPH;HOMER1;HTRA1;IGFBP2;ITIH5;KCNJ2;MARCKSL1;MATN2;MDGA1;MFAP3L;MFSD2A;MTSS2;NDNF;NPNT;NTSR2;PARVB;PLA2G3;PROM1;RND1;SIRT2;SLC16A1;SLC31A1;SLCO1A2;SLCO1C1;TGFA;TIMP4;TLCD1;TMEM100;TNFRSF19;TRAF3;TUBB3;VCAM1;WDR6;WWC1	0.00434369943737236
2	GO:0097450	2.71481214835773e-05	68.7338709677419	0.0615743440233236	3	11	astrocyte end-foot	ADGRG1;AQP4;HEPACAM	0.00434369943737236
3	GO:0097386	7.21938894269935e-05	20.5531400966184	0.223906705539359	4	40	glial cell projection	ADGRG1;AQP4;HEPACAM;SIRT2	0.00690995238875395
4	GO:0098590	8.63804096805604e-05	3.05374076903489	7.24338192419825	19	1294	plasma membrane region	ABHD17B;APC;AQP4;CLDN5;CNIH2;EZR;FLRT3;GRIN2C;HEPH;IGFBP2;KCNJ2;MTSS2;PROM1;SLC16A1;SLC31A1;SLCO1A2;SLCO1C1;TGFA;WWC1	0.00690995238875395
5	GO:0016323	0.00010796800607428	6.03701042040963	1.46099125364431	8	261	basolateral plasma membrane	AQP4;EZR;HEPH;SLC16A1;SLC31A1;SLCO1A2;SLCO1C1;TGFA	0.00690995238875395
6	GO:0097449	0.000210114401568432	30.5304659498208	0.117551020408163	3	21	astrocyte projection	ADGRG1;AQP4;HEPACAM	0.00997637366029771
7	GO:0005886	0.000243349040705967	2.10352337902021	30.1602332361516	47	5388	plasma membrane	ABHD17B;ADGRG1;APC;APCDD1;AQP4;DYNLL1;BTBD17;CHRDL1;CLDN5;CNIH2;DIO2;ENPP6;EZR;FGFR3;FLRT3;GPR22;GPR52;GRIN2C;HEPACAM;HEPH;HOMER1;HTRA1;IGFBP2;KCNJ2;MARCKSL1;MDGA1;MFAP3L;MFSD2A;MTSS2;NTSR2;PARVB;PLA2G3;PROM1;RND1;SIRT2;SLC16A1;SLC31A1;SLCO1A2;SLCO1C1;TGFA;TLCD1;TMEM100;TNFRSF19;TRAF3;VCAM1;WDR6;WWC1	0.00997637366029771
8	GO:0009925	0.000249409341507443	5.31105479885968	1.65131195335277	8	295	basal plasma membrane	AQP4;EZR;HEPH;SLC16A1;SLC31A1;SLCO1A2;SLCO1C1;TGFA	0.00997637366029771
9	GO:0005576	0.00030930387308549	2.15800670903955	21.7021574344023	37	3877	extracellular region	ADGRG1;AQP4;BTBD17;CHRDL1;CRYM;DDC;ENPP6;EZR;FGFR3;FLRT3;GDF11;GLRX;HTRA1;IDH2;IGFBP2;INHBA;ITIH5;MAN1A1;MARCKSL1;MATN2;MDGA1;NDNF;NPNT;PDIA4;PLA2G3;PROM1;PYGM;RETNLB;SLC16A1;TGFA;TIMP4;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB;VCAM1	0.0109974710430396
10	GO:0045178	0.000379071784399665	4.97563874034462	1.75766763848397	8	314	basal part of cell	AQP4;EZR;HEPH;SLC16A1;SLC31A1;SLCO1A2;SLCO1C1;TGFA	0.0117790391613457
11	GO:0005615	0.000404904471171259	2.21894903240611	17.0616909620991	31	3048	extracellular space	ADGRG1;CRYM;DDC;ENPP6;EZR;FLRT3;GDF11;GLRX;HTRA1;IDH2;IGFBP2;INHBA;MAN1A1;MARCKSL1;MDGA1;NDNF;NPNT;PDIA4;PLA2G3;PROM1;PYGM;RETNLB;SLC16A1;TGFA;TIMP4;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB;VCAM1	0.0117790391613457
12	GO:0072686	0.000477553840835118	6.58206627680312	0.990787172011662	6	177	mitotic spindle	DYNLL1;SIRT2;TUBB2A;TUBB3;TUBB4B;TUBB	0.0127347690889365
13	GO:0005874	0.000895240184085493	3.92442135096835	2.50215743440233	9	447	microtubule	APC;DYNLL1;SIRT2;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB;ZNF207	0.0220366814544121
14	GO:0005641	0.00135519820822968	45.3351063829787	0.0559766763848396	2	10	nuclear envelope lumen	CCAR1;TUBB	0.0278210256594972
15	GO:0099512	0.00137126272647287	2.76736974231498	5.62565597667639	14	1005	supramolecular fiber	APC;DYNLL1;EZR;HOMER1;NPNT;PARVB;SIRT2;TNNC1;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB;ZNF207	0.0278210256594972
16	GO:0045171	0.00143884097904498	8.88999476165532	0.486997084548105	4	87	intercellular bridge	TUBB2A;TUBB3;TUBB4B;TUBB	0.0278210256594972
17	GO:0099081	0.00147799198816079	2.74384140237799	5.67043731778426	14	1013	supramolecular polymer	APC;DYNLL1;EZR;HOMER1;NPNT;PARVB;SIRT2;TNNC1;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB;ZNF207	0.0278210256594972
18	GO:0043220	0.00165032044972882	40.2955082742317	0.0615743440233236	2	11	Schmidt-Lanterman incisure	CLDN5;SIRT2	0.0293390302174012
19	GO:0033270	0.00197317443578331	36.263829787234	0.0671720116618076	2	12	paranode region of axon	CLDN5;SIRT2	0.0332324115500347
20	GO:0005911	0.00216348388926209	3.43203648676664	2.84361516034985	9	508	cell-cell junction	APC;CLDN5;EZR;FLRT3;HEPACAM;KCNJ2;RND1;SIRT2;SLC31A1	0.0339565639323973
21	GO:0032587	0.00222839950806357	7.84458834412581	0.548571428571429	4	98	ruffle membrane	APC;EZR;MTSS2;WWC1	0.0339565639323973
22	GO:0070062	0.00256667517708744	2.17129363449692	11.0218075801749	21	1969	extracellular exosome	ADGRG1;CRYM;DDC;ENPP6;EZR;GLRX;HTRA1;IDH2;IGFBP2;MAN1A1;MARCKSL1;NPNT;PROM1;PYGM;SLC16A1;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB;VCAM1	0.0373334571212719
23	GO:0043218	0.00270082748180788	30.2163120567376	0.0783673469387755	2	14	compact myelin	CLDN5;SIRT2	0.0375767301816748
24	GO:1903561	0.00306227216777378	2.1353363682347	11.184139941691	21	1998	extracellular vesicle	ADGRG1;CRYM;DDC;ENPP6;EZR;GLRX;HTRA1;IDH2;IGFBP2;MAN1A1;MARCKSL1;NPNT;PROM1;PYGM;SLC16A1;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB;VCAM1	0.0379165122868893
25	GO:0043230	0.00308071662330976	2.13411526794742	11.1897376093294	21	1999	extracellular organelle	ADGRG1;CRYM;DDC;ENPP6;EZR;GLRX;HTRA1;IDH2;IGFBP2;MAN1A1;MARCKSL1;NPNT;PROM1;PYGM;SLC16A1;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB;VCAM1	0.0379165122868893
26	GO:0065010	0.00308071662330976	2.13411526794742	11.1897376093294	21	1999	extracellular membrane-bounded organelle	ADGRG1;CRYM;DDC;ENPP6;EZR;GLRX;HTRA1;IDH2;IGFBP2;MAN1A1;MARCKSL1;NPNT;PROM1;PYGM;SLC16A1;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB;VCAM1	0.0379165122868893
27	GO:0031982	0.00401453550234236	1.84821586627216	21.2655393586006	33	3799	vesicle	ABHD17B;ADGRG1;AQP4;DYNLL1;CNIH2;CRYM;DDC;ENPP6;EZR;FGFR3;GLRX;HTRA1;IDH2;IGFBP2;MAN1A1;MARCKSL1;NPNT;PDIA4;PLA2G3;PROM1;PYGM;SLC16A1;SLC31A1;TBC1D16;TGFA;TRAF3;TP53INP2;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB;VCAM1	0.0468395048081217
28	GO:0045177	0.00409845667071065	3.36201660255112	2.55813411078717	8	457	apical part of cell	EZR;HOMER1;IGFBP2;PROM1;SLC16A1;SLC31A1;SLCO1A2;VCAM1	0.0468395048081217
29	GO:0043509	0.00559766763848402	Inf	0.00559766763848397	1	1	activin A complex	INHBA	0.0559766763848402
30	GO:0048180	0.00559766763848402	Inf	0.00559766763848397	1	1	activin complex	INHBA	0.0559766763848402
31	GO:0071065	0.00559766763848402	Inf	0.00559766763848397	1	1	alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex	VCAM1	0.0559766763848402
32	GO:1990047	0.00559766763848402	Inf	0.00559766763848397	1	1	spindle matrix	ZNF207	0.0559766763848402
33	GO:0005793	0.0061192653840602	5.84126984126984	0.727696793002915	4	130	endoplasmic reticulum-Golgi intermediate compartment	CNIH2;MAN1A1;PROM1;TGFA	0.0593383309969474
34	GO:0016328	0.0065490072572631	8.43126550868486	0.38064139941691	3	68	lateral plasma membrane	APC;CLDN5;SLC16A1	0.0616377153624763
35	GO:0005819	0.00796396162704894	3.26630054078287	2.28384839650146	7	408	spindle	DYNLL1;SIRT2;TUBB2A;TUBB3;TUBB4B;TUBB;ZNF207	0.0728133634473046
36	GO:0120025	0.00822162125581286	1.93583294663573	12.1805247813411	21	2176	plasma membrane bounded cell projection	ABHD17B;ADGRG1;APC;AQP4;DYNLL1;CLDN5;CNIH2;EZR;FLRT3;HEPACAM;HOMER1;KCNJ2;MDGA1;MTSS2;PARVB;PROM1;SIRT2;TUBB3;TUBB4B;VCAM1;WWC1	0.0730810778294476
37	GO:0099513	0.0101019421024246	2.52423125754808	4.2598250728863	10	761	polymeric cytoskeletal fiber	APC;DYNLL1;EZR;SIRT2;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB;ZNF207	0.0871362027743949
38	GO:0070161	0.0106279413499939	2.38998119795864	4.96513119533528	11	887	anchoring junction	APC;CLDN5;EZR;FGFR3;FLRT3;HEPACAM;KCNJ2;PARVB;RND1;SIRT2;SLC31A1	0.0871362027743949
39	GO:0043511	0.0111643259804693	179.505263157895	0.0111953352769679	1	2	inhibin complex	INHBA	0.0871362027743949
40	GO:0043512	0.0111643259804693	179.505263157895	0.0111953352769679	1	2	inhibin A complex	INHBA	0.0871362027743949
41	GO:0071914	0.0111643259804693	179.505263157895	0.0111953352769679	1	2	prominosome	PROM1	0.0871362027743949
42	GO:0008180	0.0137899666662023	12.0737588652482	0.179125364431487	2	32	COP9 signalosome	DYNLL1;WDR6	0.102623007748482
43	GO:0031528	0.0137899666662023	12.0737588652482	0.179125364431487	2	32	microvillus membrane	EZR;PROM1	0.102623007748482
44	GO:0042995	0.0143741981228585	1.82357709251101	12.8242565597668	21	2291	cell projection	ABHD17B;ADGRG1;APC;AQP4;DYNLL1;CLDN5;CNIH2;EZR;FLRT3;HEPACAM;HOMER1;KCNJ2;MDGA1;MTSS2;PARVB;PROM1;SIRT2;TUBB3;TUBB4B;VCAM1;WWC1	0.104381974753597
45	GO:0016513	0.01670014500927	89.7473684210526	0.0167930029154519	1	3	core-binding factor complex	CBFB	0.104381974753597
46	GO:0030485	0.01670014500927	89.7473684210526	0.0167930029154519	1	3	smooth muscle contractile fiber	NPNT	0.104381974753597
47	GO:0043219	0.01670014500927	89.7473684210526	0.0167930029154519	1	3	lateral loop	SIRT2	0.104381974753597
48	GO:0097451	0.01670014500927	89.7473684210526	0.0167930029154519	1	3	glial limiting end-foot	ADGRG1	0.104381974753597
49	GO:0120259	0.01670014500927	89.7473684210526	0.0167930029154519	1	3	7SK snRNP	HEXIM1	0.104381974753597
50	GO:1990584	0.01670014500927	89.7473684210526	0.0167930029154519	1	3	cardiac Troponin complex	TNNC1	0.104381974753597
51	GO:0030054	0.0167736150392139	1.79253472222222	13.0145772594752	21	2325	cell junction	ABHD17B;APC;CHRDL1;CLDN5;CNIH2;EGR3;EZR;FGFR3;FLRT3;GRIN2C;HEPACAM;HOMER1;KCNJ2;MDGA1;MFAP3L;PARVB;RND1;SIRT2;SLC16A1;SLC31A1;WWC1	0.104381974753597
52	GO:0005902	0.0176285735313807	5.75857385398981	0.548571428571429	3	98	microvillus	EZR;PROM1;VCAM1	0.104381974753597
53	GO:0031256	0.0177990736906297	4.21789105447276	0.996384839650146	4	178	leading edge membrane	APC;EZR;MTSS2;WWC1	0.104381974753597
54	GO:0043197	0.0177990736906297	4.21789105447276	0.996384839650146	4	178	dendritic spine	ABHD17B;CNIH2;HOMER1;KCNJ2	0.104381974753597
55	GO:0001726	0.0184643314856087	4.16946640316206	1.00758017492711	4	180	ruffle	APC;EZR;MTSS2;WWC1	0.104381974753597
56	GO:0044309	0.0184643314856087	4.16946640316206	1.00758017492711	4	180	neuron spine	ABHD17B;CNIH2;HOMER1;KCNJ2	0.104381974753597
57	GO:0030175	0.0185930392529845	5.63917525773196	0.559766763848397	3	100	filopodium	EZR;TUBB3;VCAM1	0.104381974753597
58	GO:0048471	0.019261707369677	2.38135016998543	4.02472303206997	9	719	perinuclear region of cytoplasm	APC;CCAR1;EZR;HEPH;INHBA;SIRT2;TGFA;TMEM100;WWC1	0.104930365630621
59	GO:0099080	0.0193465361631458	1.98605239385727	7.63521865889213	14	1364	supramolecular complex	APC;DYNLL1;EZR;HOMER1;NPNT;PARVB;SIRT2;TNNC1;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB;ZNF207	0.104930365630621
60	GO:0008328	0.0210686170352863	9.52743561030235	0.223906705539359	2	40	ionotropic glutamate receptor complex	CNIH2;GRIN2C	0.110523892644125
61	GO:0043198	0.0210686170352863	9.52743561030235	0.223906705539359	2	40	dendritic shaft	CNIH2;HOMER1	0.110523892644125
62	GO:0120216	0.0222052937862638	59.8280701754386	0.0223906705539359	1	4	matrilin complex	MATN2	0.114607967929103
63	GO:0030863	0.022739695008733	5.20706605222734	0.604548104956268	3	108	cortical cytoskeleton	CLDN5;EZR;MTSS2	0.115503212742771
64	GO:0016324	0.0232687753562196	2.86357388316151	2.20548104956268	6	394	apical plasma membrane	EZR;IGFBP2;PROM1;SLC16A1;SLC31A1;SLCO1A2	0.116343876781098
65	GO:0030027	0.0251505074389083	3.77857463021067	1.10833819241983	4	198	lamellipodium	APC;MTSS2;PARVB;TUBB3	0.122380717090944
66	GO:0015629	0.0252410229000073	2.56696141657248	2.87720116618076	7	514	actin cytoskeleton	CLDN5;EZR;MTSS2;PARVB;RND1;TNNC1;VCAM1	0.122380717090944
67	GO:0043209	0.0262640264690747	8.41712023750618	0.251895043731778	2	45	myelin sheath	CLDN5;SIRT2	0.123595418677998
68	GO:0098878	0.0262640264690747	8.41712023750618	0.251895043731778	2	45	neurotransmitter receptor complex	CNIH2;GRIN2C	0.123595418677998
69	GO:0031252	0.0308375791913842	2.67293172690763	2.35661807580175	6	421	cell leading edge	APC;EZR;MTSS2;PARVB;TUBB3;WWC1	0.143014860018014
70	GO:0045211	0.0327114650595618	2.94836573682728	1.77446064139942	5	317	postsynaptic membrane	ABHD17B;CNIH2;FLRT3;GRIN2C;KCNJ2	0.149538125986568
71	GO:0014704	0.0343049779432024	7.23574468085106	0.291078717201166	2	52	intercalated disc	KCNJ2;SLC31A1	0.154613985096124
72	GO:0031012	0.035510255863275	2.37798905214636	3.09551020408163	7	553	extracellular matrix	FLRT3;HTRA1;ITIH5;MATN2;NDNF;NPNT;TIMP4	0.156954645788378
73	GO:0030312	0.0358052785704736	2.37349793562435	3.10110787172012	7	554	external encapsulating structure	FLRT3;HTRA1;ITIH5;MATN2;NDNF;NPNT;TIMP4	0.156954645788378
74	GO:0098858	0.0365906316007474	3.34226722255311	1.24827988338192	4	223	actin-based cell projection	EZR;PROM1;TUBB3;VCAM1	0.158229758273502
75	GO:0032584	0.0385383954948264	29.9087719298246	0.0391836734693878	1	7	growth cone membrane	FLRT3	0.164430487444593
76	GO:0005861	0.043922535612221	25.6345864661654	0.0447813411078717	1	8	troponin complex	TNNC1	0.184933816084139
