GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0045211	2.77140229828475e-05	5.09238949817215	2.38429246108099	11	317	postsynaptic membrane	CHRM3;CLSTN2;CNTN2;CSMD2;DCC;GRM3;KCNA1;KCNC3;KCTD16;OPRD1;SCN8A	0.0103373305726021
2	GO:0030424	0.000104014947170713	3.41792476436734	4.85884205002624	15	646	axon	ADCY9;CNTN2;DCC;DST;DYNC1H1;GRM3;HTT;KCNA1;KCNC3;MYCBP2;N4BP3;OPRD1;PCLO;SCN8A;TENM3	0.0107560642049924
3	GO:0043005	0.000115182957627707	2.6417284888136	9.89067692845898	23	1315	neuron projection	ADCY9;CHRM3;CLSTN2;CNTN2;DCC;DST;DYNC1H1;EPHB6;FAT3;GRM3;HTT;KCNA1;KCNC3;MYCBP2;N4BP3;OPRD1;PCLO;PLK3;PLXDC1;SCN8A;TENM1;TENM3;VAMP1	0.0107560642049924
4	GO:0034703	0.000140567977920779	5.76508371515437	1.51180689172643	8	201	cation channel complex	CACNA1D;CACNA1G;KCNA1;KCNAB3;KCNC3;KCNH5;RYR2;SCN8A	0.0107560642049924
5	GO:0097060	0.000144183166286762	3.90167019524818	3.36959944026587	12	448	synaptic membrane	CHRM3;CLSTN2;CNTN2;CSMD2;DCC;GRM3;KCNA1;KCNC3;KCTD16;OPRD1;RIMS3;SCN8A	0.0107560642049924
6	GO:0034702	0.000228156239808592	4.30375831314121	2.52719958019941	10	336	monoatomic ion channel complex	CACNA1D;CACNA1G;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;RYR2;SCN8A	0.0141837129081008
7	GO:0042734	0.000501344879814261	5.42954503591822	1.39146405457408	7	185	presynaptic membrane	GRM3;KCNA1;KCNC3;KCTD16;OPRD1;RIMS3;SCN8A	0.0267145200243885
8	GO:0043194	0.000659446702576319	20.2404761904762	0.172992828406507	3	23	axon initial segment	CNTN2;KCNA1;SCN8A	0.0268124407206666
9	GO:0071944	0.000701283904072934	1.79653830381529	43.9928284065069	62	5849	cell periphery	ADCY9;ARRDC2;CACNA1D;CACNA1G;CCN4;CHRM3;CLSTN2;CMYA5;CNTN2;CPNE9;CSMD2;CSMD3;DCC;DOCK3;DST;DYNC1H1;EPHB6;F3;FAT3;FMN1;FRMD6;GPLD1;GRM3;HAPLN4;HERC2;ITPR1;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCTD16;LAMC2;LRP1B;MACF1;MTCL1;MYCBP2;MYO1B;OPRD1;PCDHGA2;PCLO;PHKB;PLVAP;PLXDC1;PRKG1;RASSF3;RIMS3;RPE65;RYR2;SCN8A;SGK1;SLC9A8;SNTB2;TENM1;TENM3;TF;TRHDE;UNC5D;VAMP1;VIPR1;XKR7	0.0268124407206666
10	GO:0030425	0.00076750550241743	3.04627197990409	4.6407206576876	13	617	dendrite	ADCY9;CHRM3;CLSTN2;EPHB6;FAT3;GRM3;HTT;KCNA1;KCNC3;N4BP3;OPRD1;PLK3;PLXDC1	0.0268124407206666
