GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0005244	4.90233882365939e-05	5.22402197594013	2.09110257168194	10	163	voltage-gated monoatomic ion channel activity	CACNA1D;CACNA1G;GRIN2C;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2	0.0135725740174427
2	GO:0022832	5.16303708855708e-05	5.18978605935128	2.10393142181496	10	164	voltage-gated channel activity	CACNA1D;CACNA1G;GRIN2C;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2	0.0135725740174427
3	GO:0022843	5.81681743604687e-05	5.73680769230769	1.71906591782442	9	134	voltage-gated monoatomic cation channel activity	CACNA1D;CACNA1G;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2	0.0135725740174427
4	GO:0005249	0.000157422071785643	6.67269076305221	1.15459651197162	7	90	voltage-gated potassium channel activity	KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2	0.0179935556908214
5	GO:0086059	0.000163830650865076	Inf	0.0256577002660361	2	2	voltage-gated calcium channel activity involved SA node cell action potential	CACNA1D;CACNA1G	0.0179935556908214
6	GO:0005261	0.000179234956948702	3.5433532735128	3.95128584096955	13	308	monoatomic cation channel activity	CACNA1D;CACNA1G;GRIN2C;ITPR1;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2;RYR2;SCN8A	0.0179935556908214
7	GO:0046873	0.000179935556908214	3.0627006809922	5.63186520839492	16	439	metal ion transmembrane transporter activity	CACNA1D;CACNA1G;GRIN2C;ITPR1;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2;MFSD2A;RYR2;SCN8A;SLC31A1;SLC9A8	0.0179935556908214
8	GO:0140999	0.000233806859505229	33.4265687583445	0.12828850133018	3	10	histone H3K4 trimethyltransferase activity	KMT2A;KMT2C;SMYD3	0.0204581002067076
9	GO:0022836	0.000560939803411934	3.30037716872014	3.88714159030446	12	303	gated channel activity	CACNA1D;CACNA1G;GRIN2C;ITPR1;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2;RYR2	0.0389363741593441
10	GO:0034236	0.000682805199334104	21.2663551401869	0.179603901862252	3	14	protein kinase A catalytic subunit binding	EZR;RYR2;SOX9	0.0389363741593441
11	GO:0043425	0.000714729018328197	11.1804158283032	0.410523204256577	4	32	bHLH transcription factor binding	BHLHE40;BHLHE41;ID3;SOX9	0.0389363741593441
12	GO:0045505	0.000714729018328197	11.1804158283032	0.410523204256577	4	32	dynein intermediate chain binding	DYNLL1;DNAH1;DYNC1H1;HTT	0.0389363741593441
13	GO:0005267	0.000742320080125568	5.07308868501529	1.48814661543009	7	116	potassium channel activity	KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2	0.0389363741593441
14	GO:0015079	0.000778727483186882	4.40031897926635	1.94998522021874	8	152	potassium ion transmembrane transporter activity	KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2;SLC9A8	0.0389363741593441
15	GO:0022890	0.00105882445221676	2.4956	7.27395802542122	17	567	inorganic cation transmembrane transporter activity	CACNA1D;CACNA1G;GRIN2C;ITPR1;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2;MFSD2A;RYR2;SCN8A;SLC16A1;SLC31A1;SLC9A8	0.0494118077701155
16	GO:0042800	0.0014738232815738	15.5915887850467	0.230919302394325	3	18	histone H3K4 methyltransferase activity	KMT2A;KMT2C;SMYD3	0.0558966728672159
17	GO:0008201	0.00148415620321627	3.95645933014354	2.15524682234703	8	168	heparin binding	ADGRG1;CCN4;LAMC2;NDNF;NELL1;SLIT2;TENM1;ZNF207	0.0558966728672159
18	GO:0030527	0.00159704779620617	51.7674418604651	0.0641442506650902	2	5	structural constituent of chromatin	H1-2;H1-4	0.0558966728672159
19	GO:0043426	0.00159704779620617	51.7674418604651	0.0641442506650902	2	5	MRF binding	BHLHE40;BHLHE41	0.0558966728672159
20	GO:0086007	0.00159704779620617	51.7674418604651	0.0641442506650902	2	5	voltage-gated calcium channel activity involved in cardiac muscle cell action potential	CACNA1D;CACNA1G	0.0558966728672159
21	GO:0008324	0.00200453307422246	2.34120512820513	7.72296778007686	17	602	monoatomic cation transmembrane transporter activity	CACNA1D;CACNA1G;GRIN2C;ITPR1;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2;MFSD2A;RYR2;SCN8A;SLC16A1;SLC31A1;SLC9A8	0.0668177691407487
22	GO:1901681	0.00222290100043745	3.12754383962874	3.38681643511676	10	264	sulfur compound binding	ADGRG1;CBS;CCN4;LAMC2;NDNF;NELL1;RYR2;SLIT2;TENM1;ZNF207	0.0707286681957372
