Gene	Direction
Mrln	CTX_All
Retnla	CTX_All
BC048507	CTX_All
Rpe65	CTX_All
H1f4	CTX_All
Vmn2r87	CTX_All
Ntn5	CTX_All
Igfn1	CTX_All
H1f2	CTX_All
Etnppl	CTX_All
Pla2g3	CTX_All
Xkr7	CTX_All
Ifit3b	CTX_All
Utp14b	CTX_All
Cbs	CTX_All
Heyl	CTX_All
Lamc2	CTX_All
Ifit3	CTX_All
Kcnj2	CTX_All
Ccn4	CTX_All
Dusp5	CTX_All
Ddc	CTX_All
Il33	CTX_All
Heph	CTX_All
Arrdc2	CTX_All
Acer2	CTX_All
Trf	CTX_All
Zfp189	CTX_All
Pcdhga2	CTX_All
Sox21	CTX_All
Plvap	CTX_All
Dnah1	CTX_All
Trib1	CTX_All
Gpr52	CTX_All
N4bp3	CTX_All
Tnnc1	CTX_All
Foxo6	CTX_All
Nrarp	CTX_All
Btbd17	CTX_All
Fabp7	CTX_All
Rims3	CTX_All
Gdf11	CTX_All
Bhlhe40	CTX_All
Ovol2	CTX_All
Sox2	CTX_All
Klf10	CTX_All
Slc16a1	CTX_All
Cmya5	CTX_All
Smox	CTX_All
Enpp6	CTX_All
Sik1	CTX_All
Dio2	CTX_All
Ciart	CTX_All
Slco1c1	CTX_All
Dyrk3	CTX_All
Elovl2	CTX_All
Nr4a1	CTX_All
Tmem100	CTX_All
Htra1	CTX_All
Zfp36l2	CTX_All
Sgk1	CTX_All
Sox9	CTX_All
Cntnap5a	CTX_All
Slc9a3r1	CTX_All
Myorg	CTX_All
Apcdd1	CTX_All
Herc6	CTX_All
Inhba	CTX_All
Sult1a1	CTX_All
Sat1	CTX_All
Tsc22d3	CTX_All
Igfbp2	CTX_All
Pamr1	CTX_All
Sntb2	CTX_All
Maml3	CTX_All
Mdga1	CTX_All
Arhgef19	CTX_All
Prkg1	CTX_All
Timp4	CTX_All
Mtss2	CTX_All
Kcnh5	CTX_All
Plxdc1	CTX_All
Hecw2	CTX_All
Rnd1	CTX_All
Dcc	CTX_All
Pygm	CTX_All
Plk3	CTX_All
Traf3	CTX_All
Csmd3	CTX_All
Kcnab3	CTX_All
Chrdl1	CTX_All
Marcksl1	CTX_All
Parvb	CTX_All
Kmt2a	CTX_All
Flrt3	CTX_All
Mfsd2a	CTX_All
Ccar1	CTX_All
Cables1	CTX_All
Ryr2	CTX_All
Mdn1	CTX_All
Vipr1	CTX_All
Jade2	CTX_All
Cldn5	CTX_All
Btg1	CTX_All
Glt8d2	CTX_All
Frmd6	CTX_All
