GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0032501	2.57088009469534e-08	5.28130360205832	23.7721021611002	44	7040	multicellular organismal process	ACVR1C;ALDH1A2;APCDD1;ARRDC3;ARSG;COCH;COL1A1;COL3A1;DACH1;DRD2;ELN;FABP7;FN1;FYN;FZD7;GCNT2;GDPD5;IGFBP2;IKZF3;IMPG1;ITPR1;LGI4;MUSK;MYH14;MYO3B;NEXN;NID1;OGN;ONECUT2;PENK;PREX2;SERPINB1;SERPINH1;SGK1;SLC22A6;SLC22A8;SLC6A13;SLC6A20;THBD;THBS4;TPBG;TRAF3;TF;VCAM1	4.89752658039463e-05
2	GO:0008283	4.1595736483137e-07	4.68164718318617	6.45966355599214	21	1913	cell population proliferation	ACVR1C;ALDH1A2;COL3A1;DACH1;DRD2;ELN;FABP7;FN1;FYN;FZD7;GCNT2;IGFBP2;IKZF3;LGI4;OGN;PENK;SERPINB1;SGK1;THBS4;TPBG;VCAM1	0.00039619939000188
3	GO:0040012	9.3044365168922e-07	5.6640625	3.45438359528487	15	1023	regulation of locomotion	ACVR1C;ARRDC3;COL1A1;COL3A1;DACH1;DRD2;FN1;GCNT2;NEXN;ONECUT2;SERPINB1;SGK1;THBS4;TPBG;TF	0.000552515787764565
4	GO:0040011	1.31397773230301e-06	5.20973709834469	4.05543958742633	16	1201	locomotion	ACVR1C;ARRDC3;COL1A1;COL3A1;DACH1;DRD2;FN1;GCNT2;NEXN;ONECUT2;SERPINB1;SGK1;THBS4;TPBG;TF;VCAM1	0.000552515787764565
5	GO:0007610	1.45017267129807e-06	6.76624832724511	2.21175098231827	12	655	behavior	ARRDC3;DACH1;DRD2;FYN;LGI4;MUSK;MYH14;PENK;PREX2;SGK1;THBS4;TPBG	0.000552515787764565
6	GO:0071560	2.20987595308714e-06	10.9264291207383	0.867816797642436	8	257	cellular response to transforming growth factor beta stimulus	COL1A1;COL3A1;FMOD;FYN;GCNT2;ONECUT2;PENK;PMEPA1	0.000608460060553957
7	GO:0007275	2.23581124613003e-06	3.62759420289855	15.3032907662083	32	4532	multicellular organism development	ACVR1C;ALDH1A2;APCDD1;ARSG;COL1A1;COL3A1;DACH1;DRD2;ELN;FABP7;FN1;FYN;FZD7;GCNT2;GDPD5;IKZF3;ITPR1;LGI4;MUSK;MYO3B;NEXN;NID1;OGN;ONECUT2;PENK;PREX2;SERPINH1;SGK1;SLC22A6;THBS4;TPBG;VCAM1	0.000608460060553957
8	GO:0071559	2.69873975083968e-06	10.6230053191489	0.891453831041257	8	264	response to transforming growth factor beta	COL1A1;COL3A1;FMOD;FYN;GCNT2;ONECUT2;PENK;PMEPA1	0.000642637403168699
9	GO:0048856	4.09458664592213e-06	3.52886801733659	19.2709356581532	36	5707	anatomical structure development	ACVR1C;ALDH1A2;APCDD1;ARRDC3;ARSG;COCH;COL1A1;COL3A1;DACH1;DRD2;ELN;FABP7;FN1;FYN;FZD7;GCNT2;GDPD5;IKZF3;ITPR1;LGI4;MUSK;MYH14;MYO3B;NEXN;NID1;OGN;ONECUT2;PENK;PREX2;SERPINH1;SGK1;SLC22A6;THBS4;TPBG;TF;VCAM1	0.000866687506720185
10	GO:0022008	8.13210301883761e-06	4.13172119487909	5.83497053045187	18	1728	neurogenesis	ALDH1A2;APCDD1;ARSG;COL3A1;DRD2;FN1;FYN;FZD7;GDPD5;LGI4;MUSK;NEXN;ONECUT2;PENK;PREX2;SGK1;TPBG;VCAM1	0.00154916562508856
11	GO:0032502	1.21321976969106e-05	3.32982748726777	21.0470898821218	37	6233	developmental process	ACVR1C;ALDH1A2;APCDD1;ARRDC3;ARSG;COCH;COL1A1;COL3A1;DACH1;DRD2;ELN;FABP7;FN1;FYN;FZD7;GCNT2;GDPD5;IGFBP2;IKZF3;ITPR1;LGI4;MUSK;MYH14;MYO3B;NEXN;NID1;OGN;ONECUT2;PENK;PREX2;SERPINH1;SGK1;SLC22A6;THBS4;TPBG;TF;VCAM1	0.0019393215101587
12	GO:0071363	1.22161984891886e-05	5.89886363636364	2.26577848722986	11	671	cellular response to growth factor stimulus	ACVR1C;COL1A1;COL3A1;FMOD;FYN;GCNT2;MTSS2;ONECUT2;PENK;PMEPA1;VCAM1	0.0019393215101587
13	GO:2000145	1.70417864404641e-05	4.88644309843896	3.30918467583497	13	980	regulation of cell motility	ACVR1C;COL1A1;COL3A1;DACH1;DRD2;FN1;GCNT2;NEXN;ONECUT2;SERPINB1;SGK1;THBS4;TF	0.00232143295031703
14	GO:0016477	1.86819376717652e-05	4.15117667720407	4.9840373280943	16	1476	cell migration	ACVR1C;APCDD1;COL1A1;COL3A1;DACH1;DRD2;FN1;FYN;GCNT2;NEXN;ONECUT2;SERPINB1;SGK1;THBS4;TPBG;VCAM1	0.00232143295031703
15	GO:0070848	1.88706177621493e-05	5.61452312138728	2.37383349705305	11	703	response to growth factor	ACVR1C;COL1A1;COL3A1;FMOD;FYN;GCNT2;MTSS2;ONECUT2;PENK;PMEPA1;VCAM1	0.00232143295031703
16	GO:0031589	1.94975995827152e-05	8.00453229258467	1.16834479371316	8	346	cell-substrate adhesion	COL1A1;COL3A1;FN1;FZD7;GCNT2;NID1;ONECUT2;VCAM1	0.00232143295031703
