GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0030199	3.11535905875045e-06	49.0818181818182	0.103149751335421	4	70	collagen fibril organization	COL1A1;COL3A1;FMOD;SERPINH1	0.00168408575998797
2	GO:0030198	5.57979710829033e-06	16.8761904761905	0.473015288266716	6	321	extracellular matrix organization	COL1A1;COL3A1;ELN;FMOD;NID1;SERPINH1	0.00168408575998797
3	GO:0043062	5.6802978625864e-06	16.8217299578059	0.474488856142936	6	322	extracellular structure organization	COL1A1;COL3A1;ELN;FMOD;NID1;SERPINH1	0.00168408575998797
4	GO:0045229	5.78226870382136e-06	16.7676130389064	0.475962424019156	6	323	external encapsulating structure organization	COL1A1;COL3A1;ELN;FMOD;NID1;SERPINH1	0.00168408575998797
5	GO:0031589	8.5727719885901e-06	15.6107843137255	0.509854485172223	6	346	cell-substrate adhesion	COL1A1;COL3A1;FN1;FZD7;NID1;VCAM1	0.00199745587334149
6	GO:0032526	1.62914692738606e-05	31.6882352941176	0.156198194879352	4	106	response to retinoic acid	ALDH1A2;COL1A1;FZD7;IGFBP2	0.00316326028400794
7	GO:0032501	6.57187031544646e-05	6.58333333333333	10.3739178485909	20	7040	multicellular organismal process	ALDH1A2;APCDD1;COL1A1;COL3A1;ELN;FABP7;FN1;FYN;FZD7;IGFBP2;NID1;OGN;SERPINH1;SLC22A6;SLC22A8;SLC6A13;SLC6A20;THBD;TRAF3;VCAM1	0.00963381102995212
8	GO:0048513	7.31197539815432e-05	5.37116821126368	4.341130963345	13	2946	animal organ development	ALDH1A2;APCDD1;COL1A1;COL3A1;ELN;FN1;FYN;FZD7;NID1;OGN;SERPINH1;SLC22A6;VCAM1	0.00963381102995212
9	GO:0060350	8.22534122103534e-05	42.0987012987013	0.0854669368207773	3	58	endochondral bone morphogenesis	COL1A1;COL3A1;SERPINH1	0.00963381102995212
10	GO:0007584	8.9985706358301e-05	20.12875	0.241665131700129	4	164	response to nutrient	ALDH1A2;COL1A1;IGFBP2;VCAM1	0.00963381102995212
