GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0007610	1.66234221182999e-08	13.3332298136646	1.24669982194388	11	655	behavior	ARRDC3;DACH1;DRD2;LGI4;MUSK;MYH14;PENK;PREX2;SGK1;THBS4;TPBG	2.20094108846291e-05
2	GO:0040012	1.6361688399186e-07	9.5236607840075	1.9471357524406	12	1023	regulation of locomotion	ACVR1C;ARRDC3;DACH1;DRD2;GCNT2;NEXN;ONECUT2;SERPINB1;SGK1;THBS4;TPBG;TF	0.000108314377202612
3	GO:0040011	9.24371553946229e-07	8.00336417157275	2.28593356664825	12	1201	locomotion	ACVR1C;ARRDC3;DACH1;DRD2;GCNT2;NEXN;ONECUT2;SERPINB1;SGK1;THBS4;TPBG;TF	0.000407955979141602
4	GO:2000145	8.24732625856006e-06	7.50417280314188	1.86529133664886	10	980	regulation of cell motility	ACVR1C;DACH1;DRD2;GCNT2;NEXN;ONECUT2;SERPINB1;SGK1;THBS4;TF	0.00272986499158338
5	GO:0030334	3.70312875108754e-05	6.88277511961723	1.75299318474857	9	921	regulation of cell migration	ACVR1C;DACH1;DRD2;GCNT2;NEXN;ONECUT2;SERPINB1;SGK1;THBS4	0.00905232787540254
6	GO:0007626	4.10226338764466e-05	15.2837014470678	0.393995210904402	5	207	locomotory behavior	ARRDC3;DRD2;LGI4;PENK;PREX2	0.00905232787540254
7	GO:0048856	4.90443645380196e-05	4.54533372422554	10.8624669982194	22	5707	anatomical structure development	ACVR1C;ARRDC3;ARSG;COCH;DACH1;DRD2;GCNT2;GDPD5;IKZF3;ITPR1;LGI4;MUSK;MYH14;MYO3B;NEXN;ONECUT2;PENK;PREX2;SGK1;THBS4;TPBG;TF	0.00927639123547685
8	GO:0090325	7.31927006170866e-05	224.151724137931	0.0133235095474919	2	7	regulation of locomotion involved in locomotory behavior	ARRDC3;DRD2	0.0121133919521278
9	GO:0032501	0.000112152972253907	4.51539338654504	13.3996438877632	24	7040	multicellular organismal process	ACVR1C;ARRDC3;ARSG;COCH;DACH1;DRD2;GCNT2;GDPD5;IKZF3;IMPG1;ITPR1;LGI4;MUSK;MYH14;MYO3B;NEXN;ONECUT2;PENK;PREX2;SERPINB1;SGK1;THBS4;TPBG;TF	0.0164989483626858
10	GO:0048870	0.000178309723320427	4.75296559905101	3.22999938601339	11	1697	cell motility	ACVR1C;DACH1;DRD2;GCNT2;NEXN;ONECUT2;SERPINB1;SGK1;THBS4;TPBG;TF	0.0203401936407099
11	GO:0043491	0.00020095338078192	10.77665317139	0.55197396696752	5	290	phosphatidylinositol 3-kinase/protein kinase B signal transduction	DRD2;GCNT2;MUSK;PREX2;TPBG	0.0203401936407099
12	GO:0022008	0.000209615797965555	4.65722189866045	3.28900349972371	11	1728	neurogenesis	ARSG;DRD2;GDPD5;LGI4;MUSK;NEXN;ONECUT2;PENK;PREX2;SGK1;TPBG	0.0203401936407099
13	GO:0032502	0.000224429301837963	3.95338020358146	11.8636335727881	22	6233	developmental process	ACVR1C;ARRDC3;ARSG;COCH;DACH1;DRD2;GCNT2;GDPD5;IKZF3;ITPR1;LGI4;MUSK;MYH14;MYO3B;NEXN;ONECUT2;PENK;PREX2;SGK1;THBS4;TPBG;TF	0.0203401936407099
14	GO:0050877	0.000237664255995968	4.89201505845057	2.76367655185117	10	1452	nervous system process	COCH;DRD2;IMPG1;ITPR1;MUSK;MYH14;MYO3B;PENK;SGK1;TPBG	0.0203401936407099
15	GO:0031987	0.000269929342985284	101.849529780564	0.0247436605881992	2	13	locomotion involved in locomotory behavior	ARRDC3;DRD2	0.0203401936407099
16	GO:0048521	0.000269929342985284	101.849529780564	0.0247436605881992	2	13	negative regulation of behavior	ARRDC3;DRD2	0.0203401936407099
17	GO:0016477	0.000271836570283916	4.80413174819723	2.809357156014	10	1476	cell migration	ACVR1C;DACH1;DRD2;GCNT2;NEXN;ONECUT2;SERPINB1;SGK1;THBS4;TPBG	0.0203401936407099
