GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0071944	5.98946289456132e-09	4.97896220730028	19.4398250728863	41	5849	cell periphery	ACVR1C;APCDD1;ARRDC3;CMYA5;COCH;COL1A1;COL3A1;DRD2;ELN;FMOD;FN1;FYN;FZD7;GDPD5;IGFBP2;IMPG1;ITPR1;LRP1B;MTSS2;MUSK;MYO1D;NEXN;NID1;OGN;PENK;PMEPA1;PREX2;SERPINB1;SERPINH1;SGK1;SLC13A4;SLC22A6;SLC22A8;SLC6A13;SLC6A20;THBD;THBS4;TPBG;TRAF3;TF;VCAM1	1.50121702372516e-06
2	GO:0062023	1.09577884943443e-08	10.8507317073171	1.40256559766764	12	422	collagen-containing extracellular matrix	COCH;COL1A1;COL3A1;ELN;FMOD;FN1;IMPG1;NID1;OGN;SERPINB1;SERPINH1;THBS4	1.50121702372516e-06
3	GO:0031012	2.11064174323314e-07	8.15871842267406	1.83795918367347	12	553	extracellular matrix	COCH;COL1A1;COL3A1;ELN;FMOD;FN1;IMPG1;NID1;OGN;SERPINB1;SERPINH1;THBS4	1.47414282685951e-05
4	GO:0030312	2.1520333238825e-07	8.14317343173432	1.84128279883382	12	554	external encapsulating structure	COCH;COL1A1;COL3A1;ELN;FMOD;FN1;IMPG1;NID1;OGN;SERPINB1;SERPINH1;THBS4	1.47414282685951e-05
5	GO:0005788	6.61762862407868e-05	7.86341137123746	1.01702623906706	7	306	endoplasmic reticulum lumen	ARSG;COL1A1;COL3A1;FN1;PENK;SERPINH1;TF	0.00362646048599512
6	GO:0005886	0.000265511738220252	2.61208196321133	17.907638483965	31	5388	plasma membrane	ACVR1C;APCDD1;ARRDC3;CMYA5;DRD2;FN1;FYN;FZD7;GDPD5;IGFBP2;ITPR1;LRP1B;MTSS2;MUSK;MYO1D;NEXN;NID1;PENK;PMEPA1;PREX2;SGK1;SLC13A4;SLC22A6;SLC22A8;SLC6A13;SLC6A20;THBD;TPBG;TRAF3;TF;VCAM1	0.0100237558493442
7	GO:0015629	0.000279956172985164	5.35193998548036	1.70833819241983	8	514	actin cytoskeleton	FYN;MTSS2;MYH14;MYO1D;MYO3B;NEXN;ONECUT2;VCAM1	0.0100237558493442
8	GO:0005576	0.000292664404360416	2.68549617082035	12.8856559766764	25	3877	extracellular region	ARSG;COCH;COL1A1;COL3A1;CST9L;ELN;FMOD;FN1;IGFBP2;IMPG1;LGI4;MYH14;MYO1D;NID1;OGN;PENK;SERPINB1;SERPINH1;SLC22A6;SLC22A8;SLC6A13;THBD;THBS4;TF;VCAM1	0.0100237558493442
9	GO:0005615	0.000485241131343173	2.71065961898469	10.1303790087464	21	3048	extracellular space	ARSG;COL1A1;COL3A1;CST9L;FMOD;FN1;IGFBP2;LGI4;MYH14;MYO1D;NID1;OGN;SERPINB1;SERPINH1;SLC22A6;SLC22A8;SLC6A13;THBD;THBS4;TF;VCAM1	0.0147728966653366
10	GO:0012505	0.000700457091473201	2.46402799037831	15.2886297376093	27	4600	endomembrane system	ARRDC3;ARSG;CMYA5;COL1A1;COL3A1;DACH1;DRD2;FMOD;FN1;FYN;FZD7;GCNT2;GDPD5;ITPR1;MYO1D;OGN;PENK;PMEPA1;SERPINB1;SERPINH1;SGK1;SMOX;THBS4;TPBG;TRAF3;TF;VCAM1	0.0160098175748367
11	GO:0005583	0.00070115989378847	62.12	0.0398833819241982	2	12	fibrillar collagen trimer	COL1A1;COL3A1	0.0160098175748367
12	GO:0098643	0.00070115989378847	62.12	0.0398833819241982	2	12	banded collagen fibril	COL1A1;COL3A1	0.0160098175748367
13	GO:0016459	0.000807869515228954	18.2061965811966	0.182798833819242	3	55	myosin complex	MYH14;MYO1D;MYO3B	0.0170274036286718
14	GO:0098590	0.000948964645692388	3.28881955278211	4.30075801749271	12	1294	plasma membrane region	DRD2;FN1;IGFBP2;MTSS2;MUSK;MYO1D;SLC22A6;SLC22A8;SLC6A13;SLC6A20;THBD;TF	0.0185725937799796
15	GO:0043204	0.00147505808947509	8.88312368972746	0.491895043731778	4	148	perikaryon	DRD2;FYN;MYO1D;PENK	0.0269443944344117
16	GO:0005783	0.0016209233447458	2.74796541200407	6.58408163265306	15	1981	endoplasmic reticulum	ARSG;CMYA5;COL1A1;COL3A1;FN1;FYN;ITPR1;MYO1D;PENK;SERPINH1;SGK1;THBS4;TPBG;TF;VCAM1	0.0277583122787718
17	GO:0016529	0.0019839473968413	13.133487654321	0.249271137026239	3	75	sarcoplasmic reticulum	CMYA5;ITPR1;THBS4	0.0304395969258433
18	GO:0098644	0.00218852862952515	32.6775119617225	0.0697959183673469	2	21	complex of collagen trimers	COL1A1;COL3A1	0.0304395969258433
19	GO:0150034	0.00220202284690234	5.96863468634686	0.91731778425656	5	276	distal axon	DRD2;GDPD5;MYH14;PENK;TPBG	0.0304395969258433
20	GO:0043235	0.00222186838874769	4.90970588235294	1.34938775510204	6	406	receptor complex	ACVR1C;DRD2;LRP1B;MUSK;TRAF3;TF	0.0304395969258433
21	GO:0005769	0.00241994999074641	4.82324035265212	1.37265306122449	6	413	early endosome	ARRDC3;MYO1D;PMEPA1;SERPINB1;TF;VCAM1	0.0315745855935484
22	GO:0009925	0.00293564952387168	5.57128647214854	0.980466472303207	5	295	basal plasma membrane	MYO1D;SLC22A6;SLC22A8;SLC6A13;TF	0.0350009778576594
23	GO:0005586	0.00332361516034985	Inf	0.00332361516034985	1	1	collagen type III trimer	COL3A1	0.0350009778576594
24	GO:0034592	0.00332361516034985	Inf	0.00332361516034985	1	1	synaptic vesicle lumen	PENK	0.0350009778576594
25	GO:0071065	0.00332361516034985	Inf	0.00332361516034985	1	1	alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex	VCAM1	0.0350009778576594
26	GO:0005604	0.00333246620496543	10.8595146871009	0.299125364431487	3	90	basement membrane	FN1;NID1;THBS4	0.0350009778576594
27	GO:0098802	0.00357963857282626	6.89770525242223	0.628163265306122	4	189	plasma membrane signaling receptor complex	ACVR1C;DRD2;TRAF3;TF	0.0350009778576594
28	GO:0031982	0.00364090430286385	2.21605960891108	12.6264139941691	22	3799	vesicle	ARRDC3;COL1A1;DRD2;FN1;FYN;FZD7;IGFBP2;ITPR1;MYH14;MYO1D;NID1;OGN;PENK;PMEPA1;SERPINB1;SLC22A6;SLC22A8;SLC6A13;THBS4;TRAF3;TF;VCAM1	0.0350009778576594
29	GO:0016528	0.00376689560763049	10.3797313797314	0.312419825072886	3	94	sarcoplasm	CMYA5;ITPR1;THBS4	0.0350009778576594
30	GO:0045178	0.0038322238530284	5.22280308688076	1.04361516034985	5	314	basal part of cell	MYO1D;SLC22A6;SLC22A8;SLC6A13;TF	0.0350009778576594
31	GO:0045177	0.00398627545200075	4.34120255641059	1.51889212827988	6	457	apical part of cell	FN1;IGFBP2;SLC22A8;SLC6A20;TF;VCAM1	0.0352335314144583
32	GO:0030424	0.00537041514936888	3.60494522691706	2.14705539358601	7	646	axon	DRD2;GDPD5;MYH14;MYO1D;NEXN;PENK;TPBG	0.0459841797164711
33	GO:0005768	0.00641187199443501	2.96076866404715	3.4133527696793	9	1027	endosome	ARRDC3;FYN;FZD7;MYO1D;PMEPA1;SERPINB1;TRAF3;TF;VCAM1	0.0505102032315958
34	GO:0043679	0.00660624502333631	8.42311507936508	0.382215743440233	3	115	axon terminus	DRD2;PENK;TPBG	0.0505102032315958
35	GO:0005584	0.00663637706692499	305.214285714286	0.00664723032069971	1	2	collagen type I trimer	COL1A1	0.0505102032315958
