GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0016459	0.000159090097829688	32.8153846153846	0.105837075048108	3	55	myosin complex	MYH14;MYO1D;MYO3B	0.0144430079284762
2	GO:0150034	0.000170862431194825	11.0997627833421	0.531109685695959	5	276	distal axon	DRD2;GDPD5;MYH14;PENK;TPBG	0.0144430079284762
3	GO:0030424	0.0001892097108534	6.94227759720718	1.24310455420141	7	646	axon	DRD2;GDPD5;MYH14;MYO1D;NEXN;PENK;TPBG	0.0144430079284762
4	GO:0016529	0.00039888774280272	23.6722222222222	0.144323284156511	3	75	sarcoplasmic reticulum	CMYA5;ITPR1;THBS4	0.0228363232754557
5	GO:0043005	0.000636204090599178	4.5396248085758	2.53046824887749	9	1315	neuron projection	DRD2;GDPD5;IMPG1;MYH14;MYO1D;MYO3B;NEXN;PENK;TPBG	0.0291381473494423
6	GO:0016528	0.000772388113703047	18.7087912087912	0.180885182809493	3	94	sarcoplasm	CMYA5;ITPR1;THBS4	0.0294794796729996
7	GO:0043235	0.00099703724423599	7.44344495903099	0.781270044900577	5	406	receptor complex	ACVR1C;DRD2;LRP1B;MUSK;TF	0.0308039533680306
8	GO:0005769	0.00107612064167792	7.31267507002801	0.794740218088518	5	413	early endosome	ARRDC3;MYO1D;PMEPA1;SERPINB1;TF	0.0308039533680306
9	GO:0043679	0.00138418552439813	15.1821428571429	0.221295702373316	3	115	axon terminus	DRD2;PENK;TPBG	0.0352198316763524
10	GO:0071944	0.00163287914898612	2.97977931471411	11.253367543297	20	5848	cell periphery	ACVR1C;ARRDC3;CMYA5;COCH;DRD2;GDPD5;IMPG1;ITPR1;LRP1B;MUSK;MYO1D;NEXN;PENK;PMEPA1;PREX2;SERPINB1;SGK1;THBS4;TPBG;TF	0.0373929325117822
11	GO:0034592	0.00192431045542019	Inf	0.00192431045542014	1	1	synaptic vesicle lumen	PENK	0.037531892869808
12	GO:0044306	0.00196673674426941	13.3771653543307	0.250160359204618	3	130	neuron projection terminus	DRD2;PENK;TPBG	0.037531892869808
13	GO:0015629	0.00278881653032115	5.83802024746907	0.987171263630532	5	513	actin cytoskeleton	MYH14;MYO1D;MYO3B;NEXN;ONECUT2	0.0464984465294847
14	GO:0043204	0.00284269978782876	11.7041379310345	0.284797947402181	3	148	perikaryon	DRD2;MYO1D;PENK	0.0464984465294847
15	GO:0098862	0.00379561839203363	10.5310559006211	0.315586914688903	3	164	cluster of actin-based cell projections	MYH14;MYO1D;MYO3B	0.0550319910441231
16	GO:0034466	0.00384502994194746	534.84375	0.00384862091084028	1	2	chromaffin granule lumen	PENK	0.0550319910441231
17	GO:0098802	0.0056370304886181	9.10215053763441	0.363694676074407	3	189	plasma membrane signaling receptor complex	ACVR1C;DRD2;TF	0.0733075429963934
18	GO:0097513	0.00576216495168158	267.40625	0.00577293136626042	1	3	myosin II filament	MYH14	0.0733075429963934
19	GO:0012505	0.00630473911823131	2.57304178215789	8.85182809493265	16	4600	endomembrane system	ARRDC3;ARSG;CMYA5;DACH1;DRD2;GCNT2;GDPD5;ITPR1;MYO1D;PENK;PMEPA1;SERPINB1;SGK1;THBS4;TPBG;TF	0.0759886977934195
20	GO:0001917	0.00755647876899677	16.6666666666667	0.13085311096857	2	68	photoreceptor inner segment	IMPG1;MYO3B	0.086521681905013
21	GO:0062023	0.00841341836030866	5.50998185117967	0.8120590121873	4	422	collagen-containing extracellular matrix	COCH;IMPG1;SERPINB1;THBS4	0.0917463240243182
22	GO:0098898	0.00958570745239473	133.6875	0.0096215522771007	1	5	dense core granule lumen	PENK	0.0939891886580584
23	GO:0099013	0.00958570745239473	133.6875	0.0096215522771007	1	5	neuronal dense core vesicle lumen	PENK	0.0939891886580584
