GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0005201	4.69324795825465e-08	18.6198439241918	0.523651844843898	8	164	extracellular matrix structural constituent	COL1A1;COL3A1;ELN;FMOD;FN1;IMPG1;NID1;OGN	1.69895576088818e-05
2	GO:0017147	3.12359310833021e-06	48.0857142857143	0.102175969725639	4	32	Wnt-protein binding	APCDD1;FZD7;MUSK;NID1	0.000565370352607768
3	GO:0005198	6.20406270881023e-05	5.34156976744186	2.22871333964049	10	698	structural molecule activity	COL1A1;COL3A1;ELN;FMOD;FN1;H1-2;IMPG1;NEXN;NID1;OGN	0.00622699788649445
4	GO:0005518	6.88066064806017e-05	20.6683076923077	0.220316934720908	4	69	collagen binding	COCH;FN1;NID1;SERPINH1	0.00622699788649445
5	GO:0005102	0.000133744814262763	3.75884401114206	4.629848628193	14	1450	signaling receptor binding	ARPP19;ARRDC3;COL3A1;DRD2;FN1;FYN;FZD7;IGFBP2;OGN;PENK;THBS4;TRAF3;TF;VCAM1	0.00968312455262404
6	GO:0000146	0.000239849890153563	28.2739495798319	0.121333964049196	3	38	microfilament motor activity	MYH14;MYO1D;MYO3B	0.0144709433725983
7	GO:0044877	0.000377986640076221	3.70151371807001	3.89545884578997	12	1220	protein-containing complex binding	COCH;COL3A1;DRD2;FN1;H1-2;MYH14;MYO1D;NEXN;NID1;SERPINH1;THBS4;VCAM1	0.0195473091010846
8	GO:0048407	0.000540323265030355	72.0042735042735	0.0351229895931883	2	11	platelet-derived growth factor binding	COL1A1;COL3A1	0.0244496277426236
9	GO:0015132	0.000647061227397704	64.8	0.0383159886471145	2	12	prostaglandin transmembrane transporter activity	SLC22A6;SLC22A8	0.0251143871073983
10	GO:0019838	0.000738856559320505	10.7961290322581	0.408703878902554	4	128	growth factor binding	ACVR1C;COL1A1;COL3A1;IGFBP2	0.0251143871073983
11	GO:0071714	0.000763144359617075	58.9055944055944	0.0415089877010407	2	13	icosanoid transmembrane transporter activity	SLC22A6;SLC22A8	0.0251143871073983
12	GO:0015459	0.000881558709766976	17.6491596638655	0.188386944181646	3	59	potassium channel regulator activity	ARPP19;DRD2;SGK1	0.0265936877446371
