GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0005201	2.13747173676053e-09	43.8778568752342	0.232747915557921	7	164	extracellular matrix structural constituent	COL1A1;COL3A1;ELN;FMOD;FN1;NID1;OGN	4.8093114077112e-07
2	GO:0017147	1.2124885915082e-05	83.0443349753695	0.0454142274259358	3	32	Wnt-protein binding	APCDD1;FZD7;NID1	0.00136404966544673
3	GO:0005198	3.67080173062449e-05	9.66572890025575	0.989178641121164	7	697	structural molecule activity	COL1A1;COL3A1;ELN;FMOD;FN1;NID1;OGN	0.0023729063387015
4	GO:0015291	4.21850015769156e-05	15.6649688737974	0.40305126840518	5	284	secondary active transmembrane transporter activity	SLC13A4;SLC22A6;SLC22A8;SLC6A13;SLC6A20	0.0023729063387015
5	GO:0015103	7.42489077627414e-05	21.1759493670886	0.2299095263438	4	162	inorganic anion transmembrane transporter activity	SLC13A4;SLC22A6;SLC22A8;SLC6A13	0.00334120084932336
6	GO:0048407	0.000105341125474802	170.484848484848	0.0156111406776654	2	11	platelet-derived growth factor binding	COL1A1;COL3A1	0.00355218097712853
7	GO:0005518	0.000123740838241909	36.4090909090909	0.097924427887174	3	69	collagen binding	FN1;NID1;SERPINH1	0.00355218097712853
8	GO:0015132	0.000126299768075681	153.427272727273	0.0170303352847259	2	12	prostaglandin transmembrane transporter activity	SLC22A6;SLC22A8	0.00355218097712853
9	GO:0071714	0.000149133976308015	139.471074380165	0.0184495298917864	2	13	icosanoid transmembrane transporter activity	SLC22A6;SLC22A8	0.00372834940770038
10	GO:0015370	0.000185033237582614	31.5996240601504	0.112116373957779	3	79	solute:sodium symporter activity	SLC13A4;SLC6A13;SLC6A20	0.00416324784560882
11	GO:0042813	0.000228840832309604	109.564935064935	0.0227071137129679	2	16	Wnt receptor activity	FZD7;NID1	0.0046808352063328
12	GO:0022804	0.000329084264261996	9.95281306715064	0.624445627106617	5	440	active transmembrane transporter activity	SLC13A4;SLC22A6;SLC22A8;SLC6A13;SLC6A20	0.00617032995491243
13	GO:0030021	0.000438233392543293	76.6681818181818	0.0312222813553308	2	22	extracellular matrix structural constituent conferring compression resistance	FMOD;OGN	0.00719331184899763
14	GO:0008514	0.000475444905213898	12.8401544401544	0.37324818165691	4	263	organic anion transmembrane transporter activity	SLC22A6;SLC22A8;SLC6A13;SLC6A20	0.00719331184899763
15	GO:0005283	0.000479554123266509	73.012987012987	0.0326414759623913	2	23	amino acid:sodium symporter activity	SLC6A13;SLC6A20	0.00719331184899763
16	GO:0015294	0.00057298747451052	21.2060682680152	0.164626574419017	3	116	solute:monoatomic cation symporter activity	SLC13A4;SLC6A13;SLC6A20	0.00799223200557359
17	GO:0005102	0.000603857529310005	5.35540915395284	2.05783218023772	8	1450	signaling receptor binding	COL3A1;FN1;FYN;FZD7;IGFBP2;OGN;TRAF3;VCAM1	0.00799223200557359
18	GO:0019838	0.000763169765659139	19.1565714285714	0.181656909703743	3	128	growth factor binding	COL1A1;COL3A1;IGFBP2	0.00878190895424997
19	GO:0005416	0.000765570841879333	56.7676767676768	0.0411566436047543	2	29	amino acid:monoatomic cation symporter activity	SLC6A13;SLC6A20	0.00878190895424997
20	GO:0002020	0.000780614129266664	19.0034013605442	0.183076104310804	3	129	protease binding	COL1A1;COL3A1;FN1	0.00878190895424997
21	GO:0005452	0.000875306017276793	52.846394984326	0.0439950328188753	2	31	solute:inorganic anion antiporter activity	SLC22A6;SLC22A8	0.00895199335851265
22	GO:0072349	0.000875306017276793	52.846394984326	0.0439950328188753	2	31	modified amino acid transmembrane transporter activity	SLC6A13;SLC6A20	0.00895199335851265
23	GO:0042910	0.00093285142603424	51.0818181818182	0.0454142274259358	2	32	xenobiotic transmembrane transporter activity	SLC22A6;SLC22A8	0.00912572047207409
24	GO:0005343	0.00111614198038849	46.4297520661157	0.0496718112471173	2	35	organic acid:sodium symporter activity	SLC6A13;SLC6A20	0.0100529480335526
25	GO:0015293	0.00111699422595029	16.7272727272727	0.207202412630832	3	146	symporter activity	SLC13A4;SLC6A13;SLC6A20	0.0100529480335526
26	GO:0043394	0.00118077450538766	45.0614973262032	0.0510910058541778	2	36	proteoglycan binding	FN1;NID1	0.0102182409120086
27	GO:0005178	0.00130254657486511	15.833491012299	0.218555969487316	3	154	integrin binding	COL3A1;FN1;VCAM1	0.0108545547905426
