Gene	Direction
ACVR1C	STR_All
ALDH1A2	STR_All
APCDD1	STR_All
ARPP19	STR_All
ARRDC3	STR_All
ARSG	STR_All
CMYA5	STR_All
COCH	STR_All
COL1A1	STR_All
COL3A1	STR_All
CST9L	STR_All
DACH1	STR_All
DRD2	STR_All
ELN	STR_All
FABP7	STR_All
FMOD	STR_All
FN1	STR_All
FYN	STR_All
FZD7	STR_All
GCNT2	STR_All
GDPD5	STR_All
GPAT2	STR_All
H1-2	STR_All
IGFBP2	STR_All
IKZF3	STR_All
IMPG1	STR_All
ITPR1	STR_All
LGI4	STR_All
LRP1B	STR_All
MTSS2	STR_All
MUSK	STR_All
MYH14	STR_All
MYO1D	STR_All
MYO3B	STR_All
NEXN	STR_All
NID1	STR_All
OGN	STR_All
ONECUT2	STR_All
PENK	STR_All
PMEPA1	STR_All
PREX2	STR_All
SEC14L5	STR_All
SERPINB1	STR_All
SERPINH1	STR_All
SGK1	STR_All
SLC13A4	STR_All
SLC22A6	STR_All
SLC22A8	STR_All
SLC6A13	STR_All
SLC6A20	STR_All
SMOX	STR_All
THBD	STR_All
THBS4	STR_All
TPBG	STR_All
TRAF3	STR_All
TF	STR_All
VCAM1	STR_All
ALDH1A2	STR_Downreg
APCDD1	STR_Downreg
COL1A1	STR_Downreg
COL3A1	STR_Downreg
ELN	STR_Downreg
FABP7	STR_Downreg
FMOD	STR_Downreg
FN1	STR_Downreg
FYN	STR_Downreg
FZD7	STR_Downreg
IGFBP2	STR_Downreg
MTSS2	STR_Downreg
NID1	STR_Downreg
OGN	STR_Downreg
SERPINH1	STR_Downreg
SLC13A4	STR_Downreg
SLC22A6	STR_Downreg
SLC22A8	STR_Downreg
SLC6A13	STR_Downreg
SLC6A20	STR_Downreg
SMOX	STR_Downreg
THBD	STR_Downreg
TRAF3	STR_Downreg
VCAM1	STR_Downreg
ACVR1C	STR_Upreg
ARPP19	STR_Upreg
ARRDC3	STR_Upreg
ARSG	STR_Upreg
CMYA5	STR_Upreg
COCH	STR_Upreg
CST9L	STR_Upreg
DACH1	STR_Upreg
DRD2	STR_Upreg
GCNT2	STR_Upreg
GDPD5	STR_Upreg
GPAT2	STR_Upreg
H1-2	STR_Upreg
IKZF3	STR_Upreg
IMPG1	STR_Upreg
ITPR1	STR_Upreg
LGI4	STR_Upreg
LRP1B	STR_Upreg
MUSK	STR_Upreg
MYH14	STR_Upreg
MYO1D	STR_Upreg
MYO3B	STR_Upreg
NEXN	STR_Upreg
ONECUT2	STR_Upreg
PENK	STR_Upreg
PMEPA1	STR_Upreg
PREX2	STR_Upreg
SEC14L5	STR_Upreg
SERPINB1	STR_Upreg
SGK1	STR_Upreg
THBS4	STR_Upreg
TPBG	STR_Upreg
TF	STR_Upreg
