Gene	Direction
Strit1	STR_All
Ifi27l2b	STR_All
Cstdc2	STR_All
Slc13a4	STR_All
Slc22a6	STR_All
Impg1	STR_All
Gpat2	STR_All
Igfbp2	STR_All
Fmod	STR_All
Gm19410	STR_All
Aldh1a2	STR_All
Ogn	STR_All
Acvr1c	STR_All
Thbs4	STR_All
Coch	STR_All
Nexn	STR_All
Myo3b	STR_All
Ikzf3	STR_All
Dach1	STR_All
Gcnt2	STR_All
Col3a1	STR_All
Drd2	STR_All
Col1a1	STR_All
Slc6a13	STR_All
Itpr1	STR_All
H1f2	STR_All
Slc6a20a	STR_All
Fabp7	STR_All
Arpp19	STR_All
Serpinb1a	STR_All
Sgk1	STR_All
Penk	STR_All
Musk	STR_All
Trf	STR_All
Eln	STR_All
Thbd	STR_All
Pmepa1	STR_All
Cmya5	STR_All
Slc22a8	STR_All
Fzd7	STR_All
Serpinh1	STR_All
Tpbg	STR_All
Arsg	STR_All
Gdpd5	STR_All
Onecut2	STR_All
Col9a3	STR_All
Myo1d	STR_All
Arrdc3	STR_All
Fn1	STR_All
Sec14l5	STR_All
Smox	STR_All
Nid1	STR_All
Apcdd1	STR_All
Myh14	STR_All
Traf3	STR_All
Lrp1b	STR_All
Mtss2	STR_All
Prex2	STR_All
Lgi4	STR_All
Vcam1	STR_All
Fyn	STR_All
Slc13a4	STR_Downreg
Slc22a6	STR_Downreg
Igfbp2	STR_Downreg
Fmod	STR_Downreg
Aldh1a2	STR_Downreg
Ogn	STR_Downreg
Col3a1	STR_Downreg
Col1a1	STR_Downreg
Slc6a13	STR_Downreg
Slc6a20a	STR_Downreg
Fabp7	STR_Downreg
Eln	STR_Downreg
Thbd	STR_Downreg
Slc22a8	STR_Downreg
Fzd7	STR_Downreg
Serpinh1	STR_Downreg
Col9a3	STR_Downreg
Fn1	STR_Downreg
Smox	STR_Downreg
Nid1	STR_Downreg
Apcdd1	STR_Downreg
Traf3	STR_Downreg
Mtss2	STR_Downreg
Vcam1	STR_Downreg
Fyn	STR_Downreg
Strit1	STR_Upreg
Ifi27l2b	STR_Upreg
Cstdc2	STR_Upreg
Impg1	STR_Upreg
Gpat2	STR_Upreg
Gm19410	STR_Upreg
Acvr1c	STR_Upreg
Thbs4	STR_Upreg
Coch	STR_Upreg
Nexn	STR_Upreg
Myo3b	STR_Upreg
Ikzf3	STR_Upreg
Dach1	STR_Upreg
Gcnt2	STR_Upreg
Drd2	STR_Upreg
Itpr1	STR_Upreg
H1f2	STR_Upreg
Arpp19	STR_Upreg
Serpinb1a	STR_Upreg
Sgk1	STR_Upreg
Penk	STR_Upreg
Musk	STR_Upreg
Trf	STR_Upreg
Pmepa1	STR_Upreg
Cmya5	STR_Upreg
Tpbg	STR_Upreg
Arsg	STR_Upreg
Gdpd5	STR_Upreg
Onecut2	STR_Upreg
Myo1d	STR_Upreg
Arrdc3	STR_Upreg
Sec14l5	STR_Upreg
Myh14	STR_Upreg
Lrp1b	STR_Upreg
Prex2	STR_Upreg
Lgi4	STR_Upreg
