GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0040011	1.14292313412695e-15	2.65712267813108	49.8443318478725	109	1775	locomotion	ABR;ACVR1C;ADORA2A;ANGPT2;ANLN;APCDD1;ARHGDIB;ARHGEF39;ARRDC3;ATP1A2;ATP8A1;BBS2;BCL11B;BMP7;CACNA1I;CCL7;CCN2;CCR6;CD248;CDKL5;CEACAM3;CEACAM8;CEACAM1;CEACAM5;CEACAM6;PSG2;PSG1;CHRM4;CLDN5;CNTN2;CNTN4;COL1A1;COL1A2;COL3A1;CORO6;CXCL14;DAB2;DACH1;DCC;DCN;DLG5;DRD1;DRD2;DST;EPHA3;EPHB4;EPS8;F3;FBLN1;FGF10;FN1;FOXO3;FOXP1;FYN;GCNT2;HSPB1;IL33;ITGA11;ITGA6;ITGB4;JCAD;KANK1;KDR;LAMC3;LDLRAD4;LIMCH1;LRRK2;MATN2;MMP14;MYH10;MYOC;NBL1;NEXN;NOS3;NOTCH1;NR4A1;NRP2;ONECUT2;PIK3C2B;PLXND1;RELN;RHOC;ROBO2;RPS6KA5;RREB1;SEMA5A;SGK1;SGK3;SH3RF2;SLC16A1;SLC7A10;SLC8B1;SMAD4;SMPD3;SPOCK3;STK26;STRIP2;SUN2;TGFB2;THBD;THBS4;TMEFF1;TF;TUBB2A;VASP;VCAM1;WNK1;WNT5A;ZSWIM6	6.84268080401802e-12
2	GO:0016477	6.51218373805117e-15	2.77548052139333	40.0158720468836	93	1425	cell migration	ABR;ACVR1C;ANGPT2;ANLN;APCDD1;ARHGDIB;ARHGEF39;ATP8A1;BCL11B;BMP7;CCL7;CCN2;CCR6;CD248;CDKL5;CEACAM3;CEACAM8;CEACAM1;CEACAM5;CEACAM6;PSG2;PSG1;CLDN5;CNTN2;COL1A1;COL1A2;COL3A1;CORO6;CXCL14;DAB2;DACH1;DCC;DCN;DLG5;DRD1;DRD2;EPHA3;EPHB4;EPS8;F3;FGF10;FN1;FOXO3;FOXP1;FYN;GCNT2;HSPB1;IL33;ITGA11;ITGA6;ITGB4;JCAD;KANK1;KDR;LAMC3;LDLRAD4;LIMCH1;LRRK2;MATN2;MMP14;MYH10;MYOC;NBL1;NEXN;NOS3;NOTCH1;NR4A1;NRP2;ONECUT2;PIK3C2B;PLXND1;RELN;RHOC;RREB1;SEMA5A;SGK1;SGK3;SH3RF2;SLC16A1;SLC7A10;SLC8B1;SMPD3;STK26;STRIP2;SUN2;TGFB2;THBD;THBS4;TUBB2A;VCAM1;WNK1;WNT5A;ZSWIM6	1.82640056293273e-11
3	GO:0048870	1.22024423780373e-14	2.66197348395233	44.5369635553385	99	1586	cell motility	ABR;ACVR1C;ANGPT2;ANLN;APCDD1;ARHGDIB;ARHGEF39;ATP8A1;BBS2;BCL11B;BMP7;CACNA1I;CCL7;CCN2;CCR6;CD248;CDKL5;CEACAM3;CEACAM8;CEACAM1;CEACAM5;CEACAM6;PSG2;PSG1;CLDN5;CNTN2;COL1A1;COL1A2;COL3A1;CORO6;CXCL14;DAB2;DACH1;DCC;DCN;DLG5;DRD1;DRD2;DST;EPHA3;EPHB4;EPS8;F3;FBLN1;FGF10;FN1;FOXO3;FOXP1;FYN;GCNT2;HSPB1;IL33;ITGA11;ITGA6;ITGB4;JCAD;KANK1;KDR;LAMC3;LDLRAD4;LIMCH1;LRRK2;MATN2;MMP14;MYH10;MYOC;NBL1;NEXN;NOS3;NOTCH1;NR4A1;NRP2;ONECUT2;PIK3C2B;PLXND1;RELN;RHOC;RREB1;SEMA5A;SGK1;SGK3;SH3RF2;SLC16A1;SLC7A10;SLC8B1;SMPD3;SPOCK3;STK26;STRIP2;SUN2;TGFB2;THBD;THBS4;TF;TUBB2A;VCAM1;WNK1;WNT5A;ZSWIM6	1.82640056293273e-11
4	GO:0051674	1.22024423780373e-14	2.66197348395233	44.5369635553385	99	1586	localization of cell	ABR;ACVR1C;ANGPT2;ANLN;APCDD1;ARHGDIB;ARHGEF39;ATP8A1;BBS2;BCL11B;BMP7;CACNA1I;CCL7;CCN2;CCR6;CD248;CDKL5;CEACAM3;CEACAM8;CEACAM1;CEACAM5;CEACAM6;PSG2;PSG1;CLDN5;CNTN2;COL1A1;COL1A2;COL3A1;CORO6;CXCL14;DAB2;DACH1;DCC;DCN;DLG5;DRD1;DRD2;DST;EPHA3;EPHB4;EPS8;F3;FBLN1;FGF10;FN1;FOXO3;FOXP1;FYN;GCNT2;HSPB1;IL33;ITGA11;ITGA6;ITGB4;JCAD;KANK1;KDR;LAMC3;LDLRAD4;LIMCH1;LRRK2;MATN2;MMP14;MYH10;MYOC;NBL1;NEXN;NOS3;NOTCH1;NR4A1;NRP2;ONECUT2;PIK3C2B;PLXND1;RELN;RHOC;RREB1;SEMA5A;SGK1;SGK3;SH3RF2;SLC16A1;SLC7A10;SLC8B1;SMPD3;SPOCK3;STK26;STRIP2;SUN2;TGFB2;THBD;THBS4;TF;TUBB2A;VCAM1;WNK1;WNT5A;ZSWIM6	1.82640056293273e-11
5	GO:0006928	3.19950059649788e-14	2.44594741220297	57.4262865514926	116	2045	movement of cell or subcellular component	ABR;ACTN2;ACVR1C;ANGPT2;ANLN;APCDD1;ARHGDIB;ARHGEF39;ATP1A2;ATP8A1;BBS2;BCL11B;BMP7;CACNA1I;CCDC88C;CCL7;CCN2;CCR6;CD248;CDKL5;CEACAM3;CEACAM8;CEACAM1;CEACAM5;CEACAM6;PSG2;PSG1;CLDN5;CNTN2;CNTN4;COL1A1;COL1A2;COL3A1;CORO6;CXCL14;DAB2;DACH1;DCC;DCN;DLG5;DRD1;DRD2;DST;EPHA3;EPHB4;EPS8;F3;FBLN1;FGF10;FN1;FNBP1L;FOXO3;FOXP1;FYN;GCNT2;HSPB1;IL33;ITGA11;ITGA6;ITGB4;JCAD;KANK1;KDR;KIF13B;KIFC3;LAMC3;LDLRAD4;LIMCH1;LRRK2;MATN2;MMP14;MYH10;MYH14;MYO1B;MYO1D;MYOC;NBL1;NEXN;NOS3;NOTCH1;NR4A1;NRP2;ONECUT2;PIK3C2B;PLXND1;RELN;RHOC;ROBO2;RPS6KA5;RREB1;SCN4B;SEMA5A;SGK1;SGK3;SH3RF2;SLC16A1;SLC7A10;SLC8B1;SMAD4;SMPD3;SPOCK3;STK26;STRIP2;SUN2;TGFB2;THBD;THBS4;TMEFF1;TMOD1;TF;TUBB2A;VASP;VCAM1;WNK1;WNT5A;ZSWIM6	3.83108201424656e-11
6	GO:0048856	9.02344119126125e-14	2.02565196775723	161.411391245956	238	5748	anatomical structure development	ABR;ACTN2;ACVR1C;ADAM23;ADAMTS2;ADAMTSL4;ADORA2A;ALDH1A2;ALKAL1;ANGPT2;ANLN;APCDD1;ARHGDIB;ARRDC3;ASB2;ASXL2;ATP1A2;ATP2B1;ATR;BBS2;BCL11B;BMP2K;BMP7;BTBD3;CALB1;CAMK4;CCDC88C;CCL7;CCN2;CCND1;CCR6;CD248;CD4;CDC42EP4;CDHR1;CDKL5;CEACAM1;CEACAM5;CEP63;CLDN5;CLEC3B;CNTN2;CNTN4;COCH;COL1A1;COL1A2;COL3A1;COL4A1;CPQ;CRLF1;CSMD3;CTSC;CUX2;CXCL14;DAB2;DACH1;DAZL;DAZ4;DAZ3;DAZ1;DAZ2;DCC;DCN;DLG5;DRD1;DRD2;EGR1;ELN;EPB41;EPHA3;EPHB4;EPS8;ETV4;F3;FABP7;FBLN1;FGD1;FGF10;FGFR3;FGFRL1;FGL2;FN1;FOXO1;FOXO3;FOXP1;FREM2;FYN;FZD7;FZD9;GATM;GCNT2;GDPD5;GJB2;GLIS2;H3C13;HAPLN2;HECW2;HEXIM1;HEYL;HLF;HSPB1;HTRA1;IKZF3;IL1RAPL1;IL33;INF2;INHBA;ITGA11;ITGA6;ITGB4;ITPR1;JCAD;KANK1;KCNAB1;KCNK2;KDM3A;KDR;KIF13B;KMT2A;KREMEN1;KRT10;KRT17;LAMC3;LDB3;LDLRAD4;LGI4;LGR4;LRFN5;LRRK2;LRRN3;LSR;MATN2;MEI4;MGP;MME;MMP14;MUSK;MYH10;MYH14;MYO1D;MYO3B;MYOC;NBL1;NEXN;NGEF;NID1;NOS3;NOTCH1;NR2F6;NR4A1;NRP2;ONECUT2;OSR1;PALMD;PAQR7;PARVB;PCDHB16;PCDHB11;PCDHB12;PCDHB5;PCOLCE;PCSK2;PCSK9;PDCD4;PDE1B;PENK;PER2;PGM5;PHGDH;PKDCC;PLXDC1;PLXND1;PPP1R9A;PREX2;QDPR;RAMP2;RANBP3L;RARB;RELN;RGS2;RGS4;RGS9;RHOC;ROBO2;RPE65;RPS6KA5;RREB1;RXRG;RYR1;S1PR5;SAT1;SCRG1;SEMA5A;SERPINH1;SGK1;SHB;SKIL;SLC24A3;SLC38A2;SLC38A3;SMAD4;SMPD3;SOX13;SOX2;SOX21;SPEN;STMN4;STRA6;STRIP2;STRN;SUN2;SYNE1;TAGLN;TENM3;TGFB2;THBS4;THSD7A;TIAM2;TIMP4;TIPARP;TMEFF1;TMOD1;TPBG;TRAF4;TF;TSPEAR;TSSK3;TUBB2A;UTP14C;VASP;VCAM1;WNK1;WNT5A;WNT7B;YWHAG;ZNF365;ZFP36L2;ZSWIM6	9.00389040201352e-11
7	GO:0040012	2.39976763215626e-13	3.01987552700261	26.6210854038215	69	948	regulation of locomotion	ABR;ACVR1C;ADORA2A;ANGPT2;ARHGDIB;ARHGEF39;ARRDC3;ATP8A1;BBS2;BMP7;CCL7;CCR6;CEACAM1;CEACAM6;CHRM4;CLDN5;COL1A1;COL3A1;CXCL14;DAB2;DACH1;DCN;DLG5;DRD1;DRD2;F3;FBLN1;FGF10;FN1;FOXO3;FOXP1;GCNT2;HSPB1;IL33;ITGA6;JCAD;KANK1;KDR;LDLRAD4;LIMCH1;LRRK2;MMP14;MYOC;NBL1;NEXN;NOS3;NOTCH1;NRP2;ONECUT2;PLXND1;RELN;RHOC;ROBO2;RREB1;SEMA5A;SGK1;SGK3;SH3RF2;SLC8B1;SMPD3;SPOCK3;STK26;SUN2;TGFB2;THBS4;TF;WNK1;WNT5A;ZSWIM6	2.0524869733885e-10
8	GO:0050793	4.54222419151595e-13	2.23992805345901	71.15804895916	131	2534	regulation of developmental process	ABR;ACVR1C;ALKAL1;ANGPT2;APCDD1;ARHGDIB;ASXL2;ATP2B1;BBS2;BCL11B;BMP2K;BMP7;CAMK4;CCL7;CCN2;CCND1;CD4;CDC42EP4;CDKL5;CEACAM1;CEACAM5;CLDN5;CNTN2;CNTN4;COCH;COL1A1;COL3A1;CSMD3;CTSC;CUX2;CXCL14;DAB2;DCC;DCN;DLG5;DRD2;EGR1;EPB41;EPHA3;EPS8;ETV4;F3;FBLN1;FGD1;FGF10;FGFR3;FGL2;FN1;FOXO1;FOXO3;FOXP1;FYN;FZD7;FZD9;GCNT2;GDPD5;H3C13;HECW2;HEYL;HSPB1;IKZF3;IL1RAPL1;INF2;INHBA;ITGA6;JCAD;KANK1;KCNK2;KDM3A;KDR;KIF13B;KMT2A;KREMEN1;KRT10;KRT17;LDLRAD4;LGI4;LGR4;LRFN5;LRRK2;LRRN3;MGP;MME;MMP14;MUSK;MYH10;MYH14;MYOC;NBL1;NGEF;NOS3;NOTCH1;OSR1;PALMD;PARVB;PDCD4;PER2;PKDCC;PLS1;PLXND1;PPP1R9A;RAMP2;RANBP3L;RARB;RELN;RGS2;RGS4;RHOC;ROBO2;RREB1;S1PR5;SEMA5A;SKIL;SMAD4;SMPD3;SOX13;SOX2;SPEN;STRIP2;TENM3;TGFB2;THBS4;TIAM2;TPBG;WNK1;WNT5A;WNT7B;YWHAG;ZNF365;ZFP36L2;ZSWIM6	3.39928702932575e-10
9	GO:0007155	6.41876147474275e-13	2.6016157392777	39.7350589097125	88	1415	cell adhesion	ABI3BP;ACTN2;ADAM23;ADORA2A;ANGPT2;ARHGDIB;BMP7;CCN2;CD4;CDHR1;CEACAM8;CEACAM1;CEACAM5;CEACAM6;CERCAM;CLDN5;CNTN2;CNTN4;CNTNAP3B;CNTNAP3;COL1A1;COL3A1;DLG5;DST;EPHA3;EPHB4;ERBIN;FBLN1;FGFRL1;FGL2;FN1;FREM2;FYN;FZD7;GCNT2;HAPLN2;HSPB1;IGFBP2;IGSF11;IL1RAPL1;ISLR;ITGA11;ITGA6;ITGB4;JCAD;KANK1;KDR;KIFC3;KIRREL2;LAMC3;LIMCH1;LMO7;LRFN5;MMP14;MYH10;MYOC;NEXN;NID1;NOTCH1;NRP2;ONECUT2;PARVB;PCDH20;PCDHB16;PCDHB11;PCDHB12;PCDHB5;PCDHGA1;PCDHGB7;PEAR1;PGM5;PLXND1;RELN;ROBO2;RREB1;SEMA5A;SORBS1;SOX13;SOX2;STXBP6;TENM3;TGFB2;THBS4;TPBG;VCAM1;WNK1;WNT5A;WNT7B	4.26990277214276e-10
10	GO:0022610	8.45358984766136e-13	2.58672276764843	39.9316281057323	88	1422	biological adhesion	ABI3BP;ACTN2;ADAM23;ADORA2A;ANGPT2;ARHGDIB;BMP7;CCN2;CD4;CDHR1;CEACAM8;CEACAM1;CEACAM5;CEACAM6;CERCAM;CLDN5;CNTN2;CNTN4;CNTNAP3B;CNTNAP3;COL1A1;COL3A1;DLG5;DST;EPHA3;EPHB4;ERBIN;FBLN1;FGFRL1;FGL2;FN1;FREM2;FYN;FZD7;GCNT2;HAPLN2;HSPB1;IGFBP2;IGSF11;IL1RAPL1;ISLR;ITGA11;ITGA6;ITGB4;JCAD;KANK1;KDR;KIFC3;KIRREL2;LAMC3;LIMCH1;LMO7;LRFN5;MMP14;MYH10;MYOC;NEXN;NID1;NOTCH1;NRP2;ONECUT2;PARVB;PCDH20;PCDHB16;PCDHB11;PCDHB12;PCDHB5;PCDHGA1;PCDHGB7;PEAR1;PGM5;PLXND1;RELN;ROBO2;RREB1;SEMA5A;SORBS1;SOX13;SOX2;STXBP6;TENM3;TGFB2;THBS4;TPBG;VCAM1;WNK1;WNT5A;WNT7B	5.06116424179486e-10
