GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0009653	1.25440109051032e-14	3.69526358552789	26.6662594673833	68	2630	anatomical structure morphogenesis	ABR;ALDH1A2;ANGPT2;APCDD1;BMP7;BTBD3;CCL7;CD248;CDC42EP4;CDHR1;CLDN5;COL1A1;COL1A2;COL3A1;COL4A1;CUX2;DAB2;DCN;DLG5;ELN;EPHA3;EPHB4;EPS8;FBLN1;FGD1;FGF10;FGFR3;FGFRL1;FN1;FYN;FZD7;HEYL;HSPB1;HTRA1;ITGA6;KANK1;KDR;KRT17;LAMC3;LGR4;MATN2;MGP;MMP14;MYOC;NBL1;NOS3;NOTCH1;NRP2;OSR1;PALMD;PARVB;PDCD4;PGM5;PKDCC;RAMP2;RHOC;RREB1;SAT1;SEMA5A;SERPINH1;SOX13;SOX2;SOX21;STRA6;TGFB2;VASP;WNT5A;WNT7B	5.04269238385147e-11
2	GO:0048856	3.37200052193674e-12	2.98330342902711	58.2500610798925	102	5745	anatomical structure development	ABR;ALDH1A2;ANGPT2;APCDD1;ATP1A2;BMP7;BTBD3;CCL7;CCND1;CD248;CDC42EP4;CDHR1;CLDN5;CLEC3B;COL1A1;COL1A2;COL3A1;COL4A1;CPQ;CRLF1;CTSC;CUX2;CXCL14;DAB2;DCN;DLG5;ELN;EPHA3;EPHB4;EPS8;ETV4;FABP7;FBLN1;FGD1;FGF10;FGFR3;FGFRL1;FGL2;FN1;FYN;FZD7;FZD9;GJB2;GLIS2;H3C13;HEXIM1;HEYL;HSPB1;HTRA1;ITGA6;KANK1;KDR;KRT17;LAMC3;LGR4;LRFN5;LRRN3;LSR;MATN2;MGP;MMP14;MYOC;NBL1;NID1;NOS3;NOTCH1;NR2F6;NRP2;OSR1;PALMD;PAQR7;PARVB;PCOLCE;PDCD4;PGM5;PKDCC;RAMP2;RANBP3L;RHOC;RREB1;SAT1;SCRG1;SEMA5A;SERPINH1;SLC24A3;SLC38A2;SLC38A3;SOX13;SOX2;SOX21;STRA6;TGFB2;TIMP4;TRAF4;TSSK3;TUBB2A;VASP;VCAM1;WNT5A;WNT7B;YWHAG;ZFP36L2	6.7750674607347e-09
3	GO:0048513	6.20037705407779e-12	3.06194387515307	35.6090886880039	75	3512	animal organ development	ABR;ALDH1A2;ANGPT2;APCDD1;ATP1A2;BMP7;BTBD3;CCND1;CD248;CLDN5;CLEC3B;COL1A1;COL1A2;COL3A1;COL4A1;CRLF1;CXCL14;DAB2;DCN;DLG5;ELN;EPHA3;EPHB4;ETV4;FABP7;FGD1;FGF10;FGFR3;FGFRL1;FGL2;FN1;FYN;FZD7;FZD9;GJB2;GLIS2;H3C13;HEXIM1;HEYL;HTRA1;ITGA6;KDR;KRT17;LAMC3;LGR4;LSR;MGP;MMP14;MYOC;NBL1;NID1;NOS3;NOTCH1;NRP2;OSR1;PDCD4;PKDCC;RAMP2;RANBP3L;RREB1;SEMA5A;SERPINH1;SLC24A3;SLC38A2;SLC38A3;SOX13;SOX2;SOX21;STRA6;TGFB2;TRAF4;VCAM1;WNT5A;WNT7B;ZFP36L2	6.7750674607347e-09
4	GO:0048731	6.74136065744746e-12	2.9447300480116	48.0398240899096	90	4738	system development	ABR;ALDH1A2;ANGPT2;APCDD1;ATP1A2;BMP7;BTBD3;CCND1;CD248;CDHR1;CLDN5;CLEC3B;COL1A1;COL1A2;COL3A1;COL4A1;CRLF1;CTSC;CUX2;CXCL14;DAB2;DCN;DLG5;ELN;EPHA3;EPHB4;ETV4;FABP7;FGD1;FGF10;FGFR3;FGFRL1;FGL2;FN1;FYN;FZD7;FZD9;GJB2;GLIS2;H3C13;HEXIM1;HEYL;HSPB1;HTRA1;ITGA6;KANK1;KDR;KRT17;LAMC3;LGR4;LRFN5;LRRN3;LSR;MATN2;MGP;MMP14;MYOC;NBL1;NID1;NOS3;NOTCH1;NR2F6;NRP2;OSR1;PDCD4;PKDCC;RAMP2;RANBP3L;RREB1;SAT1;SCRG1;SEMA5A;SERPINH1;SLC24A3;SLC38A2;SLC38A3;SOX13;SOX2;SOX21;STRA6;TGFB2;TIMP4;TRAF4;TUBB2A;VASP;VCAM1;WNT5A;WNT7B;YWHAG;ZFP36L2	6.7750674607347e-09
5	GO:0016477	1.0486131504654e-11	3.87776839952924	14.4281700464207	44	1423	cell migration	ABR;ANGPT2;APCDD1;BMP7;CCL7;CD248;CLDN5;COL1A1;COL1A2;COL3A1;CORO6;CXCL14;DAB2;DCN;DLG5;EPHA3;EPHB4;EPS8;FGF10;FN1;FYN;HSPB1;ITGA6;KANK1;KDR;LAMC3;MATN2;MMP14;MYOC;NBL1;NOS3;NOTCH1;NRP2;RHOC;RREB1;SEMA5A;SLC16A1;SLC7A10;SLC8B1;TGFB2;THBD;TUBB2A;VCAM1;WNT5A	8.43084972974182e-09
6	GO:0050793	1.34688183648453e-11	3.23075380759591	25.6624725140484	61	2531	regulation of developmental process	ABR;ANGPT2;APCDD1;BMP7;CCL7;CCND1;CDC42EP4;CLDN5;COL1A1;COL3A1;CTSC;CUX2;CXCL14;DAB2;DCN;DLG5;EPHA3;EPS8;ETV4;FBLN1;FGD1;FGF10;FGFR3;FGL2;FN1;FYN;FZD7;FZD9;H3C13;HEYL;HSPB1;ITGA6;KANK1;KDR;KRT17;LGR4;LRFN5;LRRN3;MGP;MMP14;MYOC;NBL1;NOS3;NOTCH1;OSR1;PALMD;PARVB;PDCD4;PKDCC;RAMP2;RANBP3L;RHOC;RREB1;SEMA5A;SOX13;SOX2;TGFB2;WNT5A;WNT7B;YWHAG;ZFP36L2	9.02410830444638e-09
7	GO:0071310	3.84779193485025e-11	3.13595021901378	26.301246029807	61	2594	cellular response to organic substance	ALDH1A2;ANGPT2;ATP1A2;BMP7;CA1;CCL7;CCND1;CDC42EP4;CLDN5;CLEC3B;COL1A1;COL1A2;COL3A1;COL4A1;COLEC12;CRLF1;CUX2;DAB2;DCN;EPHA3;EPS8;FGF10;FGFR3;FGFRL1;FMOD;FN1;FYN;FZD7;GJB2;H3C13;HEYL;HSPB1;HTRA1;IGFBP2;IRGM;ITGA6;KANK1;KDR;LGR4;MRC1;MTSS2;NBL1;NOS3;NOTCH1;NRP2;OSR1;PAQR7;PCOLCE;PDCD4;RAMP2;SH3BP4;SLC16A1;SOX2;TGFB2;TRAF3;TRAF4;VCAM1;WNT5A;WNT7B;YWHAG;ZFP36L2	2.03095621611803e-08
8	GO:0010033	4.04170391267271e-11	2.99183338245667	32.2631321768874	69	3182	response to organic substance	ABR;ALDH1A2;ANGPT2;ATP1A2;BMP7;CA1;CCL7;CCND1;CDC42EP4;CLDN5;CLEC3B;CNGA3;COL1A1;COL1A2;COL3A1;COL4A1;COLEC12;CRLF1;CTSC;CUX2;DAB2;DCN;EPHA3;EPS8;FGF10;FGFR3;FGFRL1;FMOD;FN1;FYN;FZD7;GJB2;H3C13;HEYL;HSPB1;HTRA1;IGFBP2;IRGM;ITGA6;KANK1;KDR;LGR4;MMP14;MRC1;MTSS2;NBL1;NOS3;NOTCH1;NRP2;OSR1;PAQR7;PCOLCE;PDCD4;RAMP2;SERPINH1;SH3BP4;SLC16A1;SLC22A6;SOX2;TGFB2;THBD;TIMP4;TRAF3;TRAF4;VCAM1;WNT5A;WNT7B;YWHAG;ZFP36L2	2.03095621611803e-08
9	GO:0030198	5.59549888885807e-11	6.64919108669109	3.91375519179086	22	386	extracellular matrix organization	COL1A1;COL1A2;COL3A1;COL4A1;COL4A5;DCN;ELN;FBLN1;FMOD;FN1;HTRA1;ITGA6;KDR;LAMC3;MMP14;NID1;NOTCH1;OLFML2A;RAMP2;SERPINH1;TGFB2;VCAM1	2.31410961438344e-08
10	GO:0043062	5.88204594096149e-11	6.63055555555556	3.92389445394576	22	387	extracellular structure organization	COL1A1;COL1A2;COL3A1;COL4A1;COL4A5;DCN;ELN;FBLN1;FMOD;FN1;HTRA1;ITGA6;KDR;LAMC3;MMP14;NID1;NOTCH1;OLFML2A;RAMP2;SERPINH1;TGFB2;VCAM1	2.31410961438344e-08
