GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0021756	3.6715070533443e-10	44.9622377622378	0.32311637562584	8	18	striatum development	BBS2;BCL11B;DRD1;DRD2;INHBA;LRRK2;RARB;ZSWIM6	1.65841973599562e-06
2	GO:0007626	2.17115291813144e-09	6.28095584415584	3.48247649285627	19	194	locomotory behavior	ADCY5;ADORA2A;ARRDC3;CALB1;CIART;CNTN2;DRD1;DRD2;EGR1;GPR52;LGI4;LRRK2;PDE1B;PENK;PPP1R1B;PREX2;RELN;STRN;TMOD1	4.07816239656729e-06
3	GO:0007610	2.70854265877836e-09	3.60509632463451	10.7166931249237	34	597	behavior	ADCY5;ADORA2A;ARRDC3;ATP8A1;BBS2;CALB1;CAMK4;CIART;CNTN2;DACH1;DGKI;DRD1;DRD2;EGR1;GATM;GPR52;HTR1B;KCNAB1;KCNK2;LGI4;LRRK2;MME;MUSK;MYH14;PDE1B;PENK;PER3;PPP1R1B;PREX2;RELN;SGK1;STRN;THBS4;TMOD1	4.07816239656729e-06
4	GO:0001975	4.52727425360581e-09	21.1315789473684	0.592380021980706	9	33	response to amphetamine	ADORA2A;DRD1;DRD2;PDE1B;PPP1R1B;RANBP2;RGS2;RGS4;RGS9	5.0760147529539e-06
5	GO:0021544	5.61878985272736e-09	28.0909090909091	0.430821834167786	8	24	subpallium development	BBS2;BCL11B;DRD1;DRD2;INHBA;LRRK2;RARB;ZSWIM6	5.0760147529539e-06
6	GO:0014075	1.2832317603272e-07	13.3346260387812	0.843692758578581	9	47	response to amine	ADORA2A;DRD1;DRD2;PDE1B;PPP1R1B;RANBP2;RGS2;RGS4;RGS9	9.66059643566325e-05
7	GO:0040011	1.82798276215851e-07	2.24198824405661	31.8628648186592	62	1775	locomotion	ACVR1C;ADORA2A;ANLN;ARHGDIB;ARHGEF39;ARRDC3;ATP8A1;BBS2;BCL11B;CACNA1I;CCN2;CCR6;CDKL5;CEACAM3;CEACAM8;CEACAM1;CEACAM5;CEACAM6;PSG2;PSG1;CHRM4;CNTN2;CNTN4;DACH1;DCC;DRD1;DRD2;DST;F3;FOXO3;FOXP1;GCNT2;IL33;ITGA11;ITGB4;JCAD;LDLRAD4;LIMCH1;LRRK2;MYH10;NEXN;NR4A1;ONECUT2;PIK3C2B;PLXND1;RELN;ROBO2;RPS6KA5;SGK1;SGK3;SH3RF2;SMAD4;SMPD3;SPOCK3;STK26;STRIP2;SUN2;THBS4;TMEFF1;TF;WNK1;ZSWIM6	0.000117957116238143
8	GO:0007156	2.50879063105009e-07	5.78901482127289	2.92599829038955	15	163	homophilic cell adhesion via plasma membrane adhesion molecules	CEACAM1;CEACAM5;CEACAM6;CNTN2;CNTN4;IGSF11;NEXN;PCDHB16;PCDHB11;PCDHB12;PCDHB5;PCDHGA1;PCDHGB7;ROBO2;TENM3	0.000128841877970937
9	GO:0006928	2.56713947695026e-07	2.14698233221875	36.7096104530468	68	2045	movement of cell or subcellular component	ACTN2;ACVR1C;ANLN;ARHGDIB;ARHGEF39;ATP8A1;BBS2;BCL11B;CACNA1I;CCDC88C;CCN2;CCR6;CDKL5;CEACAM3;CEACAM8;CEACAM1;CEACAM5;CEACAM6;PSG2;PSG1;CNTN2;CNTN4;DACH1;DCC;DRD1;DRD2;DST;F3;FNBP1L;FOXO3;FOXP1;GCNT2;IL33;ITGA11;ITGB4;JCAD;KIF13B;LDLRAD4;LIMCH1;LRRK2;MYH10;MYH14;MYO1B;MYO1D;NEXN;NR4A1;ONECUT2;PIK3C2B;PLXND1;RELN;ROBO2;RPS6KA5;SCN4B;SGK1;SGK3;SH3RF2;SMAD4;SMPD3;SPOCK3;STK26;STRIP2;SUN2;THBS4;TMEFF1;TMOD1;TF;WNK1;ZSWIM6	0.000128841877970937
10	GO:0040012	1.09402940211842e-06	2.55322591082638	17.0174624496275	39	948	regulation of locomotion	ACVR1C;ADORA2A;ARHGDIB;ARHGEF39;ARRDC3;ATP8A1;BBS2;CCR6;CEACAM1;CEACAM6;CHRM4;DACH1;DRD1;DRD2;F3;FOXO3;FOXP1;GCNT2;IL33;JCAD;LDLRAD4;LIMCH1;LRRK2;NEXN;ONECUT2;PLXND1;RELN;ROBO2;SGK1;SGK3;SH3RF2;SMPD3;SPOCK3;STK26;SUN2;THBS4;TF;WNK1;ZSWIM6	0.00049417308093689
