GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0031012	1.16028073678576e-14	3.95493991204346	15.3639491485888	52	557	extracellular matrix	ABI3BP;ADAMTS2;ADAMTSL4;ANGPT2;BMP7;CCN2;CD248;CLEC3B;COCH;COL1A1;COL1A2;COL3A1;COL4A1;COL4A5;COLEC12;CTSC;DCN;DST;ELN;ERBIN;F3;FBLN1;FGF10;FGL2;FMOD;FN1;FREM2;HAPLN2;HTRA1;IMPG1;ITGA6;ITIH2;LAMC3;LINGO3;LRRN3;MATN2;MGP;MMP14;MYOC;NID1;OGN;OLFML2A;PCOLCE;RELN;SERPINB1;SERPING1;SERPINH1;TGFB2;THBS4;TIMP4;TMEFF1;WNT5A	3.75619217673818e-12
2	GO:0005576	1.17564700367392e-14	2.1490183573999	109.450898063914	183	3968	extracellular region	ABI3BP;ACTN2;ACY1;ADAM23;ADAMTS2;ADAMTSL4;ALKAL1;ANGPT2;ARHGDIB;ARSG;ATP1A2;ATP2B1;ATP8A1;BMP7;C4B;C4A;CALB1;CAMK4;CA1;CA11;CA4;CCL7;CCN2;CD248;PSG8;PSG3;PSG7;PSG4;PSG11;PSG9;PSG5;CEACAM8;CEACAM1;CEACAM7;CEACAM5;CEACAM6;PSG2;PSG6;PSG1;CHMP3;CLEC3B;CNTLN;CNTN4;CNTNAP3;COCH;COL1A1;COL1A2;COL3A1;COL4A1;COL4A5;COLEC12;CP;CPQ;CRLF1;CST9L;CTSC;CUX2;CXCL14;DCN;DST;ELN;ENHO;ENPP4;ENPP5;EPB41;EPHA3;EPHB4;EPHX2;EPS8;ERBIN;F3;FAM180A;FBLN1;FGF10;FGFR3;FGL2;FMOD;FN1;FREM2;GATM;GIPC2;GLRX;GPR155;GPX6;H2BC8;H3C13;HAPLN2;HSPB1;HTRA1;IGFBP2;IL33;IMPG1;INHBA;ISLR;ITGA6;ITGB4;ITIH2;JADE2;KDR;KIFC3;KRT10;LAMC3;LGI4;LINGO3;LRRK2;LRRN3;LSR;LYPD2;MATN2;MGP;MME;MMP14;MTCL1;MUC3A;MYH10;MYH14;MYO1B;MYO1D;MYOC;NBL1;NID1;NOTCH1;NRP2;NXPH3;OGN;OLFML2A;PCOLCE;PCSK2;PCSK9;PDE8A;PDIA4;PENK;PHGDH;PKDCC;PLEKHO2;PLS1;PLXDC1;PPIC;PTGDS;PYGM;QDPR;RELN;RHOC;ROBO2;RREB1;RYR1;SCRG1;SEMA5A;SERPINA9;SERPINB1;SERPING1;SERPINH1;SH3BP4;SLC16A1;SLC22A6;SLC22A8;SLC4A4;SLC6A13;SLC9A3R2;SMPD3;SPEN;SPOCK3;ST3GAL1;STK26;TAFA2;TGFA;TGFB2;THBD;THBS4;THSD7A;TIAM2;TIMP4;TMEFF1;TMEM63A;TOMM70;TF;TSPEAR;TUBB2A;VASP;VCAM1;WNT5A;WNT7B;YWHAG	3.75619217673818e-12
3	GO:0071944	9.68703406722013e-14	2.02105525886996	146.136808957313	222	5298	cell periphery	ABR;ACTN2;ACVR1C;ADAM23;ADCY5;ADORA2A;ANGPT2;ANLN;ANO3;APCDD1;ARHGAP10;ARHGEF39;ARL4D;ARRDC2;ARRDC3;ATP1A2;ATP2B1;ATP8A1;BBS2;C4B;C4A;CACHD1;CACNA1I;CACNA2D3;CALB1;CALN1;CA11;CA4;CCN2;CCR6;CD248;CD4;CDC42EP4;CDHR1;CDKL5;CEACAM3;CEACAM8;CEACAM1;CEACAM7;CEACAM5;CEACAM6;CERCAM;CHMP3;CHRM4;CLDN5;CNGA3;CNTN2;CNTN4;CNTNAP3;COLEC12;CP;CRLF1;CSMD3;C10orf90;DAB2;DCC;DGKB;DGKI;DLG5;DRD1;DRD2;DST;EEPD1;ENHO;ENPP4;ENPP5;EPB41;EPHA3;EPHB4;EPS8;ERBIN;ETNK1;F3;FABP7;FGF10;FGFR3;FGFRL1;FN1;FNBP1L;FREM2;FYN;FZD7;FZD9;GABRD;GJB2;GPR139;GPR52;GPR6;GPR83;GRM3;HSPB1;HTR1B;HTRA1;IGFBP2;IGSF11;IKZF3;IL1RAPL1;IRGM;ITGA11;ITGA6;ITGB4;ITPR1;JCAD;KANK1;KCNA4;KCNAB1;KCNH4;KCNK13;KCNK2;KDR;KIRREL2;KLF9;KREMEN1;KRT10;KRT17;LGR4;LMO7;LRFN5;LRRK2;LSR;LYPD2;MME;MMP14;MRC1;MTCL1;MTSS2;MUC3A;MUSK;MYH10;MYO1B;MYO1D;NEXN;NID1;NOS3;NOTCH1;NRBP1;NRP2;PAQR7;PARVB;PCDH20;PCDHB16;PCDHB11;PCDHB12;PCDHB5;PCDHGA1;PCDHGB7;PCSK9;PEAR1;PENK;PGM5;PHKB;PIK3C2B;PLS1;PLXDC1;PLXND1;PMEPA1;PPP1R9A;PREX2;RAMP2;RAPGEF4;RASGRP2;RELN;REM2;RGS2;RGS4;RGS7BP;RGS9;RHOC;ROBO2;RPE65;RYR1;RYR3;S1PR5;SCN4B;SEMA5A;SGK1;SH3BP4;SHB;SLC13A4;SLC16A1;SLC22A6;SLC22A8;SLC24A3;SLC31A1;SLC38A2;SLC38A3;SLC4A4;SLC6A13;SLC6A20;SLC7A10;SLC8B1;SLC9A3R2;SLCO1A2;SLCO1C1;SMPD3;SORBS1;STK26;STK32A;STRA6;STRN;STXBP6;SYNE1;TENM3;TGFA;THBD;THSD7A;TLCD1;TMEFF1;TMEM63A;TMOD1;TMPRSS9;TPBG;TRAF3;TRAF4;TF;TRPM3;TSPEAR;VASP;VCAM1;VIPR1;WNT5A;WNT7B	2.06333825631789e-11
4	GO:0062023	1.35960639032062e-13	4.29973614775726	11.6401912759505	43	422	collagen-containing extracellular matrix	ABI3BP;ADAMTS2;ADAMTSL4;ANGPT2;BMP7;CCN2;CLEC3B;COCH;COL1A1;COL1A2;COL3A1;COL4A1;COL4A5;CTSC;DCN;DST;ELN;ERBIN;F3;FBLN1;FGF10;FGL2;FMOD;FN1;FREM2;HTRA1;IMPG1;ITGA6;ITIH2;LAMC3;MATN2;MGP;MYOC;NID1;OGN;PCOLCE;SERPINB1;SERPING1;SERPINH1;TGFB2;THBS4;TMEFF1;WNT5A	2.1719712085372e-11
5	GO:0005886	2.92567386858123e-12	1.93870588572575	143.350886400746	214	5197	plasma membrane	ABR;ACTN2;ACVR1C;ADAM23;ADCY5;ADORA2A;ANGPT2;ANO3;APCDD1;ARHGAP10;ARHGEF39;ARL4D;ARRDC2;ARRDC3;ATP1A2;ATP2B1;ATP8A1;BBS2;C4B;C4A;CACHD1;CACNA1I;CACNA2D3;CALN1;CA11;CA4;CCN2;CCR6;CD248;CD4;CDC42EP4;CDHR1;CDKL5;CEACAM3;CEACAM8;CEACAM1;CEACAM7;CEACAM5;CEACAM6;CERCAM;CHMP3;CHRM4;CLDN5;CNGA3;CNTN2;CNTN4;CNTNAP3;COLEC12;CP;CRLF1;CSMD3;C10orf90;DAB2;DCC;DGKB;DGKI;DLG5;DRD1;DRD2;DST;EEPD1;ENHO;ENPP4;ENPP5;EPB41;EPHA3;EPHB4;EPS8;ERBIN;ETNK1;F3;FGF10;FGFR3;FGFRL1;FN1;FNBP1L;FREM2;FYN;FZD7;FZD9;GABRD;GJB2;GPR139;GPR52;GPR6;GPR83;GRM3;HSPB1;HTR1B;HTRA1;IGFBP2;IGSF11;IKZF3;IL1RAPL1;IRGM;ITGA11;ITGA6;ITGB4;ITPR1;JCAD;KANK1;KCNA4;KCNAB1;KCNH4;KCNK13;KCNK2;KDR;KIRREL2;KLF9;KREMEN1;KRT10;LGR4;LMO7;LRFN5;LRRK2;LSR;LYPD2;MME;MMP14;MRC1;MTCL1;MTSS2;MUC3A;MUSK;MYH10;MYO1B;MYO1D;NEXN;NID1;NOS3;NOTCH1;NRP2;PAQR7;PARVB;PCDH20;PCDHB16;PCDHB11;PCDHB12;PCDHB5;PCDHGA1;PCDHGB7;PCSK9;PEAR1;PENK;PGM5;PHKB;PIK3C2B;PLXDC1;PLXND1;PMEPA1;PREX2;RAMP2;RAPGEF4;RASGRP2;RELN;REM2;RGS2;RGS4;RGS7BP;RGS9;RHOC;ROBO2;RPE65;RYR1;RYR3;S1PR5;SCN4B;SEMA5A;SGK1;SH3BP4;SHB;SLC13A4;SLC16A1;SLC22A6;SLC22A8;SLC24A3;SLC31A1;SLC38A2;SLC38A3;SLC4A4;SLC6A13;SLC6A20;SLC7A10;SLC8B1;SLC9A3R2;SLCO1A2;SLCO1C1;SMPD3;SORBS1;STK26;STK32A;STRA6;STRN;STXBP6;SYNE1;TENM3;TGFA;THBD;THSD7A;TLCD1;TMEFF1;TMEM63A;TMPRSS9;TPBG;TRAF3;TRAF4;TF;TRPM3;TSPEAR;VASP;VCAM1;VIPR1;WNT5A;WNT7B	3.73901120404682e-10
6	GO:0098590	1.7044359674994e-10	2.49165421792619	33.4034872871472	73	1211	plasma membrane region	ACTN2;ADAM23;ADORA2A;ATP1A2;ATP2B1;BBS2;CA11;CA4;CDHR1;CDKL5;CEACAM1;CEACAM7;CEACAM5;CEACAM6;CHRM4;CLDN5;CNTN2;DAB2;DCC;DGKI;DRD1;DRD2;DST;EPB41;EPS8;ERBIN;FN1;FZD9;GABRD;GRM3;HTR1B;IGFBP2;IL1RAPL1;ITGA6;JCAD;KANK1;KCNK2;LMO7;LRFN5;LRRK2;MTCL1;MTSS2;MUSK;MYH10;MYO1D;NOS3;NOTCH1;NRP2;PLXND1;RAMP2;RASGRP2;RGS7BP;RGS9;RHOC;ROBO2;SH3BP4;SLC16A1;SLC22A6;SLC22A8;SLC38A3;SLC4A4;SLC6A13;SLC6A20;SLC9A3R2;SLCO1C1;STK26;STRN;SYNE1;TGFA;THBD;TF;TSPEAR;VASP	1.81522430538686e-08
7	GO:0005615	1.41520187468394e-08	1.84486681836434	83.4121763470959	132	3024	extracellular space	ABI3BP;ACTN2;ACY1;ANGPT2;ARHGDIB;ARSG;ATP2B1;ATP8A1;BMP7;C4B;C4A;CALB1;CAMK4;CA1;CA4;CCL7;CCN2;CD248;CEACAM8;CEACAM1;CEACAM5;CEACAM6;CHMP3;CLEC3B;CNTLN;COL1A1;COL1A2;COL3A1;COL4A1;COL4A5;COLEC12;CP;CPQ;CRLF1;CST9L;CTSC;CUX2;CXCL14;DCN;ENPP4;EPHB4;EPHX2;EPS8;F3;FBLN1;FGF10;FGL2;FMOD;FN1;FREM2;GATM;GIPC2;GLRX;GPR155;H2BC8;H3C13;HSPB1;HTRA1;IGFBP2;IL33;INHBA;ISLR;ITGB4;ITIH2;JADE2;KIFC3;KRT10;LGI4;LINGO3;LRRK2;LRRN3;LSR;MGP;MME;MMP14;MTCL1;MYH10;MYH14;MYO1B;MYO1D;MYOC;NBL1;NID1;OGN;PCOLCE;PCSK2;PCSK9;PDE8A;PDIA4;PHGDH;PLS1;PPIC;PTGDS;PYGM;QDPR;RELN;RHOC;ROBO2;RREB1;RYR1;SCRG1;SEMA5A;SERPINA9;SERPINB1;SERPING1;SERPINH1;SH3BP4;SLC16A1;SLC22A6;SLC22A8;SLC4A4;SLC6A13;SLC9A3R2;SPEN;ST3GAL1;STK26;TAFA2;TGFA;TGFB2;THBD;THBS4;TIAM2;TIMP4;TMEM63A;TOMM70;TF;TUBB2A;VASP;VCAM1;WNT5A;WNT7B;YWHAG	1.29187713989006e-06
8	GO:0030054	4.99250779253774e-08	1.94693937642453	56.4907860975041	97	2048	cell junction	ABLIM3;ABR;ACTN2;ADAM23;ADORA2A;ATP1A2;ATP2B1;ATP8A1;C4B;C4A;CALB1;CAMK2N1;CAMK4;CCDC88C;CCND1;CDC42EP4;CDKL5;CEACAM1;CGNL1;CHRM4;CLDN5;CNTN2;COL4A5;DAB2;DCC;DGKB;DGKI;DLG5;DRD1;DRD2;DST;EPB41;EPS8;ERBIN;FABP7;FGFR3;FGFRL1;FRMD4A;FYN;FZD9;GABRD;GJB2;GRM3;HSPB1;HTR1B;IGSF11;IL1RAPL1;ITGA11;ITGA6;ITGB4;ITPR1;JCAD;KCNA4;KCNK2;KDR;KIFC3;KIRREL2;LDB3;LMO7;LRFN5;LRRK2;LSR;MME;MMP14;MUSK;MYH10;NEXN;NOTCH1;NRP2;PALMD;PARVB;PCDHB16;PCDHB11;PCDHB5;PENK;PGM5;PLXDC1;PPP1R1B;PPP1R9A;RAPGEF4;RASGRP2;RGS7BP;RGS9;SCN4B;SLC16A1;SLC9A3R2;SORBS1;STARD10;STRN;STXBP6;SYNE1;SYNPO2;TIAM2;TRAF4;VASP;WNT5A;YWHAG	3.98776559928952e-06
9	GO:1903561	1.31261031522388e-07	1.9184283307372	55.2495334732913	94	2003	extracellular vesicle	ACTN2;ACY1;ARHGDIB;ATP1A2;ATP2B1;ATP8A1;C4B;C4A;CALB1;CAMK4;CA1;CA4;CD248;CEACAM8;CEACAM1;CEACAM5;CHMP3;CLEC3B;CNTLN;COL1A2;CP;CPQ;CTSC;CUX2;ENPP4;EPHB4;EPHX2;EPS8;FBLN1;FGL2;FN1;FREM2;GATM;GIPC2;GLRX;GPR155;H2BC8;H3C13;HSPB1;HTRA1;IGFBP2;ISLR;ITGB4;ITIH2;JADE2;KIFC3;KRT10;LRRK2;LSR;MGP;MME;MYH10;MYH14;MYO1B;MYO1D;MYOC;NID1;OGN;PCOLCE;PDE8A;PHGDH;PLS1;PPIC;PTGDS;PYGM;QDPR;RHOC;ROBO2;RREB1;RYR1;SEMA5A;SERPINB1;SERPING1;SH3BP4;SLC16A1;SLC22A6;SLC22A8;SLC4A4;SLC6A13;SLC9A3R2;SPEN;ST3GAL1;STK26;THBS4;TIAM2;TMEM63A;TOMM70;TF;TUBB2A;VASP;VCAM1;WNT5A;WNT7B;YWHAG	8.11324934680606e-06
10	GO:0043230	1.37517964982628e-07	1.91616098438564	55.3047002565897	94	2005	extracellular organelle	ACTN2;ACY1;ARHGDIB;ATP1A2;ATP2B1;ATP8A1;C4B;C4A;CALB1;CAMK4;CA1;CA4;CD248;CEACAM8;CEACAM1;CEACAM5;CHMP3;CLEC3B;CNTLN;COL1A2;CP;CPQ;CTSC;CUX2;ENPP4;EPHB4;EPHX2;EPS8;FBLN1;FGL2;FN1;FREM2;GATM;GIPC2;GLRX;GPR155;H2BC8;H3C13;HSPB1;HTRA1;IGFBP2;ISLR;ITGB4;ITIH2;JADE2;KIFC3;KRT10;LRRK2;LSR;MGP;MME;MYH10;MYH14;MYO1B;MYO1D;MYOC;NID1;OGN;PCOLCE;PDE8A;PHGDH;PLS1;PPIC;PTGDS;PYGM;QDPR;RHOC;ROBO2;RREB1;RYR1;SEMA5A;SERPINB1;SERPING1;SH3BP4;SLC16A1;SLC22A6;SLC22A8;SLC4A4;SLC6A13;SLC9A3R2;SPEN;ST3GAL1;STK26;THBS4;TIAM2;TMEM63A;TOMM70;TF;TUBB2A;VASP;VCAM1;WNT5A;WNT7B;YWHAG	8.11324934680606e-06
