GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0031012	8.83766133472477e-20	8.64424592748292	5.44085896014472	36	555	extracellular matrix	ANGPT2;BMP7;CD248;CLEC3B;COL1A1;COL1A2;COL3A1;COL4A1;COL4A5;COLEC12;CTSC;DCN;ELN;FBLN1;FGF10;FGL2;FMOD;FN1;HTRA1;ITGA6;ITIH2;LAMC3;LRRN3;MATN2;MGP;MMP14;MYOC;NID1;OGN;OLFML2A;PCOLCE;SERPING1;SERPINH1;TGFB2;TIMP4;WNT5A	3.24342170984399e-17
2	GO:0062023	1.06804911624022e-17	9.24136008918618	4.11740678065006	30	420	collagen-containing extracellular matrix	ANGPT2;BMP7;CLEC3B;COL1A1;COL1A2;COL3A1;COL4A1;COL4A5;CTSC;DCN;ELN;FBLN1;FGF10;FGL2;FMOD;FN1;HTRA1;ITGA6;ITIH2;LAMC3;MATN2;MGP;MYOC;NID1;OGN;PCOLCE;SERPING1;SERPINH1;TGFB2;WNT5A	1.9598701283008e-15
3	GO:0005576	5.16412524045955e-16	3.62818675228376	38.8506739802766	87	3963	extracellular region	ANGPT2;ATP1A2;BMP7;CA1;CA4;CCL7;CD248;CLEC3B;COL1A1;COL1A2;COL3A1;COL4A1;COL4A5;COLEC12;CP;CPQ;CRLF1;CTSC;CUX2;CXCL14;DCN;ELN;ENHO;EPHA3;EPHB4;EPS8;FAM180A;FBLN1;FGF10;FGFR3;FGL2;FMOD;FN1;GLRX;H3C13;HSPB1;HTRA1;IGFBP2;ISLR;ITGA6;ITIH2;KDR;KIFC3;LAMC3;LRRN3;LSR;LYPD2;MATN2;MGP;MMP14;MYOC;NBL1;NID1;NOTCH1;NRP2;OGN;OLFML2A;PCOLCE;PDIA4;PKDCC;PLEKHO2;PPIC;PTGDS;PYGM;RHOC;RREB1;SCRG1;SEMA5A;SERPING1;SERPINH1;SH3BP4;SLC16A1;SLC22A6;SLC22A8;SLC6A13;SLC9A3R2;ST3GAL1;TAFA2;TGFB2;THBD;TIMP4;TUBB2A;VASP;VCAM1;WNT5A;WNT7B;YWHAG	6.31744654416219e-14
4	GO:0005615	6.2740445106662e-14	3.47841691420584	29.6159187722472	71	3021	extracellular space	ANGPT2;BMP7;CA1;CA4;CCL7;CD248;CLEC3B;COL1A1;COL1A2;COL3A1;COL4A1;COL4A5;COLEC12;CP;CPQ;CRLF1;CTSC;CUX2;CXCL14;DCN;EPHB4;EPS8;FBLN1;FGF10;FGL2;FMOD;FN1;GLRX;H3C13;HSPB1;HTRA1;IGFBP2;ISLR;ITIH2;KIFC3;LRRN3;LSR;MGP;MMP14;MYOC;NBL1;NID1;OGN;PCOLCE;PDIA4;PPIC;PTGDS;PYGM;RHOC;RREB1;SCRG1;SEMA5A;SERPING1;SERPINH1;SH3BP4;SLC16A1;SLC22A6;SLC22A8;SLC6A13;SLC9A3R2;ST3GAL1;TAFA2;TGFB2;THBD;TIMP4;TUBB2A;VASP;VCAM1;WNT5A;WNT7B;YWHAG	5.75643583853624e-12
5	GO:1903561	6.44568043780779e-10	3.16776157184185	19.6165023049542	49	2001	extracellular vesicle	ATP1A2;CA1;CA4;CD248;CLEC3B;COL1A2;CP;CPQ;CTSC;CUX2;EPHB4;EPS8;FBLN1;FGL2;FN1;GLRX;H3C13;HSPB1;HTRA1;IGFBP2;ISLR;ITIH2;KIFC3;LSR;MGP;MYOC;NID1;OGN;PCOLCE;PPIC;PTGDS;PYGM;RHOC;RREB1;SEMA5A;SERPING1;SH3BP4;SLC16A1;SLC22A6;SLC22A8;SLC6A13;SLC9A3R2;ST3GAL1;TUBB2A;VASP;VCAM1;WNT5A;WNT7B;YWHAG	4.08003041341061e-08
6	GO:0043230	6.67034944971762e-10	3.16409777831296	19.6361090039097	49	2003	extracellular organelle	ATP1A2;CA1;CA4;CD248;CLEC3B;COL1A2;CP;CPQ;CTSC;CUX2;EPHB4;EPS8;FBLN1;FGL2;FN1;GLRX;H3C13;HSPB1;HTRA1;IGFBP2;ISLR;ITIH2;KIFC3;LSR;MGP;MYOC;NID1;OGN;PCOLCE;PPIC;PTGDS;PYGM;RHOC;RREB1;SEMA5A;SERPING1;SH3BP4;SLC16A1;SLC22A6;SLC22A8;SLC6A13;SLC9A3R2;ST3GAL1;TUBB2A;VASP;VCAM1;WNT5A;WNT7B;YWHAG	4.08003041341061e-08
7	GO:0070062	1.44321517655861e-09	3.11325051759834	19.4106319659217	48	1980	extracellular exosome	CA1;CA4;CD248;CLEC3B;COL1A2;CP;CPQ;CTSC;CUX2;EPHB4;EPS8;FBLN1;FGL2;FN1;GLRX;H3C13;HSPB1;HTRA1;IGFBP2;ISLR;ITIH2;KIFC3;LSR;MGP;MYOC;NID1;OGN;PCOLCE;PPIC;PTGDS;PYGM;RHOC;RREB1;SEMA5A;SERPING1;SH3BP4;SLC16A1;SLC22A6;SLC22A8;SLC6A13;SLC9A3R2;ST3GAL1;TUBB2A;VASP;VCAM1;WNT5A;WNT7B;YWHAG	7.56657099710014e-08
8	GO:0031982	4.00708772935981e-09	2.60918954914019	36.439050008753	70	3717	vesicle	ATP1A2;BMP7;CA1;CA4;CD248;CDC42EP4;CLEC3B;COL1A1;COL1A2;COLEC12;CP;CPQ;CTSC;CUX2;DAB2;EPHA3;EPHB4;EPS8;FBLN1;FGFR3;FGFRL1;FGL2;FN1;FYN;FZD7;GLRX;H3C13;HSPB1;HTRA1;IGFBP2;IRGM;ISLR;ITIH2;KDR;KIFC3;LSR;MGP;MMP14;MRC1;MYOC;NID1;NOS3;NOTCH1;OGN;PCOLCE;PDIA4;PLEKHO2;PPIC;PTGDS;PYGM;RHOC;RREB1;SEMA5A;SERPING1;SH3BP4;SLC16A1;SLC22A6;SLC22A8;SLC31A1;SLC6A13;SLC9A3R2;ST3GAL1;TGFB2;TRAF3;TUBB2A;VASP;VCAM1;WNT5A;WNT7B;YWHAG	1.83825149584381e-07
9	GO:0071944	1.65434981866128e-07	2.25638073306467	51.9087354846239	84	5295	cell periphery	ABR;ANGPT2;APCDD1;ATP1A2;CACHD1;CA4;CD248;CDC42EP4;CDHR1;CLDN5;CNGA3;COLEC12;CP;CRLF1;DAB2;DLG5;ENHO;EPHA3;EPHB4;EPS8;FABP7;FGF10;FGFR3;FGFRL1;FN1;FYN;FZD7;FZD9;GJB2;HSPB1;HTRA1;IGFBP2;IRGM;ITGA6;KANK1;KDR;KRT17;LGR4;LRFN5;LSR;LYPD2;MMP14;MRC1;MTSS2;NID1;NOS3;NOTCH1;NRBP1;NRP2;PAQR7;PARVB;PCDH20;PEAR1;PGM5;RAMP2;RHOC;SEMA5A;SH3BP4;SLC13A4;SLC16A1;SLC22A6;SLC22A8;SLC24A3;SLC31A1;SLC38A2;SLC38A3;SLC6A13;SLC6A20;SLC7A10;SLC8B1;SLC9A3R2;SLCO1A2;SLCO1C1;STRA6;STXBP6;THBD;TLCD1;TRAF3;TRAF4;TRPM3;VASP;VCAM1;WNT5A;WNT7B	6.74607092720766e-06
10	GO:0070161	3.78448383473327e-07	3.58513476384199	7.97992647487892	25	814	anchoring junction	ATP1A2;CCND1;CDC42EP4;CGNL1;CLDN5;DAB2;DLG5;FABP7;FGFR3;FGFRL1;FRMD4A;GJB2;HSPB1;ITGA6;KIFC3;LSR;MMP14;NOTCH1;PARVB;PGM5;SLC9A3R2;STXBP6;TRAF4;VASP;YWHAG	1.38890556734711e-05
