GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0043005	2.59451184097615e-08	2.54590513248101	23.8022747156605	53	1338	neuron projection	ACTN2;ADORA2A;ATP2B1;BBS2;BCL11B;C4B;C4A;CACNA1I;CALB1;CAMK2N1;CDKL5;CHRM4;CNTN2;CNTN4;DCC;DGKI;DRD1;DRD2;DST;GABRD;GDPD5;GRM3;HTR1B;IL1RAPL1;IMPG1;KCNA4;KCNAB1;KCNK2;KIF13B;LRRK2;MME;MYH10;MYH14;MYO1D;MYO3B;NEXN;NGEF;PCSK2;PENK;PLXDC1;PPP1R1B;PPP1R9A;QDPR;RASGRP2;RELN;RGS2;ROBO2;STMN4;STRN;TENM3;TIAM2;TSPEAR;ZSWIM6	8.76493285788661e-06
2	GO:0030424	3.11919318786001e-08	3.29521198111352	11.2251385243511	33	631	axon	ADORA2A;C4B;C4A;CALB1;CDKL5;CNTN2;CNTN4;DCC;DGKI;DRD2;DST;GABRD;GDPD5;GRM3;HTR1B;IL1RAPL1;KCNA4;KCNAB1;KCNK2;KIF13B;LRRK2;MME;MYH10;MYH14;MYO1D;NEXN;NGEF;PENK;PPP1R9A;ROBO2;STMN4;TENM3;TIAM2	8.76493285788661e-06
3	GO:0071944	7.75243946154478e-08	1.8710143194905	94.230679498396	138	5297	cell periphery	ACTN2;ACVR1C;ADAM23;ADCY5;ADORA2A;ANLN;ANO3;ARHGAP10;ARHGEF39;ARL4D;ARRDC2;ARRDC3;ATP2B1;ATP8A1;BBS2;C4B;C4A;CACNA1I;CACNA2D3;CALB1;CALN1;CA11;CCN2;CCR6;CD4;CDKL5;CEACAM3;CEACAM8;CEACAM1;CEACAM7;CEACAM5;CEACAM6;CERCAM;CHMP3;CHRM4;CNTN2;CNTN4;CNTNAP3;CSMD3;C10orf90;DCC;DGKB;DGKI;DRD1;DRD2;DST;EEPD1;ENPP4;ENPP5;EPB41;ERBIN;ETNK1;F3;FNBP1L;FREM2;GABRD;GPR139;GPR52;GPR6;GPR83;GRM3;HTR1B;IGSF11;IKZF3;IL1RAPL1;ITGA11;ITGB4;ITPR1;JCAD;KCNA4;KCNAB1;KCNH4;KCNK13;KCNK2;KIRREL2;KLF9;KREMEN1;KRT10;LMO7;LRRK2;MME;MTCL1;MUC3A;MUSK;MYH10;MYO1B;MYO1D;NEXN;PCDHB16;PCDHB11;PCDHB12;PCDHB5;PCDHGA1;PCDHGB7;PCSK9;PENK;PHKB;PIK3C2B;PLS1;PLXDC1;PLXND1;PMEPA1;PPP1R9A;PREX2;RAPGEF4;RASGRP2;RELN;REM2;RGS2;RGS4;RGS7BP;RGS9;ROBO2;RPE65;RYR1;RYR3;S1PR5;SCN4B;SGK1;SHB;SLC4A4;SMPD3;SORBS1;STK26;STK32A;STRN;SYNE1;TENM3;TGFA;THSD7A;TMEFF1;TMEM63A;TMOD1;TMPRSS9;TPBG;TF;TSPEAR;VIPR1	1.45229032579606e-05
4	GO:0005886	5.11759805932581e-07	1.79866358303975	92.4339457567804	133	5196	plasma membrane	ACTN2;ACVR1C;ADAM23;ADCY5;ADORA2A;ANO3;ARHGAP10;ARHGEF39;ARL4D;ARRDC2;ARRDC3;ATP2B1;ATP8A1;BBS2;C4B;C4A;CACNA1I;CACNA2D3;CALN1;CA11;CCN2;CCR6;CD4;CDKL5;CEACAM3;CEACAM8;CEACAM1;CEACAM7;CEACAM5;CEACAM6;CERCAM;CHMP3;CHRM4;CNTN2;CNTN4;CNTNAP3;CSMD3;C10orf90;DCC;DGKB;DGKI;DRD1;DRD2;DST;EEPD1;ENPP4;ENPP5;EPB41;ERBIN;ETNK1;F3;FNBP1L;FREM2;GABRD;GPR139;GPR52;GPR6;GPR83;GRM3;HTR1B;IGSF11;IKZF3;IL1RAPL1;ITGA11;ITGB4;ITPR1;JCAD;KCNA4;KCNAB1;KCNH4;KCNK13;KCNK2;KIRREL2;KLF9;KREMEN1;KRT10;LMO7;LRRK2;MME;MTCL1;MUC3A;MUSK;MYH10;MYO1B;MYO1D;NEXN;PCDHB16;PCDHB11;PCDHB12;PCDHB5;PCDHGA1;PCDHGB7;PCSK9;PENK;PHKB;PIK3C2B;PLXDC1;PLXND1;PMEPA1;PREX2;RAPGEF4;RASGRP2;RELN;REM2;RGS2;RGS4;RGS7BP;RGS9;ROBO2;RPE65;RYR1;RYR3;S1PR5;SCN4B;SGK1;SHB;SLC4A4;SMPD3;SORBS1;STK26;STK32A;STRN;SYNE1;TENM3;TGFA;THSD7A;TMEFF1;TMEM63A;TMPRSS9;TPBG;TF;TSPEAR;VIPR1	7.19022527335276e-05
5	GO:0036477	1.02105942576758e-06	2.6623004049554	14.978710994459	36	842	somatodendritic compartment	ACTN2;ADORA2A;ATP2B1;C4B;C4A;CALB1;CAMK2N1;CDKL5;CHRM4;CNTN2;DGKI;DRD1;DRD2;GABRD;GDPD5;GRM3;HTR1B;IL1RAPL1;KCNA4;KCNAB1;KCNK2;KREMEN1;LRRK2;MME;MYH10;MYO1D;PCSK2;PDE10A;PDE1B;PENK;PLXDC1;PPP1R1B;PPP1R9A;RELN;STRN;TIAM2	0.000114767079456276
6	GO:0098978	1.79892995877609e-06	3.63204225352113	6.35083114610674	21	357	glutamatergic synapse	ACTN2;ADAM23;ADORA2A;ATP2B1;CALB1;CAMK4;CDKL5;DGKB;DGKI;DRD1;DRD2;ERBIN;GABRD;GRM3;IL1RAPL1;LRRK2;MYH10;PPP1R1B;PPP1R9A;RGS7BP;RGS9	0.000146021530757962
7	GO:0043025	1.81877351477889e-06	3.12262765144838	9.1437736949548	26	514	neuronal cell body	ADORA2A;ATP2B1;C4A;CALB1;CAMK2N1;CNTN2;DGKI;DRD2;GABRD;GDPD5;KCNAB1;KCNK2;KREMEN1;LRRK2;MME;MYH10;MYO1D;PCSK2;PDE10A;PDE1B;PENK;PLXDC1;PPP1R1B;PPP1R9A;STRN;TIAM2	0.000146021530757962
8	GO:0098794	3.17594871890869e-06	2.82928954262504	11.2429279673374	29	632	postsynapse	ACTN2;ADORA2A;CALB1;CAMK2N1;CAMK4;CDKL5;CHRM4;CNTN2;DCC;DGKI;DRD1;DRD2;EPB41;ERBIN;GABRD;GRM3;IGSF11;IL1RAPL1;ITPR1;KCNA4;LRRK2;MUSK;MYH10;PPP1R1B;PPP1R9A;RGS7BP;RGS9;STRN;SYNE1	0.000212419198818309
9	GO:0030425	3.5484118930022e-06	2.8696643796347	10.6914552347623	28	601	dendrite	ACTN2;ADORA2A;C4B;C4A;CALB1;CAMK2N1;CDKL5;CHRM4;DGKI;DRD1;DRD2;GABRD;GRM3;HTR1B;IL1RAPL1;KCNA4;KCNAB1;LRRK2;MME;MYH10;MYO1D;PCSK2;PENK;PLXDC1;PPP1R1B;PPP1R9A;RELN;STRN	0.000212419198818309
10	GO:0097447	3.77970104658912e-06	2.85933134515775	10.7270341207349	28	603	dendritic tree	ACTN2;ADORA2A;C4B;C4A;CALB1;CAMK2N1;CDKL5;CHRM4;DGKI;DRD1;DRD2;GABRD;GRM3;HTR1B;IL1RAPL1;KCNA4;KCNAB1;LRRK2;MME;MYH10;MYO1D;PCSK2;PENK;PLXDC1;PPP1R1B;PPP1R9A;RELN;STRN	0.000212419198818309
