GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0005201	7.8303229972561e-12	11.7773402541614	1.63364151506114	16	167	extracellular matrix structural constituent	COL1A1;COL1A2;COL3A1;COL4A1;COL4A5;DCN;ELN;FBLN1;FGL2;FMOD;FN1;MATN2;MGP;NID1;OGN;PCOLCE	4.56507830740031e-09
2	GO:0019838	5.51719073558316e-08	10.0428159964551	1.26191470325082	11	129	growth factor binding	COL1A1;COL1A2;COL3A1;COL4A1;FGFR3;FGFRL1;HTRA1;IGFBP2;ITGA6;KDR;NRP2	1.60826109942249e-05
3	GO:0005198	2.34464420941735e-06	3.6211670863912	6.53456606024456	21	668	structural molecule activity	CLDN5;COL1A1;COL1A2;COL3A1;COL4A1;COL4A5;DCN;ELN;FBLN1;FGL2;FMOD;FN1;KRT17;LAMC3;MATN2;MGP;NID1;OGN;PCOLCE;PGM5;TUBB2A	0.00037177887401897
4	GO:0048407	2.76147562436814e-06	59.2642857142857	0.107605129734566	4	11	platelet-derived growth factor binding	COL1A1;COL1A2;COL3A1;COL4A1	0.00037177887401897
5	GO:0015291	3.18849806191226e-06	5.85139318885449	2.27927229346854	12	233	secondary active transmembrane transporter activity	SLC13A4;SLC16A1;SLC22A6;SLC22A8;SLC24A3;SLC38A2;SLC38A3;SLC6A13;SLC6A20;SLC8B1;SLCO1A2;SLCO1C1	0.00037177887401897
6	GO:0022853	1.47203958479297e-05	5.45373396272089	2.22057858634059	11	227	active ion transmembrane transporter activity	ATP1A2;SLC13A4;SLC22A6;SLC22A8;SLC24A3;SLC38A2;SLC6A13;SLC6A20;SLC8B1;SLCO1A2;SLCO1C1	0.00143033179655717
7	GO:0050840	1.73244876441699e-05	12.5703797468354	0.547807933194154	6	56	extracellular matrix binding	CD248;DCN;ELN;ITGA6;NID1;OLFML2A	0.00144288232807873
8	GO:0004714	2.8456862928508e-05	11.42416570771	0.596719355800775	6	61	transmembrane receptor protein tyrosine kinase activity	EPHA3;EPHB4;FGFR3;FGFRL1;KDR;NRP2	0.00186097271705883
9	GO:0022804	2.87285668156595e-05	4.31152317880795	3.30641216820758	13	338	active transmembrane transporter activity	ATP1A2;SLC13A4;SLC16A1;SLC22A6;SLC22A8;SLC24A3;SLC38A2;SLC38A3;SLC6A13;SLC6A20;SLC8B1;SLCO1A2;SLCO1C1	0.00186097271705883
10	GO:0030020	4.75059043082742e-05	14.4697763801537	0.401073665374292	5	41	extracellular matrix structural constituent conferring tensile strength	COL1A1;COL1A2;COL3A1;COL4A1;COL4A5	0.00276959422117238
11	GO:0004713	5.46587607097411e-05	6.65213002220876	1.32060841037877	8	135	protein tyrosine kinase activity	EPHA3;EPHB4;FGFR3;FGFRL1;FYN;KDR;NRP2;PKDCC	0.00289691431761628
12	GO:0005539	6.72698326795241e-05	5.01990933594707	2.17166716373397	10	222	glycosaminoglycan binding	BMP7;CCL7;CLEC3B;DCN;FGF10;FGFRL1;FN1;NRP2;PCOLCE;SEMA5A	0.00326819270434688
13	GO:0042802	8.56682074890746e-05	2.2185369449051	18.0385326573218	35	1844	identical protein binding	APCDD1;BTBD3;CBS;CLDN5;COL1A1;COL1A2;CPQ;CTSC;FBLN1;FGFR3;FGFRL1;FN1;FYN;FZD9;GJB2;HEXIM1;HEYL;HSPB1;HTRA1;KDR;NBL1;NOTCH1;NRBP1;OLFML2A;SAT1;SH3BP4;SLC16A1;SLC22A6;SLC31A1;SLC8B1;SOX13;TGFB2;TRAF3;TRAF4;YWHAG	0.00384188961277927
14	GO:0004122	9.51152694449919e-05	Inf	0.0195645690426484	2	2	cystathionine beta-synthase activity	CBS;CBSL	0.00396087157760216
15	GO:0019199	0.00012324490193853	8.59788451534593	0.772800477184611	6	79	transmembrane receptor protein kinase activity	EPHA3;EPHB4;FGFR3;FGFRL1;KDR;NRP2	0.00479011852201086
16	GO:0046943	0.00015723721116065	5.66236448115643	1.5358186698479	8	157	carboxylic acid transmembrane transporter activity	SLC16A1;SLC38A2;SLC38A3;SLC6A13;SLC6A20;SLC7A10;SLCO1A2;SLCO1C1	0.00518898111318877
17	GO:0005342	0.000164265672700719	5.6242735042735	1.54560095436922	8	158	organic acid transmembrane transporter activity	SLC16A1;SLC38A2;SLC38A3;SLC6A13;SLC6A20;SLC7A10;SLCO1A2;SLCO1C1	0.00518898111318877
18	GO:1901681	0.000167550042878732	4.46442213248936	2.4260065612884	10	248	sulfur compound binding	BMP7;CBS;CCL7;CLEC3B;FGF10;FGFRL1;FN1;NRP2;PCOLCE;SEMA5A	0.00518898111318877
