GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0005516	3.19077392137741e-07	5.27925521149565	3.39339375149058	16	199	calmodulin binding	ARPP21;ATP2B1;CAMK4;CEACAM1;EPB41;MYH10;MYH14;MYO1B;MYO1D;PDE1B;PHKB;RGS2;RGS4;RYR1;RYR3;STRN	0.000231650186692
2	GO:0003779	1.14642666888621e-06	3.49896903316119	7.24719771046983	23	425	actin binding	ACTN2;ANLN;CEACAM1;DST;EPB41;INF2;LDB3;LIMCH1;LRRK2;MYH10;MYH14;MYO1B;MYO1D;MYO3B;NEXN;PLS1;PPP1R9A;SORBS1;SYNE1;SYNPO2;TAGLN;TLNRD1;TMOD1	0.000416152880805693
3	GO:0008494	2.45736588437839e-06	32.5761170423092	0.23873121869783	5	14	translation activator activity	DAZL;DAZ4;DAZ3;DAZ1;DAZ2	0.000594682544019569
4	GO:0044877	7.43231479983456e-05	2.08611615245009	20.4456236584784	39	1199	protein-containing complex binding	ABI3BP;ACTN2;ADAM23;ADORA2A;ATR;BMP2K;C4A;CCN2;CD4;CLSPN;COCH;DRD2;DST;EPB41;H1-2;H1-4;INHBA;ITGA11;ITGB4;LRRK2;MUSK;MYH10;MYH14;MYO1B;MYO1D;NEXN;PCSK2;PCSK9;PLS1;PPP1R9A;RANBP2;RARB;SMAD4;SORBS1;STRN;SYNE1;TAGLN;THBS4;TMOD1	0.0134896513616997
5	GO:0099106	0.000136427557054801	5.1179533462927	1.92690197948963	9	113	ion channel regulator activity	ARPP19;GRM3;ITPR1;KCNAB1;PCSK9;REM2;SGK1;SGK3;WNK1	0.0186226352462524
6	GO:0016247	0.000153906076415309	4.52345392189401	2.40436441688529	10	141	channel regulator activity	ARPP19;GRM3;ITPR1;KCNAB1;PCSK9;REM2;SCN4B;SGK1;SGK3;WNK1	0.0186226352462524
7	GO:0001221	0.000220556607430271	7.82904761904762	0.86966372525638	6	51	transcription cofactor binding	FOXO1;FOXO3;PER1;PER2;PER3;SMAD4	0.0228748709991966
8	GO:0051020	0.000313407356885482	2.48743003299107	9.03768185070355	21	530	GTPase binding	ANLN;ARHGDIB;ARHGEF39;CCDC88C;CDKL5;DENND11;DGKI;FNBP1L;HPS1;INF2;LRRK2;NGEF;PPP1R9A;PREX2;RANBP2;RAPGEF4;RASGEF1B;RASGRP2;RRAGD;TBC1D8;TIAM2	0.0284417176373575
9	GO:0008092	0.000412716383707766	2.05688832054561	16.2166706415454	31	951	cytoskeletal protein binding	ACTN2;ADORA2A;ANLN;CCDC88C;CEACAM1;C10orf90;DST;EPB41;INF2;KIF13B;LDB3;LIMCH1;LRRK2;MTCL1;MYH10;MYH14;MYO1B;MYO1D;MYO3B;NEXN;PLS1;PPP1R9A;RGS2;SORBS1;STMN4;SUN2;SYNE1;SYNPO2;TAGLN;TLNRD1;TMOD1	0.0332924549524264
10	GO:0051015	0.000659590300295484	3.44910052910053	3.41044598139757	11	200	actin filament binding	ACTN2;MYH10;MYH14;MYO1B;MYO1D;NEXN;PLS1;PPP1R9A;SYNE1;TAGLN;TMOD1	0.043698447362368
11	GO:0030898	0.000672113144505668	11.6780141843972	0.409253517767708	4	24	actin-dependent ATPase activity	MYH10;MYH14;MYO1B;MYO1D	0.043698447362368
12	GO:0016773	0.000778203281392568	2.21564887814478	11.0668972096351	23	649	phosphotransferase activity, alcohol group as acceptor	ACVR1C;ATR;BMP2K;CAMK4;CDK19;CDKL5;DGKB;DGKI;ETNK1;GLYCTK;LRRK2;MAPK4;MUSK;MYO3B;PDK4;PHKB;PIK3C2B;RPS6KA5;SGK1;SGK3;STK26;STK32A;WNK1	0.043698447362368
13	GO:0005246	0.000877407341818941	7.5038780910667	0.750298115907465	5	44	calcium channel regulator activity	GRM3;ITPR1;REM2;SGK1;SGK3	0.043698447362368
14	GO:0031490	0.000929836218230067	4.89904420549582	1.55175292153589	7	91	chromatin DNA binding	FOXO3;H1-2;H1-4;HR;KDM3A;KDM3B;PER1	0.043698447362368
15	GO:0004674	0.000942926202631547	2.51567963487799	7.17898879084188	17	421	protein serine/threonine kinase activity	ACVR1C;ATR;BMP2K;CAMK4;CDK19;CDKL5;LRRK2;MAPK4;MYO3B;PDK4;PHKB;RPS6KA5;SGK1;SGK3;STK26;STK32A;WNK1	0.043698447362368
16	GO:0047555	0.000963051181539791	19.4075382803298	0.204626758883854	3	12	3',5'-cyclic-GMP phosphodiesterase activity	PDE10A;PDE1B;PDE8A	0.043698447362368
17	GO:0032454	0.0012362366458385	17.4657243816254	0.221678988790842	3	13	histone demethylase activity (H3-K9 specific)	HR;KDM3A;KDM3B	0.0524882733671235
18	GO:0000146	0.00140504791776789	9.33957446808511	0.494514667302647	4	29	microfilament motor activity	MYH10;MYH14;MYO1B;MYO1D	0.0524882733671235
19	GO:0001222	0.00155364031077408	15.8769675554128	0.23873121869783	3	14	transcription corepressor binding	PER1;PER2;PER3	0.0524882733671235
20	GO:0005219	0.00169966386157365	58.0422535211268	0.0682089196279514	2	4	ryanodine-sensitive calcium-release channel activity	RYR1;RYR3	0.0524882733671235
21	GO:0048763	0.00169966386157365	58.0422535211268	0.0682089196279514	2	4	calcium-induced calcium release activity	RYR1;RYR3	0.0524882733671235
22	GO:0070326	0.00169966386157365	58.0422535211268	0.0682089196279514	2	4	very-low-density lipoprotein particle receptor binding	PCSK9;RELN	0.0524882733671235
23	GO:0022836	0.00180171617559342	2.60854231974922	5.67839255902695	14	333	gated channel activity	CACNA1I;CACNA2D3;GABRD;HTR1B;ITPR1;KCNA4;KCNAB1;KCNH4;KCNK13;KCNK2;RYR1;RYR3;SCN4B;TMEM63A	0.0524882733671235
24	GO:0005244	0.00186546847891291	3.21006616257089	3.30813260195564	10	194	voltage-gated ion channel activity	CACNA1I;CACNA2D3;HTR1B;KCNA4;KCNAB1;KCNH4;KCNK13;KCNK2;RYR1;SCN4B	0.0524882733671235
25	GO:0022832	0.00186546847891291	3.21006616257089	3.30813260195564	10	194	voltage-gated channel activity	CACNA1I;CACNA2D3;HTR1B;KCNA4;KCNAB1;KCNH4;KCNK13;KCNK2;RYR1;SCN4B	0.0524882733671235
26	GO:0015459	0.00187974532719726	6.2235935488756	0.886715955163368	5	52	potassium channel regulator activity	ARPP19;KCNAB1;SGK1;SGK3;WNK1	0.0524882733671235
27	GO:0016301	0.00237188487982534	2.02035665843951	12.0559265442404	23	707	kinase activity	ACVR1C;ATR;BMP2K;CAMK4;CDK19;CDKL5;DGKB;DGKI;ETNK1;GLYCTK;LRRK2;MAPK4;MUSK;MYO3B;PDK4;PHKB;PIK3C2B;RPS6KA5;SGK1;SGK3;STK26;STK32A;WNK1	0.0635449572108597
28	GO:0005261	0.00251044640595524	2.6135593220339	5.25208681135225	13	308	cation channel activity	CACNA1I;CACNA2D3;HTR1B;ITPR1;KCNA4;KCNAB1;KCNH4;KCNK13;KCNK2;RYR1;RYR3;SCN4B;TMEM63A	0.0635449572108597
29	GO:0022843	0.00254646855845542	3.62058660763697	2.35320772716432	8	138	voltage-gated cation channel activity	CACNA1I;CACNA2D3;HTR1B;KCNA4;KCNAB1;KCNH4;KCNK2;RYR1	0.0635449572108597
