Gene	Direction
Prr32	STR_All
Ttr	STR_All
Strit1	STR_All
Ifi27l2b	STR_All
Cstdc2	STR_All
Lypd2	STR_All
Car1	STR_All
H3c2	STR_All
Ccl7	STR_All
Alkal1	STR_All
Gm4792	STR_All
Krt17	STR_All
Cyp4f39	STR_All
Crlf1	STR_All
Ccr6	STR_All
Sln	STR_All
Slc13a4	STR_All
Slc22a6	STR_All
Gpx6	STR_All
Rpe65	STR_All
Osr1	STR_All
Impg1	STR_All
Gpat2	STR_All
Igfbp2	STR_All
Arhgef39	STR_All
Fmod	STR_All
Fam180a	STR_All
Gm19410	STR_All
AC151602.1	STR_All
Snai3	STR_All
Clspn	STR_All
Aldh1a2	STR_All
Ogn	STR_All
Olfr1393	STR_All
Acvr1c	STR_All
Thbs4	STR_All
Hspb1	STR_All
Myoc	STR_All
Scn4b	STR_All
Ido1	STR_All
Gm17949	STR_All
Itga5	STR_All
Tssk3	STR_All
Coch	STR_All
Nexn	STR_All
Stra6	STR_All
Myo3b	STR_All
Ikzf3	STR_All
Tspear	STR_All
Syndig1l	STR_All
Cd4	STR_All
H1f4	STR_All
Pde10a	STR_All
Col3a1	STR_All
Dach1	STR_All
Gcnt2	STR_All
Sh3rf2	STR_All
Pcsk9	STR_All
Pcolce	STR_All
Clec3b	STR_All
Gipc2	STR_All
Drd2	STR_All
Col1a1	STR_All
Islr	STR_All
Slc6a13	STR_All
Rxrg	STR_All
Rgs4	STR_All
Fgf10	STR_All
Actn2	STR_All
Itpr1	STR_All
Slc6a20a	STR_All
Rasgrp2	STR_All
Itih2	STR_All
H1f2	STR_All
Trhr2	STR_All
Fabp7	STR_All
Angpt2	STR_All
Ano3	STR_All
Fam78a	STR_All
Arpp19	STR_All
Serpinb1a	STR_All
Albfm1	STR_All
Fgl2	STR_All
Pde1b	STR_All
Pcdh20	STR_All
Ranbp3l	STR_All
Sgk1	STR_All
H2bc6	STR_All
Ceacam2	STR_All
Gpr6	STR_All
Ppp1r1b	STR_All
Rgs9	STR_All
Abi3bp	STR_All
Synpo2	STR_All
Adora2a	STR_All
Mme	STR_All
Serpina9	STR_All
Foxp1	STR_All
Tmprss9	STR_All
Muc3a	STR_All
Penk	STR_All
Ppic	STR_All
Gpr52	STR_All
Musk	STR_All
Tbc1d8	STR_All
Nrp2	STR_All
Traip	STR_All
Kcnh4	STR_All
Col1a2	STR_All
Gpr139	STR_All
Abca8a	STR_All
Pde7b	STR_All
Asb11	STR_All
Heyl	STR_All
