Gene	Direction
ABI3BP	STR_All
ABLIM3	STR_All
ABR	STR_All
ACTN2	STR_All
ACVR1C	STR_All
ACY1	STR_All
ABHD14A-ACY1	STR_All
ADAM23	STR_All
ADAMTS2	STR_All
ADAMTSL4	STR_All
ADCY5	STR_All
ADORA2A	STR_All
AFF1	STR_All
AIM2	STR_All
ALDH1A2	STR_All
ALKAL1	STR_All
ANGPT2	STR_All
ANKRD33B	STR_All
ANLN	STR_All
ANO3	STR_All
APCDD1	STR_All
ARHGAP10	STR_All
ARHGAP29	STR_All
ARHGDIB	STR_All
ARHGEF39	STR_All
ARL4D	STR_All
ARPP19	STR_All
ARPP21	STR_All
ARRDC2	STR_All
ARRDC3	STR_All
ARSG	STR_All
ASB11	STR_All
ASB2	STR_All
ASXL2	STR_All
ATP1A2	STR_All
ATP2B1	STR_All
ATP8A1	STR_All
ATR	STR_All
ATXN7L1	STR_All
B3GALT5	STR_All
BABAM2	STR_All
BBS2	STR_All
BCL11B	STR_All
BMP2K	STR_All
BMP7	STR_All
BTBD3	STR_All
C4B	STR_All
C4A	STR_All
CACHD1	STR_All
CACNA1I	STR_All
CACNA2D3	STR_All
CALB1	STR_All
CALN1	STR_All
CAMK2N1	STR_All
CAMK4	STR_All
CA1	STR_All
CA11	STR_All
CA4	STR_All
CARHSP1	STR_All
CBS	STR_All
CBSL	STR_All
CCDC88C	STR_All
CCL7	STR_All
CCN2	STR_All
CCND1	STR_All
CCR6	STR_All
CD248	STR_All
CD4	STR_All
CDC42EP4	STR_All
CDHR1	STR_All
CDK19	STR_All
CDKL5	STR_All
PSG8	STR_All
PSG3	STR_All
PSG7	STR_All
PSG4	STR_All
CEACAM3	STR_All
PSG11	STR_All
PSG9	STR_All
PSG5	STR_All
CEACAM8	STR_All
CEACAM1	STR_All
CEACAM7	STR_All
CEACAM5	STR_All
CEACAM6	STR_All
PSG2	STR_All
PSG6	STR_All
PSG1	STR_All
CEP128	STR_All
CEP63	STR_All
CERCAM	STR_All
CGNL1	STR_All
CHMP3	STR_All
CHRM4	STR_All
CIART	STR_All
CLDN5	STR_All
CLEC3B	STR_All
CLSPN	STR_All
CMYA5	STR_All
CNGA3	STR_All
