GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0042775	9.12598146669042e-08	11.789071680376	1.08736450412555	10	47	mitochondrial ATP synthesis coupled electron transport	Cox5b;Cox7c;Cycs;Dld;Ndufa8;Ndufb6;Ndufb8;Ndufb9;Sdhaf2;Uqcrq	3.27535846660994e-05
2	GO:0042773	1.12943395400343e-07	11.477879481312	1.11049991910694	10	48	ATP synthesis coupled electron transport	Cox5b;Cox7c;Cycs;Dld;Ndufa8;Ndufb6;Ndufb8;Ndufb9;Sdhaf2;Uqcrq	3.27535846660994e-05
3	GO:0045333	2.83093087082435e-07	5.80792386871237	2.9844685325999	15	129	cellular respiration	Bax;Coq10a;Cox5b;Cox7c;Cycs;Dld;Ide;Mdh2;Ndufa8;Ndufb6;Ndufb8;Ndufb9;Sdhaf2;Sdhb;Uqcrq	4.22022199287916e-05
4	GO:0022904	2.91049792612356e-07	8.74254545454546	1.52693738877204	11	66	respiratory electron transport chain	Cox5b;Cox7c;Cycs;Dld;Ndufa8;Ndufb6;Ndufb8;Ndufb9;Sdhaf2;Sdhb;Uqcrq	4.22022199287916e-05
5	GO:0022900	3.98713779341857e-07	8.43438596491228	1.57320821873483	11	68	electron transport chain	Cox5b;Cox7c;Cycs;Dld;Ndufa8;Ndufb6;Ndufb8;Ndufb9;Sdhaf2;Sdhb;Uqcrq	4.62068437048716e-05
6	GO:0006119	4.78001831429706e-07	7.30170316301703	1.94337485843715	12	84	oxidative phosphorylation	Atp5pb;Cox5b;Cox7c;Cycs;Dld;Ndufa8;Ndufb6;Ndufb8;Ndufb9;Sdhaf2;Stoml2;Uqcrq	4.62068437048716e-05
7	GO:0006164	8.86707896445282e-06	4.90968801313629	2.9844685325999	13	129	purine nucleotide biosynthetic process	Adcy4;Adora2b;Atp5g1;Atp5pb;Cox5b;Dcakd;Dld;Ldhd;Nos3;Pdhx;Pid1;Prps1;Stoml2	0.000734700828483234
8	GO:0060856	1.07970158278437e-05	23.8572558323448	0.323895809739524	5	14	establishment of blood-brain barrier	Abcb1a;Adgra2;Ctnnb1;Eng;Lsr	0.000782783647518666
9	GO:0072522	1.34332949858693e-05	4.70484061393152	3.10014560750688	13	134	purine-containing compound biosynthetic process	Adcy4;Adora2b;Atp5g1;Atp5pb;Cox5b;Dcakd;Dld;Ldhd;Nos3;Pdhx;Pid1;Prps1;Stoml2	0.000838562605806269
10	GO:0015980	1.44579759621771e-05	3.87269027269027	4.58081216631613	16	198	energy derivation by oxidation of organic compounds	Bax;Coq10a;Cox5b;Cox7c;Cycs;Dld;Ide;Mdh2;Ndufa8;Ndufb6;Ndufb8;Ndufb9;Pygm;Sdhaf2;Sdhb;Uqcrq	0.000838562605806269
11	GO:0007005	3.00436654616265e-05	2.76679093437482	9.50865555735318	24	411	mitochondrion organization	Afg3l2;Apoo;Arrb2;Atg12;Atg3;Bax;Bloc1s2;Cdk5;Cox14;Grpel2;Htra2;Miga2;Ndufa8;Ndufb6;Ndufb8;Ndufb9;Pid1;Pim2;Sdhaf2;Slc25a4;Stoml2;Tmem70;Tomm22;Wdr45b	0.00158412054252212
12	GO:0051098	3.52315474338104e-05	3.05574280528908	7.17197864423232	20	310	regulation of binding	Arrb2;Bax;Cdc42;Cdk5;Cldn5;Ctnnb1;Ctnnbip1;Cycs;Eif2b1;Foxc1;Gtf2b;Hsp90ab1;Ide;Kdm1a;Pex19;Pim2;Psen2;Ralb;Ramp2;Txn1	0.00166988799386671
