GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0006397	4.08447621359731e-12	3.63525122967847	15.1941119378842	47	404	mRNA processing	Aar2;Acin1;Alyref2;Clasrp;Cpsf1;Cpsf7;Ctr9;Cwf19l1;Ddx20;Ddx39b;Gcfc2;Hsf1;Khsrp;Luc7l;Luc7l3;Mettl3;Ncbp1;Pabpn1;Paf1;Phrf1;Prmt5;Prpf39;Prpf4b;Ptbp1;Rbm10;Rbm38;Rbm39;Rbm7;Rbmx;Safb;Safb2;Scaf4;Sf3a2;Sltm;Smndc1;Snrnp48;Snrnp70;Srpk3;Srrm2;Srsf1;Srsf6;Srsf9;Sugp2;Thoc1;Zcchc8;Zfp326;Zfp64	1.76449372427404e-09
2	GO:0006396	2.47767280882733e-11	2.75588893371969	28.282109349725	67	752	RNA processing	Aar2;Acin1;Alkbh1;Alyref2;Ankrd16;Clasrp;Clk3;Clk4;Cpsf1;Cpsf7;Ctr9;Cwf19l1;Ddx20;Ddx39b;Dimt1;Dus3l;Eri2;Exosc10;Exosc7;Gcfc2;Hsf1;Khsrp;Las1l;Luc7l;Luc7l3;Mettl3;Mrps11;Naf1;Ncbp1;Pabpn1;Paf1;Phrf1;Prmt5;Prpf39;Prpf4b;Ptbp1;Pus10;Qtrt2;Rbm10;Rbm38;Rbm39;Rbm7;Rbmx;Riok1;Safb;Safb2;Scaf4;Sf3a2;Sltm;Smndc1;Snrnp48;Snrnp70;Srpk3;Srrm2;Srsf1;Srsf6;Srsf9;Sugp2;Thoc1;Trmt13;Trmu;Trp53;Trpt1;Zcchc4;Zcchc8;Zfp326;Zfp64	5.27176699154188e-09
3	GO:0016071	3.66094929968186e-11	3.05189620758483	20.9107085085733	55	556	mRNA metabolic process	Aar2;Acin1;Alyref2;Angel2;Clasrp;Cnot10;Cnot3;Cpsf1;Cpsf7;Ctr9;Cwf19l1;Ddx20;Ddx39b;Exosc10;Exosc7;Gcfc2;Hsf1;Khsrp;Luc7l;Luc7l3;Mettl3;Ncbp1;Pabpn1;Paf1;Phrf1;Plekhn1;Prmt5;Prpf39;Prpf4b;Ptbp1;Rbm10;Rbm38;Rbm39;Rbm7;Rbmx;Safb;Safb2;Scaf4;Sf3a2;Skiv2l;Sltm;Smndc1;Snrnp48;Snrnp70;Srpk3;Srrm2;Srsf1;Srsf6;Srsf9;Sugp2;Thoc1;Trp53;Zcchc8;Zfp326;Zfp64	5.27176699154188e-09
4	GO:0008380	6.55074084837104e-10	3.48007388593858	12.9375606599806	39	344	RNA splicing	Aar2;Acin1;Alyref2;Clasrp;Clk3;Clk4;Cwf19l1;Ddx20;Ddx39b;Gcfc2;Khsrp;Luc7l;Luc7l3;Mettl3;Ncbp1;Prmt5;Prpf39;Prpf4b;Ptbp1;Rbm10;Rbm38;Rbm39;Rbm7;Rbmx;Sf3a2;Smndc1;Snrnp48;Snrnp70;Srpk3;Srrm2;Srsf1;Srsf6;Srsf9;Sugp2;Thoc1;Trpt1;Zcchc8;Zfp326;Zfp64	7.07480011624072e-08
5	GO:0050684	1.29500505134448e-07	4.6461659767396	5.03963118731802	20	134	regulation of mRNA processing	Acin1;Cpsf7;Ctr9;Hsf1;Ncbp1;Paf1;Ptbp1;Rbm10;Rbm39;Rbm7;Rbmx;Safb;Safb2;Sltm;Snrnp70;Srpk3;Srsf1;Srsf6;Srsf9;Zfp64	1.11888436436163e-05
6	GO:0000245	4.71489344847619e-07	8.71218795888399	1.65480427046263	11	44	spliceosomal complex assembly	Ddx39b;Gcfc2;Luc7l;Luc7l3;Ncbp1;Prpf39;Rbmx;Sf3a2;Srpk3;Srsf1;Srsf6	3.39472328290286e-05
7	GO:1903311	1.03118095858308e-06	3.35772497704316	8.38684891620835	25	223	regulation of mRNA metabolic process	Acin1;Angel2;Cpsf7;Ctr9;Hsf1;Khsrp;Mettl3;Ncbp1;Paf1;Plekhn1;Ptbp1;Rbm10;Rbm38;Rbm39;Rbm7;Rbmx;Safb;Safb2;Sltm;Snrnp70;Srpk3;Srsf1;Srsf6;Srsf9;Zfp64	6.36385963011275e-05
8	GO:0090304	2.352164805795e-06	1.5870431928636	129.864526043352	175	3453	nucleic acid metabolic process	2610008E11Rik;Aar2;Abhd14b;Acin1;Actl6a;Aifm1;Alkbh1;Alyref2;Angel2;Ankrd16;Arid2;Arid3a;Asf1a;Baz2a;Cars2;Ccnl2;Ccnt2;Cdc45;Cdc7;Cdkn1b;Cep164;Chuk;Clasrp;Clk3;Clk4;Cnot10;Cnot3;Cpsf1;Cpsf7;Crtc2;Ctr9;Cwf19l1;Cxxc1;Dalrd3;Ddx20;Ddx39b;Dimt1;Dmc1;Donson;Dot1l;Dpf2;Dus3l;Dvl2;E2f5;E4f1;Ecsit;Endog;Eri2;Exosc10;Exosc7;Flcn;Fnip2;Foxo6;Gabpa;Gcfc2;Gin1;Gm960;Gmcl1;Gtf2a2;Gtf2h2;Gtf2h3;Gtf3c2;H2ac13;H2az2;Hars2;Hdgfl2;Hsf1;Ilf3;Irf3;Irf9;Khsrp;Kmt5c;Las1l;Luc7l;Luc7l3;Map2k7;Mapk3;Med12;Med21;Meis3;Mettl3;Mms19;Morc2a;Mrps11;Msh3;Mterf3;Mybbp1a;Naf1;Nars2;Ncbp1;Nelfa;Nfyc;Notch2;Notch3;Nrip2;Nup85;Pabpn1;Paf1;Parp3;Paxbp1;Pcgf6;Peli1;Phrf1;Pknox1;Plekhn1;Plk1;Prmt5;Prpf39;Prpf4b;Ptbp1;Pus10;Qtrt2;Rad54l2;Raf1;Rb1;Rbm10;Rbm38;Rbm39;Rbm7;Rbmx;Recql5;Ring1;Riok1;Safb;Safb2;Scaf4;Setd1a;Setdb1;Sf3a2;Skiv2l;Sltm;Smarcad1;Smarcb1;Smndc1;Snrnp48;Snrnp70;Sp3;Sra1;Srpk3;Srrm2;Srsf1;Srsf6;Srsf9;Ssrp1;Sugp2;Suz12;Tada2b;Tars2;Thoc1;Top1;Traf7;Trmt13;Trmu;Trp53;Trpt1;Vars2;Xrcc6;Yeats2;Zbtb24;Zbtb48;Zcchc4;Zcchc8;Zfp263;Zfp326;Zfp384;Zfp472;Zfp524;Zfp599;Zfp64;Zfp691;Zfp78;Zfp944;Zfyve26;Zgpat;Zscan20	0.000116053073973015
9	GO:0046483	2.41777237443781e-06	1.57014189288028	145.660384988677	192	3873	heterocycle metabolic process	2610008E11Rik;Aar2;Abcb6;Abhd14b;Acin1;Acot8;Actl6a;Aifm1;Aldh4a1;Alkbh1;Alyref2;Ampd2;Angel2;Ankrd16;Arid2;Arid3a;Asf1a;Aspdh;Atp5g2;Baz2a;Cars2;Ccnl2;Ccnt2;Cdc45;Cdc7;Cdkn1b;Cep164;Chuk;Clasrp;Clk3;Clk4;Cnot10;Cnot3;Cpsf1;Cpsf7;Crtc2;Ctr9;Cwf19l1;Cxxc1;Cyp2d22;Dalrd3;Ddx20;Ddx39b;Dimt1;Dmc1;Donson;Dot1l;Dpf2;Dus3l;Dvl2;E2f5;E4f1;Ecsit;Endog;Eri2;Exosc10;Exosc7;Flcn;Fnip2;Foxo6;Fpgs;Gabpa;Gcfc2;Gin1;Gm960;Gmcl1;Gnpda2;Gpi1;Gtf2a2;Gtf2h2;Gtf2h3;Gtf3c2;H2ac13;H2az2;Hars2;Hdgfl2;Hk3;Hsf1;Ilf3;Irf3;Irf9;Khsrp;Kmt5c;Las1l;Luc7l;Luc7l3;Map2k7;Mapk3;Med12;Med21;Meis3;Mettl3;Mms19;Morc2a;Mrps11;Msh3;Mterf3;Mybbp1a;Naf1;Nars2;Ncbp1;Nelfa;Nfs1;Nfyc;Notch2;Notch3;Nrip2;Nudt13;Nup85;Pabpn1;Paf1;Parp3;Paxbp1;Pcgf6;Peli1;Phrf1;Pknox1;Plekhn1;Plk1;Ppox;Prmt5;Prpf39;Prpf4b;Ptbp1;Pts;Pus10;Pycr2;Qtrt2;Rad54l2;Raf1;Rb1;Rbm10;Rbm38;Rbm39;Rbm7;Rbmx;Recql5;Ring1;Riok1;Safb;Safb2;Scaf4;Setd1a;Setdb1;Sf3a2;Skiv2l;Sltm;Smarcad1;Smarcb1;Smndc1;Snrnp48;Snrnp70;Sp3;Sra1;Srpk3;Srrm2;Srsf1;Srsf6;Srsf9;Ssrp1;Sugp2;Suz12;Tada2b;Tars2;Taz;Thoc1;Top1;Traf7;Trmt13;Trmu;Trp53;Trpt1;Vars2;Xrcc6;Yeats2;Zbtb24;Zbtb48;Zcchc4;Zcchc8;Zfp263;Zfp326;Zfp384;Zfp472;Zfp524;Zfp599;Zfp64;Zfp691;Zfp78;Zfp944;Zfyve26;Zgpat;Zscan20	0.000116053073973015
10	GO:0022618	3.13051812897588e-06	3.69482203190068	6.13029763830476	20	163	ribonucleoprotein complex assembly	Aar2;Cpsf7;Ddx20;Ddx39b;Gcfc2;Luc7l;Luc7l3;Mrps11;Naf1;Ncbp1;Nle1;Prmt5;Prpf39;Rbmx;Rpl13a;Sf3a2;Srpk3;Srsf1;Srsf6;Traf7	0.000135238383171758
