GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0051225	0.000139997120453437	8.43958333333333	0.794039037822953	6	86	spindle assembly	Clasp2;Dync1h1;Haus1;Ino80;Smc1a;Spice1	0.0196112445808393
2	GO:0007051	0.000272378396956102	6.09065420560748	1.2649226532761	7	137	spindle organization	Ckap5;Clasp2;Dync1h1;Haus1;Ino80;Smc1a;Spice1	0.0196112445808393
3	GO:0007052	0.00118061356646301	6.88186657605618	0.794039037822953	5	86	mitotic spindle organization	Ckap5;Clasp2;Dync1h1;Smc1a;Spice1	0.0459660343980907
4	GO:0070925	0.00213254539532221	2.61340836012862	5.87219567506277	14	636	organelle assembly	Cep41;Clasp2;Dcdc2a;Dync1h1;Dync2li1;Haus1;Ino80;Lrguk;Lrsam1;Nek1;Sh3pxd2b;Smc1a;Spice1;Wdr35	0.0459660343980907
5	GO:0051301	0.0029833341820658	2.8623786407767	4.16408844253665	11	451	cell division	Anapc10;Cables1;Ckap5;Clasp2;Ctdp1;Dync1h1;Haus1;Ino80;Nek1;Smc1a;Spice1	0.0459660343980907
6	GO:1902850	0.00335009866017917	5.34977064220184	1.00639831538025	5	109	microtubule cytoskeleton organization involved in mitosis	Ckap5;Clasp2;Dync1h1;Smc1a;Spice1	0.0459660343980907
7	GO:1901201	0.00440161969687615	24.2539682539683	0.101563132744796	2	11	regulation of extracellular matrix assembly	Antxr1;Clasp2	0.0459660343980907
8	GO:0035721	0.00525019926808172	21.8267857142857	0.110796144812505	2	12	intraciliary retrograde transport	Dync2li1;Wdr35	0.0459660343980907
9	GO:0046485	0.00715225395210084	18.1860119047619	0.129262168947923	2	14	ether lipid metabolic process	Pex7;Plaat1	0.0459660343980907
10	GO:0051310	0.0072332618963518	8.23851351351351	0.397019518911476	3	43	metaphase plate congression	Dync1h1;Pinx1;Spice1	0.0459660343980907
11	GO:0006996	0.00912722242371307	1.6559746210786	26.5449096946627	38	2875	organelle organization	Agk;Antxr1;Arfgef2;Cep41;Ckap5;Clasp2;Ctdp1;Dcdc2a;Dnmt1;Dync1h1;Dync2li1;Eea1;Epb41l4b;Epb41l5;H3c4;Haus1;Ino80;Lrguk;Lrsam1;Mast4;Mycbp2;Nek1;Nolc1;Pcgf5;Pex7;Pinx1;Plaat1;Rbsn;Serbp1;Sh3pxd2b;Smc1a;Smyd3;Spice1;Tdrkh;Tmed3;Vps13d;Wdr35;Zdhhc15	0.0459660343980907
12	GO:0007509	0.00923301206770921	Inf	0.00923301206770876	1	1	mesoderm migration involved in gastrulation	Epb41l5	0.0459660343980907
13	GO:0016261	0.00923301206770921	Inf	0.00923301206770876	1	1	selenocysteine catabolic process	Scly	0.0459660343980907
14	GO:0018900	0.00923301206770921	Inf	0.00923301206770876	1	1	dichloromethane metabolic process	Gstt1	0.0459660343980907
15	GO:0060378	0.00923301206770921	Inf	0.00923301206770876	1	1	regulation of brood size	Sh3pxd2b	0.0459660343980907
16	GO:0072382	0.00923301206770921	Inf	0.00923301206770876	1	1	minus-end-directed vesicle transport along microtubule	Dync1h1	0.0459660343980907
17	GO:0090116	0.00923301206770921	Inf	0.00923301206770876	1	1	C-5 methylation of cytosine	Dnmt1	0.0459660343980907
18	GO:1900369	0.00923301206770921	Inf	0.00923301206770876	1	1	negative regulation of RNA interference	Adar	0.0459660343980907
19	GO:1901202	0.00923301206770921	Inf	0.00923301206770876	1	1	negative regulation of extracellular matrix assembly	Antxr1	0.0459660343980907
20	GO:1904733	0.00923301206770921	Inf	0.00923301206770876	1	1	negative regulation of electron transfer activity	Etfbkmt	0.0459660343980907
21	GO:1904735	0.00923301206770921	Inf	0.00923301206770876	1	1	regulation of fatty acid beta-oxidation using acyl-CoA dehydrogenase	Etfbkmt	0.0459660343980907
22	GO:1904736	0.00923301206770921	Inf	0.00923301206770876	1	1	negative regulation of fatty acid beta-oxidation using acyl-CoA dehydrogenase	Etfbkmt	0.0459660343980907
23	GO:0006662	0.00931880004987593	15.5854591836735	0.14772819308334	2	16	glycerol ether metabolic process	Pex7;Plaat1	0.0459660343980907
24	GO:0006749	0.00980586408164068	7.32012012012012	0.44318457925002	3	48	glutathione metabolic process	Gstp2;Gstt1;Gstz1	0.0459660343980907
25	GO:0140014	0.00982376228790623	3.50261780104712	1.81890337733862	6	197	mitotic nuclear division	Clasp2;Ctdp1;Ino80;Pinx1;Smc1a;Spice1	0.0459660343980907
26	GO:0090307	0.0115737477379803	6.86092342342342	0.470883615453146	3	51	mitotic spindle assembly	Clasp2;Smc1a;Spice1	0.0459660343980907
27	GO:0018904	0.0117396444920711	13.6350446428571	0.166194217218758	2	18	ether metabolic process	Pex7;Plaat1	0.0459660343980907
28	GO:0061912	0.0128477172533041	6.5854054054054	0.489349639588564	3	53	selective autophagy	Lrsam1;Vps13d;Wdfy3	0.0459660343980907
29	GO:0050000	0.0135135938727255	6.45574986751457	0.498582651656273	3	54	chromosome localization	Dync1h1;Pinx1;Spice1	0.0459660343980907
30	GO:0051303	0.0135135938727255	6.45574986751457	0.498582651656273	3	54	establishment of chromosome localization	Dync1h1;Pinx1;Spice1	0.0459660343980907
31	GO:0000280	0.0139867245351717	2.90963415905222	2.54831133068762	7	276	nuclear division	Clasp2;Ctdp1;Ino80;Pinx1;Smc1a;Spice1;Tdrkh	0.0459660343980907
32	GO:0022617	0.0144048738915765	12.1180555555556	0.184660241354175	2	20	extracellular matrix disassembly	Clasp2;Sh3pxd2b	0.0459660343980907
33	GO:0010458	0.017304847851822	10.9044642857143	0.203126265489593	2	22	exit from mitosis	Clasp2;Ctdp1	0.0459660343980907
34	GO:0001887	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	selenium compound metabolic process	Scly	0.0459660343980907
35	GO:0006011	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	UDP-glucose metabolic process	Ugp2	0.0459660343980907
36	GO:0006452	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	translational frameshifting	Eif5a2	0.0459660343980907
37	GO:0006572	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	tyrosine catabolic process	Gstz1	0.0459660343980907
38	GO:0008078	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	mesodermal cell migration	Epb41l5	0.0459660343980907
39	GO:0010609	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	mRNA localization resulting in posttranscriptional regulation of gene expression	Ckap5	0.0459660343980907
40	GO:0010760	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	negative regulation of macrophage chemotaxis	Ddt	0.0459660343980907
41	GO:0019255	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	glucose 1-phosphate metabolic process	Ugp2	0.0459660343980907
42	GO:0060819	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	inactivation of X chromosome by genetic imprinting	Pcgf5	0.0459660343980907
43	GO:0097029	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	mature conventional dendritic cell differentiation	Prtn3	0.0459660343980907
44	GO:1900240	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	negative regulation of phenotypic switching	Dnmt1	0.0459660343980907
45	GO:1902524	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	positive regulation of protein K48-linked ubiquitination	Nmi	0.0459660343980907
46	GO:1904744	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	positive regulation of telomeric DNA binding	Pinx1	0.0459660343980907
47	GO:1905916	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	negative regulation of cell differentiation involved in phenotypic switching	Dnmt1	0.0459660343980907
48	GO:1905931	0.0183815165731587	108.247787610619	0.0184660241354175	1	2	negative regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching	Dnmt1	0.0459660343980907
49	GO:0032101	0.019190979346158	2.16922634552282	5.40131205960962	11	585	regulation of response to external stimulus	Adar;Chid1;Clasp2;Ddt;Lrsam1;Mycbp2;Nenf;Nmi;P2rx4;Polr3b;Ptprf	0.0459660343980907
50	GO:0031023	0.0199792367480929	4.08249158249158	1.03409735158338	4	112	microtubule organizing center organization	Ckap5;Clasp2;Haus1;Spice1	0.0459660343980907
51	GO:0060271	0.0205048806488392	2.9515732546706	2.14205879970843	6	232	cilium assembly	Cep41;Dcdc2a;Dync2li1;Lrguk;Nek1;Wdr35	0.0459660343980907
52	GO:0098813	0.0229988690152185	3.25499190501889	1.61577711184903	5	175	nuclear chromosome segregation	Dync1h1;Ino80;Pinx1;Smc1a;Spice1	0.0459660343980907
53	GO:0007020	0.0237717937048229	9.08407738095238	0.240058313760428	2	26	microtubule nucleation	Ckap5;Clasp2	0.0459660343980907
54	GO:0010614	0.0255209120823131	8.72	0.249291325828136	2	27	negative regulation of cardiac muscle hypertrophy	Ctdp1;P2rx4	0.0459660343980907
55	GO:0006304	0.0258525649073793	4.98239148239148	0.637077832671904	3	69	DNA modification	Dnmt1;Gstt1;Tdrkh	0.0459660343980907
56	GO:1902115	0.0261270912192662	3.14246246872394	1.67117518425528	5	181	regulation of organelle assembly	Dcdc2a;Dync1h1;Dync2li1;Lrsam1;Spice1	0.0459660343980907
57	GO:0010634	0.0263599488132043	3.73343605546995	1.12642747226047	4	122	positive regulation of epithelial cell migration	Clasp2;Epb41l4b;Epb41l5;P2rx4	0.0459660343980907
58	GO:0048285	0.0270567674000779	2.52451380697456	2.91763181339597	7	316	organelle fission	Clasp2;Ctdp1;Ino80;Pinx1;Smc1a;Spice1;Tdrkh	0.0459660343980907
59	GO:0014741	0.0273207915875417	8.38392857142857	0.258524337895845	2	28	negative regulation of muscle hypertrophy	Ctdp1;P2rx4	0.0459660343980907
60	GO:0006559	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	L-phenylalanine catabolic process	Gstz1	0.0459660343980907
61	GO:0010424	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	DNA methylation on cytosine within a CG sequence	Dnmt1	0.0459660343980907
62	GO:0030951	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	establishment or maintenance of microtubule cytoskeleton polarity	Ckap5	0.0459660343980907
63	GO:0032687	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	negative regulation of interferon-alpha production	Nmi	0.0459660343980907
64	GO:0033140	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	negative regulation of peptidyl-serine phosphorylation of STAT protein	Ggnbp2	0.0459660343980907
65	GO:0034199	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	activation of protein kinase A activity	Fbn1	0.0459660343980907
66	GO:0035582	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	sequestering of BMP in extracellular matrix	Fbn1	0.0459660343980907
67	GO:0035583	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	sequestering of TGFbeta in extracellular matrix	Fbn1	0.0459660343980907
68	GO:0042766	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	nucleosome mobilization	Ino80	0.0459660343980907
69	GO:0045905	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	positive regulation of translational termination	Eif5a2	0.0459660343980907
70	GO:0048319	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	axial mesoderm morphogenesis	Epb41l5	0.0459660343980907
71	GO:0061945	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	regulation of protein K48-linked ubiquitination	Nmi	0.0459660343980907
72	GO:0090679	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	cell differentiation involved in phenotypic switching	Dnmt1	0.0459660343980907
73	GO:1900368	0.0274462802111223	54.1194690265487	0.0276990362031263	1	3	regulation of RNA interference	Adar	0.0459660343980907
