GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0021549	0.000171834980592235	8.10747663551402	0.824015556635877	6	90	cerebellum development	Atrn;Herc1;Igf1r;Nav2;Nr2c2;Ttll1	0.0228573120167115
2	GO:0045925	0.000247781927573498	220.324324324324	0.0274671852211959	2	3	positive regulation of female receptivity	Ncoa1;Ncoa2	0.0228573120167115
3	GO:1904016	0.000247781927573498	220.324324324324	0.0274671852211959	2	3	response to Thyroglobulin triiodothyronine	Ncoa1;Ncoa2	0.0228573120167115
4	GO:1904017	0.000247781927573498	220.324324324324	0.0274671852211959	2	3	cellular response to Thyroglobulin triiodothyronine	Ncoa1;Ncoa2	0.0228573120167115
5	GO:0022037	0.000289333063502677	7.31745553210733	0.906417112299465	6	99	metencephalon development	Atrn;Herc1;Igf1r;Nav2;Nr2c2;Ttll1	0.0228573120167115
6	GO:0090258	0.000492594139361237	110.153153153153	0.0366229136282612	2	4	negative regulation of mitochondrial fission	Mapt;Pink1	0.0304610858035741
7	GO:0008088	0.000730298326782571	7.70928462709285	0.714146815751094	5	78	axo-dendritic transport	App;Htt;Kif1b;Kif5a;Mapt	0.0304610858035741
8	GO:0048341	0.000816073786362771	73.4294294294294	0.0457786420353265	2	5	paraxial mesoderm formation	Exoc4;Htt	0.0304610858035741
9	GO:1902949	0.000816073786362771	73.4294294294294	0.0457786420353265	2	5	positive regulation of tau-protein kinase activity	App;Nab2	0.0304610858035741
10	GO:2000324	0.000816073786362771	73.4294294294294	0.0457786420353265	2	5	positive regulation of glucocorticoid receptor signaling pathway	Bdnf;Ncoa2	0.0304610858035741
11	GO:0099111	0.00101075038651202	4.82835906232133	1.57478528601523	7	172	microtubule-based transport	App;Htt;Ift122;Kif1b;Kif5a;Mapt;Ttll1	0.0304610858035741
12	GO:0018200	0.00101374091633319	17.5263157894737	0.201426024955437	3	22	peptidyl-glutamic acid modification	Ttll1;Ttll7;Vkorc1l1	0.0304610858035741
13	GO:0007617	0.00115806531911146	16.6486363636364	0.210581753362502	3	23	mating behavior	App;Ncoa1;Ncoa2	0.0304610858035741
14	GO:0045924	0.00121678528067265	55.0675675675676	0.0549343704423918	2	6	regulation of female receptivity	Ncoa1;Ncoa2	0.0304610858035741
15	GO:1990049	0.00121678528067265	55.0675675675676	0.0549343704423918	2	6	retrograde neuronal dense core vesicle transport	Kif1b;Kif5a	0.0304610858035741
16	GO:1901888	0.00123386676672705	4.65662584133289	1.62971965645762	7	178	regulation of cell junction assembly	Adgrb3;App;Bcas3;Bdnf;Clasp1;Lingo2;Ptprd	0.0304610858035741
17	GO:0030902	0.00148714387817189	5.25972614648989	1.23602333495382	6	135	hindbrain development	Atrn;Herc1;Igf1r;Nav2;Nr2c2;Ttll1	0.034554225404582
18	GO:1900122	0.00169331232521917	44.0504504504504	0.0640900988494571	2	7	positive regulation of receptor binding	App;Bdnf	0.0371587982478651
