GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0099537	1.26736998114598e-11	4.10183639398998	11.4685020242915	39	638	trans-synaptic signaling	Adgrb1;Atp2a2;Atp2b2;Atxn1;Cacnb1;Camk4;Cx3cl1;Cyp46a1;Dlg2;Dlg4;Dlgap3;Egr1;Egr3;Gabra4;Gabrd;Grik5;Grin1;Grm3;Gucy1b1;Homer1;Hrh3;Il1rapl1;Insyn1;Jph3;Map1a;Mapk1;Neurl1a;Nlgn1;Plcb1;Plcl2;Plk2;Ppp1r9b;Prkcb;Prkcz;Rapgef4;Rgs4;Rin1;Sipa1l1;Vps18	6.81056438699926e-09
2	GO:0007268	3.42975388707547e-11	4.03154197013169	11.3067206477733	38	629	chemical synaptic transmission	Adgrb1;Atp2a2;Atp2b2;Atxn1;Cacnb1;Camk4;Cx3cl1;Cyp46a1;Dlg2;Dlg4;Dlgap3;Egr1;Egr3;Gabra4;Gabrd;Grik5;Grin1;Grm3;Gucy1b1;Homer1;Hrh3;Insyn1;Jph3;Map1a;Mapk1;Neurl1a;Nlgn1;Plcb1;Plcl2;Plk2;Ppp1r9b;Prkcb;Prkcz;Rapgef4;Rgs4;Rin1;Sipa1l1;Vps18	6.81056438699926e-09
3	GO:0098916	3.42975388707547e-11	4.03154197013169	11.3067206477733	38	629	anterograde trans-synaptic signaling	Adgrb1;Atp2a2;Atp2b2;Atxn1;Cacnb1;Camk4;Cx3cl1;Cyp46a1;Dlg2;Dlg4;Dlgap3;Egr1;Egr3;Gabra4;Gabrd;Grik5;Grin1;Grm3;Gucy1b1;Homer1;Hrh3;Insyn1;Jph3;Map1a;Mapk1;Neurl1a;Nlgn1;Plcb1;Plcl2;Plk2;Ppp1r9b;Prkcb;Prkcz;Rapgef4;Rgs4;Rin1;Sipa1l1;Vps18	6.81056438699926e-09
4	GO:0099536	3.70642959836694e-11	3.94228032259765	11.8819433198381	39	661	synaptic signaling	Adgrb1;Atp2a2;Atp2b2;Atxn1;Cacnb1;Camk4;Cx3cl1;Cyp46a1;Dlg2;Dlg4;Dlgap3;Egr1;Egr3;Gabra4;Gabrd;Grik5;Grin1;Grm3;Gucy1b1;Homer1;Hrh3;Il1rapl1;Insyn1;Jph3;Map1a;Mapk1;Neurl1a;Nlgn1;Plcb1;Plcl2;Plk2;Ppp1r9b;Prkcb;Prkcz;Rapgef4;Rgs4;Rin1;Sipa1l1;Vps18	6.81056438699926e-09
5	GO:0050877	3.7041753114386e-08	3.15026192445547	13.2660728744939	36	738	nervous system process	Abi2;Atp2b2;Atxn1;Cacna1i;Camk4;Ccnd2;Csmd1;Cx3cl1;Dlg2;Dlg4;Dlgap3;Egr1;Egr2;Gabra4;Gabrd;Grik5;Grin1;Grm3;Homer1;Hrh3;Insyn1;Jph3;Map1a;Mapk1;Nlgn1;Oprd1;Pja2;Plcb1;Plk2;Prkcz;Rapgef4;Rbfox1;Reep6;Rgs4;Rin1;Spry2	4.28526061883067e-06
6	GO:0050804	4.22538292543913e-08	3.70277557494052	8.68226720647773	28	483	modulation of chemical synaptic transmission	Adgrb1;Atp2a2;Atp2b2;Cyp46a1;Dlg4;Dlgap3;Egr1;Grik5;Grin1;Grm3;Gucy1b1;Homer1;Jph3;Map1a;Mapk1;Neurl1a;Nlgn1;Plcb1;Plcl2;Plk2;Ppp1r9b;Prkcb;Prkcz;Rapgef4;Rgs4;Rin1;Sipa1l1;Vps18	4.28526061883067e-06
7	GO:0099177	4.41495147588545e-08	3.69433894013384	8.70024291497976	28	484	regulation of trans-synaptic signaling	Adgrb1;Atp2a2;Atp2b2;Cyp46a1;Dlg4;Dlgap3;Egr1;Grik5;Grin1;Grm3;Gucy1b1;Homer1;Jph3;Map1a;Mapk1;Neurl1a;Nlgn1;Plcb1;Plcl2;Plk2;Ppp1r9b;Prkcb;Prkcz;Rapgef4;Rgs4;Rin1;Sipa1l1;Vps18	4.28526061883067e-06
8	GO:0007267	4.66422924498576e-08	2.65274442962304	21.9123886639676	49	1219	cell-cell signaling	Adgrb1;Atp2a2;Atp2b2;Atxn1;Cacnb1;Camk4;Cry2;Cx3cl1;Cxadr;Cyp46a1;Dlg2;Dlg4;Dlgap3;Egr1;Egr3;Foxo3;Gabra4;Gabrd;Grik5;Grin1;Grm3;Gucy1b1;Homer1;Hrh3;Il1rapl1;Insyn1;Jph3;Map1a;Map2k6;Mapk1;Mark2;Neurl1a;Nlgn1;Nr1d1;Plcb1;Plcl2;Plk2;Ppp1r9b;Prkcb;Prkcz;Rab11b;Rab11fip2;Rapgef4;Rgs4;Rin1;Sipa1l1;Slc9b2;Smad3;Vps18	4.28526061883067e-06
9	GO:0007613	9.3304000539523e-08	6.90968113083498	2.35481781376518	14	131	memory	Atxn1;Camk4;Ccnd2;Csmd1;Egr1;Grin1;Hrh3;Jph3;Map1a;Pja2;Plcb1;Plk2;Prkcz;Rin1	7.61982671072772e-06
10	GO:0003008	1.12071577160005e-07	2.61648994052891	21.1394331983806	47	1176	system process	Abi2;Atp2a2;Atp2b2;Atxn1;Cacna1i;Camk4;Ccnd2;Cry2;Csmd1;Cx3cl1;Cxadr;Dlg2;Dlg4;Dlgap3;Egr1;Egr2;Foxo3;Gabra4;Gabrd;Gnao1;Grik5;Grin1;Grm3;Homer1;Hrh3;Insyn1;Jph3;Map1a;Map2k6;Mapk1;Myom3;Nlgn1;Oprd1;Pja2;Plcb1;Plk2;Prkcz;Rapgef4;Rbfox1;Reep6;Rgs4;Rin1;Sema3a;Smad3;Spry2;Tpm1;Trpc1	8.2372609212604e-06
11	GO:0007154	1.70603911438054e-07	2.03865867070615	68.5234008097166	105	3812	cell communication	Abhd2;Abi2;Ackr2;Adgrb1;Adgrl2;Agap2;Akt2;Alpk1;Arhgap10;Arhgap20;Arhgef2;Arhgef3;Asb2;Atp2a2;Atp2b2;Atrx;Atxn1;C1qtnf4;Cacna1i;Cacnb1;Camk4;Cd276;Cpeb4;Cry2;Cx3cl1;Cxadr;Cyp46a1;Deptor;Dlg2;Dlg4;Dlgap3;Dock3;Egr1;Egr3;Fcrls;Foxo3;Fstl4;Gabra4;Gabrd;Gnao1;Grik5;Grin1;Grm3;Gsg1l;Gucy1b1;Homer1;Hrh3;Hrk;Il1rapl1;Inpp5d;Insyn1;Itpr1;Jph3;Klf9;Map1a;Map2k6;Mapk1;Mapk4;Mark2;Mertk;Neurl1a;Ngef;Nlgn1;Nr1d1;Nr4a2;Oprd1;Pja2;Plcb1;Plcl2;Plk2;Plxna2;Plxnd1;Pml;Ppp1r1a;Ppp1r9b;Prkcb;Prkci;Prkcz;Psd;Rab11b;Rab11fip2;Rapgef4;Rasgef1a;Rasgrp1;Rgs4;Rgs7bp;Rin1;Rps6ka3;Sec14l1;Sema3a;Sipa1l1;Skil;Slc9b2;Smad3;Spred1;Spry2;Sptbn1;Srpk1;Stat6;Stk32c;Stk38l;Tiam2;Vps18;Zbtb7a;Zfyve28	1.13994431733609e-05
12	GO:0023052	2.19071294143869e-07	2.02723855643952	67.9302024291498	104	3779	signaling	Abhd2;Abi2;Ackr2;Adgrb1;Adgrl2;Agap2;Akt2;Alpk1;Arhgap10;Arhgap20;Arhgef2;Arhgef3;Asb2;Atp2a2;Atp2b2;Atrx;Atxn1;C1qtnf4;Cacna1i;Cacnb1;Camk4;Cd276;Cpeb4;Cry2;Cx3cl1;Cxadr;Cyp46a1;Deptor;Dlg2;Dlg4;Dlgap3;Dock3;Egr1;Egr3;Fcrls;Foxo3;Fstl4;Gabra4;Gabrd;Gnao1;Grik5;Grin1;Grm3;Gsg1l;Gucy1b1;Homer1;Hrh3;Il1rapl1;Inpp5d;Insyn1;Itpr1;Jph3;Klf9;Map1a;Map2k6;Mapk1;Mapk4;Mark2;Mertk;Neurl1a;Ngef;Nlgn1;Nr1d1;Nr4a2;Oprd1;Pja2;Plcb1;Plcl2;Plk2;Plxna2;Plxnd1;Pml;Ppp1r1a;Ppp1r9b;Prkcb;Prkci;Prkcz;Psd;Rab11b;Rab11fip2;Rapgef4;Rasgef1a;Rasgrp1;Rgs4;Rgs7bp;Rin1;Rps6ka3;Sec14l1;Sema3a;Sipa1l1;Skil;Slc9b2;Smad3;Spred1;Spry2;Sptbn1;Srpk1;Stat6;Stk32c;Stk38l;Tiam2;Vps18;Zbtb7a;Zfyve28	1.3418116766312e-05
