GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0030001	4.7479116993612e-05	2.84941834451902	8.60905483113307	22	618	metal ion transport	Akap6;Atp2b1;Cltc;Fgf14;Jsrp1;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Micu1;Nipa1;Opa1;P2ry6;Pcsk9;Per1;Ppp3ca;Rep15;Slc25a37;Steap3;Strit1;Tmem175	0.0136265065771666
2	GO:0098660	0.000275017779963326	2.76963199072733	7.1184903215356	18	511	inorganic ion transmembrane transport	Akap6;Ano3;Atp2b1;Fgf14;Jsrp1;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Micu1;Opa1;P2ry6;Pcsk9;Slc25a37;Steap3;Strit1;Tmem175	0.0317803163359054
3	GO:0098662	0.000332198428598314	2.81225382932166	6.60306147242245	17	474	inorganic cation transmembrane transport	Akap6;Atp2b1;Fgf14;Jsrp1;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Micu1;Opa1;P2ry6;Pcsk9;Slc25a37;Steap3;Strit1;Tmem175	0.0317803163359054
4	GO:0060178	0.000573525370703903	143.223529411765	0.0417915283064712	2	3	regulation of exocyst localization	Ralgapa2;Ralgapb	0.0346810925368238
5	GO:0006811	0.000668003002088064	2.08336570836571	15.4489349639589	29	1109	ion transport	Akap6;Ano3;Atp2b1;Atp8a1;Cltc;Cnnm1;Cnr1;Fgf14;Grik3;Jsrp1;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Micu1;Nipa1;Opa1;P2ry6;Pcsk9;Per1;Per2;Ppp3ca;Rep15;Slc25a37;Stard10;Steap3;Strit1;Tmem175	0.0346810925368238
6	GO:0006812	0.000725040262093877	2.26437943216467	11.1444075483923	23	800	cation transport	Akap6;Atp2b1;Cltc;Cnr1;Fgf14;Jsrp1;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Micu1;Nipa1;Opa1;P2ry6;Pcsk9;Per1;Ppp3ca;Rep15;Slc25a37;Steap3;Strit1;Tmem175	0.0346810925368238
7	GO:1901021	0.000852993936761479	10.7125220458554	0.431845792500202	4	31	positive regulation of calcium ion transmembrane transporter activity	Akap6;Fgf14;P2ry6;Strit1	0.0349727514072207
8	GO:0097167	0.00113653179596096	71.6058823529412	0.0557220377419616	2	4	circadian regulation of translation	Per1;Per2	0.0407730781800993
9	GO:0098655	0.00128751285504072	2.46816540042346	7.45282254798737	17	535	cation transmembrane transport	Akap6;Atp2b1;Fgf14;Jsrp1;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Micu1;Opa1;P2ry6;Pcsk9;Slc25a37;Steap3;Strit1;Tmem175	0.0410573543774096
10	GO:0006826	0.00151279290395805	9.03497023809524	0.501498339677654	4	36	iron ion transport	Cltc;Rep15;Slc25a37;Steap3	0.0431561781478331
11	GO:1901019	0.00168703169474715	6.36516440802605	0.863691585000405	5	62	regulation of calcium ion transmembrane transporter activity	Akap6;Fgf14;Jsrp1;P2ry6;Strit1	0.0431561781478331
12	GO:0032484	0.00187686798809729	47.7333333333333	0.069652547177452	2	5	Ral protein signal transduction	Ralgapa2;Ralgapb	0.0431561781478331
13	GO:0034220	0.00276054919529034	2.17707742660738	9.41702437839151	19	676	ion transmembrane transport	Akap6;Ano3;Atp2b1;Fgf14;Jsrp1;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Micu1;Opa1;P2ry6;Pcsk9;Per2;Slc25a37;Steap3;Strit1;Tmem175	0.0431561781478331
14	GO:0042391	0.00381043165245087	2.61066176470588	4.90353932129262	12	352	regulation of membrane potential	Akap6;Cnr1;Cntnap1;Dgki;Fgf14;Grik3;Kcna1;Kcnh4;Kcnj8;Kcnk6;Ppp3ca;Syne1	0.0431561781478331
15	GO:0034629	0.00383274778167079	10.7884615384615	0.320401717016279	3	23	cellular protein-containing complex localization	Akap6;Ralgapa2;Ralgapb	0.0431561781478331
16	GO:0051601	0.00386966274567673	28.6352941176471	0.0975135660484328	2	7	exocyst localization	Ralgapa2;Ralgapb	0.0431561781478331
