GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0007399	3.77634278429912e-05	3.66299343625774	7.32836304700162	19	1884	nervous system development	Actl6b;Adnp2;Arid1b;Carm1;Cdh9;Chrna7;Crtc1;Htr6;Kdm7a;Kit;Mef2a;Mrtfa;Mthfr;Nphp4;Paqr3;Plppr4;Rgs14;Slit3;Slitrk2	0.0154830054156264
2	GO:0048699	0.00012784621361288	3.69956066238594	5.29011345218801	15	1360	generation of neurons	Actl6b;Adnp2;Arid1b;Carm1;Chrna7;Crtc1;Kit;Mef2a;Mrtfa;Nphp4;Paqr3;Plppr4;Rgs14;Slit3;Slitrk2	0.0171111718370525
3	GO:0065007	0.000161768864368506	4.09815555268928	30.3209076175041	42	7795	biological regulation	Actl6b;Adnp2;Arhgef17;Arid1b;Atp9b;BC048403;Cacna1c;Carm1;Celf2;Chrna7;Cnnm4;Coro2b;Crtc1;Dgkh;Dnaja4;Dnajc16;Eif4e3;Gria2;Gsdmd;H2ac19;Htr6;Jak3;Kcnq2;Kdm7a;Kit;Med16;Mef2a;Mknk2;Mrtfa;Mthfr;Nphp4;Paqr3;Pcid2;Plppr4;Pum1;Rgs14;Shc2;Slc39a3;Slit3;Slitrk2;Zfp93;Zmynd11	0.0171111718370525
4	GO:0048731	0.000207749995871128	2.93497892835641	13.0191247974068	25	3347	system development	Actl6b;Adnp2;Arid1b;Cacna1c;Carm1;Cdh9;Chrna7;Cnnm4;Crtc1;Htr6;Jak3;Kdm7a;Kit;Mef2a;Mknk2;Mrtfa;Mthfr;Nphp4;Paqr3;Pcid2;Plppr4;Rgs14;Slc39a3;Slit3;Slitrk2	0.0171111718370525
5	GO:0022008	0.000256230644162653	3.4471813103098	5.62852512155592	15	1447	neurogenesis	Actl6b;Adnp2;Arid1b;Carm1;Chrna7;Crtc1;Kit;Mef2a;Mrtfa;Nphp4;Paqr3;Plppr4;Rgs14;Slit3;Slitrk2	0.0171111718370525
6	GO:0007612	0.000270475276721865	9.8094315245478	0.579578606158833	5	149	learning	Cacna1c;Chrna7;Htr6;Kit;Rgs14	0.0171111718370525
7	GO:0010468	0.00029214195819358	2.87271581600504	12.439546191248	24	3198	regulation of gene expression	Actl6b;Arid1b;Carm1;Celf2;Chrna7;Crtc1;Dnaja4;Eif4e3;Gsdmd;H2ac19;Jak3;Kdm7a;Kit;Med16;Mef2a;Mknk2;Mrtfa;Mthfr;Pcid2;Pum1;Rgs14;Slit3;Zfp93;Zmynd11	0.0171111718370525
8	GO:0008306	0.000386097007917939	13.055614973262	0.346191247974068	4	89	associative learning	Cacna1c;Chrna7;Kit;Rgs14	0.0178101570877359
9	GO:0007611	0.000391698094210633	7.05386416861827	0.972447325769854	6	250	learning or memory	Cacna1c;Chrna7;Crtc1;Htr6;Kit;Rgs14	0.0178101570877359
10	GO:0032501	0.000455057621229521	2.74761186525892	18.169205834684	30	4671	multicellular organismal process	Actl6b;Adnp2;Arid1b;Cacna1c;Carm1;Cdh9;Chrna7;Cnnm4;Coro2b;Crtc1;Dnaja4;Gsdmd;Htr6;Jak3;Kcnq2;Kdm7a;Kit;Mef2a;Mknk2;Mrtfa;Mthfr;Nphp4;Paqr3;Pcid2;Plppr4;Pum1;Rgs14;Slc39a3;Slit3;Slitrk2	0.0178101570877359
11	GO:0002371	0.000524187379857948	76.304347826087	0.0350081037277147	2	9	dendritic cell cytokine production	Jak3;Kit	0.0178101570877359
12	GO:0010467	0.000539094926037914	2.69614512471655	15.5435980551053	27	3996	gene expression	Actl6b;Arid1b;Carm1;Celf2;Chrna7;Crtc1;Dhx38;Dnaja4;Dtwd1;Eif4e3;Gsdmd;H2ac19;Jak3;Kdm7a;Kit;Med16;Mef2a;Mknk2;Mrtfa;Mthfr;Pcid2;Pum1;Rgs14;Rpp40;Slit3;Zfp93;Zmynd11	0.0178101570877359
13	GO:0048666	0.000585462256319467	3.56888888888889	4.13095623987034	12	1062	neuron development	Actl6b;Arid1b;Carm1;Chrna7;Crtc1;Mef2a;Mrtfa;Nphp4;Paqr3;Plppr4;Slit3;Slitrk2	0.0178101570877359
14	GO:0030182	0.000608151705434884	3.38936220287126	4.77277147487844	13	1227	neuron differentiation	Actl6b;Adnp2;Arid1b;Carm1;Chrna7;Crtc1;Mef2a;Mrtfa;Nphp4;Paqr3;Plppr4;Slit3;Slitrk2	0.0178101570877359
15	GO:0050890	0.000673689297168393	6.33684765419083	1.077471636953	6	277	cognition	Cacna1c;Chrna7;Crtc1;Htr6;Kit;Rgs14	0.0178435197344759
16	GO:0035637	0.000696755231030026	11.0836363636364	0.404538087520259	4	104	multicellular organismal signaling	Cacna1c;Chrna7;Kcnq2;Mef2a	0.0178435197344759
17	GO:0016358	0.000739853257283148	6.21946169772257	1.0969205834684	6	282	dendrite development	Actl6b;Arid1b;Carm1;Chrna7;Crtc1;Mef2a	0.0178435197344759
18	GO:0032222	0.00079687321088733	59.3381642512077	0.0427876823338736	2	11	regulation of synaptic transmission, cholinergic	Chrna7;Htr6	0.0181510009146559
19	GO:0031175	0.000935439888047548	3.54941678520626	3.73808752025932	11	961	neuron projection development	Actl6b;Arid1b;Carm1;Chrna7;Crtc1;Mef2a;Mrtfa;Paqr3;Plppr4;Slit3;Slitrk2	0.0201858081104997
20	GO:0060291	0.00108267954148432	9.79806918744972	0.455105348460292	4	117	long-term synaptic potentiation	Chrna7;Crtc1;Htr6;Rgs14	0.0219954357361446
21	GO:0007275	0.00116258605597426	2.53485685999505	14.446677471637	25	3714	multicellular organism development	Actl6b;Adnp2;Arid1b;Cacna1c;Carm1;Cdh9;Chrna7;Cnnm4;Crtc1;Htr6;Jak3;Kdm7a;Kit;Mef2a;Mknk2;Mrtfa;Mthfr;Nphp4;Paqr3;Pcid2;Plppr4;Rgs14;Slc39a3;Slit3;Slitrk2	0.0219954357361446
22	GO:0050806	0.00118024289315898	6.99467777392109	0.80129659643436	5	206	positive regulation of synaptic transmission	Chrna7;Crtc1;Gria2;Htr6;Rgs14	0.0219954357361446
23	GO:0071840	0.00130900863478278	2.50321034545126	18.2236628849271	29	4685	cellular component organization or biogenesis	Actl6b;Adnp2;Arhgef17;Arid1b;Atp9b;Carm1;Cdh9;Celf2;Chrna7;Coro2b;Crtc1;Dnaja4;Gria2;Gsdmd;H2ac19;Kdm7a;Kit;Mef2a;Mrtfa;Mthfr;Nphp4;Paqr3;Pcid2;Plppr4;Rgs14;Rpp40;Slit3;Slitrk2;Zmynd11	0.0220034847844218
24	GO:0008542	0.00132493242975957	15.3949685534591	0.217828200972447	3	56	visual learning	Cacna1c;Kit;Rgs14	0.0220034847844218
25	GO:0007632	0.00146681822680804	14.8327272727273	0.225607779578606	3	58	visual behavior	Cacna1c;Kit;Rgs14	0.0220034847844218
26	GO:0050789	0.00154447039429345	2.8744248985115	28.897244732577	39	7429	regulation of biological process	Actl6b;Adnp2;Arhgef17;Arid1b;BC048403;Cacna1c;Carm1;Celf2;Chrna7;Coro2b;Crtc1;Dgkh;Dnaja4;Dnajc16;Eif4e3;Gria2;Gsdmd;H2ac19;Htr6;Jak3;Kcnq2;Kdm7a;Kit;Med16;Mef2a;Mknk2;Mrtfa;Mthfr;Nphp4;Paqr3;Pcid2;Plppr4;Pum1;Rgs14;Shc2;Slit3;Slitrk2;Zfp93;Zmynd11	0.0220034847844218
27	GO:0050794	0.0016057226391456	2.77418719211823	27.7847649918963	38	7143	regulation of cellular process	Actl6b;Adnp2;Arhgef17;Arid1b;BC048403;Cacna1c;Carm1;Celf2;Chrna7;Coro2b;Crtc1;Dgkh;Dnaja4;Dnajc16;Eif4e3;Gria2;H2ac19;Htr6;Jak3;Kcnq2;Kdm7a;Kit;Med16;Mef2a;Mknk2;Mrtfa;Mthfr;Nphp4;Paqr3;Pcid2;Plppr4;Pum1;Rgs14;Shc2;Slit3;Slitrk2;Zfp93;Zmynd11	0.0220034847844218
28	GO:0048167	0.00164367603996442	6.47036759189797	0.863533225283631	5	222	regulation of synaptic plasticity	Chrna7;Crtc1;Htr6;Kit;Rgs14	0.0220034847844218
29	GO:0016043	0.00170419215856165	2.43953592146363	17.5429497568882	28	4510	cellular component organization	Actl6b;Adnp2;Arhgef17;Arid1b;Atp9b;Carm1;Cdh9;Celf2;Chrna7;Coro2b;Crtc1;Dnaja4;Gria2;Gsdmd;H2ac19;Kdm7a;Kit;Mef2a;Mrtfa;Mthfr;Nphp4;Paqr3;Pcid2;Plppr4;Rgs14;Slit3;Slitrk2;Zmynd11	0.0220034847844218
