GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0036149	0.000274033709763389	Inf	0.0331876315363445	2	2	phosphatidylinositol acyl-chain remodeling	Lclat1;Lpgat1	0.0458165532714135
2	GO:1903779	0.00113897654838245	18.0282178217822	0.215719604986239	3	13	regulation of cardiac conduction	Ank2;Pde4d;Trpm4	0.0458165532714135
3	GO:0098742	0.00116714650648514	3.74906289046231	2.58863525983487	9	156	cell-cell adhesion via plasma-membrane adhesion molecules	Cdh6;Celsr2;Gpc6;Igfn1;Igsf9b;Kifap3;Magi2;Mypn;Ptprt	0.0458165532714135
4	GO:0098910	0.00160839418509874	59.8374384236453	0.066375263072689	2	4	regulation of atrial cardiac muscle cell action potential	Ank2;Trpm4	0.0458165532714135
5	GO:0097756	0.00161622525199215	5.20272792534099	1.26112999838109	6	76	negative regulation of blood vessel diameter	Adm;Bmpr2;Hmgcr;Hrh2;Ptgs1;Trpm4	0.0458165532714135
6	GO:0032924	0.00163065362960706	8.93458632762115	0.51440828881334	4	31	activin receptor signaling pathway	Acvr1b;Hjv;Lemd3;Magi2	0.0458165532714135
7	GO:0019229	0.00165334587972096	6.43723404255319	0.862878419944957	5	52	regulation of vasoconstriction	Adm;Bmpr2;Hrh2;Ptgs1;Trpm4	0.0458165532714135
8	GO:0007155	0.00227101392328419	1.91279466199104	15.8636878743727	28	956	cell adhesion	Abi3bp;Ccn4;Cdh6;Celsr2;Col5a1;Dusp1;Efnb1;Epdr1;Fut9;Gpc6;Igfn1;Igsf9b;Jak1;Kifap3;Lamc2;Magi1;Magi2;Mfge8;Mypn;Ncam2;Pcdh7;Pcdha11;Pcdha12;Pcdha5;Pcdhac1;Ptprt;Syk;Zdhhc2	0.0458165532714135
9	GO:0023052	0.00250049868143365	1.52234234234234	62.7578112352275	82	3782	signaling	Acvr1b;Adgrd1;Adm;Ank2;Arc;Arfgef1;Arfgef3;Arhgap22;Arnt2;Atg7;Bmpr2;Cadps;Ccn4;Cdh6;Celsr2;Chml;Chp2;Csrnp1;Dusp1;Efnb1;Fbxl2;Gabrg2;Gpc6;Gpr3;Herc4;Hipk3;Hjv;Hmgcr;Hrh2;Igsf9b;Iqsec1;Irak2;Jak1;Kazald1;Kcna2;Kcnj11;Klf7;Lemd3;Lmbrd1;Lmbrd2;Ly6c1;Magi1;Magi2;Mgat5;Mib1;Mnt;Myo5a;Npsr1;Nrep;Nyap2;Olfr464;Otulin;Pclo;Pde4d;Pgr;Plcd3;Ppp2cb;Prcp;Ptgs1;Ptprt;Rasgef1c;Rell1;Rhebl1;Rora;Scn2a;Sel1l;Slc24a2;Smad1;Srpk2;Stau2;Stk40;Stxbp5l;Syk;Tmod2;Tom1l2;Trib1;Trim44;Trpm4;Ube2o;Uri1;Zdhhc2;Zfyve9	0.0458165532714135
10	GO:0022610	0.00252237391710367	1.89728994833681	15.9798445847499	28	963	biological adhesion	Abi3bp;Ccn4;Cdh6;Celsr2;Col5a1;Dusp1;Efnb1;Epdr1;Fut9;Gpc6;Igfn1;Igsf9b;Jak1;Kifap3;Lamc2;Magi1;Magi2;Mfge8;Mypn;Ncam2;Pcdh7;Pcdha11;Pcdha12;Pcdha5;Pcdhac1;Ptprt;Syk;Zdhhc2	0.0458165532714135
11	GO:0021999	0.00265136454370538	39.888341543514	0.0829690788408613	2	5	neural plate anterior/posterior regionalization	Celsr2;Ssbp3	0.0458165532714135
12	GO:0040038	0.00265136454370538	39.888341543514	0.0829690788408613	2	5	polar body extrusion after meiotic divisions	Fmn2;Mei1	0.0458165532714135
13	GO:0007156	0.00285962293819509	4.6065771897462	1.41047434029464	6	85	homophilic cell adhesion via plasma membrane adhesion molecules	Cdh6;Celsr2;Igfn1;Igsf9b;Mypn;Ptprt	0.0458165532714135
14	GO:0032011	0.00305696209006735	12.0138613861386	0.298688683827101	3	18	ARF protein signal transduction	Arfgef1;Arfgef3;Iqsec1	0.0458165532714135
15	GO:0032012	0.00305696209006735	12.0138613861386	0.298688683827101	3	18	regulation of ARF protein signal transduction	Arfgef1;Arfgef3;Iqsec1	0.0458165532714135
16	GO:0007154	0.00325173392282542	1.50299133851237	63.3054071555771	82	3815	cell communication	Acvr1b;Adgrd1;Adm;Ank2;Arc;Arfgef1;Arfgef3;Arhgap22;Arnt2;Atg7;Bmpr2;Cadps;Ccn4;Cdh6;Celsr2;Chml;Chp2;Csrnp1;Dusp1;Efnb1;Fbxl2;Gabrg2;Gpc6;Gpr3;Herc4;Hipk3;Hjv;Hmgcr;Hrh2;Igsf9b;Iqsec1;Irak2;Jak1;Kazald1;Kcna2;Kcnj11;Klf7;Lemd3;Lmbrd1;Lmbrd2;Ly6c1;Magi1;Magi2;Mgat5;Mib1;Mnt;Myo5a;Npsr1;Nrep;Nyap2;Olfr464;Otulin;Pclo;Pde4d;Pgr;Plcd3;Ppp2cb;Prcp;Ptgs1;Ptprt;Rasgef1c;Rell1;Rhebl1;Rora;Scn2a;Sel1l;Slc24a2;Smad1;Srpk2;Stau2;Stk40;Stxbp5l;Syk;Tmod2;Tom1l2;Trib1;Trim44;Trpm4;Ube2o;Uri1;Zdhhc2;Zfyve9	0.0458165532714135
17	GO:0046676	0.00384460727447526	6.88784648187633	0.647158814958718	4	39	negative regulation of insulin secretion	Hmgcr;Kcnj11;Klf7;Stxbp5l	0.0458165532714135
18	GO:0032604	0.00393364630494476	29.9137931034483	0.0995628946090335	2	6	granulocyte macrophage colony-stimulating factor production	Il17d;Syk	0.0458165532714135
19	GO:0032645	0.00393364630494476	29.9137931034483	0.0995628946090335	2	6	regulation of granulocyte macrophage colony-stimulating factor production	Il17d;Syk	0.0458165532714135
20	GO:0032725	0.00393364630494476	29.9137931034483	0.0995628946090335	2	6	positive regulation of granulocyte macrophage colony-stimulating factor production	Il17d;Syk	0.0458165532714135
21	GO:0060897	0.00393364630494476	29.9137931034483	0.0995628946090335	2	6	neural plate regionalization	Celsr2;Ssbp3	0.0458165532714135
22	GO:1904177	0.00393364630494476	29.9137931034483	0.0995628946090335	2	6	regulation of adipose tissue development	Klf7;Trpm4	0.0458165532714135
23	GO:0090237	0.0054470877034144	23.9290640394089	0.116156710377206	2	7	regulation of arachidonic acid secretion	Hrh2;Syk	0.0458165532714135
24	GO:0030073	0.00561419999145563	3.16302986353748	2.6881981544439	8	162	insulin secretion	Atg7;Hmgcr;Kcnj11;Klf7;Myo5a;Pclo;Stxbp5l;Trpm4	0.0458165532714135
25	GO:0032925	0.00624276962234723	9.00668316831683	0.381657762667962	3	23	regulation of activin receptor signaling pathway	Acvr1b;Lemd3;Magi2	0.0458165532714135
26	GO:0010921	0.006356242821892	3.86667379450444	1.65938157681723	6	100	regulation of phosphatase activity	Arfgef3;Chp2;Magi2;Mgat5;Ppp1r42;Uri1	0.0458165532714135
27	GO:0042310	0.00643133238700763	4.57689393939394	1.17816091954023	5	71	vasoconstriction	Adm;Bmpr2;Hrh2;Ptgs1;Trpm4	0.0458165532714135
28	GO:0033206	0.0071837393381044	19.9392446633826	0.132750526145378	2	8	meiotic cytokinesis	Fmn2;Mei1	0.0458165532714135
29	GO:0042035	0.0071837393381044	19.9392446633826	0.132750526145378	2	8	regulation of cytokine biosynthetic process	Adam33;Syk	0.0458165532714135
30	GO:0042089	0.0071837393381044	19.9392446633826	0.132750526145378	2	8	cytokine biosynthetic process	Adam33;Syk	0.0458165532714135
31	GO:0042107	0.0071837393381044	19.9392446633826	0.132750526145378	2	8	cytokine metabolic process	Adam33;Syk	0.0458165532714135
