GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0016584	3.76121284783215e-05	35.3705882352941	0.222401810247293	4	8	nucleosome positioning	Ctcf;H1f2;H1f4;Prdm9	0.014856790748937
2	GO:0018023	0.000102079439565944	7.55138926355544	1.11200905123646	7	40	peptidyl-lysine trimethylation	Arid4a;Atpsckmt;H1f2;H1f4;Kdm4d;Kmt2a;Prdm9	0.0179053333728024
3	GO:0080182	0.000135989873717487	12.6590813316477	0.52820429933732	5	19	histone H3-K4 trimethylation	Arid4a;H1f2;H1f4;Kmt2a;Prdm9	0.0179053333728024
4	GO:0060049	0.000243444445694432	17.6794117647059	0.333602715370939	4	12	regulation of protein glycosylation	Acer2;Fktn;Oga;Pomt2	0.0240401390123251
5	GO:0007156	0.000572923671661811	4.22568735271013	2.36301923387748	9	85	homophilic cell adhesion via plasma membrane adhesion molecules	Cdh7;Cntn5;Fat3;L1cam;Pcdhb14;Pcdhb18;Pcdhb6;Pcdhga4;Ptprm	0.038640672434799
6	GO:0007623	0.00078548921090601	3.02875975987758	4.64263778891224	13	167	circadian rhythm	Btrc;Dbp;Ep300;Fas;Gpr176;Gsk3b;Hnrnpu;Huwe1;Kmt2a;Mtor;Nr1d2;Per3;Usp9x	0.038640672434799
7	GO:2000725	0.000995402813067938	5.91420118343195	1.16760950379829	6	42	regulation of cardiac muscle cell differentiation	Bmp2;Ep300;Frs2;Gsk3b;Mtor;Nrg1	0.038640672434799
8	GO:0018205	0.00126193178688789	2.38681883796463	8.06206562146436	18	290	peptidyl-lysine modification	Arid4a;Atp7a;Atpsckmt;Ctcf;Dmap1;Ep300;Ep400;Esco1;H1f2;H1f4;Hmg20a;Jade1;Jade2;Kdm4d;Klf15;Kmt2a;Prdm9;Sirt5	0.038640672434799
9	GO:0046483	0.00153893469815695	1.40891428571429	107.976078875061	134	3884	heterocycle metabolic process	2210016F16Rik;Adsl;Aff1;Arid4a;Atp7a;Atpsckmt;BC024063;Bmp2;Btaf1;Btrc;Ccnh;Ccnt1;Cnot1;Csrnp3;Ctcf;Cux1;Dazl;Dbp;Dcaf1;Dctd;Ddb2;Dido1;Dmap1;Eno2;Enpp5;Entpd1;Ep300;Ephx2;Ercc5;Ercc6;Fancc;Fancg;Fasn;Flad1;Gm14399;Gm14412;Gm4924;Gm5141;Gne;Gsk3b;H1f2;H1f4;H2ac6;Hebp1;Hexb;Hif3a;Hmg20a;Hnrnpc;Hnrnpu;Huwe1;Ice1;Ikzf1;Imp4;Ino80d;Itgb3bp;Jmy;Kdm4d;Klf15;Kmt2a;Lcor;Maml1;Med17;Megf8;Mettl6;Mlh1;Mmab;Mn1;Morc2b;Mtdh;Mtor;Mtr;Ncf1;Nol6;Nr1d2;Nrg1;Nsun6;Nt5c2;Oga;Pars2;Pde12;Pdk3;Pdk4;Per3;Ppargc1b;Prdm9;Prpf8;Pthlh;Pura;S1pr1;Scaf8;Sepsecs;Shld1;Smg1;Snai3;Snrnp200;Snx3;Spen;Ssbp2;Swap70;Taok1;Tep1;Tgfbr1;Tmtc1;Tnrc6b;Tnrc6c;Tpk1;Trim25;Trp53inp1;Tsc22d3;Txnip;Upf2;Usp36;Usp9x;Utp14b;Utp15;Uvssa;Ylpm1;Zbtb43;Zc3h13;Zc3h6;Zfp141;Zfp142;Zfp169;Zfp407;Zfp458;Zfp574;Zfp619;Zfp626;Zfp654;Zfp84;Zfp871;Zfp948;Zfp975;Zxdc	0.038640672434799
10	GO:0007351	0.00157937161354208	17.6304985337243	0.250202036528204	3	9	tripartite regional subdivision	Frs2;Pcsk6;Tifab	0.038640672434799
11	GO:0008595	0.00157937161354208	17.6304985337243	0.250202036528204	3	9	anterior/posterior axis specification, embryo	Frs2;Pcsk6;Tifab	0.038640672434799
12	GO:0006725	0.00162293300488857	1.40543292088337	109.060287700016	135	3923	cellular aromatic compound metabolic process	2210016F16Rik;Adsl;Aff1;Arid4a;Atp7a;Atpsckmt;BC024063;Bmp2;Btaf1;Btrc;Ccnh;Ccnt1;Cnot1;Comt;Csrnp3;Ctcf;Cux1;Dazl;Dbp;Dcaf1;Dctd;Ddb2;Dido1;Dmap1;Eno2;Enpp5;Entpd1;Ep300;Ephx2;Ercc5;Ercc6;Fancc;Fancg;Fasn;Flad1;Gm14399;Gm14412;Gm4924;Gm5141;Gne;Gsk3b;H1f2;H1f4;H2ac6;Hebp1;Hexb;Hif3a;Hmg20a;Hnrnpc;Hnrnpu;Huwe1;Ice1;Ikzf1;Imp4;Ino80d;Itgb3bp;Jmy;Kdm4d;Klf15;Kmt2a;Lcor;Maml1;Med17;Megf8;Mettl6;Mlh1;Mmab;Mn1;Morc2b;Mtdh;Mtor;Mtr;Ncf1;Nol6;Nr1d2;Nrg1;Nsun6;Nt5c2;Oga;Pars2;Pde12;Pdk3;Pdk4;Per3;Ppargc1b;Prdm9;Prpf8;Pthlh;Pura;S1pr1;Scaf8;Sepsecs;Shld1;Smg1;Snai3;Snrnp200;Snx3;Spen;Ssbp2;Swap70;Taok1;Tep1;Tgfbr1;Tmtc1;Tnrc6b;Tnrc6c;Tpk1;Trim25;Trp53inp1;Tsc22d3;Txnip;Upf2;Usp36;Usp9x;Utp14b;Utp15;Uvssa;Ylpm1;Zbtb43;Zc3h13;Zc3h6;Zfp141;Zfp142;Zfp169;Zfp407;Zfp458;Zfp574;Zfp619;Zfp626;Zfp654;Zfp84;Zfp871;Zfp948;Zfp975;Zxdc	0.038640672434799
13	GO:0006473	0.00170362081108401	2.90182351025725	4.44803620494585	12	160	protein acetylation	Cep295;Ctcf;Dmap1;Ep300;Ep400;Esco1;Gsk3b;Jade1;Jade2;Klf15;Kmt2a;Taok1	0.038640672434799
14	GO:1901360	0.00195366202553595	1.3938440883607	112.396314853726	138	4043	organic cyclic compound metabolic process	2210016F16Rik;Adsl;Aff1;Aplp2;Arid4a;Atp7a;Atpsckmt;BC024063;Bmp2;Btaf1;Btrc;Ccnh;Ccnt1;Cnot1;Comt;Csrnp3;Ctcf;Cux1;Dazl;Dbp;Dcaf1;Dctd;Ddb2;Dido1;Dmap1;Eno2;Enpp5;Entpd1;Ep300;Ephx2;Ercc5;Ercc6;Fancc;Fancg;Fasn;Flad1;Fmo5;Gm14399;Gm14412;Gm4924;Gm5141;Gne;Gsk3b;H1f2;H1f4;H2ac6;Hebp1;Hexb;Hif3a;Hmg20a;Hnrnpc;Hnrnpu;Huwe1;Ice1;Ikzf1;Imp4;Ino80d;Itgb3bp;Jmy;Kdm4d;Klf15;Kmt2a;Lcor;Maml1;Med17;Megf8;Mettl6;Mlh1;Mmab;Mn1;Morc2b;Mtdh;Mtor;Mtr;Ncf1;Nol6;Nr1d2;Nrg1;Nsun6;Nt5c2;Oga;Pars2;Pde12;Pde8b;Pdk3;Pdk4;Per3;Ppargc1b;Prdm9;Prpf8;Pthlh;Pura;S1pr1;Scaf8;Sepsecs;Shld1;Smg1;Snai3;Snrnp200;Snx3;Spen;Ssbp2;Swap70;Taok1;Tep1;Tgfbr1;Tmtc1;Tnrc6b;Tnrc6c;Tpk1;Trim25;Trp53inp1;Tsc22d3;Txnip;Upf2;Usp36;Usp9x;Utp14b;Utp15;Uvssa;Ylpm1;Zbtb43;Zc3h13;Zc3h6;Zfp141;Zfp142;Zfp169;Zfp407;Zfp458;Zfp574;Zfp619;Zfp626;Zfp654;Zfp84;Zfp871;Zfp948;Zfp975;Zxdc	0.038640672434799
15	GO:0071824	0.00203262665015186	3.00045847374092	3.94763213188945	11	142	protein-DNA complex subunit organization	Cenpo;Ctcf;Dmap1;Ep300;H1f2;H1f4;H4c8;Ikzf1;Itgb3bp;Prdm9;Trappc12	0.038640672434799
16	GO:1901983	0.00210572521196882	4.28752685971554	1.80701470825925	7	65	regulation of protein acetylation	Cep295;Ctcf;Ep300;Gsk3b;Klf15;Kmt2a;Taok1	0.038640672434799
17	GO:0006283	0.00220998178578351	15.110599078341	0.278002262809116	3	10	transcription-coupled nucleotide-excision repair	Ercc5;Ercc6;Uvssa	0.038640672434799
18	GO:0007354	0.00226939733195961	70.3450292397661	0.0834006788427348	2	3	zygotic determination of anterior/posterior axis, embryo	Pcsk6;Tifab	0.038640672434799
19	GO:0060051	0.00226939733195961	70.3450292397661	0.0834006788427348	2	3	negative regulation of protein glycosylation	Acer2;Oga	0.038640672434799
20	GO:0048634	0.00238955334669921	3.12953041285849	3.44722805883304	10	124	regulation of muscle organ development	Bmp2;Ep300;Frs2;Gsk3b;Mtor;Nr1d2;Nrg1;Tgfbr1;Tifab;Tsc22d3	0.038640672434799
21	GO:1905207	0.00250352173525715	4.83566433566434	1.39001131404558	6	50	regulation of cardiocyte differentiation	Bmp2;Ep300;Frs2;Gsk3b;Mtor;Nrg1	0.038640672434799
22	GO:0033690	0.00297650415929316	13.2206744868035	0.305802489090027	3	11	positive regulation of osteoblast proliferation	Bmp2;Gsk3b;Tmem119	0.038640672434799
23	GO:0035269	0.00297650415929316	13.2206744868035	0.305802489090027	3	11	protein O-linked mannosylation	Fktn;Pomt2;Tmtc1	0.038640672434799
24	GO:0042762	0.00297650415929316	13.2206744868035	0.305802489090027	3	11	regulation of sulfur metabolic process	Comt;Pdk3;Pdk4	0.038640672434799
25	GO:0006259	0.00303081088276442	1.81053332065786	17.597543235817	30	633	DNA metabolic process	Ctcf;Dcaf1;Ddb2;Dmap1;Ercc5;Ercc6;Fancc;Fancg;Gsk3b;H1f2;H1f4;Hnrnpc;Hnrnpu;Huwe1;Ino80d;Jmy;Kdm4d;Kmt2a;Mlh1;Morc2b;Oga;Prdm9;Shld1;Smg1;Swap70;Taok1;Tep1;Usp9x;Uvssa;Ylpm1	0.038640672434799
26	GO:0051153	0.00328283368232644	3.51234567901235	2.47422013900113	8	89	regulation of striated muscle cell differentiation	Bmp2;Ep300;Frs2;Gsk3b;Maml1;Mtor;Nrg1;Tmem119	0.038640672434799
27	GO:0010559	0.00338372330695858	5.53005162241888	1.02860837239373	5	37	regulation of glycoprotein biosynthetic process	Acer2;Ep300;Fktn;Oga;Pomt2	0.038640672434799
28	GO:0000289	0.00341997970083049	7.43715170278638	0.639405204460966	4	23	nuclear-transcribed mRNA poly(A) tail shortening	Cnot1;Mlh1;Tnrc6b;Tnrc6c	0.038640672434799
29	GO:0051053	0.00351818023686681	3.46922183507549	2.50202036528204	8	90	negative regulation of DNA metabolic process	Ercc6;H1f2;H1f4;Hnrnpc;Hnrnpu;Kmt2a;Mlh1;Shld1	0.038640672434799
30	GO:0043543	0.00376092421130443	2.50092583568853	5.53224502990141	13	199	protein acylation	Cep295;Ctcf;Dmap1;Ep300;Ep400;Esco1;Gsk3b;Jade1;Jade2;Klf15;Kmt2a;Taok1;Zdhhc17	0.038640672434799
31	GO:0060211	0.00388752406382608	11.7507331378299	0.333602715370939	3	12	regulation of nuclear-transcribed mRNA poly(A) tail shortening	Cnot1;Tnrc6b;Tnrc6c	0.038640672434799
32	GO:0060213	0.00388752406382608	11.7507331378299	0.333602715370939	3	12	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	Cnot1;Tnrc6b;Tnrc6c	0.038640672434799
33	GO:0098935	0.00388752406382608	11.7507331378299	0.333602715370939	3	12	dendritic transport	Hnrnpu;Kif17;Pura	0.038640672434799
34	GO:2000727	0.00401530122996092	7.06470588235294	0.667205430741878	4	24	positive regulation of cardiac muscle cell differentiation	Ep300;Gsk3b;Mtor;Nrg1	0.038640672434799
35	GO:1903018	0.00427182332679661	5.20388686448031	1.08420882495555	5	39	regulation of glycoprotein metabolic process	Acer2;Ep300;Fktn;Oga;Pomt2	0.038640672434799
36	GO:0098742	0.00441932231514461	2.68879838742852	4.36463552610312	11	157	cell-cell adhesion via plasma-membrane adhesion molecules	Adgrl3;Bmp2;Cdh7;Cntn5;Fat3;L1cam;Pcdhb14;Pcdhb18;Pcdhb6;Pcdhga4;Ptprm	0.038640672434799
37	GO:0008542	0.0044516495689414	4.25325443786982	1.55681267173105	6	56	visual learning	Cacna1e;Ddhd2;Kmt2a;Mtor;Pde8b;Sgk1	0.038640672434799
38	GO:0010510	0.00445534180919452	35.1695906432749	0.111200905123646	2	4	regulation of acetyl-CoA biosynthetic process from pyruvate	Pdk3;Pdk4	0.038640672434799
39	GO:0010641	0.00445534180919452	35.1695906432749	0.111200905123646	2	4	positive regulation of platelet-derived growth factor receptor signaling pathway	F3;Hip1r	0.038640672434799
40	GO:0014735	0.00445534180919452	35.1695906432749	0.111200905123646	2	4	regulation of muscle atrophy	Ep300;Mtor	0.038640672434799
41	GO:0070358	0.00445534180919452	35.1695906432749	0.111200905123646	2	4	actin polymerization-dependent cell motility	Jmy;Nckap1l	0.038640672434799
42	GO:1904780	0.00445534180919452	35.1695906432749	0.111200905123646	2	4	negative regulation of protein localization to centrosome	Gsk3b;Nin	0.038640672434799
43	GO:1990918	0.00445534180919452	35.1695906432749	0.111200905123646	2	4	double-strand break repair involved in meiotic recombination	Morc2b;Prdm9	0.038640672434799
44	GO:0006349	0.00495059187865118	10.574780058651	0.361402941651851	3	13	regulation of gene expression by genetic imprinting	Arid4a;Ctcf;Gsk3b	0.038640672434799
45	GO:0007350	0.00495059187865118	10.574780058651	0.361402941651851	3	13	blastoderm segmentation	Frs2;Pcsk6;Tifab	0.038640672434799
46	GO:0007632	0.00529883414716532	4.08898497951752	1.61241312429287	6	58	visual behavior	Cacna1e;Ddhd2;Kmt2a;Mtor;Pde8b;Sgk1	0.038640672434799
47	GO:0031334	0.00534577978723793	2.49187447464276	5.11524163568773	12	184	positive regulation of protein-containing complex assembly	Ap1ar;Ccl11;Fas;Gsk3b;Hip1r;Ice1;Ikzf1;Jmy;Lcp1;Mtor;Nckap1l;Nin	0.038640672434799
48	GO:0030808	0.00540809715875345	6.42139037433155	0.722805883303701	4	26	regulation of nucleotide biosynthetic process	Atpsckmt;Entpd1;Pdk3;Pdk4	0.038640672434799
49	GO:1900371	0.00540809715875345	6.42139037433155	0.722805883303701	4	26	regulation of purine nucleotide biosynthetic process	Atpsckmt;Entpd1;Pdk3;Pdk4	0.038640672434799
50	GO:0034728	0.00548316535839215	3.54896142433234	2.14061742363019	7	77	nucleosome organization	Ctcf;Dmap1;H1f2;H1f4;H4c8;Itgb3bp;Prdm9	0.038640672434799
