GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0070391	0.000973574415445283	61.8030303030303	0.0491006319883325	2	6	response to lipoteichoic acid	Cd14;Ripk2	0.0466048457484063
2	GO:0071223	0.000973574415445283	61.8030303030303	0.0491006319883325	2	6	cellular response to lipoteichoic acid	Cd14;Ripk2	0.0466048457484063
3	GO:0006396	0.00111694480040839	2.72647560667341	6.14576243720629	15	751	RNA processing	Bms1;Ccdc130;Celf3;Ints1;Kri1;Nvl;Qtrt1;Rbm22;Rnf40;Sfswap;Sirt7;Sympk;Tarbp2;Urb1;Zc3h3	0.0466048457484063
4	GO:0098781	0.00364549795084779	10.6758017492711	0.310970669259439	3	38	ncRNA transcription	Celf3;Sirt7;Snapc4	0.0466048457484063
5	GO:0022613	0.00370348964049299	3.156220463138	3.08515637660023	9	377	ribonucleoprotein complex biogenesis	Bms1;Celf3;Eif2s3y;Kri1;Nvl;Sfswap;Sirt7;Tarbp2;Urb1	0.0466048457484063
6	GO:0002292	0.00392604944589174	10.3784013605442	0.319154107924161	3	39	T cell differentiation involved in immune response	Cd46;Nfkbiz;Ripk2	0.0466048457484063
7	GO:0006378	0.00392604944589174	10.3784013605442	0.319154107924161	3	39	mRNA polyadenylation	Rnf40;Sympk;Zc3h3	0.0466048457484063
8	GO:0043631	0.00392604944589174	10.3784013605442	0.319154107924161	3	39	RNA polyadenylation	Rnf40;Sympk;Zc3h3	0.0466048457484063
9	GO:0034660	0.00410700593087744	3.10401650778889	3.13425700858856	9	383	ncRNA metabolic process	Bms1;Ints1;Kri1;Nvl;Qtrt1;Sirt7;Tarbp2;Urb1;Wars2	0.0466048457484063
10	GO:0019511	0.00414861874451233	24.7090909090909	0.0982012639766651	2	12	peptidyl-proline hydroxylation	P3h2;P4ha2	0.0466048457484063
11	GO:0061430	0.00414861874451233	24.7090909090909	0.0982012639766651	2	12	bone trabecula morphogenesis	Sbno2;Vegfa	0.0466048457484063
12	GO:0034470	0.00477225302112513	3.27816139338349	2.62688381137579	8	321	ncRNA processing	Bms1;Ints1;Kri1;Nvl;Qtrt1;Sirt7;Tarbp2;Urb1	0.0466048457484063
13	GO:0045624	0.00487685145454458	22.4609733700643	0.106384702641387	2	13	positive regulation of T-helper cell differentiation	Nfkbiz;Ripk2	0.0466048457484063
14	GO:1901550	0.00487685145454458	22.4609733700643	0.106384702641387	2	13	regulation of endothelial cell development	Ikbkb;Vegfa	0.0466048457484063
15	GO:1903140	0.00487685145454458	22.4609733700643	0.106384702641387	2	13	regulation of establishment of endothelial barrier	Ikbkb;Vegfa	0.0466048457484063
16	GO:0031123	0.00582623054531454	5.96809032891507	0.720142602495544	4	88	RNA 3'-end processing	Ints1;Rnf40;Sympk;Zc3h3	0.0466048457484063
17	GO:0000478	0.00649544999051107	19.002331002331	0.122751579970831	2	15	endonucleolytic cleavage involved in rRNA processing	Bms1;Kri1	0.0466048457484063
18	GO:0000479	0.00649544999051107	19.002331002331	0.122751579970831	2	15	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Bms1;Kri1	0.0466048457484063
19	GO:0035633	0.00649544999051107	19.002331002331	0.122751579970831	2	15	maintenance of blood-brain barrier	Slc1a1;Vegfa	0.0466048457484063
20	GO:1900363	0.00649544999051107	19.002331002331	0.122751579970831	2	15	regulation of mRNA polyadenylation	Rnf40;Zc3h3	0.0466048457484063
21	GO:0031124	0.0078918675837285	7.94224924012158	0.409171933236104	3	50	mRNA 3'-end processing	Rnf40;Sympk;Zc3h3	0.0466048457484063
22	GO:0002575	0.00818343866472193	Inf	0.00818343866472209	1	1	basophil chemotaxis	Vegfa	0.0466048457484063
23	GO:0007072	0.00818343866472193	Inf	0.00818343866472209	1	1	positive regulation of transcription involved in exit from mitosis	Sirt7	0.0466048457484063
24	GO:0034474	0.00818343866472193	Inf	0.00818343866472209	1	1	U2 snRNA 3'-end processing	Ints1	0.0466048457484063
25	GO:0038032	0.00818343866472193	Inf	0.00818343866472209	1	1	termination of G protein-coupled receptor signaling pathway	Rgs12	0.0466048457484063
26	GO:0043382	0.00818343866472193	Inf	0.00818343866472209	1	1	positive regulation of memory T cell differentiation	Cd46	0.0466048457484063
27	GO:0060739	0.00818343866472193	Inf	0.00818343866472209	1	1	mesenchymal-epithelial cell signaling involved in prostate gland development	Tnc	0.0466048457484063
28	GO:0070183	0.00818343866472193	Inf	0.00818343866472209	1	1	mitochondrial tryptophanyl-tRNA aminoacylation	Wars2	0.0466048457484063
29	GO:0070339	0.00818343866472193	Inf	0.00818343866472209	1	1	response to bacterial lipopeptide	Cd14	0.0466048457484063
30	GO:0071220	0.00818343866472193	Inf	0.00818343866472209	1	1	cellular response to bacterial lipoprotein	Cd14	0.0466048457484063
31	GO:0071221	0.00818343866472193	Inf	0.00818343866472209	1	1	cellular response to bacterial lipopeptide	Cd14	0.0466048457484063
32	GO:0071348	0.00818343866472193	Inf	0.00818343866472209	1	1	cellular response to interleukin-11	Sbno2	0.0466048457484063
33	GO:0071724	0.00818343866472193	Inf	0.00818343866472209	1	1	response to diacyl bacterial lipopeptide	Cd14	0.0466048457484063
34	GO:0071725	0.00818343866472193	Inf	0.00818343866472209	1	1	response to triacyl bacterial lipopeptide	Cd14	0.0466048457484063
35	GO:0071726	0.00818343866472193	Inf	0.00818343866472209	1	1	cellular response to diacyl bacterial lipopeptide	Cd14	0.0466048457484063
36	GO:0071727	0.00818343866472193	Inf	0.00818343866472209	1	1	cellular response to triacyl bacterial lipopeptide	Cd14	0.0466048457484063
37	GO:0090065	0.00818343866472193	Inf	0.00818343866472209	1	1	regulation of production of siRNA involved in RNA interference	Tarbp2	0.0466048457484063
38	GO:1903570	0.00818343866472193	Inf	0.00818343866472209	1	1	regulation of protein kinase D signaling	Vegfa	0.0466048457484063
39	GO:1903572	0.00818343866472193	Inf	0.00818343866472209	1	1	positive regulation of protein kinase D signaling	Vegfa	0.0466048457484063
40	GO:1903712	0.00818343866472193	Inf	0.00818343866472209	1	1	cysteine transmembrane transport	Slc1a1	0.0466048457484063
41	GO:0002250	0.00838069594598534	3.63596071518509	1.75943931291525	6	215	adaptive immune response	Cd46;Dclre1c;Klhl6;Nfkbiz;Ripk2;Vegfa	0.0466048457484063
42	GO:0043372	0.00931504182463387	15.4356060606061	0.147301895964998	2	18	positive regulation of CD4-positive, alpha-beta T cell differentiation	Nfkbiz;Ripk2	0.0486185761842592
43	GO:0002286	0.0102578124520746	7.17562794348509	0.450089126559715	3	55	T cell activation involved in immune response	Cd46;Nfkbiz;Ripk2	0.0486185761842592
44	GO:0048490	0.010355797504205	14.5264408793821	0.15548533462972	2	19	anterograde synaptic vesicle transport	Bloc1s1;Trim46	0.0486185761842592
45	GO:0099514	0.010355797504205	14.5264408793821	0.15548533462972	2	19	synaptic vesicle cytoskeletal transport	Bloc1s1;Trim46	0.0486185761842592
46	GO:0099517	0.010355797504205	14.5264408793821	0.15548533462972	2	19	synaptic vesicle transport along microtubule	Bloc1s1;Trim46	0.0486185761842592
47	GO:0002460	0.0108276004801221	3.98305643459916	1.3339005023497	5	163	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	Cd46;Klhl6;Nfkbiz;Ripk2;Vegfa	0.0486185761842592
48	GO:0045727	0.0118327595727152	4.81245043616178	0.883811375789985	4	108	positive regulation of translation	Eif2s3y;Rmnd1;Slc35a4;Tarbp2	0.0486185761842592
49	GO:0034142	0.0137686189092359	12.3444444444444	0.180035650623886	2	22	toll-like receptor 4 signaling pathway	Cd14;Ripk2	0.0486185761842592
50	GO:0045622	0.0137686189092359	12.3444444444444	0.180035650623886	2	22	regulation of T-helper cell differentiation	Nfkbiz;Ripk2	0.0486185761842592
51	GO:2000516	0.0137686189092359	12.3444444444444	0.180035650623886	2	22	positive regulation of CD4-positive, alpha-beta T cell activation	Nfkbiz;Ripk2	0.0486185761842592
52	GO:0018126	0.0150002618540467	11.7556517556518	0.188219089288608	2	23	protein hydroxylation	P3h2;P4ha2	0.0486185761842592
53	GO:0045582	0.0154541502793297	6.11241217798595	0.523740074542214	3	64	positive regulation of T cell differentiation	Cd46;Nfkbiz;Ripk2	0.0486185761842592
