GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0006119	0.000320419066085341	13.7383966244726	0.329632031123359	4	83	oxidative phosphorylation	Coq7;Ndufa7;Surf1;Uqcrb	0.0271603487021194
2	GO:0000302	0.000490602537436865	8.56013551665726	0.659264062246717	5	166	response to reactive oxygen species	Mmp2;Pdgfrb;Rack1;Ripk1;Ucp3	0.0271603487021194
3	GO:0042542	0.000675620172968648	11.1725085910653	0.401118495704328	4	101	response to hydrogen peroxide	Mmp2;Pdgfrb;Rack1;Ripk1	0.0271603487021194
4	GO:0070231	0.000742901218656047	19.0170807453416	0.178716161452423	3	45	T cell apoptotic process	Lmbr1l;Ripk1;Siva1	0.0271603487021194
5	GO:0042775	0.000844201007245075	18.1497035573123	0.18665910196142	3	47	mitochondrial ATP synthesis coupled electron transport	Coq7;Ndufa7;Uqcrb	0.0271603487021194
6	GO:0042773	0.000897976445365037	17.7449275362319	0.190630572215918	3	48	ATP synthesis coupled electron transport	Coq7;Ndufa7;Uqcrb	0.0271603487021194
7	GO:0006412	0.000936665131943133	4.47905672039177	2.06913600259361	8	521	translation	Mrpl33;Ndufa7;Rack1;Rpl37;Rpl38;Rplp1;Rps18;Rps20	0.0271603487021194
8	GO:0043043	0.0011253432961444	4.34626755358463	2.12870805641109	8	536	peptide biosynthetic process	Mrpl33;Ndufa7;Rack1;Rpl37;Rpl38;Rplp1;Rps18;Rps20	0.0271603487021194
9	GO:0034614	0.00140930602139269	9.0905695611578	0.488490841303291	4	123	cellular response to reactive oxygen species	Mmp2;Pdgfrb;Rack1;Ripk1	0.0271603487021194
10	GO:0045333	0.00167952988593576	8.64995555555556	0.51231966283028	4	129	cellular respiration	Coq7;Ndufa7;Ndufs7;Uqcrb	0.0271603487021194
11	GO:0070227	0.00171828784256716	13.9954233409611	0.238288215269898	3	60	lymphocyte apoptotic process	Lmbr1l;Ripk1;Siva1	0.0271603487021194
12	GO:0008206	0.0017894812363912	37.3100303951368	0.0635435240719728	2	16	bile acid metabolic process	Cyp7b1;Scp2	0.0271603487021194
13	GO:0006979	0.00203260132897809	5.05665961945032	1.33441400551143	6	336	response to oxidative stress	Coq7;Mmp2;Pdgfrb;Rack1;Ripk1;Ucp3	0.0271603487021194
14	GO:0034599	0.00210782277239204	6.09292929292929	0.913438158534609	5	230	cellular response to oxidative stress	Coq7;Mmp2;Pdgfrb;Rack1;Ripk1	0.0271603487021194
15	GO:0022904	0.00225974218045309	12.656314699793	0.262117036796888	3	66	respiratory electron transport chain	Coq7;Ndufa7;Uqcrb	0.0271603487021194
16	GO:0022900	0.00246113945873644	12.2648829431438	0.270059977305884	3	68	electron transport chain	Coq7;Ndufa7;Uqcrb	0.0271603487021194
17	GO:0033108	0.00301226020919728	11.3841614906832	0.289917328578376	3	73	mitochondrial respiratory chain complex assembly	Ndufs7;Surf1;Uqcrb	0.0271603487021194
18	GO:0043604	0.00305359583649385	3.67238394964595	2.49408331982493	8	628	amide biosynthetic process	Mrpl33;Ndufa7;Rack1;Rpl37;Rpl38;Rplp1;Rps18;Rps20	0.0271603487021194
19	GO:0070301	0.00325224943434889	11.0661231884058	0.297860269087372	3	75	cellular response to hydrogen peroxide	Pdgfrb;Rack1;Ripk1	0.0271603487021194
20	GO:0043065	0.00368648963523501	3.92149035262808	2.01750688928514	7	508	positive regulation of apoptotic process	Mmp2;Pdgfrb;Ptrh2;Rack1;Ripk1;Scp2;Siva1	0.0271603487021194
21	GO:0060512	0.00370654291673468	24.8591691995947	0.0913438158534609	2	23	prostate gland morphogenesis	Cyp7b1;Mmp2	0.0271603487021194
22	GO:0060740	0.00370654291673468	24.8591691995947	0.0913438158534609	2	23	prostate gland epithelium morphogenesis	Cyp7b1;Mmp2	0.0271603487021194
23	GO:0043068	0.0038907670794784	3.88109354413702	2.03736424055763	7	513	positive regulation of programmed cell death	Mmp2;Pdgfrb;Ptrh2;Rack1;Ripk1;Scp2;Siva1	0.0271603487021194
24	GO:0015988	0.00397147025449796	Inf	0.0039714702544983	1	1	energy coupled proton transmembrane transport, against electrochemical gradient	Ndufs7	0.0271603487021194
25	GO:0015990	0.00397147025449796	Inf	0.0039714702544983	1	1	electron transport coupled proton transport	Ndufs7	0.0271603487021194
26	GO:0034463	0.00397147025449796	Inf	0.0039714702544983	1	1	90S preribosome assembly	Rpl38	0.0271603487021194
27	GO:0051343	0.00397147025449796	Inf	0.0039714702544983	1	1	positive regulation of cyclic-nucleotide phosphodiesterase activity	Rack1	0.0271603487021194
28	GO:0060545	0.00397147025449796	Inf	0.0039714702544983	1	1	positive regulation of necroptotic process	Ripk1	0.0271603487021194
29	GO:0060981	0.00397147025449796	Inf	0.0039714702544983	1	1	cell migration involved in coronary angiogenesis	Pdgfrb	0.0271603487021194
30	GO:0062100	0.00397147025449796	Inf	0.0039714702544983	1	1	positive regulation of programmed necrotic cell death	Ripk1	0.0271603487021194
31	GO:0070926	0.00397147025449796	Inf	0.0039714702544983	1	1	regulation of ATP:ADP antiporter activity	Ripk1	0.0271603487021194
32	GO:0090720	0.00397147025449796	Inf	0.0039714702544983	1	1	primary adaptive immune response	Bach2	0.0271603487021194
