GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0046034	3.59182767419114e-05	8.73302373581011	0.926157088433168	7	197	ATP metabolic process	Atp5e;Atp5j2;Atp5k;Bad;Ndufa12;Ndufs6;Park7	0.0115497932336604
2	GO:0015980	3.83128201126486e-05	8.640625	0.935559698468023	7	199	energy derivation by oxidation of organic compounds	C1qtnf2;Gyg;Idh3b;Mt3;Ndufa12;Ndufs6;Park7	0.0115497932336604
3	GO:0015985	7.65348094484974e-05	44.5963636363636	0.0846234903136905	3	18	energy coupled proton transport, down electrochemical gradient	Atp5e;Atp5j2;Atp5k	0.0115497932336604
4	GO:0015986	7.65348094484974e-05	44.5963636363636	0.0846234903136905	3	18	ATP synthesis coupled proton transport	Atp5e;Atp5j2;Atp5k	0.0115497932336604
5	GO:0006091	9.32939679617155e-05	6.34543046357616	1.45740455540245	8	310	generation of precursor metabolites and energy	Atp5j2;C1qtnf2;Gyg;Idh3b;Mt3;Ndufa12;Ndufs6;Park7	0.0115497932336604
6	GO:0010632	0.000209444660701646	7.88917861799218	0.860338818189187	6	183	regulation of epithelial cell migration	Bmp4;Cib1;Ctsh;Hmox1;Mmrn2;Rras	0.0136807277220979
7	GO:0010273	0.000215263736781297	146.142857142857	0.0235065250871363	2	5	detoxification of copper ion	Mt3;Park7	0.0136807277220979
8	GO:1990169	0.000215263736781297	146.142857142857	0.0235065250871363	2	5	stress response to copper ion	Mt3;Park7	0.0136807277220979
9	GO:0006518	0.000217863117088259	4.18720130932897	3.10756261651941	11	661	peptide metabolic process	Ctsh;Eif3i;Gstm5;Mex3d;Mrpl22;Mrpl43;Mrps34;Park7;Rpl39;Rpl41;Sec11c	0.0136807277220979
10	GO:1902600	0.000240497730906689	14.8366727383121	0.305584826132771	4	65	proton transmembrane transport	Atp5e;Atp5j2;Atp5k;Park7	0.0136807277220979
11	GO:0010634	0.000243114709116441	9.97867104183757	0.56415660209127	5	120	positive regulation of epithelial cell migration	Bmp4;Cib1;Ctsh;Hmox1;Rras	0.0136807277220979
12	GO:0061687	0.000321919259044644	109.598214285714	0.0282078301045635	2	6	detoxification of inorganic compound	Mt3;Park7	0.0161390892140102
13	GO:1901566	0.000359483420075122	3.22958559188669	5.69798168112183	15	1212	organonitrogen compound biosynthetic process	Atp5e;Atp5j2;Atp5k;Eif3i;Enoph1;Mex3d;Mrpl22;Mrpl43;Mrps34;Mt3;Ost4;Park7;Pigq;Rpl39;Rpl41	0.0161390892140102
14	GO:0010594	0.000365019788362105	9.09928122192273	0.61587095728297	5	131	regulation of endothelial cell migration	Bmp4;Cib1;Hmox1;Mmrn2;Rras	0.0161390892140102
15	GO:0031638	0.000443969140406962	23.0407523510972	0.150441760557672	3	32	zymogen activation	Bad;Ctsh;Ruvbl1	0.0163607033351111
16	GO:0090594	0.000449324647329384	87.6714285714286	0.0329091351219908	2	7	inflammatory response to wounding	Hmox1;Wdr83	0.0163607033351111
17	GO:0097501	0.000449324647329384	87.6714285714286	0.0329091351219908	2	7	stress response to metal ion	Mt3;Park7	0.0163607033351111
18	GO:0090049	0.000486740436884281	22.2709090909091	0.155143065575099	3	33	regulation of cell migration involved in sprouting angiogenesis	Cib1;Hmox1;Mmrn2	0.0167384628017428
19	GO:0006119	0.00061303154828524	11.4392873886545	0.390208316446462	4	83	oxidative phosphorylation	Atp5j2;Ndufa12;Ndufs6;Park7	0.0182277267572828
20	GO:0010595	0.000670778045521318	11.1550068587106	0.399610926481316	4	85	positive regulation of endothelial cell migration	Bmp4;Cib1;Hmox1;Rras	0.0182277267572828
21	GO:0010631	0.000724876927299023	6.18153846153846	1.0860014590257	6	231	epithelial cell migration	Bmp4;Cib1;Ctsh;Hmox1;Mmrn2;Rras	0.0182277267572828
22	GO:0090130	0.000724876927299023	6.18153846153846	1.0860014590257	6	231	tissue migration	Bmp4;Cib1;Ctsh;Hmox1;Mmrn2;Rras	0.0182277267572828
23	GO:0090132	0.000724876927299023	6.18153846153846	1.0860014590257	6	231	epithelium migration	Bmp4;Cib1;Ctsh;Hmox1;Mmrn2;Rras	0.0182277267572828
24	GO:0098754	0.000740155646539237	19.0815584415584	0.178649590662236	3	38	detoxification	Gstm5;Mt3;Park7	0.0182277267572828
25	GO:2000677	0.000740155646539237	19.0815584415584	0.178649590662236	3	38	regulation of transcription regulatory region DNA binding	Lamtor5;Park7;Sri	0.0182277267572828
26	GO:0000338	0.000765623417914948	62.6122448979592	0.0423117451568453	2	9	protein deneddylation	Cops6;Gps1	0.0182277267572828
27	GO:0051101	0.000903357517167545	10.2617845117845	0.432520061603307	4	92	regulation of DNA binding	Hmox1;Lamtor5;Park7;Sri	0.0200785734846979
28	GO:0006754	0.000925986503040244	17.5708133971292	0.192753505714517	3	41	ATP biosynthetic process	Atp5e;Atp5j2;Atp5k	0.0200785734846979
29	GO:0002040	0.000940676302191015	10.1456512692468	0.437221366620734	4	93	sprouting angiogenesis	Bmp4;Cib1;Hmox1;Mmrn2	0.0200785734846979
30	GO:1901342	0.0010930071794844	5.69120428751576	1.17532625435681	6	250	regulation of vasculature development	Bmp4;Cib1;Ctsh;Hmox1;Mmrn2;Rras	0.0222799062592991
31	GO:0043542	0.00119003397721416	6.926243567753	0.799221852962633	5	170	endothelial cell migration	Bmp4;Cib1;Hmox1;Mmrn2;Rras	0.0222799062592991
32	GO:0002042	0.00138067969531698	15.1673553719008	0.220961335819081	3	47	cell migration involved in sprouting angiogenesis	Cib1;Hmox1;Mmrn2	0.0222799062592991
33	GO:0042775	0.00138067969531698	15.1673553719008	0.220961335819081	3	47	mitochondrial ATP synthesis coupled electron transport	Ndufa12;Ndufs6;Park7	0.0222799062592991
34	GO:0042773	0.00146783512743612	14.8290909090909	0.225662640836508	3	48	ATP synthesis coupled electron transport	Ndufa12;Ndufs6;Park7	0.0222799062592991
35	GO:0002043	0.00163891303606555	39.8311688311688	0.0611169652265543	2	13	blood vessel endothelial cell proliferation involved in sprouting angiogenesis	Bmp4;Hmox1	0.0222799062592991
36	GO:0043603	0.0017153786202729	3.20764428589629	3.97730404474345	11	846	cellular amide metabolic process	Ctsh;Eif3i;Gstm5;Mex3d;Mrpl22;Mrpl43;Mrps34;Park7;Rpl39;Rpl41;Sec11c	0.0222799062592991
37	GO:0009206	0.00174978599511614	13.8988636363636	0.23976655588879	3	51	purine ribonucleoside triphosphate biosynthetic process	Atp5e;Atp5j2;Atp5k	0.0222799062592991
38	GO:0009145	0.00185075445355099	13.6141001855288	0.244467860906217	3	52	purine nucleoside triphosphate biosynthetic process	Atp5e;Atp5j2;Atp5k	0.0222799062592991
39	GO:0009201	0.00206344169899829	13.0780748663102	0.253870470941072	3	54	ribonucleoside triphosphate biosynthetic process	Atp5e;Atp5j2;Atp5k	0.0222799062592991
