GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0051131	0.00265081433047629	30.0710784313725	0.0773220943426811	2	18	chaperone-mediated protein complex assembly	Pfdn6;Stub1	0.0414944705512001
2	GO:0000917	0.00429567190792668	Inf	0.00429567190792673	1	1	division septum assembly	Bin3	0.0414944705512001
3	GO:0015689	0.00429567190792668	Inf	0.00429567190792673	1	1	molybdate ion transport	Mfsd5	0.0414944705512001
4	GO:0031989	0.00429567190792668	Inf	0.00429567190792673	1	1	bombesin receptor signaling pathway	Nmbr	0.0414944705512001
5	GO:0032581	0.00429567190792668	Inf	0.00429567190792673	1	1	ER-dependent peroxisome organization	Pex16	0.0414944705512001
6	GO:0051666	0.00429567190792668	Inf	0.00429567190792673	1	1	actin cortical patch localization	Bin3	0.0414944705512001
7	GO:0090034	0.00429567190792668	Inf	0.00429567190792673	1	1	regulation of chaperone-mediated protein complex assembly	Stub1	0.0414944705512001
8	GO:0090035	0.00429567190792668	Inf	0.00429567190792673	1	1	positive regulation of chaperone-mediated protein complex assembly	Stub1	0.0414944705512001
9	GO:0090529	0.00429567190792668	Inf	0.00429567190792673	1	1	cell septum assembly	Bin3	0.0414944705512001
10	GO:0106101	0.00429567190792668	Inf	0.00429567190792673	1	1	ER-dependent peroxisome localization	Pex16	0.0414944705512001
11	GO:0007007	0.00637182818670896	18.4901960784314	0.120278813421948	2	28	inner mitochondrial membrane organization	Timm10;Uqcc3	0.0414944705512001
12	GO:0007006	0.00761937744438467	8.04	0.403793159345113	3	94	mitochondrial membrane organization	Timm10;Uqcc3;Zfp13	0.0414944705512001
13	GO:0008315	0.0085732377171901	236.230769230769	0.00859134381585346	1	2	G2/MI transition of meiotic cell cycle	Cdc25b	0.0414944705512001
14	GO:0010729	0.0085732377171901	236.230769230769	0.00859134381585346	1	2	positive regulation of hydrogen peroxide biosynthetic process	Zfp13	0.0414944705512001
15	GO:0032298	0.0085732377171901	236.230769230769	0.00859134381585346	1	2	positive regulation of DNA-dependent DNA replication initiation	Ciz1	0.0414944705512001
16	GO:0099577	0.0085732377171901	236.230769230769	0.00859134381585346	1	2	regulation of translation at presynapse, modulating synaptic transmission	Rpl22	0.0414944705512001
17	GO:0110030	0.0085732377171901	236.230769230769	0.00859134381585346	1	2	regulation of G2/MI transition of meiotic cell cycle	Cdc25b	0.0414944705512001
