GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0032788	0.000237835809220055	Inf	0.0309236622682749	2	2	saturated monocarboxylic acid metabolic process	Acot3;Acot5	0.0391810338482507
2	GO:0032789	0.000237835809220055	Inf	0.0309236622682749	2	2	unsaturated monocarboxylic acid metabolic process	Acot3;Acot5	0.0391810338482507
3	GO:0021957	0.000285396287220611	32.3297872340426	0.139156480207237	3	9	corticospinal tract morphogenesis	Bhlhe22;Cdh11;Zeb2	0.0391810338482507
4	GO:0021955	0.000355599557048045	9.31413210445469	0.618473245365498	5	40	central nervous system neuron axonogenesis	Bhlhe22;Cdh11;Ephb2;Prkca;Zeb2	0.0391810338482507
5	GO:0050896	0.000499842655573972	1.63419730383932	81.0509188051485	104	5242	response to stimulus	Agap3;Ak4;Akt1s1;Alas1;Anxa11;Aqp11;Arhgap21;Arhgef25;Arsb;Asph;Bcl6;Brf2;Ccbe1;Cdc42ep5;Cdc42se1;Cdh1;Chrd;Cpeb1;Cpne4;Cpne6;Csnk2b;Dab1;Ddr2;Dgkd;Dlk2;Dock9;Dvl3;Eif4ebp1;Eif6;Elmo2;Emx2;Ephb2;Erc1;Evc2;Fat4;Fgf13;Gabra5;Gadd45b;Gdap2;Glp2r;Gna11;Golph3;Gpc4;Gpr22;Grp;Gstm2;Gtf2h5;Hmgb1;Hspa1b;Htr3a;Ifitm2;Itga4;Itga8;Itgbl1;Kctd6;Lurap1l;Map3k12;Map4k3;Mark4;Mas1;Mfap4;Mfhas1;Mmp24;Mpc2;Napepld;Nck2;Nefl;Neurod1;Npas1;Npr3;Nsmf;Numbl;Panx2;Parp1;Pfkl;Phldb2;Piezo1;Pla2g5;Plch2;Plekhg5;Plppr2;Prkca;Ptgs2;Rnf146;Rps6kb1;S100a10;Sgta;Sh3bp5;Sh3rf1;Smoc2;Src;Srgap3;Srl;Thra;Tmem109;Tnks1bp1;Topbp1;Trafd1;Trim2;Unc5a;Ythdf1;Zdhhc16;Zeb2;Zranb3	0.0391810338482507
6	GO:0023052	0.00056402793742575	1.64958901573288	58.4147980247713	80	3778	signaling	Agap3;Akt1s1;Arhgap21;Arhgef25;Asph;Bcl6;Btbd9;Ccbe1;Cdc42ep5;Cdc42se1;Cdh1;Cdh11;Chrd;Clstn2;Cpeb1;Csnk2b;Dab1;Ddr2;Dgkd;Dlk2;Dock9;Dvl3;Ehd3;Eif4ebp1;Ephb2;Erc1;Evc2;Fat4;Fgf13;Gabra5;Gadd45b;Glp2r;Gna11;Golph3;Gpc4;Gpr22;Grp;Hmgb1;Htr3a;Ifitm2;Itga4;Itga8;Itgbl1;Kcnn2;Kctd6;Lurap1l;Map3k12;Map4k3;Mark4;Mas1;Mfhas1;Mpc2;Nck2;Neurod1;Npr3;Nsmf;Numbl;Panx2;Parp1;Pfkl;Pla2g5;Plch2;Plekhg5;Plppr2;Ppfia2;Prkca;Ptgs2;Rnf146;Rps6kb1;Sh3bp5;Sh3rf1;Slc16a2;Smoc2;Src;Srgap3;Thra;Tmem109;Unc5a;Ythdf1;Zeb2	0.0391810338482507
7	GO:0006413	0.00084983313908822	4.99113894139887	1.53072128227961	7	99	translational initiation	Eif4e2;Eif4ebp1;Eif6;Mtif3;Nck2;Rps6kb1;Ythdf1	0.0391810338482507
8	GO:0021952	0.000971861111789241	10.3845989304813	0.448393102889986	4	29	central nervous system projection neuron axonogenesis	Bhlhe22;Cdh11;Ephb2;Zeb2	0.0391810338482507
9	GO:0045595	0.000985344772058095	1.85513499736013	22.7907390917186	38	1474	regulation of cell differentiation	Ap2a2;Arsb;Bcl6;Cdh1;Chrd;Cpeb1;Cpne6;Dab1;Ddr2;Dlk2;Dvl3;Eif6;Ephb2;Fat4;Fgf13;Gna11;Grhl1;Hmgb1;Islr2;Lrp3;Mturn;Napepld;Nefl;Neurod1;Nsmf;Numbl;Parp1;Phldb2;Pla2g5;Ppfia2;Prkca;Ptgs2;S100a10;Sh3rf1;Thra;Ythdf1;Zeb2;Zfpm2	0.0391810338482507
10	GO:0071214	0.00101549702962306	3.51886681556365	3.06144256455922	10	198	cellular response to abiotic stimulus	Agap3;Gna11;Gtf2h5;Mfap4;Nsmf;Parp1;Piezo1;Ptgs2;Tmem109;Tnks1bp1	0.0391810338482507
