GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0010257	9.49852258337815e-09	8.75025045081146	2.52410901467505	15	43	NADH dehydrogenase complex assembly	Ndufa11;Ndufa13;Ndufa3;Ndufa5;Ndufab1;Ndufaf4;Ndufaf6;Ndufb11;Ndufb3;Ndufb5;Ndufb7;Ndufc2;Ndufs8;Tmem126a;Tmem126b	2.12766905867671e-06
2	GO:0032981	9.49852258337815e-09	8.75025045081146	2.52410901467505	15	43	mitochondrial respiratory chain complex I assembly	Ndufa11;Ndufa13;Ndufa3;Ndufa5;Ndufab1;Ndufaf4;Ndufaf6;Ndufb11;Ndufb3;Ndufb5;Ndufb7;Ndufc2;Ndufs8;Tmem126a;Tmem126b	2.12766905867671e-06
3	GO:0033108	3.81263087397992e-06	4.5799329785137	4.28511530398323	16	73	mitochondrial respiratory chain complex assembly	Ndufa11;Ndufa13;Ndufa3;Ndufa5;Ndufab1;Ndufaf4;Ndufaf6;Ndufb11;Ndufb3;Ndufb5;Ndufb7;Ndufc2;Ndufs8;Tfam;Tmem126a;Tmem126b	0.000569352877181002
4	GO:0009199	2.71969507886219e-05	4.29929707732149	3.93291404612159	14	67	ribonucleoside triphosphate metabolic process	Atp5a1;Atp5b;Atp5g3;Atp5h;Atp5j;Atp5l;Atp5o;Ctps2;Impdh2;Mfn1;Ndufc2;Pnp;Rhoa;Vcp	0.00267690698559231
5	GO:0015985	4.19640561250084e-05	10.2939099735216	1.05660377358491	7	18	energy coupled proton transport, down electrochemical gradient	Atp5a1;Atp5b;Atp5g3;Atp5h;Atp5j;Atp5l;Atp5o	0.00267690698559231
6	GO:0015986	4.19640561250084e-05	10.2939099735216	1.05660377358491	7	18	ATP synthesis coupled proton transport	Atp5a1;Atp5b;Atp5g3;Atp5h;Atp5j;Atp5l;Atp5o	0.00267690698559231
7	GO:0042776	4.81635012232156e-05	13.8508112386229	0.763102725366876	6	13	mitochondrial ATP synthesis coupled proton transport	Atp5a1;Atp5b;Atp5h;Atp5j;Atp5l;Atp5o	0.00267690698559231
8	GO:0009201	5.34607858302857e-05	4.64166001596169	3.16981132075472	12	54	ribonucleoside triphosphate biosynthetic process	Atp5a1;Atp5b;Atp5g3;Atp5h;Atp5j;Atp5l;Atp5o;Ctps2;Impdh2;Ndufc2;Pnp;Vcp	0.00267690698559231
9	GO:0009144	5.37771492641312e-05	3.99621603027176	4.16771488469602	14	71	purine nucleoside triphosphate metabolic process	Atp5a1;Atp5b;Atp5g3;Atp5h;Atp5j;Atp5l;Atp5o;Impdh2;Mfn1;Ndufc2;Nudt16;Pnp;Rhoa;Vcp	0.00267690698559231
10	GO:0009205	6.02073149870562e-05	4.22690909090909	3.69811320754717	13	63	purine ribonucleoside triphosphate metabolic process	Atp5a1;Atp5b;Atp5g3;Atp5h;Atp5j;Atp5l;Atp5o;Impdh2;Mfn1;Ndufc2;Pnp;Rhoa;Vcp	0.00269728771142012
11	GO:0034622	7.00336968834238e-05	1.70976274130512	44.9056603773585	71	765	cellular protein-containing complex assembly	Arpc5;Arpc5l;Atf1;Calr;Capg;Cdc42ep4;Cdt1;Cltb;Cog4;Coil;Dab2;Daxx;Ddx28;Drg1;Eif3d;Fastkd2;Fmc1;H3c2;Hey2;Nap1l4;Nap1l5;Nasp;Nck1;Ndc1;Ndufa11;Ndufa13;Ndufa3;Ndufa5;Ndufab1;Ndufaf4;Ndufaf6;Ndufb11;Ndufb3;Ndufb5;Ndufb7;Ndufc2;Ndufs8;Nop53;Psmd4;Psmd9;Psmg1;Puf60;Rac1;Rasa1;Rbmxl1;Rhoa;Rnf135;Rpf2;Rpl5;Rplp0;Rps10;Rps28;Slc39a12;Snrpg;Sox9;Srp19;Srsf10;Ssh3;Tfam;Tmem126a;Tmem126b;Tmem170;Trim27;Ube2s;Vamp4;Vamp8;Vasp;Vbp1;Vma21;Wasf3;Whamm	0.00285228147307035
12	GO:0006119	8.46190236788746e-05	3.59066908670902	4.87211740041929	15	83	oxidative phosphorylation	Atp5a1;Atp5b;Atp5h;Atp5j;Atp5l;Atp5o;Cox5a;Gadd45gip1;Ndufc2;Ndufs2;Ndufs8;Rhoa;Sdhd;Uqcrh;Vcp	0.00315911021734465
