GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0048490	5.12590395135055e-05	51.1416666666667	0.0739179769816826	3	19	anterograde synaptic vesicle transport	Ap3b2;Ap3d1;Ap3s2	0.00435701835864796
2	GO:0099514	5.12590395135055e-05	51.1416666666667	0.0739179769816826	3	19	synaptic vesicle cytoskeletal transport	Ap3b2;Ap3d1;Ap3s2	0.00435701835864796
3	GO:0099517	5.12590395135055e-05	51.1416666666667	0.0739179769816826	3	19	synaptic vesicle transport along microtubule	Ap3b2;Ap3d1;Ap3s2	0.00435701835864796
4	GO:0047496	0.000654362800408101	19.9170731707317	0.171178473010212	3	44	vesicle transport along microtubule	Ap3b2;Ap3d1;Ap3s2	0.0330685686497025
5	GO:0048489	0.000699194246330442	19.4412698412698	0.175068892851354	3	45	synaptic vesicle transport	Ap3b2;Ap3d1;Ap3s2	0.0330685686497025
6	GO:0008089	0.000897976445365038	17.7449275362319	0.190630572215918	3	49	anterograde axonal transport	Ap3b2;Ap3d1;Ap3s2	0.0330685686497025
7	GO:0097479	0.00146749605621374	14.830303030303	0.225644350786189	3	58	synaptic vesicle localization	Ap3b2;Ap3d1;Ap3s2	0.0330685686497025
8	GO:0098930	0.00161865284096108	14.3076023391813	0.233425190468471	3	60	axonal transport	Ap3b2;Ap3d1;Ap3s2	0.0330685686497025
9	GO:0051650	0.0016920094629494	8.63778409090909	0.513535419030637	4	132	establishment of vesicle localization	Ap3b2;Ap3d1;Ap3s2;Arfgap3	0.0330685686497025
10	GO:0045069	0.00186311755470055	13.5888888888889	0.245096449991895	3	63	regulation of viral genome replication	Adarb1;Banf1;Plscr1	0.0330685686497025
11	GO:0099518	0.00186311755470055	13.5888888888889	0.245096449991895	3	63	vesicle cytoskeletal trafficking	Ap3b2;Ap3d1;Ap3s2	0.0330685686497025
12	GO:0051648	0.00269600033679821	7.56164383561644	0.583562976171178	4	150	vesicle localization	Ap3b2;Ap3d1;Ap3s2;Arfgap3	0.0330685686497025
13	GO:0072384	0.00295176210924523	11.4732394366197	0.287891068244448	3	74	organelle transport along microtubule	Ap3b2;Ap3d1;Ap3s2	0.0330685686497025
14	GO:0008088	0.00342670246316502	10.8577777777778	0.303452747609013	3	78	axo-dendritic transport	Ap3b2;Ap3d1;Ap3s2	0.0330685686497025
15	GO:0019079	0.00342670246316502	10.8577777777778	0.303452747609013	3	78	viral genome replication	Adarb1;Banf1;Plscr1	0.0330685686497025
16	GO:0005988	0.00389041984114147	Inf	0.00389041984114119	1	1	lactose metabolic process	B4galt1	0.0330685686497025
