GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:1904816	7.17790792253144e-06	19.7342579750347	0.546871215179653	6	13	positive regulation of protein localization to chromosome, telomeric region	Cct2;Cct4;Cct5;Cct7;Cct8;Gnl3l	0.00184763752951287
2	GO:1904814	1.21156559312319e-05	17.2660194174757	0.588938231731934	6	14	regulation of protein localization to chromosome, telomeric region	Cct2;Cct4;Cct5;Cct7;Cct8;Gnl3l	0.00184763752951287
3	GO:1904851	2.73204180149545e-05	22.9825581395349	0.42067016552281	5	10	positive regulation of establishment of protein localization to telomere	Cct2;Cct4;Cct5;Cct7;Cct8	0.00277757583152037
4	GO:0070202	4.83562037617174e-05	19.1505167958656	0.462737182075091	5	11	regulation of establishment of protein localization to chromosome	Cct2;Cct4;Cct5;Cct7;Cct8	0.00282250974440084
5	GO:0070203	4.83562037617174e-05	19.1505167958656	0.462737182075091	5	11	regulation of establishment of protein localization to telomere	Cct2;Cct4;Cct5;Cct7;Cct8	0.00282250974440084
6	GO:0070198	7.32798910219914e-05	8.49016997747287	1.09374243035931	7	26	protein localization to chromosome, telomeric region	Cct2;Cct4;Cct5;Cct7;Cct8;Gnl3l;Terf2ip	0.00282250974440084
7	GO:0002485	7.40330424760876e-05	Inf	0.126201049656843	3	3	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent	H2-D1;H2-K1;Tap2	0.00282250974440084
8	GO:0090306	7.40330424760876e-05	Inf	0.126201049656843	3	3	spindle assembly involved in meiosis	Fbxo5;Golga2;Washc1	0.00282250974440084
9	GO:0001916	0.00012597779053214	9.86130374479889	0.84134033104562	6	20	positive regulation of T cell mediated cytotoxicity	Fadd;H2-D1;H2-K1;H2-T22;Nectin2;Tap2	0.00426924734581139
10	GO:0001914	0.000170144575476963	9.2031067961165	0.883407347597901	6	21	regulation of T cell mediated cytotoxicity	Fadd;H2-D1;H2-K1;H2-T22;Nectin2;Tap2	0.00497981272893517
11	GO:0070200	0.000188598680366231	12.7637812230835	0.588938231731934	5	14	establishment of protein localization to telomere	Cct2;Cct4;Cct5;Cct7;Cct8	0.00497981272893517
12	GO:0001912	0.000195927058187613	7.01125021147014	1.26201049656843	7	30	positive regulation of leukocyte mediated cytotoxicity	Cadm1;Fadd;H2-D1;H2-K1;H2-T22;Nectin2;Tap2	0.00497981272893517
13	GO:0002483	0.000524847301778419	9.57041343669251	0.715139281388777	5	17	antigen processing and presentation of endogenous peptide antigen	Erap1;H2-D1;H2-K1;H2-T22;Tap2	0.00967580536860781
14	GO:0019885	0.000524847301778419	9.57041343669251	0.715139281388777	5	17	antigen processing and presentation of endogenous peptide antigen via MHC class I	Erap1;H2-D1;H2-K1;H2-T22;Tap2	0.00967580536860781
15	GO:0002476	0.000530836566208748	15.290780141844	0.42067016552281	4	10	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	H2-D1;H2-K1;H2-T22;Tap2	0.00967580536860781
16	GO:0002484	0.000530836566208748	15.290780141844	0.42067016552281	4	10	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	H2-D1;H2-K1;H2-T22;Tap2	0.00967580536860781
17	GO:0031343	0.000539307184479779	5.7568093385214	1.47234557932983	7	35	positive regulation of cell killing	Cadm1;Fadd;H2-D1;H2-K1;H2-T22;Nectin2;Tap2	0.00967580536860781
18	GO:1901998	0.000645558041322767	5.55782906212263	1.51441259588212	7	36	toxin transport	Cct2;Cct4;Cct5;Cct7;Cct8;Copb2;Gga1	0.010702055268392
19	GO:0019883	0.000701774115960129	8.83348240906381	0.757206297941058	5	18	antigen processing and presentation of endogenous antigen	Erap1;H2-D1;H2-K1;H2-T22;Tap2	0.010702055268392
20	GO:0070199	0.000701774115960129	8.83348240906381	0.757206297941058	5	18	establishment of protein localization to chromosome	Cct2;Cct4;Cct5;Cct7;Cct8	0.010702055268392
21	GO:0002428	0.000806539630464193	13.1052777010224	0.462737182075091	4	11	antigen processing and presentation of peptide antigen via MHC class Ib	H2-D1;H2-K1;H2-T22;Tap2	0.0117140279662657
22	GO:0001913	0.000919341934323407	6.2711385701677	1.17787646346387	6	28	T cell mediated cytotoxicity	Fadd;H2-D1;H2-K1;H2-T22;Nectin2;Tap2	0.0121968200074128
23	GO:0007339	0.000919760197280312	8.20182724252492	0.799273314493339	5	19	binding of sperm to zona pellucida	Cct2;Cct4;Cct5;Cct7;Cct8	0.0121968200074128
24	GO:0034502	0.00134666268933723	3.77418323863636	2.69228905934598	9	64	protein localization to chromosome	Cct2;Cct4;Cct5;Cct7;Cct8;Gnl3l;Ik;Rad21;Terf2ip	0.0134686466916823
25	GO:0035036	0.00150129488204619	7.17538759689922	0.883407347597901	5	21	sperm-egg recognition	Cct2;Cct4;Cct5;Cct7;Cct8	0.0134686466916823
26	GO:0006403	0.0015939116780564	2.4910625290717	6.94105773112636	16	165	RNA localization	Cct2;Cct4;Dcp2;Ddx25;Eny2;Exosc2;Fyttd1;Hnrnpa3;Ncbp2;Nmd3;Nup43;Nxt2;Ran;Rrs1;Sarnp;Thoc7	0.0134686466916823
27	GO:0002475	0.00163389175488745	10.1912744465936	0.546871215179653	4	13	antigen processing and presentation via MHC class Ib	H2-D1;H2-K1;H2-T22;Tap2	0.0134686466916823
28	GO:0097688	0.00163389175488745	10.1912744465936	0.546871215179653	4	13	glutamate receptor clustering	Glra3;Grip2;Shisa6;Ssh1	0.0134686466916823
29	GO:0001910	0.00167794995497456	4.60272373540856	1.7668146951958	7	42	regulation of leukocyte mediated cytotoxicity	Cadm1;Fadd;H2-D1;H2-K1;H2-T22;Nectin2;Tap2	0.0134686466916823
30	GO:0010833	0.00168044303955186	3.64113898026316	2.77642309245054	9	66	telomere maintenance via telomere lengthening	Cct2;Cct4;Cct5;Cct7;Cct8;Dcp2;Gnl3l;Ptges3;Terf2ip	0.0134686466916823
31	GO:0006278	0.00175459954995825	4.00644122383253	2.27161889382317	8	54	RNA-dependent DNA biosynthetic process	Cct2;Cct4;Cct5;Cct7;Cct8;Dcp2;Gnl3l;Ptges3	0.0134686466916823
32	GO:0007004	0.00175459954995825	4.00644122383253	2.27161889382317	8	54	telomere maintenance via telomerase	Cct2;Cct4;Cct5;Cct7;Cct8;Dcp2;Gnl3l;Ptges3	0.0134686466916823
33	GO:0042271	0.00176637989399112	Inf	0.084134033104562	2	2	susceptibility to natural killer cell mediated cytotoxicity	Cadm1;Nectin2	0.0134686466916823
34	GO:0045726	0.00176637989399112	Inf	0.084134033104562	2	2	positive regulation of integrin biosynthetic process	Ar;Tgfb2	0.0134686466916823
35	GO:1900224	0.00176637989399112	Inf	0.084134033104562	2	2	positive regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry	Smad2;Zic2	0.0134686466916823
36	GO:1904232	0.00176637989399112	Inf	0.084134033104562	2	2	regulation of aconitate hydratase activity	Fxn;Iscu	0.0134686466916823
37	GO:1904234	0.00176637989399112	Inf	0.084134033104562	2	2	positive regulation of aconitate hydratase activity	Fxn;Iscu	0.0134686466916823
38	GO:1904527	0.00176637989399112	Inf	0.084134033104562	2	2	negative regulation of microtubule binding	Map2;Ttbk2	0.0134686466916823
39	GO:2000395	0.00176637989399112	Inf	0.084134033104562	2	2	regulation of ubiquitin-dependent endocytosis	Tsg101;Vps28	0.0134686466916823
40	GO:2000397	0.00176637989399112	Inf	0.084134033104562	2	2	positive regulation of ubiquitin-dependent endocytosis	Tsg101;Vps28	0.0134686466916823
