GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0006413	1.84618733862376e-05	6.78426966292135	1.4986642920748	9	99	translational initiation	Ddx3x;Eif1a;Eif2s2;Eif2s3x;Eif3e;Eif4a2;Eif5;Paip1;Ythdf2	0.00499273062190387
2	GO:0002183	3.13023863442249e-05	16.6840659340659	0.378450578806768	5	25	cytoplasmic translational initiation	Eif2s2;Eif2s3x;Eif4a2;Eif5;Ythdf2	0.00499273062190387
3	GO:0006511	0.000125713227737193	2.78264188753966	7.90204808548531	20	522	ubiquitin-dependent protein catabolic process	Cacul1;Dnajb14;Fbxo11;Glmn;Jkamp;Nhlrc1;Os9;Pcnp;Psmd10;Psmd12;Rnf168;Sdcbp;Stam;Tmem129;Ube2d3;Ube2v2;Ubxn2a;Wac;Xbp1;Zranb1	0.00788266941776398
4	GO:0051603	0.000150414117151987	2.60675675675676	9.29474621549421	22	614	proteolysis involved in cellular protein catabolic process	Cacul1;Dnajb14;Fbxo11;Glmn;Jkamp;Nhlrc1;Os9;Pcnp;Psmd10;Psmd12;Rnf168;Sco1;Sdcbp;Stam;Tmem129;Tmf1;Ube2d3;Ube2v2;Ubxn2a;Wac;Xbp1;Zranb1	0.00788266941776398
5	GO:2001243	0.000160180654644105	6.72	1.16562778272484	7	77	negative regulation of intrinsic apoptotic signaling pathway	Bcl2l1;Ddx3x;Ikbkg;Nme5;Sod2;Vdac2;Xbp1	0.00788266941776398
6	GO:0019941	0.000166245849674787	2.7204071389385	8.06856634016028	20	533	modification-dependent protein catabolic process	Cacul1;Dnajb14;Fbxo11;Glmn;Jkamp;Nhlrc1;Os9;Pcnp;Psmd10;Psmd12;Rnf168;Sdcbp;Stam;Tmem129;Ube2d3;Ube2v2;Ubxn2a;Wac;Xbp1;Zranb1	0.00788266941776398
7	GO:0010498	0.00018859630541292	2.95678391959799	6.28227960819234	17	415	proteasomal protein catabolic process	Dnajb14;Glmn;Jkamp;Nhlrc1;Os9;Pcnp;Psmd10;Psmd12;Sco1;Sdcbp;Tmem129;Tmf1;Ube2d3;Ube2v2;Ubxn2a;Wac;Xbp1	0.00788266941776398
8	GO:0043632	0.000197684499505053	2.68217411331184	8.17453250222618	20	540	modification-dependent macromolecule catabolic process	Cacul1;Dnajb14;Fbxo11;Glmn;Jkamp;Nhlrc1;Os9;Pcnp;Psmd10;Psmd12;Rnf168;Sdcbp;Stam;Tmem129;Ube2d3;Ube2v2;Ubxn2a;Wac;Xbp1;Zranb1	0.00788266941776398
9	GO:0034976	0.000397112706778407	3.70173267326733	3.22439893143366	11	213	response to endoplasmic reticulum stress	Bcl2l1;Ddx3x;Dnajb14;Erp44;Ikbkg;Jkamp;Nhlrc1;Os9;Pdia3;Tmem129;Xbp1	0.0120350281503435
10	GO:0044257	0.00040397307327061	2.41318681318681	9.97595725734639	22	659	cellular protein catabolic process	Cacul1;Dnajb14;Fbxo11;Glmn;Jkamp;Nhlrc1;Os9;Pcnp;Psmd10;Psmd12;Rnf168;Sco1;Sdcbp;Stam;Tmem129;Tmf1;Ube2d3;Ube2v2;Ubxn2a;Wac;Xbp1;Zranb1	0.0120350281503435
11	GO:0044265	0.000415000970701499	2.20467485549133	13.5031166518255	27	892	cellular macromolecule catabolic process	Cacul1;Dnajb14;Eif3e;Fbxo11;Glmn;Jkamp;Nhlrc1;Os9;Pcnp;Psmd10;Psmd12;Rnf168;Samd4b;Sco1;Sdcbp;Ssb;Stam;Tmem129;Tmf1;Ube2d3;Ube2v2;Ubxn2a;Wac;Xbp1;Ythdf2;Zc3h14;Zranb1	0.0120350281503435
12	GO:0034622	0.000498503637671668	2.2833073894332	11.520035618878	24	761	cellular protein-containing complex assembly	Atpaf2;Bag4;Chchd4;Cptp;Ddx3x;Dnajb14;Eif2s2;Eif2s3x;Eif5;Grb2;Mapre1;Mis12;Mphosph8;Nudt21;Psmd10;Sco1;Senp6;Strap;Taf11;Tbca;Tpx2;Tubgcp4;Vdac2;Zrsr2	0.0132518883681052
13	GO:0001731	0.000873036121431315	19.8195652173913	0.196794300979519	3	13	formation of translation preinitiation complex	Eif2s2;Eif2s3x;Eif5	0.02142296328743
14	GO:0043161	0.00101372006194718	2.80626515010255	5.3739982190561	14	355	proteasome-mediated ubiquitin-dependent protein catabolic process	Dnajb14;Glmn;Jkamp;Nhlrc1;Os9;Pcnp;Psmd10;Psmd12;Sdcbp;Tmem129;Ube2d3;Ube2v2;Ubxn2a;Wac	0.023098335697225
15	GO:0045921	0.00123577690242663	5.4914099750246	1.19590382902939	6	79	positive regulation of exocytosis	Bcl2l1;Ncs1;Rab5a;Rab9;Sdcbp;Stam	0.0237575937457765
16	GO:0070647	0.00125219434724647	2.24129749768304	10.1576135351736	21	671	protein modification by small protein conjugation or removal	Atg5;Brcc3;Ddx3x;Fbxo11;Fem1b;Nae1;Nhlrc1;Os9;Pcnp;Psmd10;Rnf168;Rnf181;Rnf182;Senp6;Tmem129;Ube2d2a;Ube2d3;Ube2v2;Ubxn2a;Wac;Zranb1	0.0237575937457765
17	GO:0061136	0.00132048232517266	3.67752808988764	2.6340160284951	9	174	regulation of proteasomal protein catabolic process	Glmn;Os9;Psmd10;Sco1;Sdcbp;Tmf1;Ube2v2;Wac;Xbp1	0.0237575937457765
18	GO:0001732	0.00134055387907203	65.7513513513513	0.0605520926090828	2	4	formation of cytoplasmic translation initiation complex	Eif2s2;Eif5	0.0237575937457765
19	GO:1902236	0.00165320610151253	15.2420568561873	0.242208370436331	3	16	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	Bcl2l1;Ikbkg;Xbp1	0.0277564603359209
20	GO:2001234	0.0020910033250097	3.42477623309846	2.81567230632235	9	186	negative regulation of apoptotic signaling pathway	Bcl2l1;Ddx3x;Ikbkg;Nme5;Nrp1;Psmd10;Sod2;Vdac2;Xbp1	0.0320739925379703
21	GO:0006974	0.00213721129419516	2.22689909297052	9.18878005342832	19	607	cellular response to DNA damage stimulus	Alkbh8;Bcl2l1;Brcc3;Cetn2;Chchd4;Fem1b;Grb2;Ikbkg;Prmt6;Psmd10;Rfc4;Rnf168;Shld3;Smc6;Sod2;Terf2;Ube2d3;Ube2v2;Wac	0.0320739925379703
22	GO:1903551	0.00221199948537726	43.8306306306306	0.0756901157613535	2	5	regulation of extracellular exosome assembly	Sdcbp;Stam	0.0320739925379703
23	GO:1902041	0.00251084532457847	7.79942140790742	0.575244879786287	4	38	regulation of extrinsic apoptotic signaling pathway via death domain receptors	Bcl2l1;Ddx3x;Fem1b;Stk4	0.0348243329800231
24	GO:0032446	0.00263730750123109	2.23245679618909	8.65894924309884	18	572	protein modification by small protein conjugation	Atg5;Ddx3x;Fbxo11;Fem1b;Nae1;Nhlrc1;Os9;Pcnp;Psmd10;Rnf168;Rnf181;Rnf182;Tmem129;Ube2d2a;Ube2d3;Ube2v2;Ubxn2a;Wac	0.0350542122038632
25	GO:0016567	0.00289792392242274	2.26692607003891	8.03829029385574	17	531	protein ubiquitination	Atg5;Ddx3x;Fbxo11;Fem1b;Nhlrc1;Os9;Pcnp;Psmd10;Rnf168;Rnf181;Rnf182;Tmem129;Ube2d2a;Ube2d3;Ube2v2;Ubxn2a;Wac	0.0361348492553708
26	GO:0042256	0.0032849862959428	32.8702702702703	0.0908281389136242	2	6	mature ribosome assembly	Ddx3x;Efl1	0.0361348492553708
27	GO:0051971	0.0032849862959428	32.8702702702703	0.0908281389136242	2	6	positive regulation of transmission of nerve impulse	Hcrt;Pawr	0.0361348492553708
28	GO:0071971	0.0032849862959428	32.8702702702703	0.0908281389136242	2	6	extracellular exosome assembly	Sdcbp;Stam	0.0361348492553708
29	GO:0090281	0.0032849862959428	32.8702702702703	0.0908281389136242	2	6	negative regulation of calcium ion import	Mrln;Pawr	0.0361348492553708
30	GO:1903050	0.00340402132430496	3.17003941408318	3.02760463045414	9	200	regulation of proteolysis involved in cellular protein catabolic process	Glmn;Os9;Psmd10;Sco1;Sdcbp;Tmf1;Ube2v2;Wac;Xbp1	0.0361960934151094
31	GO:0030163	0.00385256151135035	1.98987783595113	11.8984861976848	22	786	protein catabolic process	Cacul1;Dnajb14;Fbxo11;Glmn;Jkamp;Nhlrc1;Os9;Pcnp;Psmd10;Psmd12;Rnf168;Sco1;Sdcbp;Stam;Tmem129;Tmf1;Ube2d3;Ube2v2;Ubxn2a;Wac;Xbp1;Zranb1	0.038325630044241
32	GO:2001242	0.00425484359372367	3.68648293963255	2.02849510240427	7	134	regulation of intrinsic apoptotic signaling pathway	Bcl2l1;Ddx3x;Ikbkg;Nme5;Sod2;Vdac2;Xbp1	0.038325630044241
33	GO:0009057	0.00429869191290208	1.84400735294118	15.8495102404274	27	1047	macromolecule catabolic process	Cacul1;Dnajb14;Eif3e;Fbxo11;Glmn;Jkamp;Nhlrc1;Os9;Pcnp;Psmd10;Psmd12;Rnf168;Samd4b;Sco1;Sdcbp;Ssb;Stam;Tmem129;Tmf1;Ube2d3;Ube2v2;Ubxn2a;Wac;Xbp1;Ythdf2;Zc3h14;Zranb1	0.038325630044241
34	GO:0051047	0.00431483460896361	2.69248188405797	4.34461264470169	11	287	positive regulation of secretion	Atg5;Bcl2l1;Glmn;Golph3l;Ncs1;Rab5a;Rab9;Sdcbp;Stam;Tmf1;Xbp1	0.038325630044241
35	GO:1903608	0.00455327808407901	26.2940540540541	0.105966162065895	2	7	protein localization to cytoplasmic stress granule	Ddx3x;Ssb	0.038325630044241
36	GO:1905461	0.00455327808407901	26.2940540540541	0.105966162065895	2	7	positive regulation of vascular associated smooth muscle cell apoptotic process	Sod2;Stk4	0.038325630044241
37	GO:2001233	0.0050008736413974	2.51421494913755	5.07123775601069	12	335	regulation of apoptotic signaling pathway	Bcl2l1;Ddx3x;Fem1b;Ikbkg;Nme5;Nrp1;Pdia3;Psmd10;Sod2;Stk4;Vdac2;Xbp1	0.038325630044241
