GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0006390	0.000108581831423684	41.261797752809	0.0968970266547841	3	13	mitochondrial transcription	Mterf1b;Polrmt;Tefm	0.0145499654107736
2	GO:0000959	0.00279919713030355	11.7650080256822	0.283237462529369	3	38	mitochondrial RNA metabolic process	Mterf1b;Polrmt;Tefm	0.038857594827268
3	GO:0090304	0.00383915634747298	1.82447051156729	25.7000729158227	38	3448	nucleic acid metabolic process	Adprhl2;Agrn;Akap8l;Arnt;Bcl2l12;Clk2;Khdc4;Med27;Mettl8;Mier2;Mterf1b;Mysm1;Mzf1;Noc2l;Orc4;Pcgf2;Polb;Polrmt;Prdm10;Pwp2;Rcor1;Rpap1;Scap;Setdb2;Taf1c;Tefm;Trub1;Tsc2;Ttc5;Ubp1;Usp28;Xrcc1;Zbtb3;Zfat;Zfp112;Zfp12;Zfp653;Zfp746	0.038857594827268
4	GO:2000773	0.00406348984964955	24.7272727272727	0.0968970266547841	2	13	negative regulation of cellular senescence	Bcl2l12;Map3k3	0.038857594827268
5	GO:0006351	0.00555668070688819	1.8737602414834	17.493640119906	28	2347	transcription, DNA-templated	Agrn;Akap8l;Arnt;Bcl2l12;Med27;Mier2;Mterf1b;Mysm1;Mzf1;Noc2l;Pcgf2;Polrmt;Prdm10;Rcor1;Rpap1;Scap;Setdb2;Taf1c;Tefm;Tsc2;Ttc5;Ubp1;Zbtb3;Zfat;Zfp112;Zfp12;Zfp653;Zfp746	0.038857594827268
6	GO:0016570	0.00572236624752751	3.18218298555377	2.71311674633395	8	364	histone modification	Akap8l;Mettl8;Mier2;Mysm1;Noc2l;Pcgf2;Rcor1;Setdb2	0.038857594827268
7	GO:0097659	0.00576180911755278	1.86779569892473	17.5383618245159	28	2353	nucleic acid-templated transcription	Agrn;Akap8l;Arnt;Bcl2l12;Med27;Mier2;Mterf1b;Mysm1;Mzf1;Noc2l;Pcgf2;Polrmt;Prdm10;Rcor1;Rpap1;Scap;Setdb2;Taf1c;Tefm;Tsc2;Ttc5;Ubp1;Zbtb3;Zfat;Zfp112;Zfp12;Zfp653;Zfp746	0.038857594827268
8	GO:0034645	0.00599840843685695	1.77595208845209	24.5373085959653	36	3292	cellular macromolecule biosynthetic process	Agrn;Akap8l;Arnt;Bcl2l12;Gcnt1;Inha;Med27;Mier2;Mknk1;Mterf1b;Mysm1;Mzf1;Noc2l;Orc4;Pcgf2;Polb;Polrmt;Prdm10;Rcor1;Rpap1;Rps6kb2;Scap;Setdb2;Slc35c2;Taf1c;Tefm;Tsc2;Ttc5;Ubp1;Zbtb3;Zdhhc12;Zfat;Zfp112;Zfp12;Zfp653;Zfp746	0.038857594827268
9	GO:0032774	0.00600921485255778	1.86087585763293	17.5905371465608	28	2360	RNA biosynthetic process	Agrn;Akap8l;Arnt;Bcl2l12;Med27;Mier2;Mterf1b;Mysm1;Mzf1;Noc2l;Pcgf2;Polrmt;Prdm10;Rcor1;Rpap1;Scap;Setdb2;Taf1c;Tefm;Tsc2;Ttc5;Ubp1;Zbtb3;Zfat;Zfp112;Zfp12;Zfp653;Zfp746	0.038857594827268
10	GO:0090344	0.00616138429200858	19.4238095238095	0.119257878959734	2	16	negative regulation of cell aging	Bcl2l12;Map3k3	0.038857594827268
