GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0010822	3.73339340259039e-05	15.1488833746898	0.380003240965808	5	67	positive regulation of mitochondrion organization	Adck1;Bbc3;Gper1;Kdr;Pla2g6	0.0160535916311387
2	GO:0090200	0.000285265495821556	27.4298507462687	0.130448873764382	3	23	positive regulation of release of cytochrome c from mitochondria	Bbc3;Gper1;Pla2g6	0.0375714879460204
3	GO:0030513	0.000574402575055151	21.089552238806	0.164479014746394	3	29	positive regulation of BMP signaling pathway	Cdh5;Kdr;Msx1	0.0375714879460204
4	GO:0010821	0.000653767492952561	7.92307692307692	0.697617890131259	5	123	regulation of mitochondrion organization	Adck1;Bbc3;Gper1;Kdr;Pla2g6	0.0375714879460204
5	GO:0006959	0.00069245805434729	11.0402532790592	0.402690001620483	4	71	humoral immune response	B2m;Cfh;Pla2g6;Serping1	0.0375714879460204
6	GO:0060353	0.000868537331120074	60.1274509803922	0.0453735213093502	2	8	regulation of cell adhesion molecule production	Colec12;Notch4	0.0375714879460204
7	GO:0048519	0.0010262784158366	2.17024024799793	22.1536217792902	35	3906	negative regulation of biological process	Adck1;Aebp1;B2m;Bbc3;Cdh5;Col3a1;Col5a2;Crlf1;Ctbp1;Eya2;Foxf2;Foxq1;Gper1;Gpr4;Hic1;Ikzf4;Irf1;Itm2a;Kdr;Lrrfip1;Magoh;Msx1;Nfkbie;Notch4;Pafah2;Pkdcc;Pla2g6;Ppp2r5b;Ptpn14;Serping1;Sesn2;Spef1;Spout1;Ttll12;Zdhhc7	0.0375714879460204
8	GO:0030449	0.00111259835843629	51.5336134453782	0.051045211473019	2	9	regulation of complement activation	Cfh;Serping1	0.0375714879460204
9	GO:0003254	0.00118244214261581	16.116769095698	0.209852536055745	3	37	regulation of membrane depolarization	B2m;Kdr;Rangrf	0.0375714879460204
10	GO:0030199	0.00118244214261581	16.116769095698	0.209852536055745	3	37	collagen fibril organization	Aebp1;Col3a1;Col5a2	0.0375714879460204
11	GO:0001944	0.00127561668098434	3.50538599640934	3.21584832280019	10	567	vasculature development	Cdh5;Cfh;Col3a1;Gja4;Gper1;Gpr4;Itga7;Kdr;Notch4;Ptpn14	0.0375714879460204
12	GO:2000351	0.00127860404625804	15.6550106609808	0.215524226219413	3	38	regulation of endothelial cell apoptotic process	Cdh5;Gper1;Kdr	0.0375714879460204
13	GO:0042060	0.00131912195409897	5.4375	1.21374169502512	6	214	wound healing	Cfh;Col3a1;Gpr4;Kdr;Serping1;Vwf	0.0375714879460204
14	GO:0006910	0.00138565313525762	45.0882352941176	0.0567169016366877	2	10	phagocytosis, recognition	Colec12;Pear1	0.0375714879460204
15	GO:0060352	0.00138565313525762	45.0882352941176	0.0567169016366877	2	10	cell adhesion molecule production	Colec12;Notch4	0.0375714879460204
16	GO:0072577	0.00148538440716825	14.8063735377168	0.226867606546751	3	40	endothelial cell apoptotic process	Cdh5;Gper1;Kdr	0.0375714879460204
17	GO:0090199	0.00148538440716825	14.8063735377168	0.226867606546751	3	40	regulation of release of cytochrome c from mitochondria	Bbc3;Gper1;Pla2g6	0.0375714879460204
18	GO:0050777	0.00182133627463629	8.39118457300276	0.521795495057527	4	92	negative regulation of immune response	Col3a1;Irf1;Serping1;Ttll12	0.0386033156347489
19	GO:0003018	0.00189086453006109	6.174732552216	0.884783665532329	5	156	vascular process in circulatory system	Cdh5;Gper1;Gpr4;Kdr;Pla2g6	0.0386033156347489
20	GO:0006955	0.00264696079836463	2.97815129990388	4.16302058013288	11	734	immune response	B2m;Cfh;Col3a1;Colec12;Gper1;Irf1;Itm2a;Pi4k2a;Pla2g6;Serping1;Ttll12	0.0386033156347489
