GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0044458	0.000313454207508096	27.3058035714286	0.136319455694152	3	17	motile cilium assembly	Cc2d2a;Intu;Kif3a	0.0350784163033052
2	GO:0002705	0.000501554734013915	8.40701851340149	0.657540903936498	5	82	positive regulation of leukocyte mediated immunity	Gab2;Il1r1;Il4ra;Msh2;Nsd2	0.0350784163033052
3	GO:0048298	0.000935015640025747	63.1082474226804	0.0481127490685242	2	6	positive regulation of isotype switching to IgA isotypes	Msh2;Nsd2	0.0350784163033052
4	GO:0002702	0.00118455777428059	9.50721247563353	0.465089907662401	4	58	positive regulation of production of molecular mediator of immune response	Il1r1;Il4ra;Msh2;Nsd2	0.0350784163033052
5	GO:0001764	0.00128898577646583	5.42249103942652	1.20281872671311	6	150	neuron migration	Astn1;Astn2;Erbb4;Il1r1;Mapk8ip3;Prkg1	0.0350784163033052
6	GO:0010970	0.00128898577646583	5.42249103942652	1.20281872671311	6	150	transport along microtubule	Ift81;Kif1a;Kif3a;Map1b;Mapk8ip3;Syne2	0.0350784163033052
7	GO:0048290	0.00130218073731318	50.4824742268041	0.0561315405799449	2	7	isotype switching to IgA isotypes	Msh2;Nsd2	0.0350784163033052
8	GO:0048296	0.00130218073731318	50.4824742268041	0.0561315405799449	2	7	regulation of isotype switching to IgA isotypes	Msh2;Nsd2	0.0350784163033052
9	GO:0098840	0.00134494014965562	9.16616541353383	0.481127490685242	4	60	protein transport along microtubule	Ift81;Kif1a;Kif3a;Mapk8ip3	0.0350784163033052
10	GO:0099118	0.00134494014965562	9.16616541353383	0.481127490685242	4	60	microtubule-based protein transport	Ift81;Kif1a;Kif3a;Mapk8ip3	0.0350784163033052
11	GO:0002639	0.00157087891175163	14.6887019230769	0.2325449538312	3	29	positive regulation of immunoglobulin production	Il4ra;Msh2;Nsd2	0.0350784163033052
