GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0045652	7.4661530750191e-06	40.6810631229236	0.131184711312657	4	18	regulation of megakaryocyte differentiation	H4c12;H4c9;Rbm15;Tesc	0.00122444910430313
2	GO:0006335	3.04653636984841e-05	70.4195402298851	0.0655923556563284	3	9	DNA replication-dependent nucleosome assembly	H3c15;H4c12;H4c9	0.0016654398821838
3	GO:0034723	3.04653636984841e-05	70.4195402298851	0.0655923556563284	3	9	DNA replication-dependent nucleosome organization	H3c15;H4c12;H4c9	0.0016654398821838
4	GO:0030219	0.000161128427653079	16.7236662106703	0.276945501660053	4	38	megakaryocyte differentiation	H4c12;H4c9;Rbm15;Tesc	0.00660626553377625
5	GO:0045653	0.000773086663629755	69.6306818181818	0.043728237104219	2	6	negative regulation of megakaryocyte differentiation	H4c12;H4c9	0.0224446904701079
6	GO:0030851	0.000862061108433163	18.3448275862069	0.189489027451616	3	26	granulocyte differentiation	Ap3b1;Spi1;Tesc	0.0224446904701079
7	GO:0045637	0.00102505676531738	5.68937969924812	1.15151024374443	6	158	regulation of myeloid cell differentiation	H4c12;H4c9;Rbm15;Spi1;Tesc;Tob2	0.0224446904701079
8	GO:0000079	0.00120078731445987	9.45658914728682	0.466434529111669	4	64	regulation of cyclin-dependent protein serine/threonine kinase activity	Actb;Ccnb2;Ccno;Ccnyl1	0.0224446904701079
9	GO:0045638	0.00127247212589561	9.30080060998856	0.473722568629039	4	65	negative regulation of myeloid cell differentiation	H4c12;H4c9;Rbm15;Tob2	0.0224446904701079
10	GO:0030099	0.00146221068993576	4.02657695542473	2.17183577617621	8	298	myeloid cell differentiation	Ap3b1;Fcer1g;H4c12;H4c9;Rbm15;Spi1;Tesc;Tob2	0.0224446904701079
11	GO:1904029	0.00150543655592187	8.86264534883721	0.495586687181148	4	68	regulation of cyclin-dependent protein kinase activity	Actb;Ccnb2;Ccno;Ccnyl1	0.0224446904701079
12	GO:0048534	0.00261718306320135	2.79764054411942	4.74451372580776	12	651	hematopoietic or lymphoid organ development	Ap3b1;Ccdc134;Ccnb2;Fcer1g;H4c12;H4c9;Nhej1;Rbm15;Spi1;Tesc;Tnfrsf13b;Tob2	0.0357681685304185
13	GO:0002520	0.00409831387973951	2.63609467455621	5.01417118795044	12	688	immune system development	Ap3b1;Ccdc134;Ccnb2;Fcer1g;H4c12;H4c9;Nhej1;Rbm15;Spi1;Tesc;Tnfrsf13b;Tob2	0.0410665880531294
14	GO:0006334	0.00481536852683059	9.57288401253918	0.342537857316382	3	47	nucleosome assembly	H3c15;H4c12;H4c9	0.0410665880531294
15	GO:1903706	0.00529727276547972	3.5561259120991	2.12081949955462	7	291	regulation of hemopoiesis	Ap3b1;H4c12;H4c9;Rbm15;Spi1;Tesc;Tob2	0.0410665880531294
16	GO:0002573	0.00530710321482155	4.78089222266088	1.12235808567495	5	154	myeloid leukocyte differentiation	Ap3b1;Fcer1g;Spi1;Tesc;Tob2	0.0410665880531294
17	GO:0002683	0.00539582337186626	3.5433523567956	2.12810753907199	7	292	negative regulation of immune system process	Ccl25;Fcer1g;H4c12;H4c9;Rbm15;Tnfrsf13b;Tob2	0.0410665880531294
18	GO:0030097	0.00553508111838235	2.64534247423958	4.54773665883877	11	624	hemopoiesis	Ap3b1;Ccdc134;Fcer1g;H4c12;H4c9;Nhej1;Rbm15;Spi1;Tesc;Tnfrsf13b;Tob2	0.0410665880531294
19	GO:0006336	0.00589832311835186	19.8782467532468	0.116608632277917	2	16	DNA replication-independent nucleosome assembly	H4c12;H4c9	0.0410665880531294
20	GO:0071549	0.00589832311835186	19.8782467532468	0.116608632277917	2	16	cellular response to dexamethasone stimulus	Ddit4;Fbxo32	0.0410665880531294
21	GO:0034724	0.00665324412111393	18.5515151515152	0.123896671795287	2	17	DNA replication-independent nucleosome organization	H4c12;H4c9	0.0410665880531294
22	GO:0006117	0.00728803951736978	Inf	0.00728803951736983	1	1	acetaldehyde metabolic process	Aldh2	0.0410665880531294
23	GO:0014878	0.00728803951736978	Inf	0.00728803951736983	1	1	response to electrical stimulus involved in regulation of muscle adaptation	Fbxo32	0.0410665880531294
24	GO:0072749	0.00728803951736978	Inf	0.00728803951736983	1	1	cellular response to cytochalasin B	Actb	0.0410665880531294
25	GO:0098867	0.00728803951736978	Inf	0.00728803951736983	1	1	intramembranous bone growth	Fbln5	0.0410665880531294
26	GO:1901328	0.00728803951736978	Inf	0.00728803951736983	1	1	response to cytochalasin B	Actb	0.0410665880531294
27	GO:1904844	0.00728803951736978	Inf	0.00728803951736983	1	1	response to L-glutamine	Nqo1	0.0410665880531294
28	GO:1905280	0.00728803951736978	Inf	0.00728803951736983	1	1	negative regulation of retrograde transport, endosome to Golgi	Arfip1	0.0410665880531294
29	GO:0034394	0.00785406249783691	7.94144437215355	0.40813021297271	3	56	protein localization to cell surface	Ap3b1;Fbln5;Fcer1g	0.0410665880531294
