GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0098798	6.8584006254671e-06	4.36881908086097	3.82585624698505	15	231	mitochondrial protein complex	Atp5c1;Atp5md;Cyc1;Dlat;Grpel1;Malsu1;Mrpl15;Mrpl32;Mrpl51;Ndufa9;Ndufc1;Ndufs4;Trmt10c;Uqcrc1;Uqcrfs1	0.000541813649411901
2	GO:0000502	4.5368461010721e-05	8.40151739087595	0.960604598810098	7	58	proteasome complex	Psma1;Psma2;Psma3;Psmb3;Psmc6;Psmd11;Psmd7	0.00123973483380139
3	GO:0098800	5.99260913655773e-05	5.7753807106599	1.73902556681138	9	105	inner mitochondrial membrane protein complex	Atp5c1;Atp5md;Cyc1;Grpel1;Ndufa9;Ndufc1;Ndufs4;Uqcrc1;Uqcrfs1	0.00123973483380139
4	GO:1990204	7.9766594012629e-05	6.37806637806638	1.40778260170445	8	85	oxidoreductase complex	Cyc1;Dlat;Dlst;Ndufa9;Ndufc1;Ndufs4;Uqcrc1;Uqcrfs1	0.00123973483380139
5	GO:1905369	8.61950649840441e-05	7.51344441505775	1.05997748834218	7	64	endopeptidase complex	Psma1;Psma2;Psma3;Psmb3;Psmc6;Psmd11;Psmd7	0.00123973483380139
6	GO:1905368	9.41570759849155e-05	6.21557345607979	1.44090689821515	8	87	peptidase complex	Psma1;Psma2;Psma3;Psmb3;Psmc6;Psmd11;Psmd7;Taf6l	0.00123973483380139
7	GO:0005839	0.000146855974071846	18.6123381568926	0.281556520340891	4	17	proteasome core complex	Psma1;Psma2;Psma3;Psmb3	0.0014734434216175
8	GO:0019773	0.000149209460416962	45.1773399014778	0.115935037787426	3	7	proteasome core complex, alpha-subunit complex	Psma1;Psma2;Psma3	0.0014734434216175
9	GO:0005750	0.000235821099975321	36.1389162561576	0.132497186042772	3	8	mitochondrial respiratory chain complex III	Cyc1;Uqcrc1;Uqcrfs1	0.00186298668980503
10	GO:0045275	0.000235821099975321	36.1389162561576	0.132497186042772	3	8	respiratory chain complex III	Cyc1;Uqcrc1;Uqcrfs1	0.00186298668980503
11	GO:0098803	0.000456307765441894	6.76555555555556	0.993728895320791	6	60	respiratory chain complex	Cyc1;Ndufa9;Ndufc1;Ndufs4;Uqcrc1;Uqcrfs1	0.00327711940635542
12	GO:0005746	0.000499200457654714	6.642	1.01029104357614	6	61	mitochondrial respirasome	Cyc1;Ndufa9;Ndufc1;Ndufs4;Uqcrc1;Uqcrfs1	0.00328640301289353
13	GO:0005739	0.000638638877088451	1.85640896499622	24.5947901591896	41	1485	mitochondrion	Acsl6;Aldoc;Arl2bp;Atp5c1;Atp5md;Cfap410;Cs;Cyc1;Dlat;Dlst;Dnaja3;Drg2;Fis1;Gprc5c;Grpel1;Haus3;Hax1;Kank2;Lias;Malsu1;Map2k2;Mmadhc;Mrpl15;Mrpl32;Mrpl51;Myoc;Ndufa9;Ndufc1;Ndufs4;Pck2;Ppp1r15a;Slc16a1;Slc25a24;Sphk2;Sucla2;Tmem11;Tmem135;Trmt10c;Tst;Uqcrc1;Uqcrfs1	0.00355512711399284
14	GO:0070469	0.000762825067166725	6.086	1.09310178485287	6	66	respirasome	Cyc1;Ndufa9;Ndufc1;Ndufs4;Uqcrc1;Uqcrfs1	0.00355512711399284
15	GO:0005587	0.000810028962681913	119.911764705882	0.0496864447660396	2	3	collagen type IV trimer	Col4a1;Col4a2	0.00355512711399284
16	GO:0098642	0.000810028962681913	119.911764705882	0.0496864447660396	2	3	network-forming collagen trimer	Col4a1;Col4a2	0.00355512711399284
17	GO:0098645	0.000810028962681913	119.911764705882	0.0496864447660396	2	3	collagen network	Col4a1;Col4a2	0.00355512711399284
18	GO:0098651	0.000810028962681913	119.911764705882	0.0496864447660396	2	3	basement membrane collagen trimer	Col4a1;Col4a2	0.00355512711399284
