GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0015630	0.000108703802369951	2.80768283673972	8.60065953510818	21	938	microtubule cytoskeleton	Arfgef2;Cep41;Ckap5;Clasp2;Ctdp1;Dcdc2a;Dync1h1;Dync2li1;Haus1;Ino80;Kif21a;Lrguk;Mycbp2;Nek1;Pcgf5;Pinx1;Rragd;Smc1a;Spag9;Spice1;Wdr35	0.00489158410634637
2	GO:0005815	0.000184588079484769	3.26076117666611	5.15306040376418	15	562	microtubule organizing center	Arfgef2;Cep41;Ckap5;Clasp2;Ctdp1;Dcdc2a;Dync1h1;Dync2li1;Haus1;Nek1;Pcgf5;Rragd;Spag9;Spice1;Wdr35	0.00489158410634637
3	GO:0005813	0.00043537696640303	3.27389198147283	4.39202123381324	13	479	centrosome	Cep41;Ckap5;Ctdp1;Dcdc2a;Dync1h1;Dync2li1;Haus1;Nek1;Pcgf5;Rragd;Spag9;Spice1;Wdr35	0.00769165973978686
4	GO:0005856	0.00161888369053247	2.05253399258344	15.08324619963	27	1645	cytoskeleton	Arfgef2;Cep41;Cfap300;Ckap5;Clasp2;Ctdp1;Dcdc2a;Dync1h1;Dync2li1;Epb41l4b;Epb41l5;Haus1;Ino80;Kif21a;Lrguk;Mycbp2;Nek1;Pcgf5;Pinx1;Rims3;Rragd;Sh3pxd2b;Smc1a;Spag9;Spice1;Tm9sf2;Wdr35	0.0214502088995553
5	GO:0002177	0.00357436183418088	27.4799107142857	0.091691466259149	2	10	manchette	Dync1h1;Lrguk	0.0310424046716451
6	GO:0099568	0.00385461569851307	4.3036093418259	1.49457090002413	6	163	cytoplasmic region	Arfgef2;Clasp2;Dcdc2a;Dync2li1;Rims3;Wdr35	0.0310424046716451
7	GO:0005737	0.00409994023965124	1.8164423194802	75.6087830772943	89	8246	cytoplasm	Adar;Agk;Aloxe3;Anapc10;Arfgef2;Atg10;Cables1;Cast;Cep41;Cfap300;Chid1;Ckap5;Clasp2;Ctdp1;Ctif;Dbil5;Dcdc2a;Ddt;Dnmt1;Dync1h1;Dync2li1;Eea1;Eif5a2;Epb41l4b;Epb41l5;Etfbkmt;Exoc1;Fbxo17;Ggnbp2;Gns;Gstp2;Gstt1;Gstz1;Gzf1;Haus1;Hint3;Ica1l;Ino80;Kif21a;Lrguk;Lrsam1;Maco1;Mast4;Mycbp2;Ndufaf2;Nek1;Nell1;Nenf;Neu3;Nmi;Nolc1;Oas1c;Oxsm;P2rx4;Pabpc4;Pex7;Plaat1;Ppp1r3e;Ppp2r1b;Prtn3;Ptprf;Rbsn;Rims3;Rpap3;Rragd;Scaper;Scly;Serbp1;Sh3pxd2b;Slc9a8;Smc1a;Smyd3;Snx5;Spag9;Spice1;Spopl;Tdrkh;Tm9sf2;Tmed3;Tmem241;Tnip2;Trmt10b;Ugp2;Usp35;Wdfy3;Wdr35;Zbed5;Zbtb4;Zdhhc15	0.0310424046716451
8	GO:0005874	0.00485492119576077	3.01080854629242	3.20920131907022	9	350	microtubule	Arfgef2;Ckap5;Clasp2;Dcdc2a;Dync1h1;Dync2li1;Haus1;Ino80;Kif21a	0.0321638529219151
9	GO:0005819	0.00559935761878403	3.50057894301547	2.13641116383817	7	233	spindle	Ckap5;Clasp2;Ctdp1;Dcdc2a;Pinx1;Smc1a;Spice1	0.0329739948661726
10	GO:0005930	0.00677348260844387	5.70675990675991	0.751870023325022	4	82	axoneme	Arfgef2;Dcdc2a;Dync2li1;Wdr35	0.0347117693695368
