GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0031012	5.75902621621169e-05	3.59993970455231	4.59459459459459	15	336	extracellular matrix	Adamts1;Bgn;Clec14a;Col1a1;Col1a2;Dcn;Emilin1;Igfbp7;Itih2;Matn2;Ogn;Olfml2a;Omd;Thsd4;Wnt6	0.00426167939999665
2	GO:0070069	0.000168423769553668	17.3564847625797	0.287162162162162	4	21	cytochrome complex	Cox4i1;Cox7b;Ndufa4;Uqcr10	0.0044973048094344
3	GO:0005584	0.000185903924541202	Inf	0.0273487773487773	2	2	collagen type I trimer	Col1a1;Col1a2	0.0044973048094344
4	GO:0070469	0.000275878064531475	7.44024390243902	0.902509652509653	6	66	respirasome	Cox4i1;Cox7a2;Cox7b;Ndufa4;Uqcr10;Uqcr11	0.0044973048094344
5	GO:0062023	0.000303871946583405	3.57617274758004	3.65106177606178	12	267	collagen-containing extracellular matrix	Adamts1;Bgn;Clec14a;Col1a1;Col1a2;Dcn;Emilin1;Igfbp7;Itih2;Matn2;Ogn;Omd	0.0044973048094344
6	GO:0005743	0.000424545328820392	3.09070698088039	4.92277992277992	14	360	mitochondrial inner membrane	Atp5d;Coa3;Cox4i1;Cox6c;Cox7a2;Cox7b;Crls1;Gpx4;Mtch2;Ndufa4;Spg7;Tmem14c;Uqcr10;Uqcr11	0.0052360590554515
7	GO:0045277	0.000649574576115171	22.0095808383234	0.177767052767053	3	13	respiratory chain complex IV	Cox4i1;Cox7b;Ndufa4	0.00685709933252516
8	GO:0031967	0.00083397154044225	2.20142774454949	11.9787644787645	24	876	organelle envelope	Atp5d;Coa3;Cox19;Cox4i1;Cox6c;Cox7a2;Cox7b;Crls1;Cuedc2;Gle1;Gpx4;Mta1;Mtch2;Ndufa4;Nlrx1;Ptges;Spg7;Tmem14c;Tomm7;Tor1a;Tubb5;Uqcr10;Uqcr11;Yeats4	0.00685709933252516
9	GO:0031975	0.00083397154044225	2.20142774454949	11.9787644787645	24	876	envelope	Atp5d;Coa3;Cox19;Cox4i1;Cox6c;Cox7a2;Cox7b;Crls1;Cuedc2;Gle1;Gpx4;Mta1;Mtch2;Ndufa4;Nlrx1;Ptges;Spg7;Tmem14c;Tomm7;Tor1a;Tubb5;Uqcr10;Uqcr11;Yeats4	0.00685709933252516
10	GO:0019866	0.00105324288668187	2.79853960562622	5.40138352638353	14	395	organelle inner membrane	Atp5d;Coa3;Cox4i1;Cox6c;Cox7a2;Cox7b;Crls1;Gpx4;Mtch2;Ndufa4;Spg7;Tmem14c;Uqcr10;Uqcr11	0.00779399736144586
11	GO:0005740	0.0013103629021488	2.46439823566478	7.46621621621622	17	546	mitochondrial envelope	Atp5d;Coa3;Cox19;Cox4i1;Cox6c;Cox7a2;Cox7b;Crls1;Gpx4;Mtch2;Ndufa4;Nlrx1;Spg7;Tmem14c;Tomm7;Uqcr10;Uqcr11	0.00881516861445557
12	GO:0005746	0.00144531479100773	6.60497835497836	0.834137709137709	5	61	mitochondrial respirasome	Cox4i1;Cox7a2;Cox7b;Ndufa4;Uqcr10	0.00883598803051517
13	GO:0031966	0.00155226816752294	2.49605088788762	6.91924066924067	16	506	mitochondrial membrane	Atp5d;Coa3;Cox4i1;Cox6c;Cox7a2;Cox7b;Crls1;Gpx4;Mtch2;Ndufa4;Nlrx1;Spg7;Tmem14c;Tomm7;Uqcr10;Uqcr11	0.00883598803051517
14	GO:0005683	0.00180929145869422	48.6468253968254	0.0683719433719434	2	5	U7 snRNP	Snrpb;Snrpd3	0.00956339771024087
15	GO:0005576	0.00346928738992718	1.88388603339364	15.6435006435006	27	1144	extracellular region	Adam9;Adamts1;Anpep;Bgn;Clec14a;Col1a1;Col1a2;Dcn;Emilin1;Fgfbp1;Gba;Igfbp2;Igfbp3;Igfbp7;Itih2;Lepr;Matn2;Metrnl;Mif;Ogn;Olfml2a;Omd;Ppp1r13l;Stard7;Syt4;Thsd4;Wnt6	0.0171151511236407
16	GO:0005581	0.00442990230225296	6.54190093708166	0.670045045045045	4	49	collagen trimer	Col1a1;Col1a2;Dcn;Emilin1	0.0204882981479199
17	GO:0005583	0.00778346865573486	18.235119047619	0.136743886743887	2	10	fibrillar collagen trimer	Col1a1;Col1a2	0.0255715979101027
18	GO:0005641	0.00778346865573486	18.235119047619	0.136743886743887	2	10	nuclear envelope lumen	Ptges;Tubb5	0.0255715979101027
19	GO:0005687	0.00778346865573486	18.235119047619	0.136743886743887	2	10	U4 snRNP	Snrpb;Snrpd3	0.0255715979101027
20	GO:0005751	0.00778346865573486	18.235119047619	0.136743886743887	2	10	mitochondrial respiratory chain complex IV	Cox4i1;Ndufa4	0.0255715979101027
21	GO:0034709	0.00778346865573486	18.235119047619	0.136743886743887	2	10	methylosome	Snrpb;Snrpd3	0.0255715979101027
22	GO:0098643	0.00778346865573486	18.235119047619	0.136743886743887	2	10	banded collagen fibril	Col1a1;Col1a2	0.0255715979101027
23	GO:0005615	0.00794792908016707	1.9921588127295	9.6541184041184	18	706	extracellular space	Adam9;Anpep;Bgn;Col1a1;Col1a2;Dcn;Emilin1;Gba;Igfbp2;Igfbp3;Igfbp7;Lepr;Matn2;Metrnl;Mif;Ogn;Omd;Wnt6	0.0255715979101027
24	GO:0098803	0.00908135761880999	5.25215146299484	0.82046332046332	4	60	respiratory chain complex	Cox4i1;Cox7b;Ndufa4;Uqcr10	0.0280008526579975
25	GO:0032039	0.0131334329227681	13.258658008658	0.177767052767053	2	13	integrator complex	Ints11;Ints5	0.031378793682431
26	GO:0098644	0.0131334329227681	13.258658008658	0.177767052767053	2	13	complex of collagen trimers	Col1a1;Col1a2	0.031378793682431
27	GO:0005589	0.0136743886743886	Inf	0.0136743886743887	1	1	collagen type VI trimer	Dcn	0.031378793682431
28	GO:0034668	0.0136743886743886	Inf	0.0136743886743887	1	1	integrin alpha4-beta1 complex	Emilin1	0.031378793682431
29	GO:0036501	0.0136743886743886	Inf	0.0136743886743887	1	1	UFD1-NPL4 complex	Nploc4	0.031378793682431
30	GO:0098637	0.0136743886743886	Inf	0.0136743886743887	1	1	protein complex involved in cell-matrix adhesion	Emilin1	0.031378793682431
31	GO:0098647	0.0136743886743886	Inf	0.0136743886743887	1	1	collagen beaded filament	Dcn	0.031378793682431
32	GO:1990971	0.0136743886743886	Inf	0.0136743886743887	1	1	EMILIN complex	Emilin1	0.031378793682431
