GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0030425	2.6214667172772e-12	4.3467816091954	10.9015681544029	39	619	dendrite	Abi2;Adgrb1;Arhgef2;Atp2b2;Cpeb4;Cyp46a1;Ddn;Dlg2;Dlg4;Dlgap3;Gabrd;Gnao1;Grik5;Grin1;Grm3;Homer1;Hrh3;Il1rapl1;Itpr1;Kcnj4;Kcnq3;Lrrc7;Map1a;Mapk1;Mark2;Neurl1a;Nlgn1;Nr1d1;Oprd1;Osbp2;Plk2;Plxdc1;Ppp1r9b;Psd;Rapgef4;Rgs7bp;Rin1;Sema3a;Sipa1l1	1.68102865209826e-10
2	GO:0097447	3.04590237400961e-12	4.32329902801601	10.9544028950543	39	622	dendritic tree	Abi2;Adgrb1;Arhgef2;Atp2b2;Cpeb4;Cyp46a1;Ddn;Dlg2;Dlg4;Dlgap3;Gabrd;Gnao1;Grik5;Grin1;Grm3;Homer1;Hrh3;Il1rapl1;Itpr1;Kcnj4;Kcnq3;Lrrc7;Map1a;Mapk1;Mark2;Neurl1a;Nlgn1;Nr1d1;Oprd1;Osbp2;Plk2;Plxdc1;Ppp1r9b;Psd;Rapgef4;Rgs7bp;Rin1;Sema3a;Sipa1l1	1.68102865209826e-10
3	GO:0099572	3.84968393610289e-12	5.25	7.09746682750302	31	403	postsynaptic specialization	Actr2;Add2;Adgrb1;Arhgef2;Atp2b2;Cpeb4;Dlg2;Dlg4;Dlgap3;Gabra4;Grik5;Grin1;Grm3;Gsg1l;Homer1;Il1rapl1;Insyn1;Itpr1;Lrrc7;Map1a;Mapk1;Neurl1a;Nlgn1;Oprd1;Ppp1r9b;Prkcz;Psd;Rapgef4;Rgs7bp;Sipa1l1;Sptbn1	1.68102865209826e-10
4	GO:0014069	2.03937915126328e-11	5.20526315789474	6.63956574185766	29	377	postsynaptic density	Actr2;Add2;Adgrb1;Arhgef2;Atp2b2;Cpeb4;Dlg2;Dlg4;Grik5;Grin1;Grm3;Gsg1l;Homer1;Il1rapl1;Insyn1;Itpr1;Lrrc7;Map1a;Mapk1;Neurl1a;Nlgn1;Oprd1;Ppp1r9b;Prkcz;Psd;Rapgef4;Rgs7bp;Sipa1l1;Sptbn1	5.91233300389488e-10
5	GO:0098794	2.25661565034156e-11	4.01821333333333	11.6940892641737	39	664	postsynapse	Abi2;Actr2;Add2;Adgrb1;Adgrl2;Arhgef2;Atp2b2;Camk4;Cpeb4;Cyp46a1;Ddn;Dlg2;Dlg4;Dlgap3;Gabra4;Gabrd;Grik5;Grin1;Grm3;Gsg1l;Homer1;Il1rapl1;Insyn1;Itpr1;Kcnj4;Lrrc7;Map1a;Mapk1;Neurl1a;Nlgn1;Nr1d1;Oprd1;Ppp1r9b;Prkcz;Psd;Rapgef4;Rgs7bp;Sipa1l1;Sptbn1	5.91233300389488e-10
6	GO:0032279	2.81077131375707e-11	5.12937229759952	6.72762364294331	29	382	asymmetric synapse	Actr2;Add2;Adgrb1;Arhgef2;Atp2b2;Cpeb4;Dlg2;Dlg4;Grik5;Grin1;Grm3;Gsg1l;Homer1;Il1rapl1;Insyn1;Itpr1;Lrrc7;Map1a;Mapk1;Neurl1a;Nlgn1;Oprd1;Ppp1r9b;Prkcz;Psd;Rapgef4;Rgs7bp;Sipa1l1;Sptbn1	6.13685070170293e-10
7	GO:0045202	6.20461038765936e-11	3.09371278696432	22.4899879372738	56	1277	synapse	Abi2;Actr2;Add2;Adgrb1;Adgrl2;Arhgef2;Atp2a2;Atp2b2;Cacnb1;Camk4;Cpeb4;Cxadr;Cyp46a1;Ddn;Dlg2;Dlg4;Dlgap3;Fam234b;Gabra4;Gabrd;Grik5;Grin1;Grm3;Gsg1l;Gucy1b1;Homer1;Hrh3;Il1rapl1;Insyn1;Itpr1;Kcnj4;Lrrc7;Map1a;Mapk1;Neurl1a;Ngef;Nlgn1;Nr1d1;Oprd1;Pja2;Plcb1;Ppp1r9b;Prkcb;Prkci;Prkcz;Psd;Rab11b;Rapgef4;Rgs7bp;Sgip1;Sipa1l1;Slc9b2;Sptbn1;Tiam2;Vps18;Vti1b	1.16114851540482e-09
8	GO:0098984	1.14962853191807e-10	4.80627099664054	7.13268998793727	29	405	neuron to neuron synapse	Actr2;Add2;Adgrb1;Arhgef2;Atp2b2;Cpeb4;Dlg2;Dlg4;Grik5;Grin1;Grm3;Gsg1l;Homer1;Il1rapl1;Insyn1;Itpr1;Lrrc7;Map1a;Mapk1;Neurl1a;Nlgn1;Oprd1;Ppp1r9b;Prkcz;Psd;Rapgef4;Rgs7bp;Sipa1l1;Sptbn1	1.88251672101585e-09
9	GO:0036477	2.15524905332511e-09	3.22592795091428	15.4805790108565	42	879	somatodendritic compartment	Abi2;Adgrb1;Arhgef2;Atp2b2;Cpeb4;Cx3cl1;Cyp46a1;Ddn;Dlg2;Dlg4;Dlgap3;Gabrd;Gnao1;Grik5;Grin1;Grm3;Homer1;Hrh3;Il1rapl1;Itpr1;Kcnj4;Kcnq3;Lrrc7;Map1a;Mapk1;Mark2;Neurl1a;Nlgn1;Nr1d1;Oprd1;Osbp2;Plk2;Plxdc1;Ppp1r9b;Prkcz;Psd;Rapgef4;Rgs7bp;Rin1;Sema3a;Sipa1l1;Vti1b	3.13708473317321e-08
10	GO:0098978	5.15848780323082e-09	4.0093045112782	8.40072376357057	29	477	glutamatergic synapse	Abi2;Add2;Adgrb1;Adgrl2;Arhgef2;Atp2b2;Camk4;Dlg2;Dlg4;Dlgap3;Gabrd;Grik5;Grin1;Grm3;Gsg1l;Gucy1b1;Homer1;Il1rapl1;Lrrc7;Ngef;Nlgn1;Plcb1;Prkci;Prkcz;Rapgef4;Rgs7bp;Sipa1l1;Sptbn1;Vps18	6.75761902223238e-08
11	GO:0098936	1.63299552718232e-08	6.74981658107117	2.76501809408926	16	157	intrinsic component of postsynaptic membrane	Adgrb1;Adgrl2;Atp2b2;Dlg2;Dlg4;Gabra4;Gabrd;Grik5;Grin1;Grm3;Gsg1l;Il1rapl1;Lrrc7;Nlgn1;Oprd1;Rgs7bp	1.94474921873531e-07
12	GO:0043005	2.49634212813667e-08	2.69108513863759	22.1905910735826	50	1260	neuron projection	Abi2;Adgrb1;Adgrl2;Arhgef2;Atp2b2;Cacna1i;Ccsap;Cpeb4;Cx3cl1;Cxadr;Cyp46a1;Ddn;Dlg2;Dlg4;Dlgap3;Gabra4;Gabrd;Gnao1;Grik5;Grin1;Grm3;Homer1;Hrh3;Il1rapl1;Itpr1;Kcnj4;Kcnq3;Lrrc7;Map1a;Mapk1;Mark2;Mertk;Neurl1a;Nlgn1;Nr1d1;Oprd1;Osbp2;Plk2;Plxdc1;Ppp1r9b;Prkcb;Prkcz;Psd;Rapgef4;Reep6;Rgs7bp;Rin1;Sema3a;Sipa1l1;Sptbn1	2.5374131915465e-07
