GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0071944	0.000185069643474676	1.80051062819143	45.3104890604891	67	3275	cell periphery	Abca6;Acvr1c;Adam22;Adam23;Add1;Akap6;Anks1b;Ano3;Arhgef9;Arl4d;Atp2b1;Atp8a1;Cd33;Cd53;Chmp3;Cltc;Cnnm1;Cnr1;Cntnap1;Cpd;Crlf2;Dgki;Fcho1;Fyb;Gpr158;Grik3;H2-DMa;Itgam;Itsn2;Jcad;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Kremen1;Ksr2;Lrp12;Lzts1;Mtcl1;Myh10;Nipa1;Nudt1;P2ry6;Pcdhb2;Pcdhb22;Pcdhga3;Pcdhga6;Pcdhgb1;Pcsk9;Pex3;Pik3r5;Ppp3ca;Prex2;Ralgapa2;Rpe65;Shroom2;Siglech;Slc2a5;Sntb2;Steap3;Syne1;Tle6;Tmeff1;Tmod1;Tpbg;Ttc7	0.00869827324330978
2	GO:0005886	0.000493099392263621	1.73375552946478	44.0929858429858	64	3187	plasma membrane	Abca6;Acvr1c;Adam22;Adam23;Add1;Akap6;Anks1b;Ano3;Arl4d;Atp2b1;Atp8a1;Cd33;Cd53;Chmp3;Cltc;Cnnm1;Cnr1;Cntnap1;Cpd;Crlf2;Dgki;Fcho1;Fyb;Gpr158;Grik3;H2-DMa;Itgam;Itsn2;Jcad;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Kremen1;Ksr2;Lrp12;Lzts1;Mtcl1;Myh10;Nipa1;Nudt1;P2ry6;Pcdhb2;Pcdhb22;Pcdhga3;Pcdhga6;Pcdhgb1;Pcsk9;Pex3;Pik3r5;Ppp3ca;Prex2;Ralgapa2;Rpe65;Shroom2;Siglech;Slc2a5;Sntb2;Steap3;Syne1;Tmeff1;Tpbg;Ttc7	0.00966882867863005
3	GO:0042734	0.000617159277359365	4.12338104976142	2.36583011583012	9	171	presynaptic membrane	Adam23;Atp2b1;Cltc;Cnr1;Cntnap1;Dgki;Grik3;Itsn2;Kcna1	0.00966882867863005
4	GO:0016529	0.00121194716752563	6.89583097955033	0.802445302445302	5	58	sarcoplasmic reticulum	Akap6;Cmya5;Jsrp1;Strit1;Thbs4	0.0142403792184262
5	GO:0016528	0.00216320802299858	5.98753313046039	0.913127413127413	5	66	sarcoplasm	Akap6;Cmya5;Jsrp1;Strit1;Thbs4	0.0203341554161867
6	GO:0044815	0.00330277522926717	11.4366241046403	0.304375804375804	3	22	DNA packaging complex	H4c14;Kat6b;Ncapg2	0.0258717392959262
7	GO:0098590	0.00416859741262463	1.95073571679196	12.7561132561133	23	922	plasma membrane region	Adam22;Adam23;Add1;Akap6;Atp2b1;Cltc;Cnr1;Cntnap1;Dgki;Fcho1;Grik3;Itgam;Itsn2;Jcad;Kcna1;Lrp12;Lzts1;Mtcl1;Myh10;P2ry6;Shroom2;Slc2a5;Syne1	0.0279891540561939
8	GO:0016021	0.00652046792363331	1.53793809820935	41.2982625482625	56	2985	integral component of membrane	Abca6;Acvr1c;Adam22;Adam23;Akap6;Ano3;Atp2b1;Atp8a1;B4galt3;Cd33;Cd53;Cnnm1;Cnr1;Cntnap1;Cpd;Crlf2;Galnt12;Gcnt2;Gdpd5;Gpr158;Grik3;H2-DMa;Hs6st3;Immp2l;Itgam;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Kremen1;Lrp12;Micu1;Mpzl3;Nat8f3;Nipa1;Opa1;P2ry6;Pcdhb2;Pcdhb22;Pcdhga3;Pcdhga6;Pcdhgb1;Pex3;Pmepa1;Rnf150;Sdr42e1;Slc2a5;Srebf2;Steap3;Strit1;Syne1;Tmeff1;Tmem167;Tmem175;Tpbg	0.0352857420142573
9	GO:0016020	0.00740777201355565	1.47146497673479	76.6750321750322	93	5542	membrane	Abca6;Acvr1c;Adam22;Adam23;Add1;Akap6;Anks1b;Ano3;Arl4d;Atp2b1;Atp8a1;B4galt3;Cd33;Cd53;Chmp3;Cltc;Cnnm1;Cnr1;Cntnap1;Cog7;Cpd;Crlf2;Dgki;Fcho1;Fnip1;Fyb;Galnt12;Gcnt2;Gdpd5;Gpr158;Grik3;H2-DMa;Hs6st3;Immp2l;Itgam;Itsn2;Jcad;Jsrp1;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Kremen1;Ksr2;Lrp12;Lyrm7;Lzts1;Micu1;Mphosph9;Mpzl3;Mtcl1;Myh10;Nat8f3;Nipa1;Nudt1;Opa1;P2ry6;Pcdhb2;Pcdhb22;Pcdhga3;Pcdhga6;Pcdhgb1;Pcsk9;Pex3;Pik3r5;Pmepa1;Ppp3ca;Prex2;Ralgapa2;Ranbp2;Rep15;Rnf150;Rpe65;Scel;Sdr42e1;Shroom2;Siglech;Slc25a37;Slc2a5;Sntb2;Srebf2;Stard10;Steap3;Strit1;Syne1;Tmeff1;Tmem167;Tmem175;Tmod1;Tpbg;Ttc7;Vamp9	0.0352857420142573
10	GO:0005887	0.00750760468388453	1.90044044488102	11.8568211068211	21	857	integral component of plasma membrane	Acvr1c;Adam22;Adam23;Atp2b1;Cd53;Cnr1;Grik3;Itgam;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Lrp12;Pcdhb2;Pcdhb22;Pcdhga3;Pcdhga6;Pcdhgb1;Pex3;Slc2a5	0.0352857420142573
