GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0035097	0.000250902596991555	6.23641025641026	1.25564574459535	7	72	histone methyltransferase complex	Kdm4a;Kdm5b;Kmt2b;Kmt2d;Mtf2;Setd1b;Taf4	0.00943155153403432
2	GO:0005634	0.000336841126215511	1.60919415312721	93.7723217873503	119	5377	nucleus	Actr3;Ascc2;Ascc3;Atxn7;AU040320;Auts2;Baz1a;Bicra;Cc2d1b;Cln3;Cnot6l;Crebbp;Crlf3;Dapk1;Dcaf13;Dcaf17;Dclre1b;Dcp1a;Dcp1b;Ddx18;Ddx21;Ddx46;Ddx59;Disc1;Dtx3;Dusp12;Dut;Dyrk1b;Emsy;Eps15l1;Ewsr1;Fbxl12;Fkbp5;Fnbp4;Gpr63;Helq;Hinfp;Hnrnpm;Ifi27l2a;Ints6l;Ints9;Invs;Ippk;Jade3;Katna1;Kdm4a;Kdm5b;Kdm8;Kmt2b;Kmt2d;Lamb1;Mcm3ap;Med13;Med23;Mlxipl;Mov10;Mta2;Mtf2;Mus81;Mutyh;N4bp2l2;Naa40;Nat10;Ncapd3;Nemp1;Nop9;Nup210;Nup98;Ogt;Otud4;Otx2;Ovca2;Pan2;Parp2;Pdzd7;Pfkfb2;Plekha5;Plk5;Pnisr;Polr3a;Prrc2a;Ptbp3;Rbm12b2;Rbm27;Rev1;Rfx1;Rimbp3;Riox2;Rps6ka4;Saal1;Seh1l;Setd1b;Srcap;Srsf5;Supt6;Taf4;Tent2;Tet2;Tnrc18;Trim11;Trim41;Trim68;Trip6;Trrap;U2af2;Usp4;Wapl;Xrn2;Zc3h11a;Zfhx2;Zfp182;Zfp287;Zfp609;Zfp672;Zfp692;Zfp709;Zfp950;Zfp97;Zscan22	0.00943155153403432
3	GO:0099053	0.000897815024101151	113.720930232558	0.0523185726914731	2	3	activating signal cointegrator 1 complex	Ascc2;Ascc3	0.0167592137832215
4	GO:0034708	0.00134327045380481	4.59772727272727	1.65675480189665	7	95	methyltransferase complex	Kdm4a;Kdm5b;Kmt2b;Kmt2d;Mtf2;Setd1b;Taf4	0.0188057863532673
5	GO:1904949	0.00222242140504053	4.86816634403578	1.34284336574781	6	77	ATPase complex	Baz1a;Bicra;Helq;Mta2;Srcap;Trrap	0.0248911197364539
6	GO:0070820	0.00292429849427113	37.9007751937985	0.0871976211524552	2	5	tertiary granule	Slc11a1;Stxbp2	0.0272934526131972
7	GO:0031981	0.00741229016090249	1.44884690228253	56.5389375552519	73	3242	nuclear lumen	Atxn7;AU040320;Baz1a;Bicra;Cc2d1b;Crebbp;Dcaf13;Dcaf17;Dclre1b;Ddx18;Ddx21;Ddx46;Dtx3;Dusp12;Dut;Dyrk1b;Emsy;Fkbp5;Fnbp4;Gpr63;Hinfp;Hnrnpm;Ints9;Ippk;Jade3;Kdm4a;Kdm5b;Kdm8;Kmt2b;Kmt2d;Mcm3ap;Med13;Med23;Mlxipl;Mta2;Mtf2;Mutyh;Nat10;Ncapd3;Nop9;Nup98;Ogt;Parp2;Pdzd7;Pfkfb2;Plekha5;Plk5;Pnisr;Polr3a;Prrc2a;Rbm12b2;Rfx1;Riox2;Rps6ka4;Setd1b;Srcap;Srsf5;Supt6;Taf4;Tet2;Tnrc18;Trim11;Trim41;Trim68;Trrap;U2af2;Wapl;Xrn2;Zfp609;Zfp672;Zfp692;Zfp709;Zscan22	0.0373322506653856
8	GO:0070603	0.00836818325695352	4.28013235708251	1.25564574459535	5	72	SWI/SNF superfamily-type complex	Baz1a;Bicra;Mta2;Srcap;Trrap	0.0373322506653856
9	GO:0000123	0.0093698155641059	4.15538692917692	1.29052479305634	5	74	histone acetyltransferase complex	Crebbp;Jade3;Ogt;Taf4;Trrap	0.0373322506653856
10	GO:0005654	0.0111522698592265	1.44265259984928	47.3657478100137	62	2716	nucleoplasm	Atxn7;Cc2d1b;Crebbp;Dcaf13;Dcaf17;Dclre1b;Ddx21;Ddx46;Dtx3;Dusp12;Dut;Dyrk1b;Emsy;Fkbp5;Fnbp4;Gpr63;Hinfp;Hnrnpm;Ints9;Jade3;Kdm4a;Kdm5b;Kdm8;Kmt2b;Kmt2d;Mcm3ap;Med13;Med23;Mlxipl;Mta2;Mtf2;Mutyh;Ncapd3;Nup98;Ogt;Parp2;Pdzd7;Pfkfb2;Plekha5;Pnisr;Polr3a;Prrc2a;Rbm12b2;Rfx1;Riox2;Rps6ka4;Setd1b;Srcap;Srsf5;Supt6;Taf4;Tet2;Tnrc18;Trim11;Trim41;Trim68;Trrap;U2af2;Xrn2;Zfp609;Zfp672;Zfp692	0.0373322506653856
11	GO:0031080	0.0124236488092595	14.206976744186	0.17439524230491	2	10	nuclear pore outer ring	Nup98;Seh1l	0.0373322506653856
12	GO:1990234	0.0143312314713758	1.79346688882861	11.7716788555815	20	675	transferase complex	Crebbp;Dcaf13;Dcaf17;Fbxl12;Jade3;Kdm4a;Kdm5b;Kmt2b;Kmt2d;Med23;Mtf2;Ogt;Polg2;Polr3a;Rbck1;Setd1b;Socs6;Taf4;Trrap;Zswim4	0.0373322506653856
