GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0098992	8.80320407519563e-05	21.8934169278997	0.24959807073955	4	15	neuronal dense core vesicle	Cadps;Dmxl2;Stxbp5l;Vps13a	0.00316915346707042
2	GO:0016939	0.000817625837091881	119.336585365854	0.04991961414791	2	3	kinesin II complex	Kif3b;Kifap3	0.0147172650676539
3	GO:0031045	0.00127635423203937	9.62206896551724	0.482556270096463	4	29	dense core granule	Cadps;Dmxl2;Stxbp5l;Vps13a	0.0153162507844724
4	GO:0005887	0.00225198465942652	1.96081648856982	14.3269292604502	26	861	integral component of plasma membrane	Acvr1b;Adgrd1;Ank2;Bmpr2;Dcbld2;Efnb1;Gabrg2;Gpc6;Hjv;Hrh2;Kcna2;Kcnh5;Kcnj11;Npsr1;Pcdh7;Pcdha11;Pcdha12;Pcdha5;Pcdhac1;Ptprt;Scn2a;Slc23a2;Slc24a2;Slc26a2;Trpm4;Zdhhc2	0.0202678619348387
5	GO:0031226	0.00514643518846305	1.83076541064001	15.2421221864952	26	916	intrinsic component of plasma membrane	Acvr1b;Adgrd1;Ank2;Bmpr2;Dcbld2;Efnb1;Gabrg2;Gpc6;Hjv;Hrh2;Kcna2;Kcnh5;Kcnj11;Npsr1;Pcdh7;Pcdha11;Pcdha12;Pcdha5;Pcdhac1;Ptprt;Scn2a;Slc23a2;Slc24a2;Slc26a2;Trpm4;Zdhhc2	0.032355247931069
6	GO:0016021	0.00597065332960122	1.48955082742317	49.7698553054662	66	2991	integral component of membrane	Acvr1b;Adam33;Adgrd1;Aldh3a1;Ank2;Arfgef3;Armh4;Bmpr2;Bri3;Cdh6;Celsr2;Chchd6;Clic5;Cyp4x1;Dcbld2;Dennd5b;Efnb1;Fkrp;Fut9;Gabrg2;Gpc6;Gpr3;Hjv;Hmgcr;Hrh2;Hsd17b7;Ifitm10;Igsf9b;Kcna2;Kcnh5;Kcnj11;Kcnj12;Lclat1;Lemd3;Lmbrd1;Lmbrd2;Lpgat1;Mgat5;Ncam2;Npsr1;Olfr464;Pcdh7;Pcdha11;Pcdha12;Pcdha5;Pcdhac1;Pde4d;Ptprt;Rell1;Retreg2;Scd3;Scn2a;Sec63;Sel1l;Slc23a2;Slc24a2;Slc26a2;Slc35f4;Soga3;Tmem245;Tmem63c;Tmem97;Trpm4;Vti1a;Xkr4;Zdhhc2	0.032355247931069
7	GO:0060077	0.00629129820881897	8.98014705882353	0.382717041800643	3	23	inhibitory synapse	Gabrg2;Igsf9b;Pclo	0.032355247931069
8	GO:0031224	0.00880451925342837	1.45419987737584	51.5170418006431	67	3096	intrinsic component of membrane	Acvr1b;Adam33;Adgrd1;Aldh3a1;Ank2;Arfgef3;Armh4;Bmpr2;Bri3;Cdh6;Celsr2;Chchd6;Clic5;Cyp4x1;Dcbld2;Dennd5b;Efnb1;Fkrp;Fut9;Gabrg2;Gpc6;Gpr3;Hjv;Hmgcr;Hrh2;Hsd17b7;Ifitm10;Igsf9b;Kcna2;Kcnh5;Kcnj11;Kcnj12;Lclat1;Lemd3;Lmbrd1;Lmbrd2;Lpgat1;Ly6c1;Mgat5;Ncam2;Npsr1;Olfr464;Pcdh7;Pcdha11;Pcdha12;Pcdha5;Pcdhac1;Pde4d;Ptprt;Rell1;Retreg2;Scd3;Scn2a;Sec63;Sel1l;Slc23a2;Slc24a2;Slc26a2;Slc35f4;Soga3;Tmem245;Tmem63c;Tmem97;Trpm4;Vti1a;Xkr4;Zdhhc2	0.0392526923151035
9	GO:0071944	0.00981317307877587	1.43804952214476	54.5288585209003	70	3277	cell periphery	Acvr1b;Adgrd1;Aldh3a1;Ank2;Arc;Atp11b;Bmpr2;Cdh6;Celsr2;Chp2;Clic5;Dcbld2;Efnb1;Fkrp;Fmn2;Frmd6;Gabrg2;Gpc6;Gpr3;Hjv;Hrh2;Hsd17b7;Ifitm10;Igsf9b;Irak2;Kcna2;Kcnh5;Kcnj11;Kcnj12;Kifap3;Lamc2;Lmbrd1;Lmbrd2;Ly6c1;Magi1;Magi2;Mfge8;Mib1;Mypn;Ncam2;Nln;Npsr1;Pcdh7;Pcdha11;Pcdha12;Pcdha5;Pcdhac1;Pclo;Pde4d;Pgr;Pip4k2b;Pla2g4e;Ptpn4;Ptprt;Rell1;Reps2;Rhebl1;Scn2a;Sh3yl1;Shroom1;Slc23a2;Slc24a2;Slc26a2;Stxbp5l;Syk;Tmem63c;Tmem97;Trpm4;Xkr4;Zdhhc2	0.0392526923151035
10	GO:0005886	0.0116101075734558	1.42828230206607	53.0645498392283	68	3189	plasma membrane	Acvr1b;Adgrd1;Aldh3a1;Ank2;Arc;Atp11b;Bmpr2;Cdh6;Celsr2;Chp2;Clic5;Dcbld2;Efnb1;Fkrp;Fmn2;Frmd6;Gabrg2;Gpc6;Gpr3;Hjv;Hrh2;Hsd17b7;Ifitm10;Igsf9b;Irak2;Kcna2;Kcnh5;Kcnj11;Kcnj12;Kifap3;Lmbrd1;Lmbrd2;Ly6c1;Magi1;Magi2;Mfge8;Mib1;Mypn;Ncam2;Nln;Npsr1;Pcdh7;Pcdha11;Pcdha12;Pcdha5;Pcdhac1;Pde4d;Pgr;Pip4k2b;Pla2g4e;Ptpn4;Ptprt;Rell1;Reps2;Rhebl1;Scn2a;Sh3yl1;Shroom1;Slc23a2;Slc24a2;Slc26a2;Stxbp5l;Syk;Tmem63c;Tmem97;Trpm4;Xkr4;Zdhhc2	0.0417963872644408
